"","Symbol","Security.Name","Market.Category","Test.Issue","Financial.Status","Round.Lot.Size","ETF","NextShares"
"30","ACGL","Arch Capital Group Ltd. - Common Stock","Q","N","N",100,"N","N"
"31","ACGLO","Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F","Q","N","N",100,"N","N"
"32","ACGLP","Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs","Q","N","N",100,"N","N"
"33","ACHC","Acadia Healthcare Company, Inc. - Common Stock","Q","N","N",100,"N","N"
"34","ACHV","Achieve Life Sciences, Inc.  - Common Shares","S","N","N",100,"N","N"
"35","ACIA","Acacia Communications, Inc. - Common Stock","Q","N","N",100,"N","N"
"36","ACIU","AC Immune SA - Common Stock","G","N","N",100,"N","N"
"37","ACIW","ACI Worldwide, Inc. - Common Stock","Q","N","N",100,"N","N"
"38","ACLS","Axcelis Technologies, Inc. - Common Stock","Q","N","N",100,"N","N"
"39","ACMR","ACM Research, Inc. - Class A Common Stock","G","N","N",100,"N","N"
"40","ACNB","ACNB Corporation - Common Stock","S","N","N",100,"N","N"
"41","ACOR","Acorda Therapeutics, Inc. - Common Stock","Q","N","D",100,"N","N"
"42","ACRS","Aclaris Therapeutics, Inc. - Common Stock","Q","N","N",100,"N","N"
"43","ACRX","AcelRx Pharmaceuticals, Inc. - Common Stock","G","N","N",100,"N","N"
"44","ACST","Acasti Pharma, Inc. - Class A Common Stock","S","N","D",100,"N","N"
"45","ACT","AdvisorShares Vice ETF","G","N","N",100,"Y","N"
"46","ACTCU","ArcLight Clean Transition Corp. - Unit","S","N","N",100,"N","N"
"47","ACTG","Acacia Research Corporation - Common Stock","Q","N","N",100,"N","N"
"48","ACWI","iShares MSCI ACWI Index Fund","G","N","N",100,"Y","N"
"49","ACWX","iShares MSCI ACWI ex US Index Fund","G","N","N",100,"Y","N"
"50","ADAP","Adaptimmune Therapeutics plc - American Depositary Shares","Q","N","N",100,"N","N"
"51","ADBE","Adobe Inc. - Common Stock","Q","N","N",100,"N","N"
"52","ADES","Advanced Emissions Solutions, Inc. - Common Stock","G","N","N",100,"N","N"
"53","ADI","Analog Devices, Inc. - Common Stock","Q","N","N",100,"N","N"
"54","ADIL","Adial Pharmaceuticals, Inc - Common Stock","S","N","N",100,"N","N"
"55","ADILW","Adial Pharmaceuticals, Inc - Warrant","S","N","N",100,"N","N"
"56","ADMA","ADMA Biologics Inc - Common Stock","G","N","N",100,"N","N"
"57","ADMP","Adamis Pharmaceuticals Corporation - Common Stock","S","N","D",100,"N","N"
"58","ADMS","Adamas Pharmaceuticals, Inc. - Common Stock","G","N","N",100,"N","N"
"59","ADP","Automatic Data Processing, Inc. - Common Stock","Q","N","N",100,"N","N"
"60","ADPT","Adaptive Biotechnologies Corporation - Common Stock","Q","N","N",100,"N","N"
"61","ADRE","Invesco BLDRS Emerging Markets 50 ADR Index Fund","G","N","N",100,"Y","N"
"62","ADSK","Autodesk, Inc. - Common Stock","Q","N","N",100,"N","N"
"63","ADTN","ADTRAN, Inc. - Common Stock","Q","N","N",100,"N","N"
"64","ADTX","ADiTx Therapeutics, Inc. - Common Stock","S","N","N",100,"N","N"
"65","ADUS","Addus HomeCare Corporation - Common Stock","Q","N","N",100,"N","N"
"66","ADVM","Adverum Biotechnologies, Inc. - Common Stock","G","N","N",100,"N","N"
"67","ADXN","Addex Therapeutics Ltd - American Depositary Shares","S","N","N",100,"N","N"
"68","ADXS","Advaxis, Inc. - Common Stock","Q","N","D",100,"N","N"
"69","AEGN","Aegion Corp - Class A Common Stock","Q","N","N",100,"N","N"
"70","AEHR","Aehr Test Systems - Common Stock","S","N","N",100,"N","N"
"71","AEIS","Advanced Energy Industries, Inc. - Common Stock","Q","N","N",100,"N","N"
"72","AEMD","Aethlon Medical, Inc. - Common Stock","S","N","N",100,"N","N"
"73","AEP","American Electric Power Company, Inc. - Common Stock","Q","N","N",100,"N","N"
"74","AEPPL","American Electric Power Company, Inc. - Corporate Unit","Q","N","N",100,"N","N"
"75","AEPPZ","American Electric Power Company, Inc. - Corporate Unit","Q","N","N",100,"N","N"
"76","AERI","Aerie Pharmaceuticals, Inc. - Common Stock","G","N","N",100,"N","N"
"77","AESE","Allied Esports Entertainment, Inc. - Common Stock","S","N","N",100,"N","N"
"78","AEY","ADDvantage Technologies Group, Inc. - Common Stock","G","N","N",100,"N","N"
"79","AEYE","AudioEye, Inc. - Common Stock","S","N","N",100,"N","N"
"80","AEZS","Aeterna Zentaris Inc. - Common Stock","S","N","D",100,"N","N"
"81","AFIB","Acutus Medical, Inc. - Common Stock","Q","N","N",100,"N","N"
"82","AFIN","American Finance Trust, Inc. - Class A Common Stock","Q","N","N",100,"N","N"
"83","AFINP","American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock","Q","N","N",100,"N","N"
"84","AFMD","Affimed N.V. - Common Stock","G","N","N",100,"N","N"
"85","AFYA","Afya Limited - Class A Common Shares","Q","N","N",100,"N","N"
"86","AGBA","AGBA Acquisition Limited - Ordinary Share","S","N","N",100,"N","N"
"87","AGBAR","AGBA Acquisition Limited - Right","S","N","N",100,"N","N"
"88","AGBAU","AGBA Acquisition Limited - Unit","S","N","N",100,"N","N"
"89","AGBAW","AGBA Acquisition Limited - Warrant","S","N","N",100,"N","N"
"90","AGCUU","Altimeter Growth Corp. - Unit","S","N","N",100,"N","N"
"91","AGEN","Agenus Inc. - Common Stock","S","N","N",100,"N","N"
"92","AGFS","AgroFresh Solutions, Inc. - Common Stock","Q","N","N",100,"N","N"
"93","AGIO","Agios Pharmaceuticals, Inc. - Common Stock","Q","N","N",100,"N","N"
"94","AGLE","Aeglea BioTherapeutics, Inc. - Common Stock","G","N","N",100,"N","N"
"95","AGMH","AGM Group Holdings Inc. - Class A Ordinary Shares","S","N","N",100,"N","N"
"96","AGNC","AGNC Investment Corp. - Common Stock","Q","N","N",100,"N","N"
"97","AGNCM","AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock","Q","N","N",100,"N","N"
"98","AGNCN","AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock","Q","N","N",100,"N","N"
"99","AGNCO","AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock","Q","N","N",100,"N","N"
"100","AGNCP","AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock","Q","N","N",100,"N","N"
"101","AGRX","Agile Therapeutics, Inc. - Common Stock","S","N","N",100,"N","N"
"102","AGTC","Applied Genetic Technologies Corporation - Common Stock","G","N","N",100,"N","N"
"103","AGYS","Agilysys, Inc. - Common Stock","Q","N","N",100,"N","N"
"104","AGZD","WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund","G","N","N",100,"Y","N"
"105","AHACU","Alpha Healthcare Acquisition Corp. - Unit","S","N","N",100,"N","N"
"106","AHCO","AdaptHealth Corp.  - Class A Common Stock","S","N","N",100,"N","N"
"107","AHPI","Allied Healthcare Products, Inc. - Common Stock","S","N","N",100,"N","N"
"108","AIA","iShares Asia 50 ETF","G","N","N",100,"Y","N"
"109","AIH","Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares","G","N","N",100,"N","N"
"110","AIHS","Senmiao Technology Limited - Common Stock","S","N","D",100,"N","N"
"111","AIKI","AIkido Pharma Inc. - Common Stock","S","N","D",100,"N","N"
"112","AIMC","Altra Industrial Motion Corp. - Common Stock","Q","N","N",100,"N","N"
"113","AIMT","Aimmune Therapeutics, Inc. - Common Stock","Q","N","N",100,"N","N"
"114","AINV","Apollo Investment Corporation - Closed End Fund","Q","N","N",100,"N","N"
"115","AIQ","Global X Artificial Intelligence & Technology ETF","G","N","N",100,"Y","N"
"116","AIRG","Airgain, Inc. - Common Stock","S","N","N",100,"N","N"
"117","AIRR","First Trust RBA American Industrial Renaissance ETF","G","N","N",100,"Y","N"
"118","AIRT","Air T, Inc. - Common Stock","G","N","N",100,"N","N"
"119","AIRTP","Air T, Inc. - Trust Preferred Securities","G","N","N",100,"N","N"
"120","AIRTW","Air T, Inc. - Air T Funding Warrants to Purchase Trust Preferred","G","N","N",100,"N","N"
"121","AKAM","Akamai Technologies, Inc. - Common Stock","Q","N","N",100,"N","N"
"122","AKBA","Akebia Therapeutics, Inc. - Common Stock","G","N","N",100,"N","N"
"123","AKCA","Akcea Therapeutics, Inc. - Common Stock","Q","N","N",100,"N","N"
"124","AKER","Akers Biosciences Inc. - Common Stock","S","N","N",100,"N","N"
"125","AKRO","Akero Therapeutics, Inc. - Common Stock","Q","N","N",100,"N","N"
"126","AKTS","Akoustis Technologies, Inc. - Common Stock","S","N","N",100,"N","N"
"127","AKTX","Akari Therapeutics Plc - American Depositary Shares","S","N","N",100,"N","N"
"128","AKU","Akumin Inc. - Common Shares","S","N","N",100,"N","N"
"129","AKUS","Akouos, Inc. - Common Stock","Q","N","N",100,"N","N"
"130","ALAC","Alberton Acquisition Corporation - Ordinary Shares","S","N","D",100,"N","N"
"131","ALACR","Alberton Acquisition Corporation - Rights","S","N","N",100,"N","N"
"132","ALACU","Alberton Acquisition Corporation - Unit","S","N","N",100,"N","N"
"133","ALACW","Alberton Acquisition Corporation - Warrant","S","N","N",100,"N","N"
"134","ALBO","Albireo Pharma, Inc. - Common Stock","S","N","N",100,"N","N"
"135","ALCO","Alico, Inc. - Common Stock","Q","N","N",100,"N","N"
"136","ALDX","Aldeyra Therapeutics, Inc. - Common Stock","S","N","N",100,"N","N"
"137","ALEC","Alector, Inc. - Common Stock","Q","N","N",100,"N","N"
"138","ALGN","Align Technology, Inc. - Common Stock","Q","N","N",100,"N","N"
"139","ALGT","Allegiant Travel Company - Common Stock","Q","N","N",100,"N","N"
"140","ALIM","Alimera Sciences, Inc. - Common Stock","G","N","N",100,"N","N"
"141","ALJJ","ALJ Regional Holdings, Inc. - Common Stock","G","N","D",100,"N","N"
"142","ALKS","Alkermes plc - Ordinary Shares","Q","N","N",100,"N","N"
"143","ALLK","Allakos Inc. - Common Stock","Q","N","N",100,"N","N"
"144","ALLO","Allogene Therapeutics, Inc. - Common Stock","Q","N","N",100,"N","N"
"145","ALLT","Allot Ltd. - Ordinary Shares","Q","N","N",100,"N","N"
"146","ALNA","Allena Pharmaceuticals, Inc. - Common Stock","Q","N","N",100,"N","N"
"147","ALNY","Alnylam Pharmaceuticals, Inc. - Common Stock","Q","N","N",100,"N","N"
"148","ALOT","AstroNova, Inc. - Common Stock","G","N","N",100,"N","N"
"149","ALPN","Alpine Immune Sciences, Inc. - Common Stock","G","N","N",100,"N","N"
"150","ALRM","Alarm.com Holdings, Inc. - Common Stock","Q","N","N",100,"N","N"
"151","ALRN","Aileron Therapeutics, Inc. - Common Stock","S","N","N",100,"N","N"
"152","ALRS","Alerus Financial Corporation - Common Stock","S","N","N",100,"N","N"
"153","ALSK","Alaska Communications Systems Group, Inc. - Common Stock","Q","N","N",100,"N","N"
"154","ALT","Altimmune, Inc. - Common Stock","G","N","N",100,"N","N"
"155","ALTA","Altabancorp - Common Stock","S","N","N",100,"N","N"
"156","ALTM","Altus Midstream Company - Class A Common Stock","G","N","N",100,"N","N"
"157","ALTR","Altair Engineering Inc. - Class A Common Stock","Q","N","N",100,"N","N"
"158","ALTY","Global X SuperDividend Alternatives ETF","G","N","N",100,"Y","N"
"159","ALVR","AlloVir, Inc. - Common Stock","Q","N","N",100,"N","N"
"160","ALXN","Alexion Pharmaceuticals, Inc. - Common Stock","Q","N","N",100,"N","N"
"161","ALXO","ALX Oncology Holdings Inc. - Common Stock","Q","N","N",100,"N","N"
"162","ALYA","Alithya Group inc. - Class A subordinate voting shares","S","N","N",100,"N","N"
"163","AMAG","AMAG Pharmaceuticals, Inc. - Common Stock","Q","N","N",100,"N","N"
"164","AMAL","Amalgamated Bank - Class A Common Stock","G","N","N",100,"N","N"
"165","AMAT","Applied Materials, Inc. - Common Stock","Q","N","N",100,"N","N"
"166","AMBA","Ambarella, Inc. - Ordinary Shares","Q","N","N",100,"N","N"
"167","AMCA","iShares Russell 1000 Pure U.S. Revenue ETF","G","N","N",100,"Y","N"
"168","AMCI","AMCI Acquisition Corp. - Class A Common Stock","S","N","N",100,"N","N"
"169","AMCIU","AMCI Acquisition Corp. - Unit","S","N","N",100,"N","N"
"170","AMCIW","AMCI Acquisition Corp. - Warrant","S","N","N",100,"N","N"
"171","AMCX","AMC Networks Inc. - Class A Common Stock","Q","N","N",100,"N","N"
"172","AMD","Advanced Micro Devices, Inc. - Common Stock","Q","N","N",100,"N","N"
"173","AMED","Amedisys Inc - Common Stock","Q","N","N",100,"N","N"
"174","AMEH","Apollo Medical Holdings, Inc. - Common Stock","S","N","N",100,"N","N"
"175","AMGN","Amgen Inc. - Common Stock","Q","N","N",100,"N","N"
"176","AMHC","Amplitude Healthcare Acquisition Corporation - Class A Common Stock","S","N","N",100,"N","N"
"177","AMHCU","Amplitude Healthcare Acquisition Corporation - Unit","S","N","N",100,"N","N"
"178","AMHCW","Amplitude Healthcare Acquisition Corporation - Warrant","S","N","N",100,"N","N"
"179","AMKR","Amkor Technology, Inc. - Common Stock","Q","N","N",100,"N","N"
"180","AMNB","American National Bankshares, Inc. - Common Stock","Q","N","N",100,"N","N"
"181","AMOT","Allied Motion Technologies, Inc. - Common Stock","G","N","N",100,"N","N"
"182","AMPH","Amphastar Pharmaceuticals, Inc. - Common Stock","Q","N","N",100,"N","N"
"183","AMRB","American River Bankshares - Common Stock","Q","N","N",100,"N","N"
"184","AMRH","Ameri Holdings, Inc. - Common Stock","S","N","N",100,"N","N"
"185","AMRHW","Ameri Holdings, Inc. - Warrant","S","N","N",100,"N","N"
"186","AMRK","A-Mark Precious Metals, Inc. - Common Stock","Q","N","N",100,"N","N"
"187","AMRN","Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share","G","N","N",100,"N","N"
"188","AMRS","Amyris, Inc. - Common Stock","Q","N","N",100,"N","N"
"189","AMSC","American Superconductor Corporation - Common Stock","Q","N","N",100,"N","N"
"190","AMSF","AMERISAFE, Inc. - Common Stock","Q","N","N",100,"N","N"
"191","AMST","Amesite Inc. - Common Stock","S","N","N",100,"N","N"
"192","AMSWA","American Software, Inc. - Class A Common Stock","Q","N","N",100,"N","N"
"193","AMTB","Amerant Bancorp Inc. - Class A Common Stock","Q","N","N",100,"N","N"
"194","AMTBB","Amerant Bancorp Inc. - Class B Common Stock","Q","N","N",100,"N","N"
"195","AMTI","Applied Molecular Transport Inc. - common stock","Q","N","N",100,"N","N"
"196","AMTX","Aemetis, Inc - Common Stock","G","N","N",100,"N","N"
"197","AMWD","American Woodmark Corporation - Common Stock","Q","N","N",100,"N","N"
"198","AMYT","Amryt Pharma plc - American Depositary Shares","Q","N","N",100,"N","N"
"199","AMZN","Amazon.com, Inc. - Common Stock","Q","N","N",100,"N","N"
"200","ANAB","AnaptysBio, Inc. - Common Stock","Q","N","N",100,"N","N"
"201","ANAT","American National Group, Inc. - Common Stock","Q","N","N",100,"N","N"
"202","ANCN","Anchiano Therapeutics Ltd. - American Depositary Shares","S","N","N",100,"N","N"
"203","ANDA","Andina Acquisition Corp. III - Ordinary Shares","S","N","N",100,"N","N"
"204","ANDAR","Andina Acquisition Corp. III - Right","S","N","N",100,"N","N"
"205","ANDAU","Andina Acquisition Corp. III - Unit","S","N","N",100,"N","N"
"206","ANDAW","Andina Acquisition Corp. III - Warrant","S","N","N",100,"N","N"
"207","ANDE","The Andersons, Inc. - Common Stock","Q","N","N",100,"N","N"
"208","ANGI","ANGI Homeservices Inc. - Class A Common Stock","Q","N","N",100,"N","N"
"209","ANGL","VanEck Vectors Fallen Angel High Yield Bond ETF","G","N","N",100,"Y","N"
"210","ANGO","AngioDynamics, Inc. - Common Stock","Q","N","N",100,"N","N"
"211","ANIK","Anika Therapeutics Inc. - Common Stock","Q","N","N",100,"N","N"
"212","ANIP","ANI Pharmaceuticals, Inc. - Common Stock","G","N","N",100,"N","N"
"213","ANIX","Anixa Biosciences, Inc. - Common Stock","S","N","N",100,"N","N"
"214","ANNX","Annexon, Inc. - common stock","Q","N","N",100,"N","N"
"215","ANPC","AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares","G","N","N",100,"N","N"
"216","ANSS","ANSYS, Inc. - Common Stock","Q","N","N",100,"N","N"
"217","ANTE","AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares","S","N","D",100,"N","N"
"218","ANY","Sphere 3D Corp. - Common Shares","S","N","D",100,"N","N"
"219","AOSL","Alpha and Omega Semiconductor Limited - Common Shares","Q","N","N",100,"N","N"
"220","AOUT","American Outdoor Brands, Inc. - Common Stock","Q","N","N",100,"N","N"
"221","APA","Apache Corporation - Common Stock","Q","N","N",100,"N","N"
"222","APDN","Applied DNA Sciences, Inc. - Common Stock","S","N","N",100,"N","N"
"223","APEI","American Public Education, Inc. - Common Stock","Q","N","N",100,"N","N"
"224","APEN","Apollo Endosurgery, Inc. - Common Stock","G","N","N",100,"N","N"
"225","APEX","Apex Global Brands Inc. - Common Stock","S","N","D",100,"N","N"
"226","APHA","Aphria Inc. - Common Shares","Q","N","N",100,"N","N"
"227","API","Agora, Inc. - ADS","Q","N","N",100,"N","N"
"228","APLS","Apellis Pharmaceuticals, Inc. - Common Stock","Q","N","N",100,"N","N"
"229","APLT","Applied Therapeutics, Inc. - Common Stock","G","N","N",100,"N","N"
"230","APM","Aptorum Group Limited - Class A Ordinary Shares","G","N","N",100,"N","N"
"231","APOG","Apogee Enterprises, Inc. - Common Stock","Q","N","N",100,"N","N"
"232","APOP","Cellect Biotechnology Ltd. - American Depositary Shares","S","N","N",100,"N","N"
"233","APOPW","Cellect Biotechnology Ltd. - Warrants to Purchase ADR (1 WT and $7.50 to purchase 0.2 ADS)","S","N","N",100,"N","N"
"234","APPF","AppFolio, Inc. - Class A Common Stock","G","N","N",100,"N","N"
"235","APPN","Appian Corporation - Class A Common Stock","G","N","N",100,"N","N"
"236","APPS","Digital Turbine, Inc. - Common Stock","S","N","N",100,"N","N"
"237","APRE","Aprea Therapeutics, Inc. - Common Stock","Q","N","N",100,"N","N"
"238","APTO","Aptose Biosciences, Inc. - Common Shares","S","N","N",100,"N","N"
"239","APTX","Aptinyx Inc. - Common Stock","Q","N","N",100,"N","N"
"240","APVO","Aptevo Therapeutics Inc. - Common Stock","S","N","N",100,"N","N"
"241","APWC","Asia Pacific Wire  - Common shares, Par value .01 per share","S","N","N",100,"N","N"
"242","APXT","Apex Technology Acquisition Corporation - Class A Common Stock","S","N","N",100,"N","N"
"243","APXTU","Apex Technology Acquisition Corporation - Unit","S","N","N",100,"N","N"
"244","APXTW","Apex Technology Acquisition Corporation - Warrant","S","N","N",100,"N","N"
"245","APYX","Apyx Medical Corporation - Common Stock","Q","N","N",100,"N","N"
"246","AQB","AquaBounty Technologies, Inc. - Common Stock","S","N","N",100,"N","N"
"247","AQMS","Aqua Metals, Inc. - Common Stock","S","N","D",100,"N","N"
"248","AQST","Aquestive Therapeutics, Inc. - Common Stock","G","N","N",100,"N","N"
"249","ARAV","Aravive, Inc. - Common Stock","Q","N","N",100,"N","N"
"250","ARAY","Accuray Incorporated - Common Stock","Q","N","N",100,"N","N"
"251","ARCB","ArcBest Corporation - Common Stock","Q","N","N",100,"N","N"
"252","ARCC","Ares Capital Corporation - Closed End Fund","Q","N","N",100,"N","N"
"253","ARCE","Arco Platform Limited - Class A Common Shares","Q","N","N",100,"N","N"
"254","ARCT","Arcturus Therapeutics Holdings Inc. - Common Stock","G","N","N",100,"N","N"
"255","ARDS","Aridis Pharmaceuticals Inc. - Common Stock","S","N","N",100,"N","N"
"256","ARDX","Ardelyx, Inc. - Common Stock","G","N","N",100,"N","N"
"257","AREC","American Resources Corporation - Class A Common Stock","S","N","N",100,"N","N"
"258","ARGX","argenx SE - American Depositary Shares","Q","N","N",100,"N","N"
"259","ARKR","Ark Restaurants Corp. - Common Stock","G","N","N",100,"N","N"
"260","ARLP","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests","Q","N","N",100,"N","N"
"261","ARNA","Arena Pharmaceuticals, Inc. - Common Stock","Q","N","N",100,"N","N"
"262","AROW","Arrow Financial Corporation - Common Stock","Q","N","N",100,"N","N"
"263","ARPO","Aerpio Pharmaceuticals, Inc. - Common Stock","S","N","N",100,"N","N"
"264","ARQT","Arcutis Biotherapeutics, Inc. - Common stock","Q","N","N",100,"N","N"
"265","ARTL","Artelo Biosciences, Inc. - Common Stock","S","N","N",100,"N","N"
"266","ARTLW","Artelo Biosciences, Inc. - Warrant","S","N","N",100,"N","N"
"267","ARTNA","Artesian Resources Corporation - Class A Non-Voting Common Stock","Q","N","N",100,"N","N"
"268","ARTW","Art's-Way Manufacturing Co., Inc. - Common Stock","S","N","N",100,"N","N"
"269","ARVN","Arvinas, Inc. - Common Stock","Q","N","N",100,"N","N"
"270","ARWR","Arrowhead Pharmaceuticals, Inc. - Common Stock","Q","N","N",100,"N","N"
"271","ARYA","ARYA Sciences Acquisition Corp III - Class A Ordinary Shares","S","N","N",100,"N","N"
"272","ARYB","ARYA Sciences Acquisition Corp II - Class A Ordinary Shares","S","N","N",100,"N","N"
"273","ARYBU","ARYA Sciences Acquisition Corp II - Unit","S","N","N",100,"N","N"
"274","ARYBW","ARYA Sciences Acquisition Corp II - Warrant","S","N","N",100,"N","N"
"275","ASET","FlexShares Real Assets Allocation Index Fund","G","N","N",100,"Y","N"
"276","ASLN","ASLAN Pharmaceuticals Limited - American Depositary Shares","G","N","N",100,"N","N"
"277","ASMB","Assembly Biosciences, Inc. - Common Stock","Q","N","N",100,"N","N"
"278","ASML","ASML Holding N.V. - New York Registry Shares","Q","N","N",100,"N","N"
"279","ASND","Ascendis Pharma A/S - American Depositary Shares","Q","N","N",100,"N","N"
"280","ASO","Academy Sports and Outdoors, Inc. - Common Stock","Q","N","N",100,"N","N"
"281","ASPS","Altisource Portfolio Solutions S.A. - Common Stock","Q","N","N",100,"N","N"
"282","ASPU","Aspen Group Inc. - Common Stock","G","N","N",100,"N","N"
"283","ASRT","Assertio Holdings, Inc. - Common Stock","Q","N","D",100,"N","N"
"284","ASRV","AmeriServ Financial Inc. - Common Stock","G","N","N",100,"N","N"
"285","ASRVP","AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A","G","N","N",100,"N","N"
"286","ASTC","Astrotech Corporation - Common Stock","S","N","D",100,"N","N"
"287","ASTE","Astec Industries, Inc. - Common Stock","Q","N","N",100,"N","N"
"288","ASUR","Asure Software Inc - Common Stock","S","N","N",100,"N","N"
"289","ASYS","Amtech Systems, Inc. - Common Stock","Q","N","N",100,"N","N"
"290","ATAX","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests","Q","N","N",100,"N","N"
"291","ATCX","Atlas Technical Consultants, Inc. - Class A Common Stock","G","N","N",100,"N","N"
"292","ATCXW","Atlas Technical Consultants, Inc. - Warrant","G","N","N",100,"N","N"
"293","ATEC","Alphatec Holdings, Inc. - Common Stock","Q","N","N",100,"N","N"
"294","ATEX","Anterix Inc. - Common Stock","S","N","N",100,"N","N"
"295","ATHA","Athira Pharma, Inc. - Common Stock","Q","N","N",100,"N","N"
"296","ATHE","Alterity Therapeutics Limited - American Depositary Shares","S","N","N",100,"N","N"
"297","ATHX","Athersys, Inc. - Common Stock","S","N","N",100,"N","N"
"298","ATIF","ATIF Holdings Limited - Ordinary Shares","S","N","N",100,"N","N"
"299","ATLC","Atlanticus Holdings Corporation - Common Stock","Q","N","N",100,"N","N"
"300","ATLO","Ames National Corporation - Common Stock","S","N","N",100,"N","N"
"301","ATNI","ATN International, Inc. - Common Stock","Q","N","N",100,"N","N"
"302","ATNX","Athenex, Inc. - Common Stock","Q","N","N",100,"N","N"
"303","ATOM","Atomera Incorporated - Common Stock","S","N","N",100,"N","N"
"304","ATOS","Atossa Therapeutics, Inc. - Common Stock","S","N","N",100,"N","N"
"305","ATRA","Atara Biotherapeutics, Inc. - Common Stock","Q","N","N",100,"N","N"
"306","ATRC","AtriCure, Inc. - Common Stock","G","N","N",100,"N","N"
"307","ATRI","Atrion Corporation - Common Stock","Q","N","N",100,"N","N"
"308","ATRO","Astronics Corporation - Common Stock","Q","N","N",100,"N","N"
"309","ATRS","Antares Pharma, Inc. - Common Stock","S","N","N",100,"N","N"
"310","ATSG","Air Transport Services Group, Inc - Common Stock","Q","N","N",100,"N","N"
"311","ATVI","Activision Blizzard, Inc - Common Stock","Q","N","N",100,"N","N"
"312","ATXI","Avenue Therapeutics, Inc. - Common Stock","S","N","N",100,"N","N"
"313","AUB","Atlantic Union Bankshares Corporation - Common Stock","Q","N","N",100,"N","N"
