"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","X"
"36","ADSW","Advanced Disposal Services, Inc.","30.27","$2.75B","2016","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/adsw",NA
"37","WMS","Advanced Drainage Systems, Inc.","69.47","$4.83B","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",NA
"38","ASIX","AdvanSix Inc.","14.33","$401.67M","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix",NA
"39","AVK","Advent Convertible and Income Fund","14.53","$501.65M","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk",NA
"40","IMPX.U","AEA-Bridges Impact Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/impx.u",NA
"41","ACM","AECOM","46.16","$7.4B","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm",NA
"42","AEFC","Aegon Funding Company LLC","26.05","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc",NA
"43","AEB","Aegon NV","25.05","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb",NA
"44","AEG","Aegon NV","3.02","$6.2B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg",NA
"45","AER","Aercap Holdings N.V.","27.77","$3.6B","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",NA
"46","AJRD","Aerojet Rocketdyne Holdings, Inc. ","40.82","$3.21B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",NA
"47","AMG","Affiliated Managers Group, Inc.","76.41","$3.56B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",NA
"48","MGR","Affiliated Managers Group, Inc.","27.55","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",NA
"49","MGRB","Affiliated Managers Group, Inc.","26.21","n/a","2020","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgrb",NA
"50","AFL","Aflac Incorporated","38.1","$27.16B","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",NA
"51","MITT","AG Mortgage Investment Trust, Inc.","2.81","$114.43M","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",NA
"52","MITT^A","AG Mortgage Investment Trust, Inc.","16.4","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",NA
"53","MITT^B","AG Mortgage Investment Trust, Inc.","16.69","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b",NA
"54","MITT^C","AG Mortgage Investment Trust, Inc.","16.65","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c",NA
"55","AGCO","AGCO Corporation","80.57","$6.03B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",NA
"56","A","Agilent Technologies, Inc.","105.76","$32.61B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",NA
"57","AEM","Agnico Eagle Mines Limited","82.69","$19.98B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aem",NA
"58","ADC","Agree Realty Corporation","67","$3.61B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/adc",NA
"59","AL","Air Lease Corporation","31.19","$3.55B","2011","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/al",NA
"60","AL^A","Air Lease Corporation","24.15","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/al^a",NA
"61","APD","Air Products and Chemicals, Inc.","300.6","$66.4B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/apd",NA
"62","ALP^Q","Alabama Power Company","28.41","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alp^q",NA
"63","ALG","Alamo Group, Inc.","117","$1.39B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/alg",NA
"64","AGI","Alamos Gold Inc.","9.27","$3.63B","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/agi",NA
"65","ALK","Alaska Air Group, Inc.","38.69","$4.78B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/alk",NA
"66","AIN","Albany International Corporation","54.74","$1.77B","n/a","Basic Industries","Textiles","https://old.nasdaq.com/symbol/ain",NA
"67","ALB","Albemarle Corporation","96.03","$10.21B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/alb",NA
"68","ACI","Albertsons Companies, Inc.","14.26","$6.73B","2020","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/aci",NA
"69","AA","Alcoa Corporation","12.52","$2.33B","2016","Basic Industries","Aluminum","https://old.nasdaq.com/symbol/aa",NA
"70","ALC","Alcon Inc.","61.64","$30.15B","2019","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/alc",NA
"71","ALEX","Alexander & Baldwin, Inc.","12.38","$895.67M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alex",NA
"72","ALX","Alexander&#39;s, Inc.","251.49","$1.28B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alx",NA
"73","ARE","Alexandria Real Estate Equities, Inc.","165.15","$20.83B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/are",NA
"74","AQN","Algonquin Power & Utilities Corp.","15.65","$9.27B","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqn",NA
"75","AQNA","Algonquin Power & Utilities Corp.","27.12","n/a","2018","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqna",NA
"76","AQNB","Algonquin Power & Utilities Corp.","28","n/a","2019","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqnb",NA
"77","BABA","Alibaba Group Holding Limited","299.74","$810.99B","2014","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/baba",NA
"78","Y","Alleghany Corporation","558.42","$7.99B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/y",NA
"79","ATI","Allegheny Technologies Incorporated","9.4","$1.19B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/ati",NA
"80","ALLE","Allegion plc","103.99","$9.59B","2013","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/alle",NA
"81","ALE","Allete, Inc.","53.84","$2.79B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/ale",NA
"82","ADS","Alliance Data Systems Corporation","48.62","$2.32B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ads",NA
"83","AFB","Alliance National Municipal Income Fund Inc","13.55","$389.49M","2002","n/a","n/a","https://old.nasdaq.com/symbol/afb",NA
"84","AWF","Alliance World Dollar Government Fund II","10.6","$914.03M","1993","n/a","n/a","https://old.nasdaq.com/symbol/awf",NA
"85","AB","AllianceBernstein Holding L.P.","30.26","$2.92B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/ab",NA
"86","AIO","AllianzGI Artificial Intelligence & Tech Opp Fd","22.965","$788.23M","2019","n/a","n/a","https://old.nasdaq.com/symbol/aio",NA
"87","CBH","AllianzGI Convertible & Income 2024 Target Term Fund","8.98","$163.96M","2017","n/a","n/a","https://old.nasdaq.com/symbol/cbh",NA
"88","NCV","AllianzGI Convertible & Income Fund","4.8","$433.79M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ncv",NA
"89","NCV^A","AllianzGI Convertible & Income Fund","26.52","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ncv^a",NA
"90","NCZ","AllianzGI Convertible & Income Fund II","4.26","$324.25M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ncz",NA
"91","NCZ^A","AllianzGI Convertible & Income Fund II","26.08","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ncz^a",NA
"92","ACV","AllianzGI Diversified Income & Convertible Fund","27.44","$284.11M","2015","n/a","n/a","https://old.nasdaq.com/symbol/acv",NA
"93","NFJ","AllianzGI Dividend, Interest & Premium Strategy Fu","12.31","$1.17B","2005","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/nfj",NA
"94","NIE","AllianzGI Equity & Convertible Income Fund","25.39","$703.53M","2007","n/a","n/a","https://old.nasdaq.com/symbol/nie",NA
"95","ALSN","Allison Transmission Holdings, Inc.","40.77","$4.62B","2012","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/alsn",NA
"96","ALL","Allstate Corporation (The)","92.86","$29B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/all",NA
"97","ALL^B","Allstate Corporation (The)","26.55","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^b",NA
"98","ALL^G","Allstate Corporation (The)","28.44","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^g",NA
"99","ALL^H","Allstate Corporation (The)","27.59","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^h",NA
"100","ALL^I","Allstate Corporation (The)","27.38","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^i",NA
"101","ALLY","Ally Financial Inc.","27.85","$10.41B","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/ally",NA
"102","ALLY^A","Ally Financial Inc.","25.71","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ally^a",NA
"103","PINE","Alpine Income Property Trust, Inc.","15.6","$116.3M","2019","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/pine",NA
"104","ALTG","Alta Equipment Group Inc.","8","$236.09M","2019","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/altg",NA
"105","ALTG.WS","Alta Equipment Group Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/altg.ws",NA
"106","ALIN^A","Altera Infrastructure L.P.","17.54","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alin^a",NA
"107","ALIN^B","Altera Infrastructure L.P.","18.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alin^b",NA
"108","ALIN^E","Altera Infrastructure L.P.","18.83","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alin^e",NA
"109","AYX","Alteryx, Inc.","151.97","$10.06B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ayx",NA
"110","ATUS","Altice USA, Inc.","27.2","$15.72B","2017","Consumer Services","Television Services","https://old.nasdaq.com/symbol/atus",NA
"111","MO","Altria Group","40.69","$75.62B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/mo",NA
"112","ACH","Aluminum Corporation of China Limited","5.5","$3.74B","2001","Basic Industries","Aluminum","https://old.nasdaq.com/symbol/ach",NA
"113","ALUS","Alussa Energy Acquisition Corp.","9.925","$356.68M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/alus",NA
"114","ALUS.U","Alussa Energy Acquisition Corp.","n/a","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/alus.u",NA
"115","ALUS.WS","Alussa Energy Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alus.ws",NA
"116","AMBC","Ambac Financial Group, Inc.","13.47","$617.05M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/ambc",NA
"117","AMBC.WS","Ambac Financial Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ambc.ws",NA
"118","ABEV","Ambev S.A.","2.47","$38.86B","2013","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/abev",NA
"119","AMC","AMC Entertainment Holdings, Inc.","4.05","$442.74M","2013","Consumer Services","Movies/Entertainment","https://old.nasdaq.com/symbol/amc",NA
"120","AMCR","Amcor plc","11.42","$17.91B","2019","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/amcr",NA
"121","AEE","Ameren Corporation","82.05","$20.27B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/aee",NA
"122","AMRC","Ameresco, Inc.","37.78","$1.8B","2010","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/amrc",NA
"123","AMOV","America Movil, S.A.B. de C.V.","12.83","$42.62B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/amov",NA
"124","AMX","America Movil, S.A.B. de C.V.","12.97","$43.08B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/amx",NA
"125","AAT","American Assets Trust, Inc.","26.17","$1.57B","2011","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aat",NA
"126","AXL","American Axle & Manufacturing Holdings, Inc.","6.85","$775.92M","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/axl",NA
"127","ACC","American Campus Communities Inc","37.07","$5.1B","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/acc",NA
"128","AEO","American Eagle Outfitters, Inc.","15.31","$2.54B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/aeo",NA
"129","AEL","American Equity Investment Life Holding Company","31.17","$2.87B","2003","Finance","Life Insurance","https://old.nasdaq.com/symbol/ael",NA
"130","AEL^A","American Equity Investment Life Holding Company","25.22","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ael^a",NA
"131","AEL^B","American Equity Investment Life Holding Company","26.7","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ael^b",NA
"132","AXP","American Express Company","106.34","$85.62B","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/axp",NA
"133","AFG","American Financial Group, Inc.","73.4","$6.5B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afg",NA
"134","AFGB","American Financial Group, Inc.","27.78","n/a","2019","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgb",NA
"135","AFGC","American Financial Group, Inc.","27.27","$27.22M","2019","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgc",NA
"136","AFGD","American Financial Group, Inc.","27.54","n/a","2020","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgd",NA
"137","AFGE","American Financial Group, Inc.","27.23","n/a","2020","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afge",NA
"138","AFGH","American Financial Group, Inc.","25.35","n/a","2015","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgh",NA
"139","AMH","American Homes 4 Rent","29.9","$9.45B","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/amh",NA
"140","AMH^D","American Homes 4 Rent","25.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^d",NA
"141","AMH^E","American Homes 4 Rent","25.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^e",NA
"142","AMH^F","American Homes 4 Rent","26.57","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^f",NA
"143","AMH^G","American Homes 4 Rent","26.65","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^g",NA
"144","AMH^H","American Homes 4 Rent","27.38","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^h",NA
"145","AIG","American International Group, Inc.","29.95","$25.8B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/aig",NA
"146","AIG.WS","American International Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aig.ws",NA
"147","AIG^A","American International Group, Inc.","27.67","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aig^a",NA
"148","ARL","American Realty Investors, Inc.","9.4","$150.37M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/arl",NA
"149","ARA","American Renal Associates Holdings, Inc","11.44","$394.56M","2016","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/ara",NA
"150","AWR","American States Water Company","76.67","$2.83B","n/a","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/awr",NA
"151","AMT","American Tower Corporation (REIT)","244.68","$108.53B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/amt",NA
"152","AVD","American Vanguard Corporation","14.84","$447.86M","n/a","Basic Industries","Agricultural Chemicals","https://old.nasdaq.com/symbol/avd",NA
"153","AWK","American Water Works","155.75","$28.22B","2008","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/awk",NA
"154","AMWL","American Well Corporation","32.65","$7.51B","2020","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/amwl",NA
"155","COLD","Americold Realty Trust","38.89","$7.92B","2018","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cold",NA
"156","AMP","AMERIPRISE FINANCIAL SERVICES, LLC","170.34","$20.49B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amp",NA
"157","ABC","AmerisourceBergen Corporation (Holding Co)","96.86","$19.77B","n/a","Health Care","Other Pharmaceuticals","https://old.nasdaq.com/symbol/abc",NA
"158","AMN","AMN Healthcare Services Inc","64.23","$3.02B","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/amn",NA
"159","AMRX","Amneal Pharmaceuticals, Inc.","4.75","$700.81M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amrx",NA
"160","AP","Ampco-Pittsburgh Corporation","3.62","$66.28M","n/a","Capital Goods","Fluid Controls","https://old.nasdaq.com/symbol/ap",NA
"161","APH","Amphenol Corporation","113.49","$33.84B","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aph",NA
"162","AXR","AMREP Corporation","6.06","$49.27M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/axr",NA
"163","HKIB","AMTD International Inc.","6.93","$1.7B","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/hkib",NA
"164","AME","AMTEK, Inc.","106.94","$24.56B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/ame",NA
"165","PLAN","Anaplan, Inc.","62.71","$8.77B","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/plan",NA
"166","DYFN","Angel Oak Dynamic Financial Strategies Income Term Trust","18.05","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/dyfn",NA
"167","FINS","Angel Oak Financial Strategies Income Term Trust","16.81","$193.65M","2019","n/a","n/a","https://old.nasdaq.com/symbol/fins",NA
"168","AU","AngloGold Ashanti Limited","27.94","$11.62B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/au",NA
"169","BUD","Anheuser-Busch Inbev SA","59.5","$117.28B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/bud",NA
"170","NLY","Annaly Capital Management Inc","7.23","$10.14B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/nly",NA
"171","NLY^D","Annaly Capital Management Inc","25.27","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^d",NA
"172","NLY^F","Annaly Capital Management Inc","22.97","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^f",NA
"173","NLY^G","Annaly Capital Management Inc","21.09","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^g",NA
"174","NLY^I","Annaly Capital Management Inc","22.932","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^i",NA
"175","AM","Antero Midstream Corporation","5.93","$2.83B","2017","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/am",NA
"176","AR","Antero Resources Corporation","3.71","$996.32M","2013","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ar",NA
"177","ANTM","Anthem, Inc.","294.41","$74.05B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/antm",NA
"178","ANH","Anworth Mortgage Asset  Corporation","1.73","$171.5M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/anh",NA
"179","ANH^A","Anworth Mortgage Asset  Corporation","23.18","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^a",NA
"180","ANH^B","Anworth Mortgage Asset  Corporation","17.52","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^b",NA
"181","ANH^C","Anworth Mortgage Asset  Corporation","21.17","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^c",NA
"182","AON","Aon plc","209.19","$48.46B","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/aon",NA
"183","AIV","Apartment Investment and Management Company","36.76","$5.47B","1994","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aiv",NA
"184","APG","APi Group Corporation","14.9","$2.52B","2020","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/apg",NA
"185","ARI","Apollo Commercial Real Estate Finance","9.24","$1.36B","2009","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ari",NA
"186","APO","Apollo Global Management, Inc","46.55","$10.67B","2011","Finance","Investment Managers","https://old.nasdaq.com/symbol/apo",NA
"187","APO^A","Apollo Global Management, Inc","26.4","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/apo^a",NA
"188","APO^B","Apollo Global Management, Inc","27.3","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/apo^b",NA
"189","AFT","Apollo Senior Floating Rate Fund Inc.","13.19","$205.41M","2011","n/a","n/a","https://old.nasdaq.com/symbol/aft",NA
"190","APSG.U","Apollo Strategic Growth Capital","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/apsg.u",NA
"191","AIF","Apollo Tactical Income Fund Inc.","13.1","$189.48M","2013","n/a","n/a","https://old.nasdaq.com/symbol/aif",NA
"192","APLE","Apple Hospitality REIT, Inc.","10.79","$2.41B","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aple",NA
"193","AIT","Applied Industrial Technologies, Inc.","60","$2.33B","n/a","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/ait",NA
"194","ATR","AptarGroup, Inc.","116.81","$7.53B","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/atr",NA
"195","APTV","Aptiv PLC","98.06","$26.48B","2011","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/aptv",NA
"196","APTV^A","Aptiv PLC","120.79","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aptv^a",NA
