,x
1282,IGI
1283,PAI
1284,MMU
1285,DMO
1286,MTT
1287,MHF
1288,MNP
1289,GFY
1290,WIW
1291,WIA
1292,XFLT
1293,YALA
1294,YAC.U
1295,YAC.WS
