"","per","pbr","roe","revenue_growth"
"AMRX",NA,"2.48","-58.39","14.8"
"AP","9.18","1.53","11.09","-27.1"
"APH","31.86","7.2","24.59","-1.4"
"AXR",NA,"0.59","-5.84","-11.8"
"HKIB","12.5","1.95","16.58","-82.6"
"AME","28.24","4.56","17.5","-21.5"
"PLAN",NA,"30.92","-49.99","26"
"AU","18.44","3.74","21.52","26.4"
"BUD","41.69","1.8","-0.22","-26.3"
"NLY",NA,"0.87","-15.74",NA
"AM",NA,"1.22","-22.74","-10.1"
"AR",NA,"0.16","-29.28","-32.8"
"ANTM","12.8","2.15","18.13","14.9"
"ANH",NA,"0.59","-28.19",NA
"AON","28.31","13.69","47.66","-4.2"
"AIV","29.12","3.09","10.42","-2.4"
"APG",NA,"1.65",NA,"-16.7"
"ARI","115.62","0.58","1.32","6"
"APO","11.52","26.31","-11.96","140.7"
"APLE","14.66","0.73","-0.29","-76.2"
"AIT","100.55","2.86","2.76","-17.9"
"ATR","38.14","4.56","12.54","-5.8"
"APTV","15.06","3.82","31.22","-46"
"ARMK","51.18","2.46","-7.32","-46.3"
"ABR","21.16","1.31","6.02","11.2"
"ARC","10.3","0.32","2.53","-34.9"
"MT",NA,"0.43","-9.99","-43.1"
"ARCH","36.75","1.16","3.79","-44"
"ADM","15.9","1.44","9.21","-0.1"
"AROC","9.17","0.92","-2.82","-7.6"
"ARCO","70.14","5.38","-30.88","-59.6"
"ACA","19.15","1.22","6.62","14.8"
"RCUS",NA,"3.07","-35.75","0"
"ARD",NA,NA,NA,"-6.2"
"ASC","6.98","0.34","4.85","23.5"
"ACRE","22.52","0.68","2.51","0"
"ARES","78.88","9.79","6.5","56.6"
"AGX","38.79","2.06","-2.04","38.7"
"ARGO",NA,"0.71","-8.4","-6.5"
"ANET","24.09","5.66","27.07","-11.1"
"AI","18.77","0.48","-22.82",NA
"ARLO",NA,"2.77","-44.8","-20.3"
"AHH","19.08","2.09","6.6","68.3"
"ARR",NA,"0.74","-26.93",NA
"AFI",NA,"0.43","-26.08","-18.1"
"AWI","22.35","8.07","-9.57","-25.3"
"ARW","18.14","1.39","8.11","-10"
"AJG","29.01","3.79","14.5","-4.3"
"APAM","16.6","29.77","155.66","1.1"
"ASAN",NA,"46.98",NA,"57.2"
"ABG","14.02","3.1","24.85","-19.9"
"ASX","11.5","1.3","11.27","18.5"
"ASGN","20.21","2.59","13.82","-3.7"
"AHT",NA,"0.92","-193.66","-89.6"
"ASH","32.71","1.53","-14.9","-10.5"
"ASPN",NA,"4.98","-19.09","-16.6"
"AMK",NA,"1.84","-1.63","-5.1"
"ASB","6.47","0.57","8.83","29.8"
"AC","20.78","0.92","-2.37","-34.9"
"AIZ","19.28","1.22","6.98","-2.7"
"AGO","7.71","0.35","5.06","32.1"
"HOME","7.62","4.07","-85.64","50.5"
"T","16.66","1.11","6.8","-8.9"
"ATTO",NA,"1.38","-29.02","-28.7"
"ATH","10.5","0.47","3.37","28.5"
"ATKR","8.15","3.47","54.7","-22"
"AT","9.32","32.26","-19.49","-12.6"
"ATCO","12.5","0.63","7.23","32.1"
"ATO","19.52","1.8","9.82","1.5"
"ACB",NA,"0.3","-101.34",NA
"ATHM","25.56","5.17","22.4","0.2"
"ALV","51.3","3.74","7.14","-51.4"
"AN","18.64","1.75","10.15","-15.2"
"AZO","16.59",NA,NA,"14"
"AVLR",NA,"26.59","-10.72","27.6"
"AVB","27.3","1.98","7.27","-0.1"
"AGR","24.49","1.12","4.2","-0.6"
"AVNS",NA,"1.45","-1.33","-4.9"
"AVTR","23.98","9.18","8.07","-3.5"
"AVYA",NA,"7.51","-83.03","0.6"
"AVY","21.57","9.13","45.77","-14.9"
"AVNT","31.29","1.88","8.15","-18.6"
"AVA","18.99","1.18","6.31","-7.4"
"AXTA","80.12","4.97","6.07","-43.6"
"AXS","16.9","0.8","-0.37","-7.4"
"AX","8.88","1.29","15.92","15.4"
"AZUL","5.76",NA,NA,"-84.7"
"AZRE",NA,"3.54","-9.19","16.2"
"AZZ","61.23","1.44","2.39","-13.9"
"BGS","16.6","2.31","13.57","38.1"
"BMRG",NA,NA,NA,NA
"BW",NA,NA,NA,"-45.4"
"BMI","45.46","6.13","14.11","-12"
"BKR","73.74","1.24","-62.06","-21"
"BLL","83.31","10.74","10.54","-7.2"
"BANC","291.2","0.84","-2.75","-24"
"BBAR","4.73","0.41","11.36","-41"
"BBVA","151.07","0.47","1.16","-24.6"
"BBD","8.61","1.27","12","-32.6"
"BBDO","8.18","1.21","12","-32.6"
"BCH","10.89","1.7","15.72","-22.5"
"BLX","7.07","0.52","7.4","-31.4"
"BSBR","15.94","2.3","15.62","-42.3"
"BSAC","9.48","1.45","13.87",NA
"BSMX","5.48","0.71","14.32","-10.1"
"SAN","7.97","0.32","-6.25","-27.2"
"CIB","14.16","0.89","5.96","-67.7"
"BAC","12","0.86","7.23","-5.1"
"BOH","12.03","1.64","13.94","-16.9"
"BMO","11.59","1.05","8.95","6"
"NTB","8.44","1.33","16.77","-10.3"
"BNS","9.97","1.08","10.32","-20.1"
"BKU","11.36","0.82","7.51","-11.2"
"BCS","15.17","0.25","2.95","-26.4"
"MPV","83.54","0.84","0.95","-22.3"
"BNED",NA,"0.34","-13.3","-36.2"
"B","17.63","1.61","9.48","-36.6"
"GOLD","10.94","2.23","22.33","48.1"
"BHC",NA,"12.81","-126.28","-22.7"
"BAX","45.01","5.02","11.7","-4.1"
"BTE",NA,"0.6","-156.58","-68.8"
"BCE","20.6","3.02","12.88","-9.1"
"BZH","13.9","0.77","5.67","10.4"
"BDX","83.74","2.86","3.99","-11.4"
"BDC","27.32","1.83","5.18","-22.5"
"BRBR","6.56",NA,"61.3","-14.1"
"BHE","708.67","0.79","0.06","-18.4"
"BHLB","7.57","0.48","-34.09","-38.4"
"BERY","11.38","3.55","34.73","50.2"
"BBY","19.41","8.18","46.13","3.9"
"BEST",NA,"2.18","-21.27","-4.2"
"BGSF","26.43","1.55","5.66","-15.2"
"BHP","16.54","2.74","16.79","-12.4"
"BBL","13.56","2.25","16.79","-12.4"
"BIG","2.94","1.59","73.2","31.3"
"BH","3.71","0.51","-14.55","-42.7"
"BILL",NA,"13.14","-7.03","32.9"
"BHVN",NA,"31.82","-805.55",NA
"BIO","8.63","2.25","30.33","-6.2"
"BITA",NA,"0.98","-15.35","-29.9"
"BJ","18.69","46.77",NA,"18.2"
"BKH","18.46","1.45","8.35","-2.1"
"BKI","101.01","6.08","6.49","-0.6"
"BSM","8.59","1.24","16.05","-56.4"
"BB",NA,"1.45","-32.71","6.1"
"BLK","21.84","3.06",NA,"18.3"
"BE",NA,NA,NA,"-6.2"
"APRN",NA,"1.72","-81.18","10"
"BXG","17.63","0.99","6.25","-67.7"
"BVH","12.28","0.38","-5.38","-62.9"
"BXC",NA,NA,NA,"-1.1"
"BA",NA,NA,NA,"-25"
"BCC","18.87","2.22","12.13","1"
"BCEI","5.9","0.44","7.74","-57.8"
"BOOT","25.22","2.91","12.62","-20.5"
"BAH","23.43","12.81","60.63","7.2"
"BQ",NA,"25.09",NA,"26.2"
"BWA","17.91","2.05","10.73","-44.1"
"BORR",NA,"0.08","-26.92","-3"
"SAM","84.92","13.97","20.27","42"
"BXP","11.91","2.02","14.4","-12.9"
"BSX","13.63","3.52","31.83","-23.9"
"BOX",NA,"45.47","-575.83","13.6"
"BYD","21.57","3.78","-17.35","-75.2"
"BPMP","6.17","9.79","84.9","10.1"
"BP","27.54","0.81","-24.27","-56.4"
"BPT","1.15","253.69","6,380.65",NA
"BRC","19.77","2.51","13.11","-14.7"
"BHR",NA,"0.26","-12.19","-88.9"
"BDN","51.35","1.12","2.17","-5.6"
"LND","11.16","1.19","11.94","6.1"
"BAK","3.06k","3.94","-937.67","-16.1"
"BRFS","11.81","2.16","19.38","9.2"
"MNRL","18.83","0.75","7.9","-48.6"
"BFAM","78.36","7.98","11.57","-44.4"
"BEDU","19.9","1.82","8.29","6.7"
"BSIG","7.12","17.48","138.83","-15.6"
"BV","53.26","1.11","-0.82","-7.5"
"EAT","77.43",NA,NA,"-32.5"
"BCO","137.76","20.63","11.33","-9.6"
"BMY","93.81","2.77","-1.65","61.5"
"VTOL",NA,NA,"-54.2","-17.4"
"BTI","10.2","0.94","9.62","0.8"
"BRX","15.92","1.25","7.78","-14.9"
"BRMK",NA,"1.15","12.02","99"
"BR","36.27","12.29","37.39","12.4"
"BNL","19.64","1.52","4.69","16.4"
"BKD","6.33","0.57","9","-9.7"
"BAM","42.88","1.9","1.63","-35"
"BBU","62.89","1.5","4.03","-31.2"
"BIPC","11.86","1.37","21.19","-20.3"
"BIP","170.68","2.9","2.36","15.5"
"BEPC","99.27","3.18","3.48","58.3"
"BEP",NA,"2.01","0.85","-17.3"
"BRO","30.53","3.73","13.05","4.4"
"BRT","205.83","1.04","0.49","7.1"
"BC","169.32","3.75","-1.1","-15.1"
"BKE","11.69","2.73","23.45","6"
"BVN",NA,"1.16","-5.68","-54.8"
"BBW",NA,"0.96","-48.69","-49.1"
"BG",NA,"1.72","-19.5","-6.3"
"BURL","285.37","53.12","-26.92","-39.1"
"BWXT","20.45","11.66","71.31","7.1"
"BY","11.77","0.65","5.78","-19.9"
"CABO","45.22","8.36","22.56","14.9"
"CBT","35.88","2.48","7.4","-38.7"
"COG","23.41","3.4","14.26","-38.7"
"CACI","17.11","2.04","12.77","8.9"
"WHD","14.28","4.03","21.81","-60.5"
"CADE","8.36","0.65","-16.1","-84.2"
"CAE","40.56","2.44","6.2","-33.3"
"CAI","16.16","0.85","5.73","-6.2"
"CAL",NA,"1.45","-80.26","-33.4"
"CWT","56.43","2.89","5.15","-2"
"CALX",NA,"7.95","-9.16","18.7"
"ELY","29.82","3.03","-19.76","-33.5"
"CPE","0.9","0.1","-60.29","-5.9"
"CPT","47.23","2.6","5.56","-1.9"
"CCJ","111.71","0.99","0.87","35.5"
"CPB","25.1","5.77","32.16","18.4"
"CWH",NA,"343.23",NA,"9"
"GOOS","39.55","10.75","32.49","-63.3"
"CM","11.72","1.21","10.16","-5.8"
"CNI","28.97","5.53","19.72","-18.9"
"CNQ","786.79","0.86","0.1","-48.4"
"CP","24.42","7.5","31.82","-9.4"
"CANG","51.56","1.15","5.19","-18.5"
"CNNE","2.56","1.18","54.67","-62.3"
"CAJ","24.47","0.69","3.07","-25.7"
"CGC",NA,"1.75","-23.7","22"
"CMD","147.91","2.74","1.97","-2.5"
"COF","7.72","0.65","0.45","-60"
"CSU",NA,"18.33",NA,"-12"
"BXMT","26.27","0.87","3.13","-52.8"
"CPRI","5.74","1.6","-20.76","-66.5"
"CMO",NA,"0.85","-15.1",NA
"CAH",NA,"8.02","-90.94","-1.8"
"CSL","19.12","2.77","14.92","-22.1"
"KMX","22.48","3.86","18.17","3.2"
"CCL","5.99","0.65","-33.89","-99.5"
"CUK","6.16","0.55","-33.89","-99.5"
"CRS","924","0.61","0.1","-31.8"
"CSV","82.93","1.89","2.36","14.4"
"CARR","29.75","7.01",NA,"-20"
"CARS",NA,"1.82","-130.92","-31.2"
"CRI","33.66","4.99","14.71","-29.9"
"CVNA",NA,"88.67","-74.31","13.4"
"CSPR",NA,"6.53","-302.95","15.7"
"CSLT",NA,"1.33","-53.4","-1.1"
"CTLT","81.05","5.24","7.62","30.6"
"CTT",NA,"2.94","-22.71","-24.1"
"CAT","22.03","6.51","28.92","-30.7"
"CATO","9.43","0.63","-10.92","-20.9"
"CBZ","17.87","1.9","11.32","0.6"
"CBL",NA,"0.05","-33.94","-35.8"
"CBRE","14.51","2.63","19.75","-5.8"
"PCPL",NA,NA,NA,NA
"PRPB",NA,NA,NA,NA
"FUN","39.28",NA,NA,"-98.5"
"CDR",NA,"0.26","-2.97","-19.7"
"CE","22.17","5.68","21.33","-25.1"
"CLS","12.26","0.67","-0.28","3.2"
"CEL",NA,"1.08","-8.28","-7.1"
"CPAC","70.64","1.71","2.41","-64.5"
"CX","275.33","0.71","0.38","-14.4"
"CVE","27.02","0.34","-9.53","-61.2"
"CNC","22.55","1.52","8.25","48.4"
"CNP","12.02","1.92","-5.06","-5"
"EBR","5.1","0.67","15.09","68.1"
"CEPU","3.11","0.39","14.42","-13.5"
"CCS","10.24","1.35","14.31","25.2"
"LUMN","8.79","0.81","8.96","-3.4"
"CDAY","179.88","6.66","4.02","-1.9"
"CF","16.85","2.21","9.08","-19.8"
"GIB","20.48","3.39","17.48","-2.2"
"CHX","25.7","0.99","-55.99","-2.4"
"CHRA",NA,"2.58","-55.25","10.1"
"CRL","44.51","6.86","16.73","3.8"
"CLDT","17.92","0.48","-6.31","-79.8"
"CMCM","2.76","0.5","-6.78","-59.4"
"CHGG","8.44k","21.76","0.34","63"
"CHE","31.15","10.51","38.34","6"
"CC",NA,"5.74","-15.73","-22.4"
"CHMI",NA,"0.69","-13.23",NA
"CPK","23.07","2.46","11.1","2.7"
"CVX","63.11","1.06","-6.02","-56.2"
"CHWY",NA,NA,NA,"47.4"
"CHS",NA,"0.49","-56.18","-39.8"
"CIM","11.49","0.6","-5.13",NA
"DL","15.86","4.83","10.6","-17.9"
"CEA","12.52","0.78","-12.9","-66.3"
"CGA",NA,"0.05","-24.93","-20.6"
"LFC","8.96","1.1","13.11","19.6"
"CHL","8.51","0.8","9.63","2"
"COE","47.55",NA,NA,"39.6"
"SNP","74.61","0.46","1.34","-38.7"
"ZNH","15.92","0.77","-10.19","-49.5"
"CHA","8.2","0.46","5.86","5.1"
"CHU","11.49","0.44","3.78","6.6"
"CYD","9.92","0.63",NA,"34.7"
"CMG","148.52","21.98","15.76","-4.8"
"CHH","29.36",NA,NA,"-52.2"
"CB","24.9","0.98","4.02","5.9"
"CHT","25.04","2.28","9.22","-4.6"
"CHD","33.25","7.84","25.74","10.6"
"CCX",NA,NA,NA,NA
"CCIV",NA,NA,NA,NA
"CIEN","17.35","2.66","16.56","1.7"
"CI","12.65","1.38","11.59","1.2"
"XEC",NA,"1.49","-66.7","-53.1"
"CBB",NA,NA,NA,"-1.1"
"CNK","14.16","0.85","-13.05","-99.1"
"CINR","4.99","1.49","22.15","-41.3"
"CIR",NA,"2.21","-26.78","-24.3"
"CIT","6.66","0.37","-7.49","-42.4"
"CCAC",NA,NA,NA,NA
"BLW","11.58","0.94",NA,NA
"C","8.52","0.52","6.18","-6.1"
"CFG","11.16","0.58","5.34","-16"
"CIA","117.4","1.02","0.91","2.6"
"CIO",NA,"0.97","0.9","-3.8"
"CVEO",NA,"0.4","-39.19","-6.1"
"CCC",NA,"8.13","-7.99","12.9"
"CLH","32.89","2.64","8.21","-18.3"
"CCO",NA,NA,NA,"-54.9"
"CLW","27.78","1.41","5.32","6.3"
"CWEN","63.25","3.2","-2.05","15.8"
"CLF","126.83","3.83","-0.26","47"
"CLPR",NA,"2.11","-6.53","8"
"CLX","29.21","29.84","128.02","21.9"
"CLDR",NA,"2.32","-16.56","9"
"NET",NA,"21.51","-25.03","47.9"
"CMS","24.53","3.56","14.89","-0.1"
"CNA","17.34","0.7","3.96","6"
"CNF","8.51","0.42","5.71","-38.1"
"CNHI","11.22","1.96","18.63","-26.3"
"CNO","7.45","0.55","8.48","3.5"
"CEO","6.94","0.65","9.43","-31.8"
"CNX","5.47","0.63","-11","-45.2"
"KOF","2.17k","1.53","8.37","-10.2"
"KO","23.6","12.29","46.64","-28.5"
"CCEP","21.33","2.54","11.64","-16.6"
"CDE",NA,"2.96","-39.77","-4.9"
"CNS","24.07","13.3","41.59","-7.6"
"CFX","111.1","1.14","1.32","-31.7"
"CL","26.66","255.01","756.79","0.8"
"CLNY",NA,"0.87","-51.93","-49.4"
"CLNC",NA,"0.4","-29.48","-26.6"
"CXP","122.8","0.51","-1.15","9.1"
"CMA","10.07","0.78","8.05","-28.3"
"FIX","16.25","3.25","21.97","14.3"
"CMC","9.36","1.37","17.62","-16.5"
"CBU","19.14","1.48","8.09","-8.5"
"CYH",NA,NA,NA,"-23.7"
"CHCT","83.36","2.84","4.05","27.7"
"CIG","8.29","1.11","5.48","-15.4"
"CBD","46.42","1.46","3.85","58.7"
"SBS","15.79","1.48","9.49","10.9"
"ELP","5.59","0.92","18","27.3"
"CCU","19.45","1.36","7.37","-15.6"
"CODI",NA,"1.47","-2.23","-0.7"
"CMP","22.19","6.12","22.16","4.4"
"CRK","141.75","1","5.15","41.5"
"CAG","18.67","2.28","12.69","12.1"
"CXO",NA,"1.23","-74.38","-58.2"
"CCM",NA,"3.82","-14.02","-16.6"
"CNMD","74.85","3.49","0.06","-33.8"
"COP","16.45","1.15","7.37","-65.2"
"CCR","9.93","0.44","3.98","-62.3"
"CEIX","34.25","0.25","1","-67.3"
"ED","20.43","1.5","7.77","-0.9"
"STZ","31.73","3.01","9.49","-3.6"
"CSTM","389.13",NA,NA,"-33"
"TCS","228.5","1.75","0.73","-27.6"
"CLR","16.2","0.78","-1.15","-83.8"
"VLRS","6.98","3.63",NA,"-81.7"
"CTRA","0.49","0.33","-74.61","-37.2"
"CTB","28.66","1.53","5.3","-26.9"
"CPS","3.82","0.44","-41.59","-55.5"
"CTK",NA,"10.26","-62.9","236.2"
"CPA","9.53","1.37","-11.78","-97.7"
"CLB","12.08","10.64","-61.49","-31.5"
"CXW","6.51","0.69","10.5","-3.6"
"CLGX","33.83","5.45","16.72","3.9"
"CORR",NA,"2.02","-97.1","-53.7"
"CPLG",NA,"0.36","-27.84","-67.1"
"COR","64.87","47.53","46.83","5.3"
"CNR",NA,"2.95",NA,"-16.3"
"GLW","249.71","2.73","1.58","-12.9"
"CAAP","8.44","0.46","-16.06","-80.2"
"OFC","25.22","1.72","6.93","-17.2"
"CTVA","54.82","1.04","1.88","-6.6"
"CZZ","11.71","3.87","17.48","-17.7"
"CMRE","8.29","0.63","2.12","-4.4"
"COTY",NA,"0.83","-24.04","-73.5"
"CUZ","11.81","0.93","7.58","24.6"
"CVA","190","3.82","-5.46","-2.8"
"CPF","8.8","0.75","8.87","-8.8"
"CR","82.5","2.22","2.43","-19.5"
"BAP","21.15","1.49","6.78","-81.7"
"CS","5.68","0.49","9.27","6.2"
"CPG",NA,"0.33","-77.07","-71.7"
"CEQP","6.65","0.49","1.45","-48.4"
"CRH","19.01","1.7","9.06","-4.9"
"CRT","6.46","4.49","66.91","-32.6"
"CAPL","6.42","4.95","79.86","-37.7"
"CCK","22.9","6.1","29.33","-11.4"
"CRY","498.6","2.43","-3.86","-24.4"
"CTS","39.02","2.07","5.39","-30.2"
"CUBE","42.52","3.84","8.87","3"
"CUB","187.41","2.04","-2.09","-8.4"
"CFR","12.44","1.08","9.38","-11.6"
"CULP","20.12","1.23","-10.8","-8.8"
"CMI","19.72","4.57","19.75","-38.1"
"CURO","3.06","3.56","152.54","-30.9"
"CW","16.28","2.35","15.14","-13.9"
"CWK",NA,"2.49","-12.18","-17.8"
"CUBI","6.13","0.51","8.04","30.7"
"CVI","18.09","1.08","-0.06","-60"
"UAN",NA,"0.24","-26.01","-23.7"
"CVS","9.47","1.15","12.73","3.2"
"CELP","9.04","0.58","18.9","-53.5"
"DHI","14.28","2.59","19.42","9.9"
"DEH",NA,NA,NA,NA
"DAN","27.2","1.31","3.32","-53.3"
"DHR","56.92","4.85","8.6","19.2"
"DAC","1.39","0.22","15.86","4"
"DQ","51.96","5.04","10.39","102.4"
"DRI","17.38","5.42","-7.72","-28.4"
"DAR","17.46","2.68","16.57","2.6"
"DVA","14.46","5.04","23.14","1.3"
"DCP",NA,"0.47","-10.39","-27.6"
"DECK","26.21","6.47","26.97","2.3"
"DE","27.98","5.84","21.58","-11.2"
"DKL","8.24",NA,NA,"-24.3"
"DK","4.61","0.55","-6.76","-38.1"
"DELL","25.51","274.25","58.77","-2.7"
"DAL","4.86","5.95","-114.32","-75.6"
"DLX",NA,"2.24","-46.24","-16.9"
"DEN",NA,"1.06","-50.84","-65.7"
"DBI","17.28","0.97","-48.98","-42.8"
"DESP","186.5","4.64","-46.15",NA
"DB",NA,"0.27","-3.5","-7.6"
"DVN",NA,"1.12","-42.89","-54.4"
"DHX","45.6","0.81","2.14","-9.6"
"DHT","3.04","0.85","28.99","131.6"
"DEO","44.64","9.23","15.64","-23.6"
"DSSI","2.99","0.22","7.32","22.9"
"DRH","27.33","0.55","2.1","-92.1"
"DSX","25.38","0.28","-23.82","-26"
"DKS","20.36","2.84","14.12","20.1"
"DBD",NA,NA,NA,"-22.6"
"DLR","56.36","2.81","5.11","22"
"DDS","11.73","0.75","-6.46","-35.2"
"DIN","13.47",NA,NA,"-51.9"
"DFS","20.66","2.34","9.93","-70.2"
"DMYT",NA,NA,NA,NA
"DMYD",NA,NA,NA,NA
"DLB","28.64","2.87","10.45","-18.3"
"DG","24.1","7.51","33.17","24.4"
"D","124.32","2.56","2.11","-9.7"
"DPZ","38.3",NA,NA,"17.9"
"UFS","112.38","0.65","0.41","-23.2"
"DCI","25.48","6.53","26.96","-15.1"
"DFIN","19.27","1.71","9.43","-1.9"
"LPG","4.2","0.48","12.35","17.9"
"PLOW","20.93","4.42","-37.57","-31.9"
"DEI","13.17","1.76","9.15","-10.8"
"DOV","24.71","5.31","22.34","-17.2"
"DVD","10.54","0.87","-2.12","-99.6"
"DOW",NA,"2.9","-12.17","-24.2"
"RDY","44.89","5.17","12.12","14.9"
"DGNR",NA,NA,NA,NA
"DRD","25.34","4.34","18.87","37.4"
"DRQ","552.2","0.86","-2.63","-12.9"
"DS",NA,"24.36","-159.15","-55.2"
"DTE","18.85","1.96","10.72","-10.6"
"DCO","13.82","1.33","10.38","-18.4"
"DUK","32.61","1.55","4.21","-7.7"
"DRE","38.1","2.89","7.7","0.9"
"DNB",NA,"8.74",NA,"5.4"
"DD",NA,"1.18","-6.28","-11.7"
"DXC",NA,"1.12","-70.86","-7.9"
"DY","120.56","2.42","2.04","-6.8"
"DLNG","36.29","0.28","4.43","10"
"DT",NA,"12.37","-129.23","26.9"
"DX","3.81","0.94","19.71",NA
"ELF","68.32","4.32","6.67","8"
"EXP","30.47","3.63","11.85","15.5"
"ESTE","9.09","0.54","2.58","-51.4"
"DEA","246.78","1.56","0.69","14.7"
"EGP","45.39","4.54","10.84","9.4"
"EMN","20.36","1.94","9.7","-18.6"
"KODK",NA,"0.66","-73.26","-30.6"
"ETN","29.2","3.06","10.11","-30.3"
"EV","24.55","5.56","19.5","-2.4"
"ECL","42.41","9.82","19.83","-15.3"
"EC","9.06","1.51","15.03","-53.9"
"EPC","18.96","1.21","6.41","-20.6"
"EIX","18.44","1.51","7.6","6.2"
"EW","72.72","13.82","20.26","-14.9"
"ELAN","144.89","2.24","-1.71","-25"
"ESTC",NA,"24.04","-42.01","43.7"
"EGO","17.05","0.7","3.76","47.4"
"ESI","41.73","1.44","3.61","-15.3"
"ELVT","3.04","0.67","24.9","-21.5"
"LLY","25.59","36.66","157.61","-2.4"
"EFC","9.5","0.83","-7.67","131.2"
"EARN","7.74","0.88","11.55",NA
"ERJ",NA,"0.3","-23.4","-47"
"EME","25.1","2.01","8.37","-13.3"
"EEX",NA,"0.6","-120.94","-93.2"
"EBS","30.52","4.37","15.57","62.3"
"EMR","21.74","5.31","23.79","-16.4"
"ESRT","46.07","1.73","2.38","-20.4"
