Date,High,Low,Open,Close,Volume,Adj Close
2019-08-21,2.7899999618530273,2.6600000858306885,2.6700000762939453,2.7799999713897705,331100.0,2.7799999713897705
2019-08-22,2.869999885559082,2.7100000381469727,2.7100000381469727,2.799999952316284,381200.0,2.799999952316284
2019-08-23,2.8299999237060547,2.7100000381469727,2.740000009536743,2.740000009536743,116200.0,2.740000009536743
2019-08-26,2.7699999809265137,2.7200000286102295,2.75,2.75,84400.0,2.75
2019-08-27,2.75,2.619999885559082,2.75,2.630000114440918,88000.0,2.630000114440918
2019-08-28,2.700000047683716,2.559999942779541,2.630000114440918,2.6700000762939453,98700.0,2.6700000762939453
2019-08-29,2.7100000381469727,2.5899999141693115,2.7100000381469727,2.609999895095825,76100.0,2.609999895095825
2019-08-30,2.6700000762939453,2.569999933242798,2.5999999046325684,2.6700000762939453,131100.0,2.6700000762939453
2019-09-03,2.7200000286102295,2.630000114440918,2.640000104904175,2.6700000762939453,65400.0,2.6700000762939453
2019-09-04,3.2300000190734863,2.7300000190734863,2.819999933242798,3.059999942779541,2981300.0,3.059999942779541
2019-09-05,3.109999895095825,2.930000066757202,3.059999942779541,2.990000009536743,432800.0,2.990000009536743
2019-09-06,3.069999933242798,2.9100000858306885,3.0,3.0199999809265137,148900.0,3.0199999809265137
2019-09-09,3.359999895095825,3.0199999809265137,3.049999952316284,3.2899999618530273,524200.0,3.2899999618530273
2019-09-10,3.380000114440918,3.119999885559082,3.299999952316284,3.180000066757202,405700.0,3.180000066757202
2019-09-11,3.4100000858306885,3.130000114440918,3.1600000858306885,3.3499999046325684,258400.0,3.3499999046325684
2019-09-12,3.390000104904175,3.259999990463257,3.309999942779541,3.259999990463257,132200.0,3.259999990463257
2019-09-13,3.390000104904175,3.259999990463257,3.299999952316284,3.359999895095825,207800.0,3.359999895095825
2019-09-16,3.5199999809265137,3.25,3.430000066757202,3.3499999046325684,348100.0,3.3499999046325684
2019-09-17,3.359999895095825,3.2699999809265137,3.3499999046325684,3.2799999713897705,117600.0,3.2799999713897705
2019-09-18,3.4800000190734863,3.2799999713897705,3.2799999713897705,3.4600000381469727,128600.0,3.4600000381469727
2019-09-19,3.5,3.319999933242798,3.5,3.440000057220459,187000.0,3.440000057220459
2019-09-20,3.549999952316284,3.4000000953674316,3.440000057220459,3.549999952316284,230900.0,3.549999952316284
2019-09-23,3.5799999237060547,3.4600000381469727,3.549999952316284,3.559999942779541,146900.0,3.559999942779541
2019-09-24,3.5999999046325684,3.4800000190734863,3.559999942779541,3.5299999713897705,123700.0,3.5299999713897705
2019-09-25,3.569999933242798,3.430000066757202,3.490000009536743,3.430000066757202,72800.0,3.430000066757202
2019-09-26,3.4600000381469727,3.2300000190734863,3.4200000762939453,3.390000104904175,157000.0,3.390000104904175
2019-09-27,3.5399999618530273,3.299999952316284,3.3499999046325684,3.440000057220459,92000.0,3.440000057220459
2019-09-30,3.509999990463257,3.2699999809265137,3.4000000953674316,3.3499999046325684,143400.0,3.3499999046325684
2019-10-01,3.4600000381469727,3.0199999809265137,3.380000114440918,3.0299999713897705,317200.0,3.0299999713897705
2019-10-02,3.200000047683716,2.9100000858306885,3.0199999809265137,2.940000057220459,127800.0,2.940000057220459
2019-10-03,3.049999952316284,2.7699999809265137,2.930000066757202,2.9600000381469727,201000.0,2.9600000381469727
