"","date","FRO"
"556","2009-03-18",86.650002
"557","2009-03-19",96.75
"558","2009-03-20",93.5
"559","2009-03-23",102.949997
"560","2009-03-24",99.900002
"561","2009-03-25",100.449997
"562","2009-03-26",99.599998
"563","2009-03-27",96.650002
"564","2009-03-30",87.949997
"565","2009-03-31",86.949997
"566","2009-04-01",87.75
"567","2009-04-02",91.900002
"568","2009-04-03",93.349998
"569","2009-04-06",93.800003
"570","2009-04-07",88
"571","2009-04-08",88.75
"572","2009-04-09",90.349998
"573","2009-04-13",86.349998
"574","2009-04-14",88.300003
"575","2009-04-15",87.650002
"576","2009-04-16",89.949997
"577","2009-04-17",94.949997
"578","2009-04-20",86.25
"579","2009-04-21",91.75
"580","2009-04-22",91.849998
"581","2009-04-23",89.800003
"582","2009-04-24",92.400002
"583","2009-04-27",85.400002
"584","2009-04-28",89.400002
"585","2009-04-29",95.849998
"586","2009-04-30",100.650002
"587","2009-05-01",115.5
"588","2009-05-04",129.75
"589","2009-05-05",118
"590","2009-05-06",123.150002
"591","2009-05-07",118.650002
"592","2009-05-08",124.449997
"593","2009-05-11",114.300003
"594","2009-05-12",112.5
"595","2009-05-13",105.400002
"596","2009-05-14",107.5
"597","2009-05-15",105.75
"598","2009-05-18",109.449997
"599","2009-05-19",110.5
"600","2009-05-20",112.5
"601","2009-05-21",107
"602","2009-05-22",106.25
"603","2009-05-26",108.699997
"604","2009-05-27",114.099998
"605","2009-05-28",118.5
"606","2009-05-29",116.900002
"607","2009-06-01",120.949997
"608","2009-06-02",118.349998
"609","2009-06-03",112.25
"610","2009-06-04",117.449997
"611","2009-06-05",115.099998
"612","2009-06-08",118
"613","2009-06-09",128.350006
"614","2009-06-10",141.899994
"615","2009-06-11",142.25
"616","2009-06-12",137.449997
"617","2009-06-15",130.100006
"618","2009-06-16",127.650002
"619","2009-06-17",125.199997
"620","2009-06-18",126
"621","2009-06-19",133
"622","2009-06-22",120.050003
"623","2009-06-23",121.599998
"624","2009-06-24",124.449997
"625","2009-06-25",124.5
"626","2009-06-26",125.099998
"627","2009-06-29",123.5
"628","2009-06-30",121.800003
"629","2009-07-01",121.900002
"630","2009-07-02",116.849998
"631","2009-07-06",109.699997
"632","2009-07-07",106.25
"633","2009-07-08",102.199997
"634","2009-07-09",99.449997
"635","2009-07-10",103.800003
"636","2009-07-13",103.300003
"637","2009-07-14",103.849998
"638","2009-07-15",110.400002
"639","2009-07-16",110.25
"640","2009-07-17",107.449997
"641","2009-07-20",110.900002
"642","2009-07-21",107.199997
"643","2009-07-22",105.099998
"644","2009-07-23",109.849998
"645","2009-07-24",110.949997
"646","2009-07-27",114.5
"647","2009-07-28",111.400002
"648","2009-07-29",110.099998
"649","2009-07-30",113.349998
"650","2009-07-31",114.349998
"651","2009-08-03",120.699997
"652","2009-08-04",118.599998
"653","2009-08-05",120.599998
"654","2009-08-06",119.75
"655","2009-08-07",119.949997
"656","2009-08-10",117.75
"657","2009-08-11",113.050003
"658","2009-08-12",119.25
"659","2009-08-13",120.900002
"660","2009-08-14",118.300003
"661","2009-08-17",111.800003
"662","2009-08-18",112.900002
"663","2009-08-19",114.300003
"664","2009-08-20",116
"665","2009-08-21",119.150002
"666","2009-08-24",120.25
"667","2009-08-25",124.75
"668","2009-08-26",123
"669","2009-08-27",121.75
"670","2009-08-28",116.300003
"671","2009-08-31",111.349998
"672","2009-09-01",106.25
"673","2009-09-02",105.349998
"674","2009-09-03",107.5
"675","2009-09-04",110.150002
"676","2009-09-08",109.599998
"677","2009-09-09",108.050003
"678","2009-09-10",110.150002
"679","2009-09-11",110.949997
"680","2009-09-14",110.150002
"681","2009-09-15",110.75
"682","2009-09-16",117.449997
"683","2009-09-17",115.550003
"684","2009-09-18",119.599998
"685","2009-09-21",115
"686","2009-09-22",121.25
"687","2009-09-23",119.349998
"688","2009-09-24",115
"689","2009-09-25",114.050003
"690","2009-09-28",115.25
"691","2009-09-29",116.800003
"692","2009-09-30",116.949997
"693","2009-10-01",110.199997
"694","2009-10-02",109.699997
"695","2009-10-05",112.800003
"696","2009-10-06",119.650002
"697","2009-10-07",116.949997
"698","2009-10-08",123.199997
"699","2009-10-09",121.599998
"700","2009-10-12",123.199997
"701","2009-10-13",121.75
"702","2009-10-14",125.199997
"703","2009-10-15",130
"704","2009-10-16",135.350006
"705","2009-10-19",135.050003
"706","2009-10-20",133.199997
"707","2009-10-21",129.850006
"708","2009-10-22",132.600006
"709","2009-10-23",127.599998
"710","2009-10-26",123.5
"711","2009-10-27",118.849998
"712","2009-10-28",113.699997
"713","2009-10-29",123.599998
"714","2009-10-30",116.650002
"715","2009-11-02",115.900002
"716","2009-11-03",116
"717","2009-11-04",118.050003
"718","2009-11-05",120.75
"719","2009-11-06",117.25
"720","2009-11-09",120.199997
"721","2009-11-10",118.349998
"722","2009-11-11",120.900002
"723","2009-11-12",127.150002
"724","2009-11-13",130.800003
"725","2009-11-16",138.100006
"726","2009-11-17",135.050003
"727","2009-11-18",140.75
"728","2009-11-19",136.199997
"729","2009-11-20",133.149994
"730","2009-11-23",132.5
"731","2009-11-24",133.699997
"732","2009-11-25",134.949997
"733","2009-11-27",133.300003
"734","2009-11-30",135.850006
"735","2009-12-01",139.550003
"736","2009-12-02",141.199997
"737","2009-12-03",142.75
"738","2009-12-04",142.050003
"739","2009-12-07",137.5
"740","2009-12-08",136.75
"741","2009-12-09",133.300003
"742","2009-12-10",135.649994
"743","2009-12-11",140.149994
"744","2009-12-14",142.800003
"745","2009-12-15",142.449997
"746","2009-12-16",148.800003
