"","date","QK"
"139","2020-05-26",12
"140","2020-05-27",12
"141","2020-05-28",12
"142","2020-05-29",11.5
"143","2020-06-01",12
"144","2020-06-02",12
"145","2020-06-03",12
"146","2020-06-04",11.654
"147","2020-06-05",12
"148","2020-06-08",12
"149","2020-06-09",11.97
"150","2020-06-10",11.5
"151","2020-06-11",11.5
"152","2020-06-12",11.5
"153","2020-06-15",10.65
"154","2020-06-16",11
"155","2020-06-17",11
"156","2020-06-18",11
"157","2020-06-19",10.91
"158","2020-06-22",10.735
"159","2020-06-23",10.735
"160","2020-06-24",10.74
"161","2020-06-25",10.15
"162","2020-06-26",10.288
"163","2020-06-29",10.577
"164","2020-06-30",11
"165","2020-07-01",10.645
"166","2020-07-02",9.435
"167","2020-07-06",10.501
"168","2020-07-07",9.937
"169","2020-07-08",9.335
"170","2020-07-09",9.615
"171","2020-07-10",10
"172","2020-07-13",10.73
"173","2020-07-14",10.213
"174","2020-07-15",9.5
"175","2020-07-16",9.09
"176","2020-07-17",8.954
"177","2020-07-20",9.45
"178","2020-07-21",9.2
"179","2020-07-22",9.52
"180","2020-07-23",9.21
"181","2020-07-24",9.15
"182","2020-07-27",9.09
"183","2020-07-28",9.89
"184","2020-07-29",9.83
"185","2020-07-30",9.9
"186","2020-07-31",9.999
"187","2020-08-03",10.087
"188","2020-08-04",10
"189","2020-08-05",9.97
"190","2020-08-06",9.78
"191","2020-08-07",9.92
"192","2020-08-10",9.66
"193","2020-08-11",9.25
"194","2020-08-12",9.02
"195","2020-08-13",9.39
"196","2020-08-14",9
"197","2020-08-17",8.99
"198","2020-08-18",8.97
"199","2020-08-19",9.1
"200","2020-08-20",8.97
"201","2020-08-21",8.95
"202","2020-08-24",9.1
"203","2020-08-25",9.09
"204","2020-08-26",9.08
"205","2020-08-27",9.08
"206","2020-08-28",9.08
"207","2020-08-31",8.5
"208","2020-09-01",8.79
"209","2020-09-02",8.57
"210","2020-09-03",8.39
"211","2020-09-04",8.45
"212","2020-09-08",8.19
"213","2020-09-09",8.16
"214","2020-09-10",7.7
"215","2020-09-11",7.47
"216","2020-09-14",7.5
"217","2020-09-15",7.5
"218","2020-09-16",7.5
"219","2020-09-17",7.5
"220","2020-09-18",7.25
"221","2020-09-21",7.25
"222","2020-09-22",6.165
"223","2020-09-23",6.35
"224","2020-09-24",6.297
"225","2020-09-25",6.45
"226","2020-09-28",6.15
"227","2020-09-29",6.36
"228","2020-09-30",6.43
"229","2020-10-01",6.5
"230","2020-10-02",6.54
"231","2020-10-05",6.642
"232","2020-10-06",6.655
"233","2020-10-07",6.66
"234","2020-10-08",6.4
"235","2020-10-09",6.2
"236","2020-10-12",6.18
"237","2020-10-13",6.03
"238","2020-10-14",5.27
"239","2020-10-15",4.76
"240","2020-10-16",4.52
"241","2020-10-19",4.6
"242","2020-10-20",4.53
"243","2020-10-21",4.451
"244","2020-10-22",4.2
"245","2020-10-23",4.155
"246","2020-10-26",4.14
"247","2020-10-27",4.27
"248","2020-10-28",4.25
"249","2020-10-29",4.25
"250","2020-10-30",4
"251","2020-11-02",3.64
"252","2020-11-03",3.64
"253","2020-11-04",3.7
"254","2020-11-05",3.54
"255","2020-11-06",3.44
"256","2020-11-09",3.35
"257","2020-11-10",3.454
"258","2020-11-11",3.387
"259","2020-11-12",3.913
"260","2020-11-13",3.944
"261","2020-11-16",3.92
"262","2020-11-17",3.7
"263","2020-11-18",4.18
"264","2020-11-19",3.82
"265","2020-11-20",3.76
"266","2020-11-23",3.7
"267","2020-11-24",3.61
"268","2020-11-25",3.7
"269","2020-11-27",3.7
