"","date","TUSK"
"432","2018-07-03",34.43
"433","2018-07-05",34.41
"434","2018-07-06",36.849998
"435","2018-07-09",37.98
"436","2018-07-10",37.830002
"437","2018-07-11",35.950001
"438","2018-07-12",36.290001
"439","2018-07-13",36.259998
"440","2018-07-16",36.369999
"441","2018-07-17",37.189999
"442","2018-07-18",37.439999
"443","2018-07-19",36.849998
"444","2018-07-20",37.32
"445","2018-07-23",37.299999
"446","2018-07-24",36.34
"447","2018-07-25",35.779999
"448","2018-07-26",35.709999
"449","2018-07-27",36.32
"450","2018-07-30",36.259998
"451","2018-07-31",37.220001
"452","2018-08-01",37.549999
"453","2018-08-02",38.209999
"454","2018-08-03",36.529999
"455","2018-08-06",36.84
"456","2018-08-07",37.869999
"457","2018-08-08",39.82
"458","2018-08-09",37.950001
"459","2018-08-10",38.23
"460","2018-08-13",36.419998
"461","2018-08-14",35.27
"462","2018-08-15",32.259998
"463","2018-08-16",32.509998
"464","2018-08-17",32.470001
"465","2018-08-20",32.57
"466","2018-08-21",32.950001
"467","2018-08-22",34.18
"468","2018-08-23",34.119999
"469","2018-08-24",29
"470","2018-08-27",29.440001
"471","2018-08-28",29.68
"472","2018-08-29",28.889999
"473","2018-08-30",27.76
"474","2018-08-31",27.48
"475","2018-09-04",27.120001
"476","2018-09-05",26.43
"477","2018-09-06",25.9
"478","2018-09-07",26.48
"479","2018-09-10",27.09
"480","2018-09-11",27.93
"481","2018-09-12",28.18
"482","2018-09-13",28.25
"483","2018-09-14",28.540001
"484","2018-09-17",27.77
"485","2018-09-18",28.33
"486","2018-09-19",28.48
"487","2018-09-20",28.780001
"488","2018-09-21",29.18
"489","2018-09-24",29.26
"490","2018-09-25",29.379999
"491","2018-09-26",28.370001
"492","2018-09-27",28.68
"493","2018-09-28",29.1
"494","2018-10-01",30.030001
"495","2018-10-02",29.92
"496","2018-10-03",29.48
"497","2018-10-04",29.24
"498","2018-10-05",29.4
"499","2018-10-08",29.620001
"500","2018-10-09",29
"501","2018-10-10",28.25
"502","2018-10-11",27.43
"503","2018-10-12",27.799999
"504","2018-10-15",27.799999
"505","2018-10-16",29.110001
"506","2018-10-17",28.709999
"507","2018-10-18",26.360001
"508","2018-10-19",27.110001
"509","2018-10-22",26.77
"510","2018-10-23",25.9
"511","2018-10-24",24.17
"512","2018-10-25",24.98
"513","2018-10-26",25.799999
"514","2018-10-29",24.73
"515","2018-10-30",25.98
"516","2018-10-31",24.959999
"517","2018-11-01",25.950001
"518","2018-11-02",26.959999
"519","2018-11-05",26.32
"520","2018-11-06",27.16
"521","2018-11-07",27.969999
"522","2018-11-08",26.68
"523","2018-11-09",26.190001
"524","2018-11-12",25.82
"525","2018-11-13",24.809999
"526","2018-11-14",24.5
"527","2018-11-15",25.23
"528","2018-11-16",25.48
"529","2018-11-19",25.4
"530","2018-11-20",23.84
"531","2018-11-21",24.790001
"532","2018-11-23",24.450001
"533","2018-11-26",24.57
"534","2018-11-27",25.15
"535","2018-11-28",25.360001
"536","2018-11-29",25.08
"537","2018-11-30",25.16
"538","2018-12-03",25.59
"539","2018-12-04",23.879999
"540","2018-12-06",21.49
