"","date","LEDS"
"349","2012-04-27",38
"350","2012-04-30",36.5
"351","2012-05-01",37.799999
"352","2012-05-02",37.299999
"353","2012-05-03",36.299999
"354","2012-05-04",33.799999
"355","2012-05-07",34.400002
"356","2012-05-08",33.700001
"357","2012-05-09",33.700001
"358","2012-05-10",34.299999
"359","2012-05-11",34.599998
"360","2012-05-14",33.299999
"361","2012-05-15",35.099998
"362","2012-05-16",34.5
"363","2012-05-17",33.599998
"364","2012-05-18",33.700001
"365","2012-05-21",34.799999
"366","2012-05-22",34.299999
"367","2012-05-23",34.5
"368","2012-05-24",33
"369","2012-05-25",31.4
"370","2012-05-29",31.700001
"371","2012-05-30",33.099998
"372","2012-05-31",31.799999
"373","2012-06-01",30.6
"374","2012-06-04",30.1
"375","2012-06-05",31.299999
"376","2012-06-06",31.799999
"377","2012-06-07",31.5
"378","2012-06-08",31.1
"379","2012-06-11",30.200001
"380","2012-06-12",29.5
"381","2012-06-13",27.200001
"382","2012-06-14",27
"383","2012-06-15",28.200001
"384","2012-06-18",27.6
"385","2012-06-19",26.700001
"386","2012-06-20",26.799999
"387","2012-06-21",26.9
"388","2012-06-22",26.799999
"389","2012-06-25",27.5
"390","2012-06-26",26
"391","2012-06-27",28.1
"392","2012-06-28",30.200001
"393","2012-06-29",30.9
"394","2012-07-02",30.299999
"395","2012-07-03",30.1
"396","2012-07-05",28.700001
"397","2012-07-06",28.299999
"398","2012-07-09",27.799999
"399","2012-07-10",26.299999
"400","2012-07-11",25
"401","2012-07-12",24.4
"402","2012-07-13",23.200001
"403","2012-07-16",23.1
"404","2012-07-17",22.700001
"405","2012-07-18",23
"406","2012-07-19",24.1
"407","2012-07-20",23.200001
"408","2012-07-23",22.299999
"409","2012-07-24",22.200001
"410","2012-07-25",21.4
"411","2012-07-26",23.4
"412","2012-07-27",22.799999
"413","2012-07-30",23
"414","2012-07-31",23.700001
"415","2012-08-01",24.6
"416","2012-08-02",25.4
"417","2012-08-03",24.1
"418","2012-08-06",24.700001
"419","2012-08-07",24.700001
"420","2012-08-08",23.299999
"421","2012-08-09",22.5
"422","2012-08-10",23.4
"423","2012-08-13",22.5
"424","2012-08-14",20.299999
"425","2012-08-15",20.299999
"426","2012-08-16",20.4
"427","2012-08-17",20.799999
"428","2012-08-20",20.1
"429","2012-08-21",20.4
"430","2012-08-22",20.4
"431","2012-08-23",23.700001
"432","2012-08-24",23
"433","2012-08-27",21.9
"434","2012-08-28",22.4
"435","2012-08-29",20.9
"436","2012-08-30",19.700001
"437","2012-08-31",20.200001
"438","2012-09-04",19.6
"439","2012-09-05",18.4
"440","2012-09-06",18.799999
"441","2012-09-07",18.5
"442","2012-09-10",19.5
"443","2012-09-11",21.9
"444","2012-09-12",21.4
"445","2012-09-13",20.9
"446","2012-09-14",20.4
"447","2012-09-17",19.5
"448","2012-09-18",19.4
"449","2012-09-19",19
"450","2012-09-20",19
"451","2012-09-21",19.1
"452","2012-09-24",19.200001
"453","2012-09-25",18.5
"454","2012-09-26",18.1
"455","2012-09-27",17.200001
"456","2012-09-28",17.200001
"457","2012-10-01",18.200001
"458","2012-10-02",17.6
"459","2012-10-03",17.299999
"460","2012-10-04",18.200001
"461","2012-10-05",18.200001
"462","2012-10-08",17.9
"463","2012-10-09",17.200001
"464","2012-10-10",16.700001
"465","2012-10-11",17.1
"466","2012-10-12",16.200001
"467","2012-10-15",15.6
"468","2012-10-16",15.3
"469","2012-10-17",15.1
"470","2012-10-18",13.2
"471","2012-10-19",12.7
"472","2012-10-22",12.2
"473","2012-10-23",12.9
"474","2012-10-24",13.4
"475","2012-10-25",11.8
"476","2012-10-26",12.1
"477","2012-10-31",12.4
"478","2012-11-01",13.4
"479","2012-11-02",13
"480","2012-11-05",13
"481","2012-11-06",13.6
"482","2012-11-07",13.6
"483","2012-11-08",12.8
"484","2012-11-09",13.4
"485","2012-11-12",13
"486","2012-11-13",12
"487","2012-11-14",11.4
"488","2012-11-15",11.4
"489","2012-11-16",11.6
"490","2012-11-19",10.7
"491","2012-11-20",11.6
"492","2012-11-21",11.9
"493","2012-11-23",11.9
"494","2012-11-26",12
"495","2012-11-27",11.8
"496","2012-11-28",11.5
"497","2012-11-29",11.4
"498","2012-11-30",10.7
"499","2012-12-03",11.1
"500","2012-12-04",10
"501","2012-12-05",10
"502","2012-12-06",9.2
"503","2012-12-07",9
"504","2012-12-10",9.9
"505","2012-12-11",10.3
"506","2012-12-12",9.9
"507","2012-12-13",9.9
"508","2012-12-14",9.8
"509","2012-12-17",10.3
"510","2012-12-18",10
"511","2012-12-19",9.6
"512","2012-12-20",10.3
"513","2012-12-21",10
"514","2012-12-24",9.7
"515","2012-12-26",9.1
"516","2012-12-27",9
"517","2012-12-28",8.2
"518","2012-12-31",8.1
"519","2013-01-02",8.8
"520","2013-01-03",8.4
"521","2013-01-04",8.3
"522","2013-01-07",7.9
"523","2013-01-08",8
"524","2013-01-09",7.6
"525","2013-01-10",7.8
"526","2013-01-11",7.7
"527","2013-01-14",7
"528","2013-01-15",6.8
"529","2013-01-16",6.8
"530","2013-01-17",6.6
"531","2013-01-18",6.4
"532","2013-01-22",6.6
"533","2013-01-23",8.2
"534","2013-01-24",7.7
"535","2013-01-25",7.4
"536","2013-01-28",6.9
"537","2013-01-29",7
"538","2013-01-30",6.8
"539","2013-01-31",6.9
"540","2013-02-01",7.4
"541","2013-02-04",7.2
"542","2013-02-05",7
"543","2013-02-06",7.1
"544","2013-02-07",7
"545","2013-02-08",6.6
"546","2013-02-11",6.9
"547","2013-02-12",6.7
"548","2013-02-13",6.6
"549","2013-02-14",6.7
"550","2013-02-15",6.7
"551","2013-02-19",6.9
"552","2013-02-20",6.6
"553","2013-02-21",6.6
"554","2013-02-22",7.3
"555","2013-02-25",8.1
"556","2013-02-26",7.6
"557","2013-02-27",7.7
"558","2013-02-28",7.4
"559","2013-03-01",7.1
"560","2013-03-04",7
"561","2013-03-05",8.5
"562","2013-03-06",8.2
"563","2013-03-07",8.6
"564","2013-03-08",9.8
"565","2013-03-11",9.7
"566","2013-03-12",11.6
"567","2013-03-13",12.2
"568","2013-03-14",11.9
"569","2013-03-15",10.1
"570","2013-03-18",10
"571","2013-03-19",9.6
"572","2013-03-20",10.2
"573","2013-03-21",9.8
"574","2013-03-22",11.2
"575","2013-03-25",12.8
"576","2013-03-26",16.200001
"577","2013-03-27",15
"578","2013-03-28",13.8
"579","2013-04-01",13.2
"580","2013-04-02",14.1
"581","2013-04-03",13
"582","2013-04-04",13.1
"583","2013-04-05",13.3
"584","2013-04-08",12.9
"585","2013-04-09",13.6
"586","2013-04-10",14.3
"587","2013-04-11",11.8
"588","2013-04-12",12.3
"589","2013-04-15",11.5
"590","2013-04-16",12.2
"591","2013-04-17",11.5
"592","2013-04-18",11.2
"593","2013-04-19",11.7
"594","2013-04-22",11.9
"595","2013-04-23",13
"596","2013-04-24",12.2
"597","2013-04-25",14.6
"598","2013-04-26",17.6
"599","2013-04-29",22.4
"600","2013-04-30",20.200001
"601","2013-05-01",16
"602","2013-05-02",16
"603","2013-05-03",15.7
"604","2013-05-06",14.7
"605","2013-05-07",14.5
"606","2013-05-08",13.6
"607","2013-05-09",13.5
"608","2013-05-10",13.2
"609","2013-05-13",15.2
"610","2013-05-14",15
"611","2013-05-15",15.1
"612","2013-05-16",13.7
"613","2013-05-17",13.6
"614","2013-05-20",14.8
"615","2013-05-21",17.4
"616","2013-05-22",15.2
"617","2013-05-23",15.2
"618","2013-05-24",14.8
"619","2013-05-28",15
"620","2013-05-29",15.5
"621","2013-05-30",16.200001
"622","2013-05-31",16.1
"623","2013-06-03",15.7
"624","2013-06-04",16.1
"625","2013-06-05",15.9
"626","2013-06-06",16.4
"627","2013-06-07",17.1
"628","2013-06-10",19.1
"629","2013-06-11",19.6
"630","2013-06-12",17.4
"631","2013-06-13",18.9
"632","2013-06-14",18.4
"633","2013-06-17",18.299999
"634","2013-06-18",17.5
"635","2013-06-19",17.4
"636","2013-06-20",16.5
"637","2013-06-21",17
"638","2013-06-24",15.6
"639","2013-06-25",15.8
"640","2013-06-26",16.799999
"641","2013-06-27",17.1
"642","2013-06-28",17.200001
"643","2013-07-01",17.4
"644","2013-07-02",16.6
"645","2013-07-03",16.5
"646","2013-07-05",15.9
"647","2013-07-08",15.7
"648","2013-07-09",16.6
"649","2013-07-10",16.4
"650","2013-07-11",13.8
"651","2013-07-12",13.3
"652","2013-07-15",12.8
"653","2013-07-16",12.5
"654","2013-07-17",11.4
"655","2013-07-18",11.6
"656","2013-07-19",11.4
"657","2013-07-22",11.4
"658","2013-07-23",11.9
"659","2013-07-24",12.4
"660","2013-07-25",13.1
"661","2013-07-26",12.8
"662","2013-07-29",13.2
"663","2013-07-30",12.7
"664","2013-07-31",12.3
"665","2013-08-01",11.5
"666","2013-08-02",11.2
"667","2013-08-05",11.4
"668","2013-08-06",11.6
"669","2013-08-07",10.5
"670","2013-08-08",8.5
"671","2013-08-09",8.8
"672","2013-08-12",8.6
"673","2013-08-13",8.4
"674","2013-08-14",8
"675","2013-08-15",9
"676","2013-08-16",8.6
"677","2013-08-19",8.6
"678","2013-08-20",8.7
"679","2013-08-21",8.6
"680","2013-08-22",8.5
"681","2013-08-23",8.8
"682","2013-08-26",8.8
"683","2013-08-27",8.7
"684","2013-08-28",8.5
"685","2013-08-29",8.4
"686","2013-08-30",8.6
"687","2013-09-03",8.5
"688","2013-09-04",8.9
"689","2013-09-05",9.3
"690","2013-09-06",9.2
"691","2013-09-09",9.2
"692","2013-09-10",9.1
"693","2013-09-11",9.1
"694","2013-09-12",9.5
"695","2013-09-13",9.4
"696","2013-09-16",9.2
"697","2013-09-17",9.3
"698","2013-09-18",9.4
"699","2013-09-19",9.4
"700","2013-09-20",9.5
"701","2013-09-23",9.6
"702","2013-09-24",10
"703","2013-09-25",10
"704","2013-09-26",11.5
"705","2013-09-27",11.1
"706","2013-09-30",10.8
"707","2013-10-01",12.6
"708","2013-10-02",12.7
"709","2013-10-03",12.6
"710","2013-10-04",13.2
"711","2013-10-07",12.9
"712","2013-10-08",11.8
"713","2013-10-09",11.6
"714","2013-10-10",12.1
"715","2013-10-11",12.1
"716","2013-10-14",12.4
"717","2013-10-15",12.1
"718","2013-10-16",12.9
"719","2013-10-17",13.7
"720","2013-10-18",12.9
"721","2013-10-21",12.6
"722","2013-10-22",12.6
"723","2013-10-23",13
"724","2013-10-24",11.9
"725","2013-10-25",12.1
"726","2013-10-28",12.1
"727","2013-10-29",12
"728","2013-10-30",11.4
"729","2013-10-31",11
"730","2013-11-01",10.6
"731","2013-11-04",11.3
"732","2013-11-05",11.3
"733","2013-11-06",10.9
"734","2013-11-07",10.3
"735","2013-11-08",11.4
"736","2013-11-11",12.3
"737","2013-11-12",11.9
"738","2013-11-13",11.5
"739","2013-11-14",11.8
"740","2013-11-15",11.6
"741","2013-11-18",11.2
"742","2013-11-19",10.2
"743","2013-11-20",10.1
"744","2013-11-21",10.1
"745","2013-11-22",9.6
"746","2013-11-25",9.5
"747","2013-11-26",9.6
"748","2013-11-27",10
"749","2013-11-29",10.6
"750","2013-12-02",10.2
"751","2013-12-03",10.2
"752","2013-12-04",9.8
"753","2013-12-05",9.8
"754","2013-12-06",9.7
"755","2013-12-09",10
"756","2013-12-10",10.2
"757","2013-12-11",9.9
"758","2013-12-12",9.7
"759","2013-12-13",9.8
"760","2013-12-16",10.4
"761","2013-12-17",10
"762","2013-12-18",10
"763","2013-12-19",9.9
"764","2013-12-20",9.9
