"","date","CMCT"
"546","2009-03-04",77.400002
"547","2009-03-05",67.050003
"548","2009-03-06",76.5
"549","2009-03-09",77.099998
"550","2009-03-10",78
"551","2009-03-11",77.25
"552","2009-03-12",75.75
"553","2009-03-13",80.25
"554","2009-03-16",86.550003
"555","2009-03-17",91.5
"556","2009-03-18",84
"557","2009-03-19",83.550003
"558","2009-03-20",79.5
"559","2009-03-23",80.550003
"560","2009-03-24",81
"561","2009-03-25",83.25
"562","2009-03-26",90
"563","2009-03-27",82.5
"564","2009-03-30",79.5
"565","2009-03-31",83.25
"566","2009-04-01",87
"567","2009-04-02",87.75
"568","2009-04-03",88.800003
"569","2009-04-06",84.75
"570","2009-04-07",91.650002
"571","2009-04-08",90.75
"572","2009-04-09",94.5
"573","2009-04-13",102.300003
"574","2009-04-14",105.75
"575","2009-04-15",106.5
"576","2009-04-16",108.900002
"577","2009-04-17",112.349998
"578","2009-04-20",109.5
"579","2009-04-21",110.25
"580","2009-04-22",108
"581","2009-04-23",106.5
"582","2009-04-24",105
"583","2009-04-27",103.650002
"584","2009-04-28",102
"585","2009-04-29",103.5
"586","2009-04-30",106.5
"587","2009-05-01",108.599998
"588","2009-05-04",109.349998
"589","2009-05-05",108
"590","2009-05-06",108
"591","2009-05-07",107.25
"592","2009-05-08",108.75
"593","2009-05-11",104.400002
"594","2009-05-12",106.650002
"595","2009-05-13",105.300003
"596","2009-05-14",104.25
"597","2009-05-15",105
"598","2009-05-18",105.900002
"599","2009-05-19",106.050003
"600","2009-05-20",108.449997
"601","2009-05-21",107.400002
"602","2009-05-22",107.849998
"603","2009-05-26",108
"604","2009-05-27",108
"605","2009-05-28",107.400002
"606","2009-05-29",110.550003
"607","2009-06-01",108.75
"608","2009-06-02",109.650002
"609","2009-06-03",110.849998
"610","2009-06-04",111
"611","2009-06-05",112.5
"612","2009-06-08",122.25
"613","2009-06-09",126
"614","2009-06-10",125.099998
"615","2009-06-11",126.75
"616","2009-06-12",125.25
"617","2009-06-15",117.599998
"618","2009-06-16",111
"619","2009-06-17",108
"620","2009-06-18",110.849998
"621","2009-06-19",115.050003
"622","2009-06-22",109.5
"623","2009-06-23",104.699997
"624","2009-06-24",106.5
"625","2009-06-25",105.75
"626","2009-06-26",83.25
"627","2009-06-29",97.349998
"628","2009-06-30",99.449997
"629","2009-07-01",100.5
"630","2009-07-02",95.25
"631","2009-07-06",94.050003
"632","2009-07-07",97.5
"633","2009-07-08",104.25
"634","2009-07-09",101.25
"635","2009-07-10",102.150002
"636","2009-07-13",108.75
"637","2009-07-14",110.550003
"638","2009-07-15",107.25
"639","2009-07-16",103.650002
"640","2009-07-17",104.25
"641","2009-07-20",109.5
"642","2009-07-21",103.650002
"643","2009-07-22",104.25
"644","2009-07-23",100.800003
"645","2009-07-24",98.400002
"646","2009-07-27",97.5
"647","2009-07-28",100.5
"648","2009-07-29",100.800003
"649","2009-07-30",98.699997
"650","2009-07-31",97.5
"651","2009-08-03",98.099998
"652","2009-08-04",97.5
"653","2009-08-05",102
"654","2009-08-06",103.949997
"655","2009-08-07",104.25
"656","2009-08-10",105
