"","date","KURA"
"91","2016-01-26",5.37
"92","2016-01-27",4.77
"93","2016-01-28",4.67
"94","2016-01-29",4.8
"95","2016-02-01",4.53
"96","2016-02-02",4.51
"97","2016-02-03",4.22
"98","2016-02-04",4
"99","2016-02-05",3.92
"100","2016-02-08",3.69
"101","2016-02-09",3.26
"102","2016-02-10",3.48
"103","2016-02-11",3.41
"104","2016-02-12",3.59
"105","2016-02-16",3.59
"106","2016-02-17",4.01
"107","2016-02-18",4.1
"108","2016-02-19",4.2
"109","2016-02-22",4.71
"110","2016-02-23",4.48
"111","2016-02-24",4.59
"112","2016-02-25",4.85
"113","2016-02-26",4.45
"114","2016-02-29",4.1
"115","2016-03-01",4.15
"116","2016-03-02",4.12
"117","2016-03-03",4.2
"118","2016-03-04",4.58
"119","2016-03-07",4.38
"120","2016-03-08",4.38
"121","2016-03-09",4.37
"122","2016-03-10",4.26
"123","2016-03-11",4.24
"124","2016-03-14",3.82
"125","2016-03-15",4.05
"126","2016-03-16",4.32
"127","2016-03-17",4.45
"128","2016-03-18",4.34
"129","2016-03-21",4.28
"130","2016-03-22",4.31
"131","2016-03-23",3.93
"132","2016-03-24",3.72
"133","2016-03-28",4
"134","2016-03-29",3.63
"135","2016-03-30",3.85
"136","2016-03-31",4.05
"137","2016-04-01",3.55
"138","2016-04-04",3.57
"139","2016-04-05",3.58
"140","2016-04-06",3.62
"141","2016-04-07",3.71
"142","2016-04-08",3.65
"143","2016-04-11",3.73
"144","2016-04-12",3.51
"145","2016-04-13",3.51
"146","2016-04-14",3.49
"147","2016-04-15",3.37
"148","2016-04-18",3.37
"149","2016-04-19",3.3
"150","2016-04-20",3.28
"151","2016-04-21",3.4
"152","2016-04-22",3.33
"153","2016-04-25",3.33
"154","2016-04-26",3.31
"155","2016-04-27",3.25
"156","2016-04-28",3.29
"157","2016-04-29",3.295
"158","2016-05-02",3.17
"159","2016-05-03",3.08
"160","2016-05-04",2.829
"161","2016-05-05",2.79
"162","2016-05-06",2.765
"163","2016-05-09",2.7
"164","2016-05-10",2.81
"165","2016-05-11",3.09
"166","2016-05-12",3.12
"167","2016-05-13",3.09
"168","2016-05-16",3.15
"169","2016-05-17",3.01
"170","2016-05-18",3.06
"171","2016-05-19",3.1
"172","2016-05-20",3.18
"173","2016-05-23",3.17
"174","2016-05-24",3.06
"175","2016-05-25",3.01
"176","2016-05-26",2.93
"177","2016-05-27",3.08
"178","2016-05-31",2.96
"179","2016-06-01",2.94
"180","2016-06-02",2.99
"181","2016-06-03",2.99
"182","2016-06-06",3.09
"183","2016-06-07",3.09
"184","2016-06-08",3.06
"185","2016-06-09",3.07
"186","2016-06-10",2.99
"187","2016-06-13",2.92
"188","2016-06-14",2.88
"189","2016-06-15",2.78
"190","2016-06-16",2.9
"191","2016-06-17",2.83
"192","2016-06-20",2.94
"193","2016-06-21",2.82
"194","2016-06-22",2.65
"195","2016-06-23",2.69
"196","2016-06-24",2.7
"197","2016-06-27",2.69
"198","2016-06-28",2.83
"199","2016-06-29",2.89
"200","2016-06-30",2.71
"201","2016-07-01",2.68
"202","2016-07-05",2.57
"203","2016-07-06",2.6
"204","2016-07-07",2.74
"205","2016-07-08",2.89
"206","2016-07-11",3.13
"207","2016-07-12",3.3
"208","2016-07-13",3.72
"209","2016-07-14",5.26
"210","2016-07-15",5.19
"211","2016-07-18",4.39
"212","2016-07-19",4.15
"213","2016-07-20",4.35
"214","2016-07-21",4.38
"215","2016-07-22",4.32
"216","2016-07-25",4.28
"217","2016-07-26",4.09
"218","2016-07-27",3.91
"219","2016-07-28",3.96
"220","2016-07-29",4.108
"221","2016-08-01",4.309
"222","2016-08-02",4
"223","2016-08-03",4.08
"224","2016-08-04",4.06
"225","2016-08-05",4.11
"226","2016-08-08",4.04
"227","2016-08-09",4.28
"228","2016-08-10",4.36
"229","2016-08-11",5.24
"230","2016-08-12",5.16
"231","2016-08-15",5.14
"232","2016-08-16",5.16
"233","2016-08-17",5.04
"234","2016-08-18",5.04
"235","2016-08-19",5.14
"236","2016-08-22",5.08
"237","2016-08-23",5.49
"238","2016-08-24",5.23
"239","2016-08-25",5.18
"240","2016-08-26",5.21
"241","2016-08-29",5.34
"242","2016-08-30",5.88
"243","2016-08-31",5.77
"244","2016-09-01",5.95
"245","2016-09-02",5.91
"246","2016-09-06",6.14
"247","2016-09-07",6.44
"248","2016-09-08",6.39
"249","2016-09-09",6.14
"250","2016-09-12",6.11
"251","2016-09-13",6.01
"252","2016-09-14",6.12
"253","2016-09-15",6.15
"254","2016-09-16",6.94
"255","2016-09-19",6.99
"256","2016-09-20",6.91
"257","2016-09-21",7.16
"258","2016-09-22",7.05
"259","2016-09-23",7
"260","2016-09-26",6.82
"261","2016-09-27",6.67
"262","2016-09-28",6.58
"263","2016-09-29",6.16
"264","2016-09-30",6.25
"265","2016-10-03",6.2
"266","2016-10-04",6.06
"267","2016-10-05",5.94
"268","2016-10-06",5.74
"269","2016-10-07",5.37
"270","2016-10-10",5.71
"271","2016-10-11",5.56
"272","2016-10-12",5.6
"273","2016-10-13",5.76
"274","2016-10-14",5.57
"275","2016-10-17",5.25
"276","2016-10-18",5.35
"277","2016-10-19",5.45
"278","2016-10-20",5.3
"279","2016-10-21",5.4
"280","2016-10-24",5.45
"281","2016-10-25",5.35
"282","2016-10-26",4.85
"283","2016-10-27",4.8
"284","2016-10-28",4.35
"285","2016-10-31",4.05
"286","2016-11-01",4.1
"287","2016-11-02",4.2
"288","2016-11-03",4.05
"289","2016-11-04",4.15
"290","2016-11-07",4.25
"291","2016-11-08",4.4
"292","2016-11-09",4.85
"293","2016-11-10",5.1
"294","2016-11-11",5.2
"295","2016-11-14",5.45
"296","2016-11-15",5.65
"297","2016-11-16",5.6
"298","2016-11-17",5.6
"299","2016-11-18",5.35
"300","2016-11-21",5.5
"301","2016-11-22",5.15
"302","2016-11-23",5.5
"303","2016-11-25",5.35
"304","2016-11-28",5.05
"305","2016-11-29",5.1
"306","2016-11-30",4.85
"307","2016-12-01",5.55
"308","2016-12-02",5.15
"309","2016-12-05",4.95
"310","2016-12-06",5.1
"311","2016-12-07",5.3
"312","2016-12-08",5.2
"313","2016-12-09",5.45
"314","2016-12-12",5.5
"315","2016-12-13",5.8
"316","2016-12-14",5.6
"317","2016-12-15",5.8
"318","2016-12-16",5.8
"319","2016-12-19",5.9
"320","2016-12-20",6
"321","2016-12-21",6.15
"322","2016-12-22",6.2
"323","2016-12-23",6.25
"324","2016-12-27",6.3
"325","2016-12-28",6.2
"326","2016-12-29",6.1
"327","2016-12-30",5.9
"328","2017-01-03",5.6
"329","2017-01-04",6.1
"330","2017-01-05",6.3
"331","2017-01-06",6.15
"332","2017-01-09",6.25
"333","2017-01-10",6.3
"334","2017-01-11",6.3
"335","2017-01-12",6.3
"336","2017-01-13",6.2
"337","2017-01-17",6.2
"338","2017-01-18",6.05
"339","2017-01-19",6.3
"340","2017-01-20",6.15
"341","2017-01-23",6.15
"342","2017-01-24",6.3
"343","2017-01-25",6.35
"344","2017-01-26",6.3
"345","2017-01-27",6.35
"346","2017-01-30",5.95
"347","2017-01-31",6.25
"348","2017-02-01",6.35
"349","2017-02-02",6.2
"350","2017-02-03",6.05
"351","2017-02-06",6.2
"352","2017-02-07",6.2
"353","2017-02-08",6.55
"354","2017-02-09",6.65
"355","2017-02-10",6.65
"356","2017-02-13",6.55
"357","2017-02-14",6.6
"358","2017-02-15",6.6
"359","2017-02-16",7.05
"360","2017-02-17",7.2
"361","2017-02-21",6.95
"362","2017-02-22",6.502
"363","2017-02-23",6.6
"364","2017-02-24",6.45
"365","2017-02-27",7.6
"366","2017-02-28",8.35
"367","2017-03-01",9.25
"368","2017-03-02",9.05
"369","2017-03-03",10
"370","2017-03-06",7.3
"371","2017-03-07",9.55
"372","2017-03-08",8.85
"373","2017-03-09",9.3
"374","2017-03-10",8.85
"375","2017-03-13",9.45
"376","2017-03-14",9.4
"377","2017-03-15",8.65
"378","2017-03-16",8.9
"379","2017-03-17",8.85
"380","2017-03-20",8.75
"381","2017-03-21",8.45
"382","2017-03-22",8.55
"383","2017-03-23",8.7
"384","2017-03-24",8.6
"385","2017-03-27",8.6
"386","2017-03-28",8.55
"387","2017-03-29",8.5
"388","2017-03-30",8.65
"389","2017-03-31",8.8
"390","2017-04-03",8.8
"391","2017-04-04",8.7
"392","2017-04-05",8.5
"393","2017-04-06",9.2
"394","2017-04-07",9.45
"395","2017-04-10",10.2
"396","2017-04-11",10.1
"397","2017-04-12",10
"398","2017-04-13",10.1
"399","2017-04-17",9.9
"400","2017-04-18",9.9
"401","2017-04-19",10.3
"402","2017-04-20",10.4
"403","2017-04-21",10.4
"404","2017-04-24",10.45
"405","2017-04-25",11.2
"406","2017-04-26",11.1
"407","2017-04-27",10.7
"408","2017-04-28",9.95
"409","2017-05-01",10.5
"410","2017-05-02",10.45
"411","2017-05-03",10.35
"412","2017-05-04",10.3
"413","2017-05-05",9.35
"414","2017-05-08",8.95
"415","2017-05-09",8.85
"416","2017-05-10",8.3
"417","2017-05-11",8.45
"418","2017-05-12",9
"419","2017-05-15",9
"420","2017-05-16",9
"421","2017-05-17",8.95
"422","2017-05-18",9.15
"423","2017-05-19",9.25
"424","2017-05-22",9.35
"425","2017-05-23",9.45
"426","2017-05-24",9.35
"427","2017-05-25",9.4
"428","2017-05-26",9.2
"429","2017-05-30",8.9
"430","2017-05-31",8.9
"431","2017-06-01",8.65
"432","2017-06-02",8.3
"433","2017-06-05",7.65
"434","2017-06-06",8.2
"435","2017-06-07",8.5
"436","2017-06-08",8.35
"437","2017-06-09",8.6
"438","2017-06-12",8.1
"439","2017-06-13",8.35
"440","2017-06-14",7.75
"441","2017-06-15",7.95
"442","2017-06-16",7.95
"443","2017-06-19",7.1
"444","2017-06-20",7.3
"445","2017-06-21",7.1
"446","2017-06-22",7.9
"447","2017-06-23",7.85
"448","2017-06-26",8.55
"449","2017-06-27",8.6
"450","2017-06-28",8.8
"451","2017-06-29",8.8
"452","2017-06-30",9.3
"453","2017-07-03",9.35
"454","2017-07-05",8.85
"455","2017-07-06",9.1
"456","2017-07-07",9.5
"457","2017-07-10",9.3
"458","2017-07-11",8.95
"459","2017-07-12",9.25
"460","2017-07-13",9.5
"461","2017-07-14",9.05
"462","2017-07-17",9.2
"463","2017-07-18",9.55
"464","2017-07-19",9.65
"465","2017-07-20",9.45
"466","2017-07-21",9.3
"467","2017-07-24",9.4
"468","2017-07-25",9.3
"469","2017-07-26",9.45
"470","2017-07-27",9.3
"471","2017-07-28",9.5
"472","2017-07-31",9.05
"473","2017-08-01",9.1
"474","2017-08-02",9.15
"475","2017-08-03",9.5
"476","2017-08-04",10.35
"477","2017-08-07",10.35
"478","2017-08-08",9
"479","2017-08-09",9.1
"480","2017-08-10",6.55
"481","2017-08-11",6.4
"482","2017-08-14",6.35
"483","2017-08-15",6.05
"484","2017-08-16",6.5
"485","2017-08-17",6.45
"486","2017-08-18",6.25
"487","2017-08-21",6.6
"488","2017-08-22",6.5
"489","2017-08-23",6.7
"490","2017-08-24",6.85
"491","2017-08-25",7
"492","2017-08-28",7.3
"493","2017-08-29",7.3
"494","2017-08-30",7.15
"495","2017-08-31",7.2
"496","2017-09-01",7.1
"497","2017-09-05",7.35
"498","2017-09-06",6.95
"499","2017-09-07",6.85
"500","2017-09-08",11.8
"501","2017-09-11",11.65
"502","2017-09-12",11.1
"503","2017-09-13",11.65
"504","2017-09-14",13.25
"505","2017-09-15",12.95
"506","2017-09-18",12.85
"507","2017-09-19",12.5
"508","2017-09-20",12.55
"509","2017-09-21",12.4
"510","2017-09-22",12
"511","2017-09-25",13
"512","2017-09-26",13.2
"513","2017-09-27",13.05
"514","2017-09-28",14.45
"515","2017-09-29",14.95
"516","2017-10-02",14.75
"517","2017-10-03",13.95
"518","2017-10-04",14.1
"519","2017-10-05",14
"520","2017-10-06",14
"521","2017-10-09",13.9
"522","2017-10-10",13.95
"523","2017-10-11",14.35
"524","2017-10-12",14.05
"525","2017-10-13",13.6
"526","2017-10-16",14.1
"527","2017-10-17",14.1
"528","2017-10-18",14
"529","2017-10-19",14.4
"530","2017-10-20",14.1
"531","2017-10-23",14
"532","2017-10-24",14
"533","2017-10-25",14.15
"534","2017-10-26",14
"535","2017-10-27",13.85
"536","2017-10-30",14.375
"537","2017-10-31",14.9
"538","2017-11-01",15
"539","2017-11-02",14.95
"540","2017-11-03",14.95
"541","2017-11-06",14.8
"542","2017-11-07",14
"543","2017-11-08",13.85
"544","2017-11-09",15.1
"545","2017-11-10",16.450001
"546","2017-11-13",15.95
"547","2017-11-14",15.1
"548","2017-11-15",15.25
"549","2017-11-16",15.55
"550","2017-11-17",15.75
"551","2017-11-20",15.45
"552","2017-11-21",15.3
"553","2017-11-22",15.9
"554","2017-11-24",16.549999
"555","2017-11-27",16.65
"556","2017-11-28",16.299999
"557","2017-11-29",16
"558","2017-11-30",16.049999
"559","2017-12-01",15.35
"560","2017-12-04",14.95
"561","2017-12-05",14.2
"562","2017-12-06",14.15
"563","2017-12-07",14.15
"564","2017-12-08",14.9
"565","2017-12-11",13.85
"566","2017-12-12",13.5
"567","2017-12-13",13.9
"568","2017-12-14",13.75
"569","2017-12-15",13.65
"570","2017-12-18",14.25
"571","2017-12-19",14.1
"572","2017-12-20",14.3
"573","2017-12-21",15.25
"574","2017-12-22",15.55
"575","2017-12-26",15.75
"576","2017-12-27",16
"577","2017-12-28",16
"578","2017-12-29",15.3
"579","2018-01-02",15.45
"580","2018-01-03",15.5
"581","2018-01-04",15.1
"582","2018-01-05",14.95
"583","2018-01-08",14.5
"584","2018-01-09",15.05
"585","2018-01-10",15.2
"586","2018-01-11",15.65
"587","2018-01-12",16.049999
"588","2018-01-16",16.6
"589","2018-01-17",16.85
"590","2018-01-18",16.85
"591","2018-01-19",17.799999
"592","2018-01-22",17.450001
"593","2018-01-23",18.049999
"594","2018-01-24",20
"595","2018-01-25",19.75
"596","2018-01-26",19.950001
"597","2018-01-29",19.65
"598","2018-01-30",19.35
"599","2018-01-31",19.6
"600","2018-02-01",19.950001
"601","2018-02-02",19.799999
"602","2018-02-05",18.799999
"603","2018-02-06",18.549999
"604","2018-02-07",18.450001
"605","2018-02-08",18.4
"606","2018-02-09",19
"607","2018-02-12",18.5
"608","2018-02-13",18.85
"609","2018-02-14",18.85
"610","2018-02-15",21.049999
"611","2018-02-16",22.75
"612","2018-02-20",22.200001
"613","2018-02-21",22.5
"614","2018-02-22",22.15
"615","2018-02-23",22.75
"616","2018-02-26",22.65
"617","2018-02-27",22.35
"618","2018-02-28",22.6
"619","2018-03-01",22.5
"620","2018-03-02",23.4
"621","2018-03-05",22.4
"622","2018-03-06",22.4
"623","2018-03-07",23
"624","2018-03-08",22.4
"625","2018-03-09",22.9
"626","2018-03-12",23.25
"627","2018-03-13",22.6
"628","2018-03-14",20.6
"629","2018-03-15",19.950001
"630","2018-03-16",19.799999
"631","2018-03-19",20
"632","2018-03-20",19.65
"633","2018-03-21",20.35
"634","2018-03-22",19.1
"635","2018-03-23",18.450001
"636","2018-03-26",19.4
"637","2018-03-27",18.6
"638","2018-03-28",18.4
"639","2018-03-29",18.75
"640","2018-04-02",17.9
"641","2018-04-03",17.85
"642","2018-04-04",18.35
"643","2018-04-05",17.65
"644","2018-04-06",16.700001
"645","2018-04-09",17.299999
"646","2018-04-10",17.4
"647","2018-04-11",17.450001
"648","2018-04-12",17.799999
"649","2018-04-13",17.35
"650","2018-04-16",16.950001
"651","2018-04-17",17.9
"652","2018-04-18",17.450001
"653","2018-04-19",16.799999
"654","2018-04-20",16.4
"655","2018-04-23",15.6
"656","2018-04-24",15.1
"657","2018-04-25",14.8
"658","2018-04-26",15.55
"659","2018-04-27",15.8
"660","2018-04-30",15.15
"661","2018-05-01",15.4
"662","2018-05-02",15.85
"663","2018-05-03",15.35
"664","2018-05-04",15.4
"665","2018-05-07",15.8
"666","2018-05-08",16.049999
"667","2018-05-09",15.7
"668","2018-05-10",15.6
"669","2018-05-11",16.549999
"670","2018-05-14",17
"671","2018-05-15",16.15
"672","2018-05-16",17.200001
"673","2018-05-17",17.049999
"674","2018-05-18",16.9
"675","2018-05-21",16.85
"676","2018-05-22",17
"677","2018-05-23",17.5
"678","2018-05-24",17.200001
"679","2018-05-25",17.049999
"680","2018-05-29",16.25
"681","2018-05-30",16.5
"682","2018-05-31",16.65
"683","2018-06-01",16.1
"684","2018-06-04",15.95
"685","2018-06-05",16.200001
"686","2018-06-06",16.35
"687","2018-06-07",16.35
"688","2018-06-08",17.35
"689","2018-06-11",17.1
"690","2018-06-12",17.65
"691","2018-06-13",18.4
"692","2018-06-14",18.6
"693","2018-06-15",18.799999
"694","2018-06-18",18.450001
"695","2018-06-19",18.75
"696","2018-06-20",18.700001
"697","2018-06-21",18.6
"698","2018-06-22",18.5
"699","2018-06-25",18
"700","2018-06-26",17.35
"701","2018-06-27",17.049999
"702","2018-06-28",17.299999
"703","2018-06-29",18.200001
"704","2018-07-02",18.450001
"705","2018-07-03",18.75
"706","2018-07-05",19.450001
"707","2018-07-06",19.4
"708","2018-07-09",20
"709","2018-07-10",19.85
"710","2018-07-11",20.6
"711","2018-07-12",20.65
"712","2018-07-13",20.200001
"713","2018-07-16",19.950001
"714","2018-07-17",20.25
"715","2018-07-18",20.200001
"716","2018-07-19",20.4
"717","2018-07-20",20.1
"718","2018-07-23",19.950001
"719","2018-07-24",19.75
"720","2018-07-25",19.799999
"721","2018-07-26",19.75
"722","2018-07-27",19.65
"723","2018-07-30",19.6
"724","2018-07-31",20.299999
"725","2018-08-01",21.75
"726","2018-08-02",21.85
"727","2018-08-03",21.5
"728","2018-08-06",21.15
"729","2018-08-07",18.549999
"730","2018-08-08",19.075001
"731","2018-08-09",19.200001
"732","2018-08-10",19.1
"733","2018-08-13",19.9
"734","2018-08-14",19.799999
"735","2018-08-15",19.299999
"736","2018-08-16",19.4
"737","2018-08-17",18.450001
"738","2018-08-20",18.299999
"739","2018-08-21",19.4
"740","2018-08-22",19.5
"741","2018-08-23",19.5
"742","2018-08-24",19.450001
"743","2018-08-27",19.35
"744","2018-08-28",18.700001
"745","2018-08-29",19.049999
"746","2018-08-30",19.549999
"747","2018-08-31",20.5
"748","2018-09-04",20.75
"749","2018-09-05",20
"750","2018-09-06",18.75
"751","2018-09-07",18.799999
"752","2018-09-10",18.9
"753","2018-09-11",18.200001
"754","2018-09-12",17.4
"755","2018-09-13",17.35
"756","2018-09-14",17
"757","2018-09-17",16.65
"758","2018-09-18",16.799999
"759","2018-09-19",16.75
"760","2018-09-20",17
"761","2018-09-21",17.1
"762","2018-09-24",17.25
"763","2018-09-25",17.4
"764","2018-09-26",17.35
"765","2018-09-27",17.450001
"766","2018-09-28",17.5
"767","2018-10-01",17.49
"768","2018-10-02",17.190001
"769","2018-10-03",17.23
"770","2018-10-04",16.52
"771","2018-10-05",15.95
"772","2018-10-08",15.75
"773","2018-10-09",15.49
"774","2018-10-10",15.28
"775","2018-10-11",15.46
"776","2018-10-12",15.66
"777","2018-10-15",15.02
"778","2018-10-16",15.89
"779","2018-10-17",15.9
"780","2018-10-18",15.55
"781","2018-10-19",14.38
"782","2018-10-22",11.67
"783","2018-10-23",11.15
"784","2018-10-24",10.6
"785","2018-10-25",11.21
"786","2018-10-26",11.4
"787","2018-10-29",11
"788","2018-10-30",11.27
"789","2018-10-31",10.87
"790","2018-11-01",10.95
"791","2018-11-02",10.96
"792","2018-11-05",11.37
"793","2018-11-06",11.55
"794","2018-11-07",12.09
"795","2018-11-08",11.91
"796","2018-11-09",11.99
"797","2018-11-12",11.46
"798","2018-11-13",11.6
"799","2018-11-14",11.42
"800","2018-11-15",11.94
"801","2018-11-16",12.37
"802","2018-11-19",12.4
"803","2018-11-20",11.94
"804","2018-11-21",11.72
"805","2018-11-23",11.7
"806","2018-11-26",11.93
"807","2018-11-27",11.57
"808","2018-11-28",12.32
"809","2018-11-29",12.45
"810","2018-11-30",12.7
"811","2018-12-03",14.05
"812","2018-12-04",13.08
"813","2018-12-06",13.6
"814","2018-12-07",13.4
"815","2018-12-10",13.82
"816","2018-12-11",14.02
"817","2018-12-12",14.46
"818","2018-12-13",13.85
"819","2018-12-14",14.03
"820","2018-12-17",13.2
"821","2018-12-18",13.9
"822","2018-12-19",14
"823","2018-12-20",13
"824","2018-12-21",13.25
"825","2018-12-24",12.57
"826","2018-12-26",13.75
"827","2018-12-27",12.94
"828","2018-12-28",13.46
"829","2018-12-31",14.04
"830","2019-01-02",14.35
"831","2019-01-03",14.38
"832","2019-01-04",15.15
"833","2019-01-07",15.78
"834","2019-01-08",16.48
"835","2019-01-09",16.469999
"836","2019-01-10",16.719999
"837","2019-01-11",16.76
"838","2019-01-14",16.459999
"839","2019-01-15",16.870001
"840","2019-01-16",16.120001
"841","2019-01-17",15.76
"842","2019-01-18",15.85
"843","2019-01-22",15.47
"844","2019-01-23",15.32
"845","2019-01-24",15.62
"846","2019-01-25",16.09
"847","2019-01-28",15.12
"848","2019-01-29",15.23
"849","2019-01-30",15.62
"850","2019-01-31",15.9
"851","2019-02-01",15.98
"852","2019-02-04",15.79
"853","2019-02-05",14.86
"854","2019-02-06",14.94
"855","2019-02-07",14.22
"856","2019-02-08",14.31
"857","2019-02-11",14.36
"858","2019-02-12",14.57
"859","2019-02-13",14.39
"860","2019-02-14",14.48
"861","2019-02-15",14.83
"862","2019-02-19",15.25
"863","2019-02-20",15.05
"864","2019-02-21",14.82
"865","2019-02-22",14.96
"866","2019-02-25",15.42
"867","2019-02-26",15
"868","2019-02-27",15.69
"869","2019-02-28",15.24
"870","2019-03-01",15.3
"871","2019-03-04",15.08
"872","2019-03-05",14.81
"873","2019-03-06",13.73
"874","2019-03-07",14.52
"875","2019-03-08",14.83
"876","2019-03-11",15.35
"877","2019-03-12",15.59
"878","2019-03-13",15.75
"879","2019-03-14",15.72
"880","2019-03-15",15.49
"881","2019-03-18",15.96
"882","2019-03-19",15.83
"883","2019-03-20",15.36
"884","2019-03-21",15.94
"885","2019-03-22",14.89
"886","2019-03-25",15.36
"887","2019-03-26",16.049999
"888","2019-03-27",15.72
"889","2019-03-28",16.25
"890","2019-03-29",16.59
"891","2019-04-01",16.530001
"892","2019-04-02",16.530001
"893","2019-04-03",16.799999
"894","2019-04-04",16.93
"895","2019-04-05",16.959999
"896","2019-04-08",16.610001
"897","2019-04-09",15.51
"898","2019-04-10",15.75
"899","2019-04-11",15.73
"900","2019-04-12",15.26
"901","2019-04-15",14.86
"902","2019-04-16",15.32
"903","2019-04-17",14.73
"904","2019-04-18",14.91
"905","2019-04-22",14.78
"906","2019-04-23",15.57
"907","2019-04-24",14.94
"908","2019-04-25",14.71
"909","2019-04-26",14.86
"910","2019-04-29",15.29
"911","2019-04-30",15.14
"912","2019-05-01",14.84
"913","2019-05-02",15.05
"914","2019-05-03",15.78
"915","2019-05-06",16.02
"916","2019-05-07",15.47
"917","2019-05-08",16.959999
"918","2019-05-09",17.07
"919","2019-05-10",16.67
"920","2019-05-13",15.85
"921","2019-05-14",16.07
"922","2019-05-15",16.1
"923","2019-05-16",16.4
"924","2019-05-17",16.08
"925","2019-05-20",15.75
"926","2019-05-21",16.379999
"927","2019-05-22",15.87
"928","2019-05-23",15.81
"929","2019-05-24",17.129999
"930","2019-05-28",16.860001
"931","2019-05-29",16.35
"932","2019-05-30",15.98
"933","2019-05-31",15.99
"934","2019-06-03",15.89
"935","2019-06-04",16.4
"936","2019-06-05",16.309999
"937","2019-06-06",16.5
"938","2019-06-07",17.280001
"939","2019-06-10",17.280001
"940","2019-06-11",16.610001
"941","2019-06-12",17.530001
"942","2019-06-13",18.52
"943","2019-06-14",18.620001
"944","2019-06-17",19.48
"945","2019-06-18",18.77
"946","2019-06-19",18.450001
"947","2019-06-20",18.940001
"948","2019-06-21",19.389999
"949","2019-06-24",19.17
"950","2019-06-25",19.549999
"951","2019-06-26",19.299999
"952","2019-06-27",19.790001
"953","2019-06-28",19.690001
"954","2019-07-01",20.040001
"955","2019-07-02",20.09
"956","2019-07-03",20.35
"957","2019-07-05",19.799999
"958","2019-07-08",19.85
"959","2019-07-09",20.27
"960","2019-07-10",20.870001
"961","2019-07-11",20.469999
"962","2019-07-12",20.15
"963","2019-07-15",20.33
"964","2019-07-16",20.32
"965","2019-07-17",20.65
"966","2019-07-18",19.719999
"967","2019-07-19",19.049999
"968","2019-07-22",18.940001
"969","2019-07-23",18.959999
"970","2019-07-24",19.57
"971","2019-07-25",19.209999
"972","2019-07-26",19.379999
"973","2019-07-29",19.200001
"974","2019-07-30",19.219999
"975","2019-07-31",19.120001
"976","2019-08-01",19.629999
"977","2019-08-02",19.280001
"978","2019-08-05",18.35
"979","2019-08-06",18.889999
"980","2019-08-07",19.309999
"981","2019-08-08",19.5
"982","2019-08-09",19.43
"983","2019-08-12",18.360001
"984","2019-08-13",18.120001
"985","2019-08-14",17.58
"986","2019-08-15",17.43
"987","2019-08-16",17.83
"988","2019-08-19",17.91
"989","2019-08-20",17.700001
"990","2019-08-21",17
"991","2019-08-22",16.25
"992","2019-08-23",15.81
"993","2019-08-26",15.63
"994","2019-08-27",15.28
"995","2019-08-28",15.62
"996","2019-08-29",15.28
"997","2019-08-30",15.18
"998","2019-09-03",15.03
"999","2019-09-04",15.24
"1000","2019-09-05",16.139999
