"","date","SE"
"268","2018-11-12",12.78
"269","2018-11-13",12.44
"270","2018-11-14",12.24
"271","2018-11-15",12.46
"272","2018-11-16",12.51
"273","2018-11-19",12.7
"274","2018-11-20",12.11
"275","2018-11-21",12.8
"276","2018-11-23",12.9
"277","2018-11-26",12.63
"278","2018-11-27",13.33
"279","2018-11-28",13.25
"280","2018-11-29",12.9
"281","2018-11-30",13.34
"282","2018-12-03",13.29
"283","2018-12-04",12.45
"284","2018-12-06",12.44
"285","2018-12-07",12.1
"286","2018-12-10",11.81
"287","2018-12-11",12
"288","2018-12-12",12.23
"289","2018-12-13",12.16
"290","2018-12-14",11.87
"291","2018-12-17",11.71
"292","2018-12-18",11.66
"293","2018-12-19",11.41
"294","2018-12-20",10.99
"295","2018-12-21",10.74
"296","2018-12-24",10.74
"297","2018-12-26",11.39
"298","2018-12-27",11.4
"299","2018-12-28",11.15
"300","2018-12-31",11.32
"301","2019-01-02",11.05
"302","2019-01-03",10.72
"303","2019-01-04",11.56
"304","2019-01-07",11.95
"305","2019-01-08",12.3
"306","2019-01-09",12.5
"307","2019-01-10",12.57
"308","2019-01-11",12.57
"309","2019-01-14",12.05
"310","2019-01-15",12.18
"311","2019-01-16",12.38
"312","2019-01-17",12.39
"313","2019-01-18",12.6
"314","2019-01-22",13.05
"315","2019-01-23",12.71
"316","2019-01-24",13.12
"317","2019-01-25",13.63
"318","2019-01-28",13.51
"319","2019-01-29",13.45
"320","2019-01-30",13.56
"321","2019-01-31",14.01
"322","2019-02-01",15.33
"323","2019-02-04",14.96
"324","2019-02-05",15.02
"325","2019-02-06",14.8
"326","2019-02-07",14.75
"327","2019-02-08",15.1
"328","2019-02-11",15.51
"329","2019-02-12",16
"330","2019-02-13",15.88
"331","2019-02-14",16
"332","2019-02-15",16
"333","2019-02-19",16
"334","2019-02-20",15.84
"335","2019-02-21",15.71
"336","2019-02-22",15.99
"337","2019-02-25",15.9
"338","2019-02-26",16.200001
"339","2019-02-27",21.860001
"340","2019-02-28",21.5
"341","2019-03-01",23.200001
"342","2019-03-04",23.01
"343","2019-03-05",24.059999
"344","2019-03-06",22.879999
"345","2019-03-07",23.440001
"346","2019-03-08",23.700001
"347","2019-03-11",23.32
"348","2019-03-12",23.1
"349","2019-03-13",22.879999
"350","2019-03-14",22.9
"351","2019-03-15",23.51
"352","2019-03-18",24.219999
"353","2019-03-19",24.040001
"354","2019-03-20",24.370001
"355","2019-03-21",24.65
"356","2019-03-22",24.15
"357","2019-03-25",23.969999
"358","2019-03-26",24.360001
"359","2019-03-27",23.799999
"360","2019-03-28",23.530001
"361","2019-03-29",23.52
"362","2019-04-01",23.35
"363","2019-04-02",23.299999
"364","2019-04-03",23.309999
"365","2019-04-04",22
"366","2019-04-05",23
"367","2019-04-08",22.35
"368","2019-04-09",22.1
"369","2019-04-10",22.52
"370","2019-04-11",23.41
"371","2019-04-12",23.629999
"372","2019-04-15",23.65
"373","2019-04-16",23.450001
"374","2019-04-17",22.85
"375","2019-04-18",22.969999
"376","2019-04-22",23.68
"377","2019-04-23",24.42
"378","2019-04-24",24.5
"379","2019-04-25",24.35
"380","2019-04-26",25.549999
"381","2019-04-29",25.360001
"382","2019-04-30",24.889999
"383","2019-05-01",24.969999
"384","2019-05-02",24.700001
"385","2019-05-03",25.200001
"386","2019-05-06",25.190001
"387","2019-05-07",24.299999
"388","2019-05-08",24.59
"389","2019-05-09",24.74
"390","2019-05-10",25.690001
"391","2019-05-13",24.379999
"392","2019-05-14",24.92
"393","2019-05-15",25.6
"394","2019-05-16",26.93
"395","2019-05-17",26.67
"396","2019-05-20",25.799999
"397","2019-05-21",25.389999
"398","2019-05-22",31.5
"399","2019-05-23",30.59
"400","2019-05-24",29.99
"401","2019-05-28",29.190001
"402","2019-05-29",28.33
"403","2019-05-30",28.370001
"404","2019-05-31",28.440001
"405","2019-06-03",27.969999
"406","2019-06-04",28.73
"407","2019-06-05",29.23
"408","2019-06-06",29.74
"409","2019-06-07",30.85
"410","2019-06-10",30.799999
"411","2019-06-11",30.49
"412","2019-06-12",31.219999
"413","2019-06-13",30.76
"414","2019-06-14",29.959999
"415","2019-06-17",29.950001
"416","2019-06-18",31.26
"417","2019-06-19",31.49
"418","2019-06-20",32.299999
"419","2019-06-21",34.450001
"420","2019-06-24",34.189999
"421","2019-06-25",33.419998
"422","2019-06-26",33.810001
"423","2019-06-27",33.77
"424","2019-06-28",33.220001
"425","2019-07-01",34.27
"426","2019-07-02",35.139999
"427","2019-07-03",35.689999
"428","2019-07-05",35.709999
"429","2019-07-08",35.360001
"430","2019-07-09",35.57
"431","2019-07-10",36.080002
"432","2019-07-11",36
"433","2019-07-12",35.169998
"434","2019-07-15",35.169998
"435","2019-07-16",35.209999
"436","2019-07-17",34.310001
"437","2019-07-18",34.419998
"438","2019-07-19",34.650002
"439","2019-07-22",35.25
"440","2019-07-23",35.07
"441","2019-07-24",35.82
"442","2019-07-25",36.380001
"443","2019-07-26",37.389999
"444","2019-07-29",36.73
"445","2019-07-30",35.709999
"446","2019-07-31",35.099998
"447","2019-08-01",35.290001
"448","2019-08-02",37.709999
"449","2019-08-05",34.02
"450","2019-08-06",33.939999
"451","2019-08-07",34.52
"452","2019-08-08",35.580002
"453","2019-08-09",34.689999
"454","2019-08-12",34.02
"455","2019-08-13",34.619999
"456","2019-08-14",33.380001
"457","2019-08-15",34.389999
"458","2019-08-16",35.419998
"459","2019-08-19",36.099998
"460","2019-08-20",33
"461","2019-08-21",31.889999
"462","2019-08-22",32.220001
"463","2019-08-23",30.870001
"464","2019-08-26",31.719999
"465","2019-08-27",31.889999
"466","2019-08-28",32.290001
"467","2019-08-29",32.419998
"468","2019-08-30",32.119999
"469","2019-09-03",30.879999
"470","2019-09-04",31.91
"471","2019-09-05",31.6
"472","2019-09-06",31.610001
"473","2019-09-09",30.040001
"474","2019-09-10",30.34
"475","2019-09-11",31.18
"476","2019-09-12",31.33
"477","2019-09-13",31.030001
"478","2019-09-16",30.92
"479","2019-09-17",30.870001
"480","2019-09-18",31.1
"481","2019-09-19",31.950001
"482","2019-09-20",32.27
"483","2019-09-23",32.439999
"484","2019-09-24",31.26
"485","2019-09-25",32.439999
"486","2019-09-26",32.470001
"487","2019-09-27",30.42
"488","2019-09-30",30.950001
"489","2019-10-01",31.290001
"490","2019-10-02",30.07
"491","2019-10-03",31.15
"492","2019-10-04",31
"493","2019-10-07",30.540001
"494","2019-10-08",27.85
"495","2019-10-09",28.620001
"496","2019-10-10",27.85
"497","2019-10-11",27.92
"498","2019-10-14",27.5
"499","2019-10-15",28.280001
"500","2019-10-16",28.09
"501","2019-10-17",27.83
"502","2019-10-18",26.98
"503","2019-10-21",27.23
"504","2019-10-22",26.700001
"505","2019-10-23",27.26
"506","2019-10-24",28.049999
"507","2019-10-25",28.5
"508","2019-10-28",29.120001
"509","2019-10-29",29.35
"510","2019-10-30",29.790001
"511","2019-10-31",29.76
"512","2019-11-01",29.9
"513","2019-11-04",30.889999
"514","2019-11-05",30.549999
"515","2019-11-06",30.65
"516","2019-11-07",30.950001
"517","2019-11-08",31.700001
"518","2019-11-11",31
"519","2019-11-12",36.759998
"520","2019-11-13",35.18
"521","2019-11-14",36.919998
"522","2019-11-15",36.380001
"523","2019-11-18",36.630001
"524","2019-11-19",37.009998
"525","2019-11-20",37.27
"526","2019-11-21",37.220001
"527","2019-11-22",37.27
"528","2019-11-25",37.349998
"529","2019-11-26",37.75
"530","2019-11-27",37.779999
"531","2019-11-29",37.040001
"532","2019-12-02",36.57
"533","2019-12-03",36.77
"534","2019-12-04",37.09
"535","2019-12-05",37.84
"536","2019-12-06",37.810001
"537","2019-12-09",36.740002
"538","2019-12-10",36.630001
"539","2019-12-11",36.77
"540","2019-12-12",37.299999
"541","2019-12-13",36.799999
"542","2019-12-16",38
"543","2019-12-17",38
"544","2019-12-18",37.610001
"545","2019-12-19",38.82
"546","2019-12-20",39.009998
"547","2019-12-23",38.849998
"548","2019-12-24",39.119999
"549","2019-12-26",39.080002
"550","2019-12-27",39.299999
"551","2019-12-30",39.209999
"552","2019-12-31",40.220001
"553","2020-01-02",40.040001
"554","2020-01-03",40.490002
"555","2020-01-06",40.48
"556","2020-01-07",41.009998
"557","2020-01-08",40.16
"558","2020-01-09",40.529999
"559","2020-01-10",39.580002
"560","2020-01-13",40.02
"561","2020-01-14",39.939999
"562","2020-01-15",40.419998
"563","2020-01-16",40.959999
"564","2020-01-17",41.279999
"565","2020-01-21",41.310001
"566","2020-01-22",44.360001
"567","2020-01-23",44.75
"568","2020-01-24",45.330002
"569","2020-01-27",44.349998
"570","2020-01-28",45.029999
"571","2020-01-29",45.139999
"572","2020-01-30",45.59
"573","2020-01-31",45.240002
"574","2020-02-03",46.369999
"575","2020-02-04",46.82
"576","2020-02-05",45.810001
"577","2020-02-06",45.720001
"578","2020-02-07",46.200001
"579","2020-02-10",45.16
"580","2020-02-11",46.34
"581","2020-02-12",46.93
"582","2020-02-13",47.950001
"583","2020-02-14",48.490002
"584","2020-02-18",49.84
"585","2020-02-19",51.200001
"586","2020-02-20",52.5
"587","2020-02-21",51.849998
"588","2020-02-24",48.200001
"589","2020-02-25",46.700001
"590","2020-02-26",46.419998
"591","2020-02-27",45.07
"592","2020-02-28",45.060001
"593","2020-03-02",48.040001
"594","2020-03-03",48.950001
"595","2020-03-04",52.52
"596","2020-03-05",52.560001
"597","2020-03-06",50.349998
"598","2020-03-09",45.91
"599","2020-03-10",50.689999
"600","2020-03-11",48.02
"601","2020-03-12",41.630001
"602","2020-03-13",44.509998
"603","2020-03-16",41.080002
"604","2020-03-17",44.259998
"605","2020-03-18",41.959999
"606","2020-03-19",39.700001
"607","2020-03-20",38
"608","2020-03-23",38.450001
"609","2020-03-24",42.84
"610","2020-03-25",44.040001
"611","2020-03-26",45.740002
"612","2020-03-27",43.93
"613","2020-03-30",44.459999
"614","2020-03-31",44.310001
"615","2020-04-01",43.169998
"616","2020-04-02",44.580002
"617","2020-04-03",42.099998
"618","2020-04-06",44.799999
"619","2020-04-07",45.220001
"620","2020-04-08",45.450001
"621","2020-04-09",45.07
"622","2020-04-13",46.990002
"623","2020-04-14",50.220001
"624","2020-04-15",49.779999
"625","2020-04-16",53.950001
"626","2020-04-17",53.02
"627","2020-04-20",54.220001
"628","2020-04-21",51.98
"629","2020-04-22",54.040001
"630","2020-04-23",53.630001
"631","2020-04-24",54.389999
"632","2020-04-27",55.34
"633","2020-04-28",53.299999
"634","2020-04-29",55.52
"635","2020-04-30",55.580002
"636","2020-05-01",54.779999
"637","2020-05-04",55.23
"638","2020-05-05",57.93
"639","2020-05-06",61.689999
"640","2020-05-07",60.369999
"641","2020-05-08",62.490002
"642","2020-05-11",62.91
"643","2020-05-12",62.700001
"644","2020-05-13",61.98
"645","2020-05-14",61.59
"646","2020-05-15",61.959999
"647","2020-05-18",69.489998
"648","2020-05-19",68.269997
"649","2020-05-20",72.400002
"650","2020-05-21",77.809998
"651","2020-05-22",79
"652","2020-05-26",83.160004
"653","2020-05-27",78.910004
"654","2020-05-28",75.660004
"655","2020-05-29",79.800003
"656","2020-06-01",82.470001
"657","2020-06-02",86.860001
"658","2020-06-03",88.07
"659","2020-06-04",85.309998
"660","2020-06-05",89.699997
"661","2020-06-08",90.879997
"662","2020-06-09",90.779999
"663","2020-06-10",92.160004
"664","2020-06-11",88.580002
"665","2020-06-12",92.980003
"666","2020-06-15",97.25
"667","2020-06-16",100.800003
"668","2020-06-17",106.809998
"669","2020-06-18",106.480003
"670","2020-06-19",106.940002
"671","2020-06-22",113.389999
"672","2020-06-23",111.099998
"673","2020-06-24",103.639999
"674","2020-06-25",104.32
"675","2020-06-26",105.199997
"676","2020-06-29",108.769997
"677","2020-06-30",107.239998
"678","2020-07-01",114.459999
"679","2020-07-02",117.620003
"680","2020-07-06",114.410004
"681","2020-07-07",112.900002
"682","2020-07-08",124.459999
"683","2020-07-09",123.050003
"684","2020-07-10",121
"685","2020-07-13",113.650002
"686","2020-07-14",113.300003
"687","2020-07-15",113.209999
"688","2020-07-16",109
"689","2020-07-17",109.040001
"690","2020-07-20",115.25
"691","2020-07-21",115.449997
"692","2020-07-22",114.650002
"693","2020-07-23",108.949997
"694","2020-07-24",107.120003
"695","2020-07-27",114.18
"696","2020-07-28",116
"697","2020-07-29",118.690002
"698","2020-07-30",122.290001
"699","2020-07-31",122.199997
"700","2020-08-03",132.75
"701","2020-08-04",137.509995
"702","2020-08-05",145.470001
"703","2020-08-06",138.210007
"704","2020-08-07",129
"705","2020-08-10",122.699997
"706","2020-08-11",120.360001
"707","2020-08-12",126.919998
"708","2020-08-13",128
"709","2020-08-14",126.5
"710","2020-08-17",134.279999
"711","2020-08-18",145.979996
"712","2020-08-19",150.559998
"713","2020-08-20",152.639999
"714","2020-08-21",147.419998
"715","2020-08-24",150.410004
"716","2020-08-25",154.130005
"717","2020-08-26",159
"718","2020-08-27",153.149994
"719","2020-08-28",152.669998
"720","2020-08-31",152.809998
"721","2020-09-01",161.800003
"722","2020-09-02",157.220001
"723","2020-09-03",147.559998
"724","2020-09-04",144.149994
"725","2020-09-08",138
"726","2020-09-09",142.029999
"727","2020-09-10",139.5
"728","2020-09-11",139.509995
"729","2020-09-14",147.820007
"730","2020-09-15",149.990005
"731","2020-09-16",147.580002
"732","2020-09-17",149.080002
"733","2020-09-18",147.550003
"734","2020-09-21",150.699997
"735","2020-09-22",152.119995
"736","2020-09-23",147.880005
"737","2020-09-24",150.059998
"738","2020-09-25",155.289993
"739","2020-09-28",159.970001
"740","2020-09-29",155.149994
"741","2020-09-30",154.039993
"742","2020-10-01",160
"743","2020-10-02",155.360001
"744","2020-10-05",157.580002
"745","2020-10-06",163.440002
"746","2020-10-07",167.419998
"747","2020-10-08",169.289993
"748","2020-10-09",172.119995
"749","2020-10-12",167.179993
"750","2020-10-13",172.399994
"751","2020-10-14",167.630005
"752","2020-10-15",169.300003
"753","2020-10-16",165.199997
"754","2020-10-19",162.839996
"755","2020-10-20",166.869995
"756","2020-10-21",168.380005
"757","2020-10-22",161.630005
"758","2020-10-23",162.960007
"759","2020-10-26",162.360001
"760","2020-10-27",172.289993
"761","2020-10-28",163.240005
"762","2020-10-29",167.020004
"763","2020-10-30",157.699997
"764","2020-11-02",159.669998
"765","2020-11-03",166.389999
"766","2020-11-04",176.960007
"767","2020-11-05",184.619995
"768","2020-11-06",186.789993
"769","2020-11-09",169.080002
"770","2020-11-10",156.529999
"771","2020-11-11",169.130005
"772","2020-11-12",178.770004
"773","2020-11-13",181.440002
"774","2020-11-16",178.220001
"775","2020-11-17",170.619995
"776","2020-11-18",165.160004
"777","2020-11-19",173.470001
"778","2020-11-20",183.110001
"779","2020-11-23",182.919998
"780","2020-11-24",176.919998
"781","2020-11-25",177.699997
"782","2020-11-27",182.550003
