"","date","SNDX"
"312","2017-05-25",12.92
"313","2017-05-26",13.22
"314","2017-05-30",12.69
"315","2017-05-31",12.14
"316","2017-06-01",12.73
"317","2017-06-02",12.47
"318","2017-06-05",11.51
"319","2017-06-06",10.85
"320","2017-06-07",10.5
"321","2017-06-08",10.35
"322","2017-06-09",10.35
"323","2017-06-12",9.77
"324","2017-06-13",10.65
"325","2017-06-14",10.85
"326","2017-06-15",10.76
"327","2017-06-16",11.2
"328","2017-06-19",11.99
"329","2017-06-20",13.01
"330","2017-06-21",13.3
"331","2017-06-22",13.24
"332","2017-06-23",13.22
"333","2017-06-26",13.9
"334","2017-06-27",14.28
"335","2017-06-28",14.77
"336","2017-06-29",14.41
"337","2017-06-30",13.97
"338","2017-07-03",13.89
"339","2017-07-05",14.03
"340","2017-07-06",13.61
"341","2017-07-07",13.43
"342","2017-07-10",13.12
"343","2017-07-11",13.29
"344","2017-07-12",13.25
"345","2017-07-13",13.33
"346","2017-07-14",13.27
"347","2017-07-17",13.34
"348","2017-07-18",13.21
"349","2017-07-19",13.21
"350","2017-07-20",13.18
"351","2017-07-21",13.84
"352","2017-07-24",13.9
"353","2017-07-25",13.45
"354","2017-07-26",13.35
"355","2017-07-27",12.99
"356","2017-07-28",12.78
"357","2017-07-31",12.11
"358","2017-08-01",12.03
"359","2017-08-02",12.31
"360","2017-08-03",11.93
"361","2017-08-04",12.73
"362","2017-08-07",12.52
"363","2017-08-08",11.96
"364","2017-08-09",11.56
"365","2017-08-10",11.15
"366","2017-08-11",10.9
"367","2017-08-14",11.9
"368","2017-08-15",11.39
"369","2017-08-16",11.37
"370","2017-08-17",11.09
"371","2017-08-18",10.9
"372","2017-08-21",11.15
"373","2017-08-22",11.07
"374","2017-08-23",11.27
"375","2017-08-24",11.94
"376","2017-08-25",11.69
"377","2017-08-28",12.18
"378","2017-08-29",11.8
"379","2017-08-30",11.57
"380","2017-08-31",11.6
"381","2017-09-01",12.61
"382","2017-09-05",12.59
"383","2017-09-06",12.57
"384","2017-09-07",12.5
"385","2017-09-08",12.48
"386","2017-09-11",12.36
"387","2017-09-12",11.54
"388","2017-09-13",11.92
"389","2017-09-14",11.59
"390","2017-09-15",11.9
"391","2017-09-18",11.85
"392","2017-09-19",11.81
"393","2017-09-20",11.69
"394","2017-09-21",11.41
"395","2017-09-22",11.35
"396","2017-09-25",11.42
"397","2017-09-26",11.15
"398","2017-09-27",11.42
"399","2017-09-28",11.84
"400","2017-09-29",11.7
"401","2017-10-02",12.94
"402","2017-10-03",12.4
"403","2017-10-04",12.93
"404","2017-10-05",12.83
"405","2017-10-06",12.18
"406","2017-10-09",12
"407","2017-10-10",11.78
"408","2017-10-11",11.85
"409","2017-10-12",11.87
"410","2017-10-13",12.37
"411","2017-10-16",12.76
"412","2017-10-17",12.16
"413","2017-10-18",12.05
"414","2017-10-19",12.07
"415","2017-10-20",11.9
"416","2017-10-23",11.56
"417","2017-10-24",10.96
"418","2017-10-25",10.95
"419","2017-10-26",10.5
"420","2017-10-27",10.97
"421","2017-10-30",11.74
"422","2017-10-31",11.18
"423","2017-11-01",11.02
"424","2017-11-02",11.19
"425","2017-11-03",11.45
"426","2017-11-06",11.25
"427","2017-11-07",10.7
"428","2017-11-08",9.93
"429","2017-11-09",10.02
"430","2017-11-10",10.11
"431","2017-11-13",8.5
"432","2017-11-14",8.37
"433","2017-11-15",8.57
"434","2017-11-16",8.54
"435","2017-11-17",8.81
"436","2017-11-20",8.52
"437","2017-11-21",8.28
"438","2017-11-22",8.25
"439","2017-11-24",8.2
"440","2017-11-27",8.28
"441","2017-11-28",8.12
"442","2017-11-29",8.47
"443","2017-11-30",8.76
"444","2017-12-01",8.29
"445","2017-12-04",8.24
"446","2017-12-05",8.13
"447","2017-12-06",7.88
"448","2017-12-07",8.06
"449","2017-12-08",8.4
"450","2017-12-11",8.24
"451","2017-12-12",8.6
"452","2017-12-13",8.55
"453","2017-12-14",9
"454","2017-12-15",8.03
"455","2017-12-18",8.05
"456","2017-12-19",7.8
"457","2017-12-20",7.95
"458","2017-12-21",8.25
"459","2017-12-22",8.43
"460","2017-12-26",8.28
"461","2017-12-27",8.52
"462","2017-12-28",8.67
"463","2017-12-29",8.76
"464","2018-01-02",8.77
"465","2018-01-03",8.85
"466","2018-01-04",8.71
"467","2018-01-05",9.53
"468","2018-01-08",8.98
"469","2018-01-09",9.46
"470","2018-01-10",9.34
"471","2018-01-11",9.5
"472","2018-01-12",9.19
"473","2018-01-16",9.21
"474","2018-01-17",9.14
"475","2018-01-18",9.58
"476","2018-01-19",10.17
"477","2018-01-22",10.82
"478","2018-01-23",10.49
"479","2018-01-24",9.96
"480","2018-01-25",10.58
"481","2018-01-26",11.31
"482","2018-01-29",12.11
"483","2018-01-30",11.22
"484","2018-01-31",10.9
"485","2018-02-01",11.37
"486","2018-02-02",11.14
"487","2018-02-05",10.515
"488","2018-02-06",10.75
"489","2018-02-07",10.24
"490","2018-02-08",9.63
"491","2018-02-09",8.98
"492","2018-02-12",9.13
"493","2018-02-13",9.15
"494","2018-02-14",9.48
"495","2018-02-15",9.92
"496","2018-02-16",9.48
"497","2018-02-20",9.27
"498","2018-02-21",9.45
"499","2018-02-22",9.11
"500","2018-02-23",9.07
"501","2018-02-26",8.98
"502","2018-02-27",9.17
"503","2018-02-28",9.04
"504","2018-03-01",9.4
"505","2018-03-02",9.89
"506","2018-03-05",9.96
"507","2018-03-06",9.74
"508","2018-03-07",9.73
"509","2018-03-08",9.91
"510","2018-03-09",9.83
"511","2018-03-12",10
"512","2018-03-13",10.58
"513","2018-03-14",13.58
"514","2018-03-15",12.48
"515","2018-03-16",13.76
"516","2018-03-19",13.74
"517","2018-03-20",13.74
"518","2018-03-21",14.27
"519","2018-03-22",14.49
"520","2018-03-23",13.9
"521","2018-03-26",14.82
"522","2018-03-27",14.13
"523","2018-03-28",13.59
"524","2018-03-29",14.23
"525","2018-04-02",14.04
"526","2018-04-03",14.6
"527","2018-04-04",14.63
"528","2018-04-05",13.34
"529","2018-04-06",10.84
"530","2018-04-09",11.175
"531","2018-04-10",11.44
"532","2018-04-11",11.33
"533","2018-04-12",11.16
"534","2018-04-13",11.42
"535","2018-04-16",10.76
"536","2018-04-17",11.49
"537","2018-04-18",11.23
"538","2018-04-19",10.86
"539","2018-04-20",11.03
"540","2018-04-23",10.43
"541","2018-04-24",10.25
"542","2018-04-25",10.39
"543","2018-04-26",10.59
"544","2018-04-27",10.67
"545","2018-04-30",10.44
"546","2018-05-01",10.92
"547","2018-05-02",10.86
"548","2018-05-03",10.47
"549","2018-05-04",10.51
"550","2018-05-07",10.53
"551","2018-05-08",10.32
"552","2018-05-09",11.57
"553","2018-05-10",10.48
"554","2018-05-11",10.69
"555","2018-05-14",11.42
"556","2018-05-15",11.38
"557","2018-05-16",11.12
"558","2018-05-17",8.61
"559","2018-05-18",8.8
"560","2018-05-21",8.93
"561","2018-05-22",8.69
"562","2018-05-23",8.93
"563","2018-05-24",9.12
"564","2018-05-25",9.07
"565","2018-05-29",9.09
"566","2018-05-30",9.11
"567","2018-05-31",8.73
"568","2018-06-01",8.82
"569","2018-06-04",7.76
"570","2018-06-05",7.73
"571","2018-06-06",7.94
"572","2018-06-07",7.84
"573","2018-06-08",8.11
"574","2018-06-11",8.16
"575","2018-06-12",8.4
"576","2018-06-13",8.27
"577","2018-06-14",8.34
"578","2018-06-15",8.6
"579","2018-06-18",8.39
"580","2018-06-19",8.36
"581","2018-06-20",8.22
"582","2018-06-21",7.78
"583","2018-06-22",7.68
"584","2018-06-25",7.44
"585","2018-06-26",7.6
"586","2018-06-27",7.04
"587","2018-06-28",6.93
"588","2018-06-29",7.02
"589","2018-07-02",7.05
"590","2018-07-03",7.1
"591","2018-07-05",7.09
"592","2018-07-06",7.33
"593","2018-07-09",7.16
"594","2018-07-10",7.16
"595","2018-07-11",7.1
"596","2018-07-12",7.25
"597","2018-07-13",7.31
"598","2018-07-16",7.35
"599","2018-07-17",7.36
"600","2018-07-18",7.27
"601","2018-07-19",7.24
"602","2018-07-20",7.49
"603","2018-07-23",7.47
"604","2018-07-24",7.17
"605","2018-07-25",7.22
"606","2018-07-26",7.05
"607","2018-07-27",6.73
"608","2018-07-30",6.59
"609","2018-07-31",6.74
"610","2018-08-01",6.72
"611","2018-08-02",6.37
"612","2018-08-03",6.33
"613","2018-08-06",6.6
"614","2018-08-07",6.65
"615","2018-08-08",7.39
"616","2018-08-09",7.35
"617","2018-08-10",7.04
"618","2018-08-13",7.23
"619","2018-08-14",7.34
"620","2018-08-15",7.2
"621","2018-08-16",7.27
"622","2018-08-17",7.18
"623","2018-08-20",6.98
"624","2018-08-21",7.2
"625","2018-08-22",7.25
"626","2018-08-23",7.19
"627","2018-08-24",7.16
"628","2018-08-27",7.22
"629","2018-08-28",7.34
"630","2018-08-29",7.74
"631","2018-08-30",7.83
"632","2018-08-31",7.76
"633","2018-09-04",7.47
"634","2018-09-05",7.5
"635","2018-09-06",7.18
"636","2018-09-07",7.04
"637","2018-09-10",6.89
"638","2018-09-11",7.15
"639","2018-09-12",6.45
"640","2018-09-13",6.61
"641","2018-09-14",6.93
"642","2018-09-17",6.91
"643","2018-09-18",6.96
"644","2018-09-19",6.93
"645","2018-09-20",7.15
"646","2018-09-21",6.77
"647","2018-09-24",7.23
"648","2018-09-25",7.11
"649","2018-09-26",6.95
"650","2018-09-27",7.14
"651","2018-09-28",8.08
"652","2018-10-01",8.42
"653","2018-10-02",7.98
"654","2018-10-03",8.01
"655","2018-10-04",7.83
"656","2018-10-05",7.7
"657","2018-10-08",7.35
"658","2018-10-09",7.01
"659","2018-10-10",6.58
"660","2018-10-11",6.56
"661","2018-10-12",6.39
"662","2018-10-15",6.6
"663","2018-10-16",7.01
"664","2018-10-17",7.27
"665","2018-10-18",7.23
"666","2018-10-19",7.29
"667","2018-10-22",6.8
"668","2018-10-23",6.55
"669","2018-10-24",5.91
"670","2018-10-25",6.04
"671","2018-10-26",5.01
"672","2018-10-29",4.61
"673","2018-10-30",4.765
"674","2018-10-31",4.81
"675","2018-11-01",4.99
