"","date","FCPT"
"431","2017-07-27",25.209999
"432","2017-07-28",25.610001
"433","2017-07-31",25.379999
"434","2017-08-01",25.32
"435","2017-08-02",24.870001
"436","2017-08-03",24.290001
"437","2017-08-04",24.280001
"438","2017-08-07",24.370001
"439","2017-08-08",24.24
"440","2017-08-09",24.17
"441","2017-08-10",24.049999
"442","2017-08-11",23.9
"443","2017-08-14",24.23
"444","2017-08-15",24.629999
"445","2017-08-16",25.17
"446","2017-08-17",24.940001
"447","2017-08-18",24.99
"448","2017-08-21",25.299999
"449","2017-08-22",25.389999
"450","2017-08-23",25.32
"451","2017-08-24",25.34
"452","2017-08-25",25.35
"453","2017-08-28",25.209999
"454","2017-08-29",25.09
"455","2017-08-30",25.18
"456","2017-08-31",25.41
"457","2017-09-01",25.43
"458","2017-09-05",25.530001
"459","2017-09-06",25.370001
"460","2017-09-07",25.24
"461","2017-09-08",25.120001
"462","2017-09-11",25.35
"463","2017-09-12",25.07
"464","2017-09-13",25.07
"465","2017-09-14",25.23
"466","2017-09-15",25.469999
"467","2017-09-18",25.120001
"468","2017-09-19",25.299999
"469","2017-09-20",25.309999
"470","2017-09-21",25.32
"471","2017-09-22",25.190001
"472","2017-09-25",25.08
"473","2017-09-26",24.799999
"474","2017-09-27",24.559999
"475","2017-09-28",24.940001
"476","2017-09-29",24.92
"477","2017-10-02",25.18
"478","2017-10-03",25.559999
"479","2017-10-04",25.52
"480","2017-10-05",25.530001
"481","2017-10-06",25.389999
"482","2017-10-09",25.290001
"483","2017-10-10",25.360001
"484","2017-10-11",25.43
"485","2017-10-12",25.17
"486","2017-10-13",25.24
"487","2017-10-16",25.530001
"488","2017-10-17",25.450001
"489","2017-10-18",25.33
"490","2017-10-19",25.25
"491","2017-10-20",25.07
"492","2017-10-23",24.6
"493","2017-10-24",24.620001
"494","2017-10-25",24.120001
"495","2017-10-26",24.379999
"496","2017-10-27",24.780001
"497","2017-10-30",24.629999
"498","2017-10-31",24.68
"499","2017-11-01",24.700001
"500","2017-11-02",24.950001
"501","2017-11-03",25.379999
"502","2017-11-06",25.33
"503","2017-11-07",25.9
"504","2017-11-08",26.18
"505","2017-11-09",26.09
"506","2017-11-10",25.82
"507","2017-11-13",25.870001
"508","2017-11-14",26.1
"509","2017-11-15",26.030001
"510","2017-11-16",26.209999
"511","2017-11-17",26.26
"512","2017-11-20",26.120001
"513","2017-11-21",26.65
"514","2017-11-22",26.6
"515","2017-11-24",26.559999
"516","2017-11-27",26.459999
"517","2017-11-28",26.5
"518","2017-11-29",26.450001
"519","2017-11-30",26.1
"520","2017-12-01",26.030001
"521","2017-12-04",25.65
"522","2017-12-05",25.43
"523","2017-12-06",25.34
"524","2017-12-07",25.34
