"","date","SONM"
"237","2020-04-17",0.82
"238","2020-04-20",0.838
"239","2020-04-21",0.79
"240","2020-04-22",0.948
"241","2020-04-23",0.84
"242","2020-04-24",0.845
"243","2020-04-27",0.926
"244","2020-04-28",0.9
"245","2020-04-29",0.879
"246","2020-04-30",0.98
"247","2020-05-01",0.979
"248","2020-05-04",0.95
"249","2020-05-05",1.06
"250","2020-05-06",0.997
"251","2020-05-07",0.936
"252","2020-05-08",1.01
"253","2020-05-11",0.984
"254","2020-05-12",0.913
"255","2020-05-13",0.816
"256","2020-05-14",0.83
"257","2020-05-15",0.776
"258","2020-05-18",0.85
"259","2020-05-19",0.867
"260","2020-05-20",0.921
"261","2020-05-21",1.06
"262","2020-05-22",1.02
"263","2020-05-26",0.976
"264","2020-05-27",0.93
"265","2020-05-28",0.825
"266","2020-05-29",0.83
"267","2020-06-01",0.904
"268","2020-06-02",0.857
"269","2020-06-03",0.833
"270","2020-06-04",0.884
"271","2020-06-05",0.902
"272","2020-06-08",1.02
"273","2020-06-09",0.994
"274","2020-06-10",0.949
"275","2020-06-11",0.87
"276","2020-06-12",0.891
"277","2020-06-15",0.95
"278","2020-06-16",0.97
"279","2020-06-17",0.941
"280","2020-06-18",0.919
"281","2020-06-19",0.897
"282","2020-06-22",0.929
"283","2020-06-23",0.89
"284","2020-06-24",0.878
"285","2020-06-25",0.838
"286","2020-06-26",0.817
"287","2020-06-29",0.801
"288","2020-06-30",0.801
"289","2020-07-01",0.804
"290","2020-07-02",0.821
"291","2020-07-06",0.81
"292","2020-07-07",0.8
"293","2020-07-08",0.821
"294","2020-07-09",0.801
"295","2020-07-10",0.795
"296","2020-07-13",0.794
"297","2020-07-14",0.795
"298","2020-07-15",0.825
"299","2020-07-16",0.84
"300","2020-07-17",0.858
"301","2020-07-20",0.88
"302","2020-07-21",0.889
"303","2020-07-22",0.947
"304","2020-07-23",0.871
"305","2020-07-24",0.873
"306","2020-07-27",0.898
"307","2020-07-28",1.03
"308","2020-07-29",0.96
"309","2020-07-30",1.02
"310","2020-07-31",0.95
"311","2020-08-03",0.941
"312","2020-08-04",1
"313","2020-08-05",1.04
"314","2020-08-06",1.04
"315","2020-08-07",1.05
"316","2020-08-10",1.09
"317","2020-08-11",1.03
"318","2020-08-12",1.03
"319","2020-08-13",0.98
"320","2020-08-14",0.97
"321","2020-08-17",1.01
"322","2020-08-18",0.983
"323","2020-08-19",0.96
"324","2020-08-20",0.933
"325","2020-08-21",0.92
"326","2020-08-24",0.921
"327","2020-08-25",0.93
"328","2020-08-26",0.914
"329","2020-08-27",0.91
"330","2020-08-28",0.91
"331","2020-08-31",0.878
"332","2020-09-01",0.873
"333","2020-09-02",0.93
"334","2020-09-03",0.92
"335","2020-09-04",0.87
"336","2020-09-08",0.877
"337","2020-09-09",0.882
"338","2020-09-10",0.881
"339","2020-09-11",0.867
"340","2020-09-14",0.873
"341","2020-09-15",0.858
"342","2020-09-16",0.851
"343","2020-09-17",0.843
"344","2020-09-18",0.815
"345","2020-09-21",0.829
"346","2020-09-22",0.83
"347","2020-09-23",0.79
"348","2020-09-24",0.77
"349","2020-09-25",0.761
"350","2020-09-28",0.775
"351","2020-09-29",0.76
"352","2020-09-30",0.776
"353","2020-10-01",0.747
"354","2020-10-02",0.712
"355","2020-10-05",0.7
"356","2020-10-06",0.705
"357","2020-10-07",0.706
"358","2020-10-08",0.704
"359","2020-10-09",0.69
"360","2020-10-12",0.685
"361","2020-10-13",0.668
"362","2020-10-14",0.64
"363","2020-10-15",0.595
"364","2020-10-16",0.59
"365","2020-10-19",0.6
"366","2020-10-20",0.583
"367","2020-10-21",0.573
"368","2020-10-22",0.586
"369","2020-10-23",0.587
"370","2020-10-26",0.553
"371","2020-10-27",0.57
"372","2020-10-28",0.507
"373","2020-10-29",0.465
"374","2020-10-30",0.441
"375","2020-11-02",0.508
"376","2020-11-03",0.491
"377","2020-11-04",0.487
"378","2020-11-05",0.573
"379","2020-11-06",0.538
"380","2020-11-09",0.577
"381","2020-11-10",0.568
"382","2020-11-11",0.516
"383","2020-11-12",0.478
"384","2020-11-13",0.51
"385","2020-11-16",0.535
"386","2020-11-17",0.546
"387","2020-11-18",0.584
"388","2020-11-19",0.577
"389","2020-11-20",0.587
"390","2020-11-23",0.585
"391","2020-11-24",0.618
"392","2020-11-25",0.588
"393","2020-11-27",0.616
