"","date","YI"
"82","2019-01-09",9.62
"83","2019-01-10",9.84
"84","2019-01-11",9.9
"85","2019-01-14",9.79
"86","2019-01-15",9.31
"87","2019-01-16",8.52
"88","2019-01-17",8.17
"89","2019-01-18",7.53
"90","2019-01-22",7.74
"91","2019-01-23",8.1
"92","2019-01-24",8.8
"93","2019-01-25",8.7
"94","2019-01-28",8.49
"95","2019-01-29",9.03
"96","2019-01-30",8.81
"97","2019-01-31",8.75
"98","2019-02-01",8.77
"99","2019-02-04",9.38
"100","2019-02-05",9
"101","2019-02-06",8.85
"102","2019-02-07",8.54
"103","2019-02-08",7.79
"104","2019-02-11",8.01
"105","2019-02-12",8.39
"106","2019-02-13",8.3
"107","2019-02-14",7.51
"108","2019-02-15",8.36
"109","2019-02-19",8.01
"110","2019-02-20",8.02
"111","2019-02-21",7.68
"112","2019-02-22",8.04
"113","2019-02-25",8.43
"114","2019-02-26",8.75
"115","2019-02-27",9.08
"116","2019-02-28",8.7
"117","2019-03-01",8.34
"118","2019-03-04",8.4
"119","2019-03-05",8.19
"120","2019-03-06",8.16
"121","2019-03-07",7.99
"122","2019-03-08",7.52
"123","2019-03-11",8.15
"124","2019-03-12",8.29
"125","2019-03-13",8.03
"126","2019-03-14",7.95
"127","2019-03-15",7.85
"128","2019-03-18",7.45
"129","2019-03-19",6.95
"130","2019-03-20",6.84
"131","2019-03-21",6.99
"132","2019-03-22",6.98
"133","2019-03-25",7
"134","2019-03-26",7
"135","2019-03-27",6.41
"136","2019-03-28",5.69
"137","2019-03-29",6.49
"138","2019-04-01",6.51
"139","2019-04-02",6.55
"140","2019-04-03",6.59
"141","2019-04-04",7.25
"142","2019-04-05",7.32
"143","2019-04-08",7.15
"144","2019-04-09",7.02
"145","2019-04-10",7.1
"146","2019-04-11",7.4
"147","2019-04-12",7.3
"148","2019-04-15",7.7
"149","2019-04-16",7.7
"150","2019-04-17",7.7
"151","2019-04-18",7.7
"152","2019-04-22",7.76
"153","2019-04-23",8.61
"154","2019-04-24",8.8
"155","2019-04-25",8.92
"156","2019-04-26",8.8
"157","2019-04-29",8.65
"158","2019-04-30",8.15
"159","2019-05-01",8
"160","2019-05-02",7.8
"161","2019-05-03",7.5
"162","2019-05-06",7.34
"163","2019-05-07",7.97
"164","2019-05-08",8.75
"165","2019-05-09",8.4
"166","2019-05-10",8.01
"167","2019-05-13",8.04
"168","2019-05-14",8.15
"169","2019-05-15",8.26
"170","2019-05-16",8.43
"171","2019-05-17",8.99
"172","2019-05-20",9
"173","2019-05-21",8.71
"174","2019-05-22",8.65
"175","2019-05-23",8.61
"176","2019-05-24",8.56
"177","2019-05-28",8.34
"178","2019-05-29",8.25
"179","2019-05-30",8
"180","2019-05-31",7.91
"181","2019-06-03",7.69
"182","2019-06-04",7.6
"183","2019-06-05",7.22
"184","2019-06-06",7.35
"185","2019-06-07",7.16
"186","2019-06-10",7.4
"187","2019-06-11",7
"188","2019-06-12",7.22
"189","2019-06-13",6.85
"190","2019-06-14",6.8
"191","2019-06-17",6.75
"192","2019-06-18",6.62
"193","2019-06-19",6.62
"194","2019-06-20",6.62
"195","2019-06-21",6.49
"196","2019-06-24",6.21
"197","2019-06-25",5.78
"198","2019-06-26",6
"199","2019-06-27",6.01
"200","2019-06-28",5.56
"201","2019-07-01",5.5
"202","2019-07-02",5.45
"203","2019-07-03",5.34
"204","2019-07-05",5.36
"205","2019-07-08",5.16
"206","2019-07-09",5.1
"207","2019-07-10",5.01
"208","2019-07-11",5
"209","2019-07-12",5.1
"210","2019-07-15",4.99
"211","2019-07-16",4.85
"212","2019-07-17",4.75
"213","2019-07-18",4.65
"214","2019-07-19",4.55
"215","2019-07-22",4.07
"216","2019-07-23",4.07
"217","2019-07-24",4.05
"218","2019-07-25",3.88
"219","2019-07-26",3.76
"220","2019-07-29",4
"221","2019-07-30",3.71
"222","2019-07-31",3.9
"223","2019-08-01",3.5
"224","2019-08-02",3.53
"225","2019-08-05",3.55
"226","2019-08-06",3.5
"227","2019-08-07",3.5
"228","2019-08-08",3.35
"229","2019-08-09",3.25
"230","2019-08-12",3.25
"231","2019-08-13",3.08
"232","2019-08-14",3
"233","2019-08-15",2.79
"234","2019-08-16",2.95
"235","2019-08-19",2.86
"236","2019-08-20",2.89
"237","2019-08-21",2.88
"238","2019-08-22",2.82
"239","2019-08-23",2.69
"240","2019-08-26",2.7
"241","2019-08-27",2.7
"242","2019-08-28",2.62
"243","2019-08-29",2.69
"244","2019-08-30",2.65
"245","2019-09-03",2.4
"246","2019-09-04",2.42
"247","2019-09-05",2.43
"248","2019-09-06",2.3
"249","2019-09-09",3.08
"250","2019-09-10",4.99
"251","2019-09-11",4.6
"252","2019-09-12",5.69
"253","2019-09-13",4.85
"254","2019-09-16",4.78
"255","2019-09-17",4.44
"256","2019-09-18",4.74
"257","2019-09-19",4.52
"258","2019-09-20",4.7
"259","2019-09-23",4.95
"260","2019-09-24",4.91
"261","2019-09-25",4.81
"262","2019-09-26",5.02
"263","2019-09-27",4.8
"264","2019-09-30",4.87
"265","2019-10-01",4.85
"266","2019-10-02",4.94
"267","2019-10-03",4.82
"268","2019-10-04",4.92
"269","2019-10-07",4.91
"270","2019-10-08",5.04
"271","2019-10-09",5.03
"272","2019-10-10",4.88
"273","2019-10-11",5
"274","2019-10-14",4.89
"275","2019-10-15",4.83
"276","2019-10-16",5
"277","2019-10-17",4.85
"278","2019-10-18",4.7
"279","2019-10-21",4.66
"280","2019-10-22",4.8
"281","2019-10-23",4.8
"282","2019-10-24",4.75
"283","2019-10-25",4.56
"284","2019-10-28",4.56
"285","2019-10-29",4.56
"286","2019-10-30",4.45
"287","2019-10-31",4.66
"288","2019-11-01",4.53
"289","2019-11-04",4.64
"290","2019-11-05",5.18
"291","2019-11-06",4.72
"292","2019-11-07",4.78
"293","2019-11-08",5.26
"294","2019-11-11",5.26
"295","2019-11-12",5.58
"296","2019-11-13",5.29
"297","2019-11-14",5
"298","2019-11-15",5.2
"299","2019-11-18",5.2
"300","2019-11-19",5.2
"301","2019-11-20",5.18
"302","2019-11-21",5.17
"303","2019-11-22",5.1
"304","2019-11-25",5.05
"305","2019-11-26",5.1
"306","2019-11-27",5
"307","2019-11-29",5.11
"308","2019-12-02",5.15
"309","2019-12-03",5.01
"310","2019-12-04",5
"311","2019-12-05",5.1
"312","2019-12-06",5.05
"313","2019-12-09",5.11
"314","2019-12-10",5
"315","2019-12-11",4.75
"316","2019-12-12",4.88
"317","2019-12-13",4.98
"318","2019-12-16",4.93
"319","2019-12-17",5.03
"320","2019-12-18",5.03
"321","2019-12-19",5.03
"322","2019-12-20",5.11
"323","2019-12-23",5.15
"324","2019-12-24",5.16
"325","2019-12-26",5.27
"326","2019-12-27",6.75
"327","2019-12-30",6.45
"328","2019-12-31",6.73
"329","2020-01-02",6.24
"330","2020-01-03",6.2
"331","2020-01-06",6.13
"332","2020-01-07",6.93
"333","2020-01-08",6.38
"334","2020-01-09",6.5
"335","2020-01-10",6.56
"336","2020-01-13",6.44
"337","2020-01-14",6.46
"338","2020-01-15",6.45
"339","2020-01-16",6.53
"340","2020-01-17",6.63
"341","2020-01-21",6.92
"342","2020-01-22",7
"343","2020-01-23",6.7
"344","2020-01-24",6.63
"345","2020-01-27",7
"346","2020-01-28",8
"347","2020-01-29",7.15
"348","2020-01-30",6.31
"349","2020-01-31",5.55
"350","2020-02-03",5.55
"351","2020-02-04",5.62
"352","2020-02-05",5.53
"353","2020-02-06",5.43
"354","2020-02-07",5.47
"355","2020-02-10",5.35
"356","2020-02-11",5.46
"357","2020-02-12",5.61
"358","2020-02-13",5.63
"359","2020-02-14",6.03
"360","2020-02-18",7.2
"361","2020-02-19",6.9
"362","2020-02-20",7.16
"363","2020-02-21",6.76
"364","2020-02-24",6.6
"365","2020-02-25",6.74
"366","2020-02-26",6.68
"367","2020-02-27",6.55
"368","2020-02-28",6.51
"369","2020-03-02",6.78
"370","2020-03-03",7.01
"371","2020-03-04",6.17
"372","2020-03-05",6.18
"373","2020-03-06",6.08
"374","2020-03-09",5.7
"375","2020-03-10",6.1
"376","2020-03-11",6.55
"377","2020-03-12",6.33
"378","2020-03-13",6.39
"379","2020-03-16",6.71
"380","2020-03-17",6.4
"381","2020-03-18",5.9
"382","2020-03-19",5.78
"383","2020-03-20",6.1
"384","2020-03-23",5.94
"385","2020-03-24",6.56
"386","2020-03-25",6.32
"387","2020-03-26",6.77
"388","2020-03-27",6.7
"389","2020-03-30",6.35
"390","2020-03-31",6.61
"391","2020-04-01",6.6
"392","2020-04-02",6.61
"393","2020-04-03",6.55
"394","2020-04-06",6.84
"395","2020-04-07",7.2
"396","2020-04-08",7.16
"397","2020-04-09",7.5
"398","2020-04-13",7.44
"399","2020-04-14",7.46
"400","2020-04-15",7.53
"401","2020-04-16",7.41
"402","2020-04-17",7.55
"403","2020-04-20",7.54
"404","2020-04-21",7.05
"405","2020-04-22",7.39
"406","2020-04-23",6.76
"407","2020-04-24",6.5
"408","2020-04-27",7.47
"409","2020-04-28",7.12
"410","2020-04-29",7.49
"411","2020-04-30",7.6
"412","2020-05-01",7.23
"413","2020-05-04",7.6
"414","2020-05-05",7.42
"415","2020-05-06",7.48
"416","2020-05-07",7.6
"417","2020-05-08",7.53
"418","2020-05-11",7.44
"419","2020-05-12",7.17
"420","2020-05-13",7.61
"421","2020-05-14",7.6
"422","2020-05-15",7.61
"423","2020-05-18",7.61
"424","2020-05-19",7.64
"425","2020-05-20",7.3
"426","2020-05-21",7.47
"427","2020-05-22",7.09
"428","2020-05-26",7.4
"429","2020-05-27",7.64
"430","2020-05-28",7.56
"431","2020-05-29",7.4
"432","2020-06-01",7.24
"433","2020-06-02",7.42
"434","2020-06-03",7.29
"435","2020-06-04",7.13
"436","2020-06-05",7
"437","2020-06-08",7.1
"438","2020-06-09",6.97
"439","2020-06-10",7.03
"440","2020-06-11",6.32
"441","2020-06-12",6.38
"442","2020-06-15",6.62
"443","2020-06-16",6.83
"444","2020-06-17",6.86
"445","2020-06-18",6.69
"446","2020-06-19",6.86
"447","2020-06-22",6.42
"448","2020-06-23",6.59
"449","2020-06-24",6.34
"450","2020-06-25",6.22
"451","2020-06-26",6.78
"452","2020-06-29",6.44
"453","2020-06-30",6.35
"454","2020-07-01",6.33
"455","2020-07-02",6.38
"456","2020-07-06",6.68
"457","2020-07-07",6.73
"458","2020-07-08",6.74
"459","2020-07-09",6.74
"460","2020-07-10",6.74
"461","2020-07-13",6.48
"462","2020-07-14",6.64
"463","2020-07-15",6.31
"464","2020-07-16",6.53
"465","2020-07-17",6.72
"466","2020-07-20",6.7
"467","2020-07-21",6.84
"468","2020-07-22",6.8
"469","2020-07-23",6.29
"470","2020-07-24",6.14
"471","2020-07-27",6.27
"472","2020-07-28",6.47
"473","2020-07-29",6.39
"474","2020-07-30",6.39
"475","2020-07-31",6.47
"476","2020-08-03",6.31
"477","2020-08-04",6.44
"478","2020-08-05",6.47
"479","2020-08-06",6.48
"480","2020-08-07",6.43
"481","2020-08-10",6.79
"482","2020-08-11",6.74
"483","2020-08-12",6.56
"484","2020-08-13",6.68
"485","2020-08-14",6.53
"486","2020-08-17",6.7
"487","2020-08-18",6.77
"488","2020-08-19",6.75
"489","2020-08-20",7.33
"490","2020-08-21",6.88
"491","2020-08-24",6.56
"492","2020-08-25",6.28
"493","2020-08-26",6.42
"494","2020-08-27",6.25
"495","2020-08-28",6.14
"496","2020-08-31",6.16
"497","2020-09-01",6.22
"498","2020-09-02",6.23
"499","2020-09-03",6.18
"500","2020-09-04",5.96
"501","2020-09-08",5.45
"502","2020-09-09",5.76
"503","2020-09-10",5.73
"504","2020-09-11",5.57
"505","2020-09-14",5.75
"506","2020-09-15",5.92
"507","2020-09-16",5.89
"508","2020-09-17",5.95
"509","2020-09-18",5.9
"510","2020-09-21",6.59
"511","2020-09-22",6
"512","2020-09-23",5.83
"513","2020-09-24",6.03
"514","2020-09-25",6.12
"515","2020-09-28",6.17
"516","2020-09-29",6.15
"517","2020-09-30",6.2
"518","2020-10-01",6.32
"519","2020-10-02",6.23
"520","2020-10-05",6.8
"521","2020-10-06",6.79
"522","2020-10-07",6.65
"523","2020-10-08",6.57
"524","2020-10-09",6.57
"525","2020-10-12",6.63
"526","2020-10-13",6.52
"527","2020-10-14",6.5
"528","2020-10-15",6.57
"529","2020-10-16",6.8
"530","2020-10-19",6.79
"531","2020-10-20",6.8
"532","2020-10-21",7
"533","2020-10-22",7.05
"534","2020-10-23",7
"535","2020-10-26",6.82
"536","2020-10-27",6.84
"537","2020-10-28",6.81
"538","2020-10-29",7
"539","2020-10-30",6.94
"540","2020-11-02",6.54
"541","2020-11-03",6.51
"542","2020-11-04",6.56
"543","2020-11-05",6.64
"544","2020-11-06",6.84
"545","2020-11-09",7.02
"546","2020-11-10",7.03
"547","2020-11-11",7.45
"548","2020-11-12",7.2
"549","2020-11-13",7.27
"550","2020-11-16",7.16
"551","2020-11-17",7.25
"552","2020-11-18",7.15
"553","2020-11-19",7.2
"554","2020-11-20",6.8
"555","2020-11-23",6.97
"556","2020-11-24",6.86
"557","2020-11-25",6.75
"558","2020-11-27",7.14
