"","date","OGI"
"93","2019-10-01",3.54
"94","2019-10-02",3.58
"95","2019-10-03",3.56
"96","2019-10-04",3.42
"97","2019-10-07",3.22
"98","2019-10-08",3.15
"99","2019-10-09",3.15
"100","2019-10-10",2.72
"101","2019-10-11",3.16
"102","2019-10-14",3.26
"103","2019-10-15",3.54
"104","2019-10-16",3.44
"105","2019-10-17",3.73
"106","2019-10-18",3.6
"107","2019-10-21",3.56
"108","2019-10-22",3.54
"109","2019-10-23",3.6
"110","2019-10-24",3.56
"111","2019-10-25",3.77
"112","2019-10-28",3.64
"113","2019-10-29",3.39
"114","2019-10-30",3.35
"115","2019-10-31",3.33
"116","2019-11-01",3.41
"117","2019-11-04",3.26
"118","2019-11-05",3.45
"119","2019-11-06",3.7
"120","2019-11-07",3.52
"121","2019-11-08",3.66
"122","2019-11-11",3.39
"123","2019-11-12",2.73
"124","2019-11-13",2.51
"125","2019-11-14",2.47
"126","2019-11-15",2.29
"127","2019-11-18",2.06
"128","2019-11-19",2.32
"129","2019-11-20",2.46
"130","2019-11-21",2.86
"131","2019-11-22",2.64
"132","2019-11-25",2.53
"133","2019-11-26",2.54
"134","2019-11-27",2.7
"135","2019-11-29",2.69
"136","2019-12-02",2.69
"137","2019-12-03",2.83
"138","2019-12-04",2.57
"139","2019-12-05",2.62
"140","2019-12-06",2.59
"141","2019-12-09",2.69
"142","2019-12-10",2.58
"143","2019-12-11",2.56
"144","2019-12-12",2.57
"145","2019-12-13",2.59
"146","2019-12-16",2.56
"147","2019-12-17",2.53
"148","2019-12-18",2.36
"149","2019-12-19",2.44
"150","2019-12-20",2.38
"151","2019-12-23",2.47
"152","2019-12-24",2.51
"153","2019-12-26",2.34
"154","2019-12-27",2.35
"155","2019-12-30",2.23
"156","2019-12-31",2.45
"157","2020-01-02",2.33
"158","2020-01-03",2.27
"159","2020-01-06",2.18
"160","2020-01-07",2.06
"161","2020-01-08",2.13
"162","2020-01-09",2.1
"163","2020-01-10",2.02
"164","2020-01-13",2.23
"165","2020-01-14",2.16
"166","2020-01-15",3.14
"167","2020-01-16",3.4
"168","2020-01-17",3.26
"169","2020-01-21",3.01
"170","2020-01-22",2.92
"171","2020-01-23",2.89
"172","2020-01-24",2.76
"173","2020-01-27",2.61
"174","2020-01-28",2.72
"175","2020-01-29",2.72
"176","2020-01-30",2.63
"177","2020-01-31",2.59
"178","2020-02-03",2.53
"179","2020-02-04",2.61
"180","2020-02-05",2.53
"181","2020-02-06",2.35
"182","2020-02-07",2.27
"183","2020-02-10",2.31
"184","2020-02-11",2.32
"185","2020-02-12",2.21
"186","2020-02-13",2.4
"187","2020-02-14",2.72
"188","2020-02-18",2.68
"189","2020-02-19",2.65
"190","2020-02-20",2.68
"191","2020-02-21",2.68
"192","2020-02-24",2.5
"193","2020-02-25",2.4
"194","2020-02-26",2.35
"195","2020-02-27",2.22
"196","2020-02-28",2.2
"197","2020-03-02",2.26
"198","2020-03-03",2.13
"199","2020-03-04",2.18
"200","2020-03-05",2.09
"201","2020-03-06",1.97
"202","2020-03-09",1.77
"203","2020-03-10",1.86
"204","2020-03-11",1.72
"205","2020-03-12",1.44
"206","2020-03-13",1.64
"207","2020-03-16",1.6
"208","2020-03-17",1.7
"209","2020-03-18",1.54
"210","2020-03-19",1.53
"211","2020-03-20",1.57
"212","2020-03-23",1.5
"213","2020-03-24",1.63
"214","2020-03-25",1.77
"215","2020-03-26",1.95
"216","2020-03-27",2.1
"217","2020-03-30",2.03
"218","2020-03-31",2
"219","2020-04-01",1.8
"220","2020-04-02",1.82
"221","2020-04-03",1.62
"222","2020-04-06",1.71
"223","2020-04-07",1.72
"224","2020-04-08",1.83
"225","2020-04-09",1.84
"226","2020-04-13",1.81
"227","2020-04-14",1.595
"228","2020-04-15",1.57
"229","2020-04-16",1.51
"230","2020-04-17",1.59
"231","2020-04-20",1.57
"232","2020-04-21",1.55
"233","2020-04-22",1.52
"234","2020-04-23",1.52
"235","2020-04-24",1.58
"236","2020-04-27",1.69
"237","2020-04-28",1.61
"238","2020-04-29",1.63
"239","2020-04-30",1.58
"240","2020-05-01",1.5
"241","2020-05-04",1.53
"242","2020-05-05",1.49
"243","2020-05-06",1.46
"244","2020-05-07",1.47
"245","2020-05-08",1.45
"246","2020-05-11",1.41
"247","2020-05-12",1.31
"248","2020-05-13",1.17
"249","2020-05-14",1.26
"250","2020-05-15",1.45
"251","2020-05-18",1.62
"252","2020-05-19",1.56
"253","2020-05-20",1.54
"254","2020-05-21",1.58
"255","2020-05-22",1.65
"256","2020-05-26",1.72
"257","2020-05-27",1.69
"258","2020-05-28",1.87
"259","2020-05-29",1.74
"260","2020-06-01",1.82
"261","2020-06-02",1.8
"262","2020-06-03",1.8
"263","2020-06-04",1.75
"264","2020-06-05",1.76
"265","2020-06-08",2.03
"266","2020-06-09",2.14
"267","2020-06-10",2.18
"268","2020-06-11",1.82
"269","2020-06-12",1.99
"270","2020-06-15",1.97
"271","2020-06-16",1.97
"272","2020-06-17",1.91
"273","2020-06-18",1.95
"274","2020-06-19",1.89
"275","2020-06-22",1.86
"276","2020-06-23",1.88
"277","2020-06-24",1.8
"278","2020-06-25",1.75
"279","2020-06-26",1.67
"280","2020-06-29",1.64
"281","2020-06-30",1.56
"282","2020-07-01",1.62
"283","2020-07-02",1.62
"284","2020-07-06",1.56
"285","2020-07-07",1.59
"286","2020-07-08",1.54
"287","2020-07-09",1.49
"288","2020-07-10",1.53
"289","2020-07-13",1.51
"290","2020-07-14",1.52
"291","2020-07-15",1.58
"292","2020-07-16",1.55
"293","2020-07-17",1.56
"294","2020-07-20",1.52
"295","2020-07-21",1.38
"296","2020-07-22",1.37
"297","2020-07-23",1.32
"298","2020-07-24",1.34
"299","2020-07-27",1.33
"300","2020-07-28",1.36
"301","2020-07-29",1.31
"302","2020-07-30",1.28
"303","2020-07-31",1.23
"304","2020-08-03",1.28
"305","2020-08-04",1.3
"306","2020-08-05",1.31
"307","2020-08-06",1.25
"308","2020-08-07",1.27
"309","2020-08-10",1.34
"310","2020-08-11",1.33
"311","2020-08-12",1.35
"312","2020-08-13",1.39
"313","2020-08-14",1.47
"314","2020-08-17",1.45
"315","2020-08-18",1.46
"316","2020-08-19",1.37
"317","2020-08-20",1.33
"318","2020-08-21",1.29
"319","2020-08-24",1.28
"320","2020-08-25",1.29
"321","2020-08-26",1.27
"322","2020-08-27",1.26
"323","2020-08-28",1.28
"324","2020-08-31",1.26
"325","2020-09-01",1.23
"326","2020-09-02",1.18
"327","2020-09-03",1.15
"328","2020-09-04",1.15
"329","2020-09-08",1.12
"330","2020-09-09",1.09
"331","2020-09-10",1.13
"332","2020-09-11",1.06
"333","2020-09-14",1.07
"334","2020-09-15",1.075
"335","2020-09-16",1.16
"336","2020-09-17",1.13
"337","2020-09-18",1.14
"338","2020-09-21",1.19
"339","2020-09-22",1.19
"340","2020-09-23",1.11
"341","2020-09-24",1.08
"342","2020-09-25",1.05
"343","2020-09-28",1.01
"344","2020-09-29",1.05
"345","2020-09-30",1.05
"346","2020-10-01",1.05
"347","2020-10-02",1.03
"348","2020-10-05",1.07
"349","2020-10-06",1.06
"350","2020-10-07",1.13
"351","2020-10-08",1.26
"352","2020-10-09",1.21
"353","2020-10-12",1.24
"354","2020-10-13",1.27
"355","2020-10-14",1.2
"356","2020-10-15",1.19
"357","2020-10-16",1.18
"358","2020-10-19",1.25
"359","2020-10-20",1.22
"360","2020-10-21",1.24
"361","2020-10-22",1.25
"362","2020-10-23",1.26
"363","2020-10-26",1.22
"364","2020-10-27",1.22
"365","2020-10-28",1.19
"366","2020-10-29",1.22
"367","2020-10-30",1.2
"368","2020-11-02",1.32
"369","2020-11-03",1.34
"370","2020-11-04",1.24
"371","2020-11-05",1.4
"372","2020-11-06",1.65
"373","2020-11-09",1.6
"374","2020-11-10",1.23
"375","2020-11-11",1.23
"376","2020-11-12",1.15
"377","2020-11-13",1.13
"378","2020-11-16",1.13
"379","2020-11-17",1.18
"380","2020-11-18",1.13
"381","2020-11-19",1.12
"382","2020-11-20",1.12
"383","2020-11-23",1.12
"384","2020-11-24",1.22
"385","2020-11-25",1.22
"386","2020-11-27",1.33
