"","date","NTRS"
"329","2008-04-23",75.080002
"330","2008-04-24",74.910004
"331","2008-04-25",76.699997
"332","2008-04-28",74.949997
"333","2008-04-29",74.599998
"334","2008-04-30",74.110001
"335","2008-05-01",77.160004
"336","2008-05-02",75.919998
"337","2008-05-05",76.07
"338","2008-05-06",76.650002
"339","2008-05-07",73.82
"340","2008-05-08",74.260002
"341","2008-05-09",72.949997
"342","2008-05-12",75.839996
"343","2008-05-13",75.449997
"344","2008-05-14",76.059998
"345","2008-05-15",77.580002
"346","2008-05-16",76.059998
"347","2008-05-19",75.43
"348","2008-05-20",74.660004
"349","2008-05-21",73.57
"350","2008-05-22",75.010002
"351","2008-05-23",74.709999
"352","2008-05-27",75.190002
"353","2008-05-28",75.32
"354","2008-05-29",76.290001
"355","2008-05-30",76
"356","2008-06-02",74.540001
"357","2008-06-03",74.040001
"358","2008-06-04",71.970001
"359","2008-06-05",74.279999
"360","2008-06-06",71.370003
"361","2008-06-09",70.040001
"362","2008-06-10",70.790001
"363","2008-06-11",68.980003
"364","2008-06-12",70.410004
"365","2008-06-13",70.910004
"366","2008-06-16",71.349998
"367","2008-06-17",70.629997
"368","2008-06-18",71.540001
"369","2008-06-19",73.809998
"370","2008-06-20",72.690002
"371","2008-06-23",70.790001
"372","2008-06-24",70.949997
"373","2008-06-25",70.860001
"374","2008-06-26",69.589996
"375","2008-06-27",68.980003
"376","2008-06-30",68.57
"377","2008-07-01",70.230003
"378","2008-07-02",68.529999
"379","2008-07-03",67.989998
"380","2008-07-07",66.290001
"381","2008-07-08",70.940002
"382","2008-07-09",68.029999
"383","2008-07-10",69.370003
"384","2008-07-11",69.739998
"385","2008-07-14",66.440002
"386","2008-07-15",67.190002
"387","2008-07-16",76
"388","2008-07-17",78.480003
"389","2008-07-18",78.129997
"390","2008-07-21",77.080002
"391","2008-07-22",80.589996
"392","2008-07-23",78.68
"393","2008-07-24",75.470001
"394","2008-07-25",77.07
"395","2008-07-28",74.339996
"396","2008-07-29",78.260002
"397","2008-07-30",78.629997
"398","2008-07-31",78.169998
"399","2008-08-01",78.480003
"400","2008-08-04",78.129997
"401","2008-08-05",80.809998
"402","2008-08-06",81.029999
