"","date","TGI"
"329","2008-04-23",28.875
"330","2008-04-24",29.5
"331","2008-04-25",29.764999
"332","2008-04-28",29.43
"333","2008-04-29",29.57
"334","2008-04-30",29.434999
"335","2008-05-01",30.040001
"336","2008-05-02",35.619999
"337","2008-05-05",36.490002
"338","2008-05-06",36.18
"339","2008-05-07",35.355
"340","2008-05-08",34.669998
"341","2008-05-09",34.650002
"342","2008-05-12",34.599998
"343","2008-05-13",34.865002
"344","2008-05-14",34.450001
"345","2008-05-15",34.470001
"346","2008-05-16",33.724998
"347","2008-05-19",33.904999
"348","2008-05-20",33.5
"349","2008-05-21",31.565001
"350","2008-05-22",31.08
"351","2008-05-23",30.49
"352","2008-05-27",30.74
"353","2008-05-28",30.705
"354","2008-05-29",31.030001
"355","2008-05-30",31.094999
"356","2008-06-02",31.395
"357","2008-06-03",30.42
"358","2008-06-04",28.975
"359","2008-06-05",27.940001
"360","2008-06-06",26.6
"361","2008-06-09",26.775
"362","2008-06-10",26.26
"363","2008-06-11",25.764999
"364","2008-06-12",25.75
"365","2008-06-13",26.035
"366","2008-06-16",26.035
"367","2008-06-17",25.73
"368","2008-06-18",25.844999
"369","2008-06-19",26.1
"370","2008-06-20",25.5
"371","2008-06-23",25.504999
"372","2008-06-24",25.299999
"373","2008-06-25",24.4
"374","2008-06-26",23.76
"375","2008-06-27",23.280001
"376","2008-06-30",23.549999
"377","2008-07-01",23.33
"378","2008-07-02",21.59
"379","2008-07-03",21.41
"380","2008-07-07",21.525
"381","2008-07-08",22.375
"382","2008-07-09",21.26
"383","2008-07-10",21.895
"384","2008-07-11",20.305
"385","2008-07-14",20.315001
"386","2008-07-15",19.665001
"387","2008-07-16",20.5
"388","2008-07-17",21
"389","2008-07-18",21.5
"390","2008-07-21",21.67
"391","2008-07-22",23.075001
"392","2008-07-23",23.934999
"393","2008-07-24",22.58
"394","2008-07-25",24.865
"395","2008-07-28",25.030001
"396","2008-07-29",26.67
"397","2008-07-30",26.995001
"398","2008-07-31",26.48
"399","2008-08-01",26.565001
"400","2008-08-04",25.91
"401","2008-08-05",26.75
"402","2008-08-06",27.014999
"403","2008-08-07",26.275
"404","2008-08-08",28.555
"405","2008-08-11",27.885
"406","2008-08-12",27.315001
"407","2008-08-13",27.6
"408","2008-08-14",28.895
"409","2008-08-15",28.525
"410","2008-08-18",28.035
"411","2008-08-19",27.575001
"412","2008-08-20",27.860001
"413","2008-08-21",26.975
"414","2008-08-22",26.924999
"415","2008-08-25",26.59
"416","2008-08-26",26.5
"417","2008-08-27",26.68
"418","2008-08-28",27.52
"419","2008-08-29",27.370001
"420","2008-09-02",27.450001
"421","2008-09-03",27.844999
"422","2008-09-04",27.34
"423","2008-09-05",28.02
"424","2008-09-08",27.465
"425","2008-09-09",26.77
"426","2008-09-10",27.075001
"427","2008-09-11",27.205
"428","2008-09-12",27.195
"429","2008-09-15",26.01
"430","2008-09-16",25.49
"431","2008-09-17",23.395
"432","2008-09-18",24.33
"433","2008-09-19",25.945
"434","2008-09-22",24.639999
"435","2008-09-23",25.205
"436","2008-09-24",24.415001
"437","2008-09-25",25.190001
"438","2008-09-26",24.65
"439","2008-09-29",22.465
"440","2008-09-30",22.855
"441","2008-10-01",22.325001
"442","2008-10-02",20.9
"443","2008-10-03",20.325001
"444","2008-10-06",19.120001
"445","2008-10-07",18.290001
"446","2008-10-08",17.309999
"447","2008-10-09",16.950001
"448","2008-10-10",16.639999
"449","2008-10-13",18.584999
"450","2008-10-14",18.285
"451","2008-10-15",16.139999
"452","2008-10-16",17.459999
"453","2008-10-17",17.16
"454","2008-10-20",18.705
"455","2008-10-21",18.35
"456","2008-10-22",17.26
"457","2008-10-23",16.655001
"458","2008-10-24",18.18
"459","2008-10-27",17.110001
"460","2008-10-28",20.775
"461","2008-10-29",22.43
"462","2008-10-30",22.184999
"463","2008-10-31",21.93
"464","2008-11-03",22.004999
"465","2008-11-04",21.684999
"466","2008-11-05",20.219999
"467","2008-11-06",19.299999
"468","2008-11-07",19.629999
"469","2008-11-10",19.635
"470","2008-11-11",19.280001
"471","2008-11-12",18.25
"472","2008-11-13",20.025
"473","2008-11-14",17.25
"474","2008-11-17",16.555
"475","2008-11-18",16.875
"476","2008-11-19",16.209999
"477","2008-11-20",14.075
"478","2008-11-21",15.12
"479","2008-11-24",15.58
"480","2008-11-25",15.555
"481","2008-11-26",16.58
"482","2008-11-28",17.1
"483","2008-12-01",15.5
"484","2008-12-02",16.549999
"485","2008-12-03",17.1
"486","2008-12-04",16.365
"487","2008-12-05",16.715
"488","2008-12-08",18.219999
"489","2008-12-09",17.764999
"490","2008-12-10",18.85
"491","2008-12-11",18.075001
"492","2008-12-12",18.84
"493","2008-12-15",18.299999
"494","2008-12-16",19.705
"495","2008-12-17",20.299999
"496","2008-12-18",20.59
"497","2008-12-19",20.969999
"498","2008-12-22",20.915001
"499","2008-12-23",19.82
"500","2008-12-24",20.26
"501","2008-12-26",20.485001
"502","2008-12-29",19.945
"503","2008-12-30",20
"504","2008-12-31",21.23
"505","2009-01-02",21.1
"506","2009-01-05",20.129999
"507","2009-01-06",21.34
"508","2009-01-07",20.780001
"509","2009-01-08",20.98
"510","2009-01-09",20.504999
"511","2009-01-12",19.955
"512","2009-01-13",19.934999
"513","2009-01-14",18.815001
"514","2009-01-15",19.205
"515","2009-01-16",19.795
"516","2009-01-20",18.790001
"517","2009-01-21",20.34
"518","2009-01-22",19.66
"519","2009-01-23",19.9
"520","2009-01-26",20.075001
"521","2009-01-27",20.535
"522","2009-01-28",21.455
"523","2009-01-29",20.754999
"524","2009-01-30",22.639999
"525","2009-02-02",22.18
"526","2009-02-03",22.665001
"527","2009-02-04",22.965
"528","2009-02-05",22.440001
"529","2009-02-06",22.754999
"530","2009-02-09",22.65
"531","2009-02-10",22.184999
"532","2009-02-11",22.145
"533","2009-02-12",22.145
"534","2009-02-13",22.41
"535","2009-02-17",21.709999
"536","2009-02-18",21.049999
"537","2009-02-19",21.16
"538","2009-02-20",19.959999
"539","2009-02-23",19.23
"540","2009-02-24",19.684999
"541","2009-02-25",18.785
"542","2009-02-26",18.525
"543","2009-02-27",18.059999
"544","2009-03-02",16.709999
"545","2009-03-03",16.52
"546","2009-03-04",17.035
"547","2009-03-05",16.455
"548","2009-03-06",16.26
"549","2009-03-09",15.625
"550","2009-03-10",16.535
"551","2009-03-11",16.575001
"552","2009-03-12",18.075001
"553","2009-03-13",17.885
"554","2009-03-16",18.645
"555","2009-03-17",18.35
"556","2009-03-18",18.879999
"557","2009-03-19",18.184999
"558","2009-03-20",17.370001
"559","2009-03-23",18.834999
"560","2009-03-24",19.065001
"561","2009-03-25",19.555
"562","2009-03-26",20.555
"563","2009-03-27",19.65
"564","2009-03-30",18.98
"565","2009-03-31",19.1
"566","2009-04-01",18.799999
"567","2009-04-02",19.940001
"568","2009-04-03",20.475
"569","2009-04-06",20.85
"570","2009-04-07",20.700001
"571","2009-04-08",20.83
"572","2009-04-09",21.540001
"573","2009-04-13",20.764999
"574","2009-04-14",20.02
"575","2009-04-15",20.469999
"576","2009-04-16",20.51
"577","2009-04-17",19.674999
"578","2009-04-20",18.834999
"579","2009-04-21",19.219999
"580","2009-04-22",19.805
"581","2009-04-23",20.504999
"582","2009-04-24",20.280001
"583","2009-04-27",20.32
"584","2009-04-28",20.275
"585","2009-04-29",21.475
"586","2009-04-30",20.665001
"587","2009-05-01",20.895
"588","2009-05-04",21.48
"589","2009-05-05",21.094999
"590","2009-05-06",20.225
