"","date","ADSW"
"320","2018-01-12",24.17
"321","2018-01-16",24.030001
"322","2018-01-17",23.99
"323","2018-01-18",23.92
"324","2018-01-19",24.08
"325","2018-01-22",24.43
"326","2018-01-23",24.360001
"327","2018-01-24",24.299999
"328","2018-01-25",24.33
"329","2018-01-26",24.389999
"330","2018-01-29",24.190001
"331","2018-01-30",24.26
"332","2018-01-31",24.370001
"333","2018-02-01",24.17
"334","2018-02-02",24.02
"335","2018-02-05",23.68
"336","2018-02-06",23.280001
"337","2018-02-07",23.610001
"338","2018-02-08",22.969999
"339","2018-02-09",23.209999
"340","2018-02-12",22.85
"341","2018-02-13",23.15
"342","2018-02-14",23.6
"343","2018-02-15",23.540001
"344","2018-02-16",23.950001
"345","2018-02-20",23.610001
"346","2018-02-21",23.59
"347","2018-02-22",23.5
"348","2018-02-23",22.33
"349","2018-02-26",22.16
"350","2018-02-27",22.51
"351","2018-02-28",22.379999
"352","2018-03-01",21.620001
"353","2018-03-02",22.16
"354","2018-03-05",22.26
"355","2018-03-06",22.42
"356","2018-03-07",22.52
"357","2018-03-08",22.709999
"358","2018-03-09",22.73
"359","2018-03-12",22.780001
"360","2018-03-13",22.450001
"361","2018-03-14",22.41
"362","2018-03-15",22.459999
"363","2018-03-16",22.49
"364","2018-03-19",22.4
"365","2018-03-20",22.27
"366","2018-03-21",22.35
"367","2018-03-22",22
"368","2018-03-23",21.940001
"369","2018-03-26",21.9
"370","2018-03-27",21.799999
"371","2018-03-28",21.879999
"372","2018-03-29",22.280001
"373","2018-04-02",22.059999
"374","2018-04-03",22.48
"375","2018-04-04",22.51
"376","2018-04-05",22.690001
"377","2018-04-06",22.33
"378","2018-04-09",22.27
"379","2018-04-10",22.43
"380","2018-04-11",22.450001
"381","2018-04-12",22.719999
"382","2018-04-13",22.700001
"383","2018-04-16",22.74
"384","2018-04-17",22.84
"385","2018-04-18",22.809999
"386","2018-04-19",22.66
"387","2018-04-20",22.51
"388","2018-04-23",22.530001
"389","2018-04-24",22.459999
"390","2018-04-25",22.379999
"391","2018-04-26",22.4
"392","2018-04-27",22.5
"393","2018-04-30",22.040001
"394","2018-05-01",22.27
"395","2018-05-02",22.219999
"396","2018-05-03",22.9
"397","2018-05-04",22.870001
"398","2018-05-07",22.860001
"399","2018-05-08",22.75
"400","2018-05-09",23.059999
"401","2018-05-10",23
"402","2018-05-11",23.040001
"403","2018-05-14",23.379999
"404","2018-05-15",23.24
"405","2018-05-16",23.450001
"406","2018-05-17",23.34
"407","2018-05-18",23.309999
"408","2018-05-21",23.620001
"409","2018-05-22",23.24
"410","2018-05-23",23.540001
"411","2018-05-24",23.469999
"412","2018-05-25",23.59
"413","2018-05-29",23.309999
"414","2018-05-30",23.549999
"415","2018-05-31",23.379999
"416","2018-06-01",23.43
"417","2018-06-04",23.389999
"418","2018-06-05",23.42
"419","2018-06-06",23.68
"420","2018-06-07",23.75
"421","2018-06-08",23.780001
"422","2018-06-11",23.809999
"423","2018-06-12",23.99
"424","2018-06-13",23.620001
"425","2018-06-14",23.870001
"426","2018-06-15",23.780001
"427","2018-06-18",23.99
"428","2018-06-19",24
"429","2018-06-20",24.08
"430","2018-06-21",24.08
"431","2018-06-22",24.530001
"432","2018-06-25",24.450001
"433","2018-06-26",24.92
"434","2018-06-27",24.73
"435","2018-06-28",24.969999
"436","2018-06-29",24.780001
"437","2018-07-02",24.85
"438","2018-07-03",24.82
"439","2018-07-05",25
"440","2018-07-06",24.91
"441","2018-07-09",24.950001
"442","2018-07-10",25
"443","2018-07-11",25.01
"444","2018-07-12",25.540001
"445","2018-07-13",25.43
"446","2018-07-16",24.98
"447","2018-07-17",24.780001
"448","2018-07-18",24.360001
"449","2018-07-19",24.379999
"450","2018-07-20",24.33
"451","2018-07-23",24.129999
"452","2018-07-24",23.77
"453","2018-07-25",24.190001
"454","2018-07-26",24.700001
"455","2018-07-27",24.540001
"456","2018-07-30",24.42
"457","2018-07-31",24.6
"458","2018-08-01",24.48
"459","2018-08-02",24.07
"460","2018-08-03",24.360001
"461","2018-08-06",24.25
"462","2018-08-07",24.09
"463","2018-08-08",24.08
"464","2018-08-09",24.4
"465","2018-08-10",24.5
"466","2018-08-13",24.42
"467","2018-08-14",24.719999
"468","2018-08-15",24.9
"469","2018-08-16",25.32
"470","2018-08-17",25.41
"471","2018-08-20",25.440001
"472","2018-08-21",25.83
"473","2018-08-22",25.65
"474","2018-08-23",25.799999
"475","2018-08-24",25.93
"476","2018-08-27",26.040001
"477","2018-08-28",26.219999
"478","2018-08-29",26.360001
"479","2018-08-30",26.690001
"480","2018-08-31",26.68
"481","2018-09-04",27.129999
"482","2018-09-05",27.4
"483","2018-09-06",27.65
"484","2018-09-07",27.700001
"485","2018-09-10",27.76
"486","2018-09-11",26.98
"487","2018-09-12",26.98
"488","2018-09-13",27.09
"489","2018-09-14",27.25
"490","2018-09-17",27.09
"491","2018-09-18",27.559999
"492","2018-09-19",27.379999
"493","2018-09-20",27.59
"494","2018-09-21",27.34
"495","2018-09-24",27.209999
"496","2018-09-25",27.27
"497","2018-09-26",26.98
"498","2018-09-27",27.01
"499","2018-09-28",27.08
"500","2018-10-01",26.700001
"501","2018-10-02",26.610001
"502","2018-10-03",26.24
"503","2018-10-04",25.83
"504","2018-10-05",25.959999
"505","2018-10-08",26.299999
"506","2018-10-09",26.33
"507","2018-10-10",26.42
"508","2018-10-11",25.790001
"509","2018-10-12",25.67
"510","2018-10-15",25.99
"511","2018-10-16",26.790001
"512","2018-10-17",26.65
"513","2018-10-18",26.84
"514","2018-10-19",26.76
"515","2018-10-22",26.719999
"516","2018-10-23",26.299999
"517","2018-10-24",25.950001
"518","2018-10-25",25.540001
"519","2018-10-26",25.74
"520","2018-10-29",26.23
"521","2018-10-30",26.809999
"522","2018-10-31",27.09
"523","2018-11-01",24.719999
"524","2018-11-02",25.290001
"525","2018-11-05",25.200001
"526","2018-11-06",25.700001
"527","2018-11-07",26.25
"528","2018-11-08",26.73
"529","2018-11-09",26.68
"530","2018-11-12",26.889999
"531","2018-11-13",26.309999
"532","2018-11-14",26.09
"533","2018-11-15",25.9
"534","2018-11-16",26.549999
"535","2018-11-19",26.99
"536","2018-11-20",26.42
"537","2018-11-21",26.879999
"538","2018-11-23",26.92
"539","2018-11-26",26.98
"540","2018-11-27",26.5
