"","date","AL"
"362","2012-09-24",21.030001
"363","2012-09-25",20.41
"364","2012-09-26",20.190001
"365","2012-09-27",20.48
"366","2012-09-28",20.4
"367","2012-10-01",20.59
"368","2012-10-02",20.559999
"369","2012-10-03",20.33
"370","2012-10-04",20.27
"371","2012-10-05",20.719999
"372","2012-10-08",20.690001
"373","2012-10-09",20.549999
"374","2012-10-10",20.76
"375","2012-10-11",20.700001
"376","2012-10-12",20.57
"377","2012-10-15",20.530001
"378","2012-10-16",20.57
"379","2012-10-17",20.52
"380","2012-10-18",20.59
"381","2012-10-19",20.469999
"382","2012-10-22",20.42
"383","2012-10-23",20.4
"384","2012-10-24",20.26
"385","2012-10-25",20.43
"386","2012-10-26",20.85
"387","2012-10-31",20.82
"388","2012-11-01",21.059999
"389","2012-11-02",21.07
"390","2012-11-05",21.549999
"391","2012-11-06",22.15
"392","2012-11-07",21.49
"393","2012-11-08",21.360001
"394","2012-11-09",22.09
"395","2012-11-12",22.33
"396","2012-11-13",22.75
"397","2012-11-14",22.43
"398","2012-11-15",22.52
"399","2012-11-16",22.530001
"400","2012-11-19",22.389999
"401","2012-11-20",22.120001
"402","2012-11-21",22.23
"403","2012-11-23",22.42
"404","2012-11-26",22.629999
"405","2012-11-27",22.66
"406","2012-11-28",22.49
"407","2012-11-29",22.629999
"408","2012-11-30",22.25
"409","2012-12-03",22.51
"410","2012-12-04",22.559999
"411","2012-12-05",22.57
"412","2012-12-06",22.559999
"413","2012-12-07",22.709999
"414","2012-12-10",22.67
"415","2012-12-11",22.74
"416","2012-12-12",22.49
"417","2012-12-13",22.190001
"418","2012-12-14",21.700001
"419","2012-12-17",21.969999
"420","2012-12-18",22.200001
"421","2012-12-19",22.200001
"422","2012-12-20",21.99
"423","2012-12-21",21.719999
"424","2012-12-24",21.59
"425","2012-12-26",21.32
"426","2012-12-27",21.25
"427","2012-12-28",21.27
"428","2012-12-31",21.5
"429","2013-01-02",21.959999
"430","2013-01-03",22.17
"431","2013-01-04",22.139999
"432","2013-01-07",22.459999
"433","2013-01-08",21.92
"434","2013-01-09",21.889999
"435","2013-01-10",22.02
"436","2013-01-11",22.43
"437","2013-01-14",22.690001
"438","2013-01-15",22.43
"439","2013-01-16",22.48
"440","2013-01-17",22.75
"441","2013-01-18",23.440001
"442","2013-01-22",22.84
