"","date","BWMX"
"364","2020-06-12",9.2
"365","2020-06-15",8.8
"366","2020-06-16",10
"367","2020-06-17",10
"368","2020-06-18",8.92
"369","2020-06-19",9
"370","2020-06-22",8.5
"371","2020-06-23",8.95
"372","2020-06-24",8.95
"373","2020-06-25",8.96
"374","2020-06-26",8.95
"375","2020-06-29",8.95
"376","2020-06-30",9.8
"377","2020-07-01",9.1
"378","2020-07-02",9.25
"379","2020-07-06",9.25
"380","2020-07-07",9.25
"381","2020-07-08",9.25
"382","2020-07-09",9
"383","2020-07-10",9
"384","2020-07-13",8
"385","2020-07-14",8
"386","2020-07-15",8
"387","2020-07-16",8
"388","2020-07-17",8
"389","2020-07-20",9.2
"390","2020-07-21",9.2
"391","2020-07-22",9.2
"392","2020-07-23",9.2
"393","2020-07-24",9.2
"394","2020-07-27",9.2
"395","2020-07-28",9.2
"396","2020-07-29",8.319
"397","2020-07-30",8.319
"398","2020-07-31",13
"399","2020-08-03",12
"400","2020-08-04",12.6
"401","2020-08-05",14.09
"402","2020-08-06",13.44
"403","2020-08-07",14.98
"404","2020-08-10",14.51
"405","2020-08-11",14.386
"406","2020-08-12",15
"407","2020-08-13",14.75
"408","2020-08-14",14.84
"409","2020-08-17",14.98
"410","2020-08-18",14.89
"411","2020-08-19",15.48
"412","2020-08-20",15.95
"413","2020-08-21",15.6
"414","2020-08-24",16.6
"415","2020-08-25",17.68
"416","2020-08-26",17.959999
"417","2020-08-27",17.200001
"418","2020-08-28",18
"419","2020-08-31",17.969999
"420","2020-09-01",17.879999
"421","2020-09-02",19.629999
"422","2020-09-03",18.690001
"423","2020-09-04",17.93
"424","2020-09-08",17.77
"425","2020-09-09",19.01
"426","2020-09-10",19.940001
"427","2020-09-11",22
"428","2020-09-14",23.68
"429","2020-09-15",21.610001
"430","2020-09-16",20.9
"431","2020-09-17",19.68
"432","2020-09-18",19.59
"433","2020-09-21",18.1
"434","2020-09-22",19.01
"435","2020-09-23",18.299999
"436","2020-09-24",17.99
"437","2020-09-25",17.799999
"438","2020-09-28",19
"439","2020-09-29",18.42
"440","2020-09-30",18.190001
"441","2020-10-01",18.18
"442","2020-10-02",18.120001
"443","2020-10-05",18.24
"444","2020-10-06",18.27
"445","2020-10-07",18.16
