"","date","MDJH"
"391","2020-07-27",3.19
"392","2020-07-28",3.09
"393","2020-07-29",3.02
"394","2020-07-30",2.99
"395","2020-07-31",2.88
"396","2020-08-03",3.07
"397","2020-08-04",3.07
"398","2020-08-05",3.12
"399","2020-08-06",3.25
"400","2020-08-07",3.088
"401","2020-08-10",3.395
"402","2020-08-11",3.18
"403","2020-08-12",3.34
"404","2020-08-13",3.47
"405","2020-08-14",3.43
"406","2020-08-17",3.95
"407","2020-08-18",3.689
"408","2020-08-19",4.08
"409","2020-08-20",3.79
"410","2020-08-21",3.73
"411","2020-08-24",3.574
"412","2020-08-25",3.75
"413","2020-08-26",3.69
"414","2020-08-27",4.136
"415","2020-08-28",4.3
"416","2020-08-31",4.303
"417","2020-09-01",4.478
"418","2020-09-02",4.812
"419","2020-09-03",4.309
"420","2020-09-04",4.05
"421","2020-09-08",4.02
"422","2020-09-09",3.97
"423","2020-09-10",3.99
"424","2020-09-11",4
"425","2020-09-14",4.035
"426","2020-09-15",4
"427","2020-09-16",4.15
"428","2020-09-17",4.01
"429","2020-09-18",4.085
"430","2020-09-21",3.86
"431","2020-09-22",3.97
"432","2020-09-23",4.2
"433","2020-09-24",4.07
"434","2020-09-25",4.3
"435","2020-09-28",4.925
"436","2020-09-29",4.77
"437","2020-09-30",4.51
"438","2020-10-01",4.403
"439","2020-10-02",4
"440","2020-10-05",4.04
"441","2020-10-06",3.92
"442","2020-10-07",4.01
"443","2020-10-08",3.92
"444","2020-10-09",4.363
"445","2020-10-12",4.37
"446","2020-10-13",4.31
"447","2020-10-14",4.715
"448","2020-10-15",4.27
"449","2020-10-16",3.61
"450","2020-10-19",3.65
"451","2020-10-20",3.712
"452","2020-10-21",3.85
"453","2020-10-22",3.65
"454","2020-10-23",3.313
"455","2020-10-26",3.47
"456","2020-10-27",3.45
"457","2020-10-28",3.46
"458","2020-10-29",3.43
"459","2020-10-30",3.45
"460","2020-11-02",3.54
"461","2020-11-03",3.484
"462","2020-11-04",3.43
"463","2020-11-05",3.39
"464","2020-11-06",3.35
"465","2020-11-09",3.59
"466","2020-11-10",3.54
"467","2020-11-11",3.36
"468","2020-11-12",3.338
"469","2020-11-13",3.33
"470","2020-11-16",3.31
"471","2020-11-17",3.27
"472","2020-11-18",3.58
"473","2020-11-19",3.471
"474","2020-11-20",3.42
"475","2020-11-23",3.53
"476","2020-11-24",3.64
"477","2020-11-25",3.565
"478","2020-11-27",3.579
