"","date","SPGI"
"371","2008-06-23",42.400002
"372","2008-06-24",41.200001
"373","2008-06-25",42.849998
"374","2008-06-26",41.380001
"375","2008-06-27",40.720001
"376","2008-06-30",40.119999
"377","2008-07-01",40.509998
"378","2008-07-02",39.009998
"379","2008-07-03",38.959999
"380","2008-07-07",37.970001
"381","2008-07-08",38.529999
"382","2008-07-09",36.919998
"383","2008-07-10",36.619999
"384","2008-07-11",36.110001
"385","2008-07-14",36.07
"386","2008-07-15",35.75
"387","2008-07-16",36.919998
"388","2008-07-17",38.049999
"389","2008-07-18",38.549999
"390","2008-07-21",38.169998
"391","2008-07-22",39.049999
"392","2008-07-23",39.630001
"393","2008-07-24",38.75
"394","2008-07-25",38.25
"395","2008-07-28",37.220001
"396","2008-07-29",39.779999
"397","2008-07-30",40.27
"398","2008-07-31",40.669998
"399","2008-08-01",41.669998
"400","2008-08-04",41.66
"401","2008-08-05",43.689999
"402","2008-08-06",43.970001
"403","2008-08-07",41.950001
"404","2008-08-08",44.09
"405","2008-08-11",43.790001
"406","2008-08-12",43.98
"407","2008-08-13",43.27
"408","2008-08-14",44.25
"409","2008-08-15",44.990002
"410","2008-08-18",43.540001
"411","2008-08-19",42.299999
"412","2008-08-20",42.02
"413","2008-08-21",41.860001
"414","2008-08-22",43.259998
"415","2008-08-25",41.889999
"416","2008-08-26",42.029999
"417","2008-08-27",42.41
"418","2008-08-28",44.220001
"419","2008-08-29",42.84
"420","2008-09-02",44.209999
"421","2008-09-03",45.130001
"422","2008-09-04",43.240002
"423","2008-09-05",43.380001
"424","2008-09-08",45.860001
"425","2008-09-09",44.48
"426","2008-09-10",43.75
"427","2008-09-11",44.169998
"428","2008-09-12",43.610001
"429","2008-09-15",41.650002
"430","2008-09-16",41.330002
"431","2008-09-17",38.150002
"432","2008-09-18",40.23
"433","2008-09-19",38.150002
"434","2008-09-22",37.200001
"435","2008-09-23",35.650002
"436","2008-09-24",37.130001
"437","2008-09-25",34.439999
"438","2008-09-26",34.029999
"439","2008-09-29",30
"440","2008-09-30",31.610001
"441","2008-10-01",31.129999
"442","2008-10-02",30
"443","2008-10-03",28.620001
"444","2008-10-06",26.049999
"445","2008-10-07",24.34
"446","2008-10-08",24.549999
"447","2008-10-09",22.24
"448","2008-10-10",21.809999
"449","2008-10-13",27.01
"450","2008-10-14",27.66
"451","2008-10-15",23.99
"452","2008-10-16",25.57
"453","2008-10-17",24.290001
"454","2008-10-20",26.24
"455","2008-10-21",24.48
"456","2008-10-22",22.719999
"457","2008-10-23",22.889999
"458","2008-10-24",20.870001
"459","2008-10-27",20.219999
"460","2008-10-28",22.790001
"461","2008-10-29",23.41
"462","2008-10-30",25.879999
"463","2008-10-31",26.860001
"464","2008-11-03",26.16
"465","2008-11-04",27.68
"466","2008-11-05",26.280001
"467","2008-11-06",24.1
"468","2008-11-07",25
"469","2008-11-10",24.18
"470","2008-11-11",23.66
"471","2008-11-12",22.1
"472","2008-11-13",25
"473","2008-11-14",23.360001
"474","2008-11-17",22.66
"475","2008-11-18",21.870001
"476","2008-11-19",19.450001
"477","2008-11-20",18.59
"478","2008-11-21",20.719999
"479","2008-11-24",23.709999
"480","2008-11-25",23.51
"481","2008-11-26",24.49
"482","2008-11-28",25
"483","2008-12-01",22.15
"484","2008-12-02",23.049999
"485","2008-12-03",24.950001
"486","2008-12-04",23.200001
"487","2008-12-05",24.23
"488","2008-12-08",25.01
"489","2008-12-09",24.870001
"490","2008-12-10",24.75
"491","2008-12-11",23.120001
"492","2008-12-12",23.139999
"493","2008-12-15",23.059999
"494","2008-12-16",24.85
"495","2008-12-17",24.52
"496","2008-12-18",24.309999
"497","2008-12-19",24.309999
"498","2008-12-22",23.889999
"499","2008-12-23",22.700001
"500","2008-12-24",22.610001
"501","2008-12-26",23.01
"502","2008-12-29",22.74
"503","2008-12-30",22.85
"504","2008-12-31",23.190001
"505","2009-01-02",24.610001
"506","2009-01-05",24.59
"507","2009-01-06",25.49
"508","2009-01-07",24.719999
"509","2009-01-08",23.65
"510","2009-01-09",23.52
"511","2009-01-12",22.85
"512","2009-01-13",22.82
"513","2009-01-14",22.219999
"514","2009-01-15",21.780001
"515","2009-01-16",21.440001
"516","2009-01-20",20.129999
"517","2009-01-21",20.790001
"518","2009-01-22",20.67
"519","2009-01-23",20.309999
"520","2009-01-26",20.059999
"521","2009-01-27",20.76
"522","2009-01-28",22.73
"523","2009-01-29",22.440001
"524","2009-01-30",21.99
"525","2009-02-02",22.85
"526","2009-02-03",23.309999
"527","2009-02-04",23.440001
"528","2009-02-05",24.030001
"529","2009-02-06",25
"530","2009-02-09",25.34
"531","2009-02-10",24.48
"532","2009-02-11",24.65
"533","2009-02-12",24.700001
"534","2009-02-13",23.870001
"535","2009-02-17",22.68
"536","2009-02-18",22.559999
"537","2009-02-19",22.33
"538","2009-02-20",21.16
"539","2009-02-23",19.93
"540","2009-02-24",20.620001
"541","2009-02-25",19.969999
"542","2009-02-26",19.99
"543","2009-02-27",19.73
"544","2009-03-02",17.950001
"545","2009-03-03",18.16
"546","2009-03-04",18.83
"547","2009-03-05",17.889999
"548","2009-03-06",17.639999
"549","2009-03-09",17.389999
"550","2009-03-10",18.870001
"551","2009-03-11",19.540001
"552","2009-03-12",20
"553","2009-03-13",19.700001
"554","2009-03-16",19.4
"555","2009-03-17",20.01
"556","2009-03-18",20.049999
"557","2009-03-19",19.639999
"558","2009-03-20",18.91
"559","2009-03-23",21.25
"560","2009-03-24",22.889999
"561","2009-03-25",23.049999
"562","2009-03-26",25.049999
"563","2009-03-27",24.709999
"564","2009-03-30",22.67
"565","2009-03-31",22.870001
"566","2009-04-01",22.99
"567","2009-04-02",24.16
"568","2009-04-03",24.41
"569","2009-04-06",24.09
"570","2009-04-07",22.9
"571","2009-04-08",23.42
"572","2009-04-09",24.6
"573","2009-04-13",25.030001
"574","2009-04-14",24.639999
"575","2009-04-15",25.559999
"576","2009-04-16",27.75
"577","2009-04-17",29.469999
"578","2009-04-20",27.629999
"579","2009-04-21",28.25
"580","2009-04-22",27.959999
"581","2009-04-23",27.799999
"582","2009-04-24",29.07
"583","2009-04-27",29.030001
"584","2009-04-28",28.139999
"585","2009-04-29",29.969999
"586","2009-04-30",30.15
"587","2009-05-01",30.610001
"588","2009-05-04",30.59
"589","2009-05-05",31.9
"590","2009-05-06",33.169998
"591","2009-05-07",32.91
"592","2009-05-08",33.709999
"593","2009-05-11",32.98
"594","2009-05-12",32.23
"595","2009-05-13",29.889999
"596","2009-05-14",30.5
"597","2009-05-15",30.120001
"598","2009-05-18",32.130001
"599","2009-05-19",32.41
"600","2009-05-20",32.43
"601","2009-05-21",30.719999
"602","2009-05-22",30.84
"603","2009-05-26",32.150002
"604","2009-05-27",30.549999
"605","2009-05-28",30.15
"606","2009-05-29",30.09
"607","2009-06-01",32.130001
"608","2009-06-02",32.080002
"609","2009-06-03",31.040001
"610","2009-06-04",30.75
"611","2009-06-05",30.75
"612","2009-06-08",30.950001
"613","2009-06-09",31.73
"614","2009-06-10",31.709999
"615","2009-06-11",31.91
"616","2009-06-12",31.99
"617","2009-06-15",30.540001
"618","2009-06-16",29.6
"619","2009-06-17",30.110001
"620","2009-06-18",30.1
"621","2009-06-19",29.690001
"622","2009-06-22",28.34
"623","2009-06-23",29.200001
"624","2009-06-24",29.41
"625","2009-06-25",29.719999
"626","2009-06-26",29.6
"627","2009-06-29",30.09
"628","2009-06-30",30.110001
"629","2009-07-01",30.629999
"630","2009-07-02",29.379999
"631","2009-07-06",29.690001
"632","2009-07-07",28.870001
"633","2009-07-08",29.83
"634","2009-07-09",30
"635","2009-07-10",30.08
"636","2009-07-13",30.48
"637","2009-07-14",30.870001
"638","2009-07-15",32.080002
"639","2009-07-16",32.380001
"640","2009-07-17",32.360001
"641","2009-07-20",33.029999
"642","2009-07-21",32.549999
"643","2009-07-22",33.290001
"644","2009-07-23",32.720001
"645","2009-07-24",32.529999
"646","2009-07-27",33.16
"647","2009-07-28",33.099998
"648","2009-07-29",32.23
"649","2009-07-30",31.5
"650","2009-07-31",31.35
"651","2009-08-03",31.540001
"652","2009-08-04",31.09
"653","2009-08-05",30.42
"654","2009-08-06",29.860001
"655","2009-08-07",30.040001
"656","2009-08-10",30.07
"657","2009-08-11",29.34
"658","2009-08-12",29.85
"659","2009-08-13",29
"660","2009-08-14",28.6
"661","2009-08-17",27.9
"662","2009-08-18",28.17
"663","2009-08-19",28.84
"664","2009-08-20",29.049999
"665","2009-08-21",29.67
"666","2009-08-24",30.709999
"667","2009-08-25",31.030001
"668","2009-08-26",32.150002
"669","2009-08-27",32.98
"670","2009-08-28",33.610001
"671","2009-08-31",33.610001
"672","2009-09-01",33.259998
"673","2009-09-02",32.310001
"674","2009-09-03",29.01
"675","2009-09-04",29.1
"676","2009-09-08",27
"677","2009-09-09",27.059999
"678","2009-09-10",27.59
"679","2009-09-11",27.700001
"680","2009-09-14",27.549999
"681","2009-09-15",27.190001
"682","2009-09-16",28.200001
"683","2009-09-17",27.030001
"684","2009-09-18",26.809999
"685","2009-09-21",26.01
"686","2009-09-22",26.309999
"687","2009-09-23",25.870001
"688","2009-09-24",24.18
"689","2009-09-25",23.67
"690","2009-09-28",24.33
"691","2009-09-29",26.110001
"692","2009-09-30",25.139999
"693","2009-10-01",25.379999
"694","2009-10-02",24.620001
"695","2009-10-05",25.27
"696","2009-10-06",25.98
"697","2009-10-07",26.139999
"698","2009-10-08",27.309999
"699","2009-10-09",27.280001
"700","2009-10-12",28.43
"701","2009-10-13",28.32
"702","2009-10-14",29.23
"703","2009-10-15",29.58
"704","2009-10-16",29.58
"705","2009-10-19",30.540001
"706","2009-10-20",30.530001
"707","2009-10-21",29.84
"708","2009-10-22",30.620001
"709","2009-10-23",30.49
"710","2009-10-26",29.469999
"711","2009-10-27",29.129999
"712","2009-10-28",29.219999
"713","2009-10-29",30.09
"714","2009-10-30",28.780001
"715","2009-11-02",28.52
"716","2009-11-03",28.73
"717","2009-11-04",28.66
"718","2009-11-05",29.459999
"719","2009-11-06",29.32
"720","2009-11-09",30.360001
"721","2009-11-10",29.790001
"722","2009-11-11",30.299999
"723","2009-11-12",30.719999
"724","2009-11-13",31.059999
"725","2009-11-16",31.870001
"726","2009-11-17",31.85
"727","2009-11-18",31.91
"728","2009-11-19",31.73
"729","2009-11-20",30.99
"730","2009-11-23",30.940001
"731","2009-11-24",30.84
"732","2009-11-25",31.23
"733","2009-11-27",30.450001
"734","2009-11-30",29.959999
"735","2009-12-01",30.32
"736","2009-12-02",30.34
"737","2009-12-03",30.059999
"738","2009-12-04",31.93
"739","2009-12-07",32.560001
"740","2009-12-08",32.73
"741","2009-12-09",32.919998
"742","2009-12-10",33.59
"743","2009-12-11",34.82
"744","2009-12-14",34.57
"745","2009-12-15",34.549999
"746","2009-12-16",34.470001
"747","2009-12-17",34.389999
"748","2009-12-18",34.240002
"749","2009-12-21",33.990002
"750","2009-12-22",33.639999
"751","2009-12-23",34.110001
"752","2009-12-24",34.32
"753","2009-12-28",33.84
"754","2009-12-29",33.57
"755","2009-12-30",34.099998
"756","2009-12-31",33.509998
"757","2010-01-04",33.610001
"758","2010-01-05",33.639999
"759","2010-01-06",33.34
"760","2010-01-07",34.080002
"761","2010-01-08",33.950001
"762","2010-01-11",33.759998
"763","2010-01-12",33.25
"764","2010-01-13",33.380001
"765","2010-01-14",33.34
"766","2010-01-15",33.23
"767","2010-01-19",33.450001
"768","2010-01-20",33.68
"769","2010-01-21",33.34
"770","2010-01-22",33.259998
"771","2010-01-25",33.400002
"772","2010-01-26",34.23
"773","2010-01-27",35.709999
"774","2010-01-28",35.560001
"775","2010-01-29",35.450001
"776","2010-02-01",35.439999
"777","2010-02-02",35.549999
"778","2010-02-03",35.549999
"779","2010-02-04",34.369999
"780","2010-02-05",34.220001
"781","2010-02-08",33.650002
"782","2010-02-09",34.009998
"783","2010-02-10",33.57
"784","2010-02-11",34.07
"785","2010-02-12",34.169998
"786","2010-02-16",34.5
"787","2010-02-17",34.75
"788","2010-02-18",35.009998
"789","2010-02-19",35.330002
"790","2010-02-22",34.799999
"791","2010-02-23",34.299999
"792","2010-02-24",34.599998
"793","2010-02-25",34.169998
"794","2010-02-26",34.200001
"795","2010-03-01",34.32
"796","2010-03-02",34.32
"797","2010-03-03",34.290001
"798","2010-03-04",34.490002
"799","2010-03-05",35.279999
"800","2010-03-08",35.470001
"801","2010-03-09",35.299999
"802","2010-03-10",35.040001
"803","2010-03-11",35.099998
"804","2010-03-12",35.049999
"805","2010-03-15",35.290001
"806","2010-03-16",35.330002
"807","2010-03-17",35.779999
"808","2010-03-18",36.099998
"809","2010-03-19",35.77
"810","2010-03-22",35.93
"811","2010-03-23",36.040001
"812","2010-03-24",35.869999
"813","2010-03-25",35.709999
"814","2010-03-26",35.619999
"815","2010-03-29",35.630001
"816","2010-03-30",35.84
"817","2010-03-31",35.650002
"818","2010-04-01",35.599998
"819","2010-04-05",35.610001
"820","2010-04-06",35.509998
"821","2010-04-07",35.389999
"822","2010-04-08",35.389999
"823","2010-04-09",35.810001
"824","2010-04-12",36.029999
"825","2010-04-13",36.34
"826","2010-04-14",36.82
"827","2010-04-15",36.549999
"828","2010-04-16",34.759998
"829","2010-04-19",34.580002
"830","2010-04-20",34.73
"831","2010-04-21",34.43
"832","2010-04-22",33.23
"833","2010-04-23",33.25
"834","2010-04-26",33.880001
"835","2010-04-27",33.650002
"836","2010-04-28",33.220001
"837","2010-04-29",34.119999
"838","2010-04-30",33.720001
"839","2010-05-03",33.790001
"840","2010-05-04",32.669998
"841","2010-05-05",31.91
"842","2010-05-06",30.389999
"843","2010-05-07",30.280001
"844","2010-05-10",29.15
"845","2010-05-11",30.059999
"846","2010-05-12",29.959999
"847","2010-05-13",29.23
"848","2010-05-14",28.98
"849","2010-05-17",29.4
"850","2010-05-18",28.950001
"851","2010-05-19",29.27
"852","2010-05-20",28.07
"853","2010-05-21",28.41
"854","2010-05-24",28.280001
"855","2010-05-25",27.99
"856","2010-05-26",27.99
"857","2010-05-27",28.5
"858","2010-05-28",27.799999
"859","2010-06-01",27.02
"860","2010-06-02",28.040001
"861","2010-06-03",28.01
"862","2010-06-04",27.34
"863","2010-06-07",27.450001
"864","2010-06-08",28.209999
"865","2010-06-09",27.92
"866","2010-06-10",28.860001
"867","2010-06-11",28.870001
"868","2010-06-14",28.68
"869","2010-06-15",30.32
"870","2010-06-16",30.77
"871","2010-06-17",30
"872","2010-06-18",30.1
"873","2010-06-21",29.969999
"874","2010-06-22",29.719999
"875","2010-06-23",30.450001
"876","2010-06-24",30.25
"877","2010-06-25",29.74
"878","2010-06-28",29.85
"879","2010-06-29",29.389999
"880","2010-06-30",28.139999
"881","2010-07-01",28.129999
"882","2010-07-02",27.799999
"883","2010-07-06",27.700001
"884","2010-07-07",27.719999
"885","2010-07-08",29.540001
"886","2010-07-09",29.49
"887","2010-07-12",29.780001
"888","2010-07-13",30.67
"889","2010-07-14",30.4
"890","2010-07-15",30.57
"891","2010-07-16",29.33
"892","2010-07-19",29.65
"893","2010-07-20",29.780001
"894","2010-07-21",29.219999
"895","2010-07-22",30.709999
"896","2010-07-23",29.66
"897","2010-07-26",30.639999
"898","2010-07-27",30.68
"899","2010-07-28",30.200001
"900","2010-07-29",30.120001
"901","2010-07-30",30.690001
"902","2010-08-02",31.209999
"903","2010-08-03",30.52
"904","2010-08-04",30.75
"905","2010-08-05",30.790001
"906","2010-08-06",30.58
"907","2010-08-09",31.120001
"908","2010-08-10",31.09
"909","2010-08-11",30.040001
"910","2010-08-12",29.35
"911","2010-08-13",29.030001
"912","2010-08-16",28.66
"913","2010-08-17",29.049999
"914","2010-08-18",29.24
"915","2010-08-19",28.77
"916","2010-08-20",28.18
"917","2010-08-23",27.98
"918","2010-08-24",27.93
"919","2010-08-25",27.870001
"920","2010-08-26",27.860001
"921","2010-08-27",28.35
"922","2010-08-30",27.639999
"923","2010-08-31",27.65
"924","2010-09-01",28.5
"925","2010-09-02",29.35
"926","2010-09-03",29.68
"927","2010-09-07",29.030001
"928","2010-09-08",29.120001
"929","2010-09-09",29.379999
"930","2010-09-10",30.24
"931","2010-09-13",30.450001
"932","2010-09-14",30.459999
"933","2010-09-15",30.290001
"934","2010-09-16",30.43
"935","2010-09-17",30.549999
"936","2010-09-20",31.35
"937","2010-09-21",31.809999
"938","2010-09-22",32.02
"939","2010-09-23",32.080002
"940","2010-09-24",33.18
"941","2010-09-27",32.84
"942","2010-09-28",33.009998
"943","2010-09-29",33.110001
"944","2010-09-30",33.060001
"945","2010-10-01",32.990002
"946","2010-10-04",32.970001
"947","2010-10-05",33.639999
"948","2010-10-06",33.630001
"949","2010-10-07",33.790001
"950","2010-10-08",34.330002
"951","2010-10-11",34.549999
"952","2010-10-12",34.73
"953","2010-10-13",35.34
"954","2010-10-14",35.369999
"955","2010-10-15",35.540001
