"","date","VIST"
"171","2020-03-30",1.99
"172","2020-03-31",2
"173","2020-04-01",1.9
"174","2020-04-02",2.02
"175","2020-04-03",2.22
"176","2020-04-06",2.39
"177","2020-04-07",2.39
"178","2020-04-08",2.51
"179","2020-04-09",2.6
"180","2020-04-13",2.54
"181","2020-04-14",2.4
"182","2020-04-15",2.38
"183","2020-04-16",2.2
"184","2020-04-17",2.28
"185","2020-04-20",2.08
"186","2020-04-21",2.11
"187","2020-04-22",2.15
"188","2020-04-23",2.12
"189","2020-04-24",2.1
"190","2020-04-27",2.03
"191","2020-04-28",2.2
"192","2020-04-29",2.86
"193","2020-04-30",2.86
"194","2020-05-01",2.82
"195","2020-05-04",2.84
"196","2020-05-05",2.62
"197","2020-05-06",2.55
"198","2020-05-07",2.98
"199","2020-05-08",3.39
"200","2020-05-11",3.43
"201","2020-05-12",3.26
"202","2020-05-13",3.03
"203","2020-05-14",3.25
"204","2020-05-15",3.3
"205","2020-05-18",3.41
"206","2020-05-19",3.39
"207","2020-05-20",3.38
"208","2020-05-21",3.35
"209","2020-05-22",3.28
"210","2020-05-26",3.18
"211","2020-05-27",3.09
"212","2020-05-28",2.945
"213","2020-05-29",2.94
"214","2020-06-01",2.99
"215","2020-06-02",3.2
"216","2020-06-03",3.46
"217","2020-06-04",3.47
"218","2020-06-05",3.61
"219","2020-06-08",3.8
"220","2020-06-09",3.77
"221","2020-06-10",3.78
"222","2020-06-11",3.1
"223","2020-06-12",3.46
"224","2020-06-15",3.46
"225","2020-06-16",3.59
"226","2020-06-17",3.385
"227","2020-06-18",3.37
"228","2020-06-19",3.47
"229","2020-06-22",3.55
"230","2020-06-23",3.39
"231","2020-06-24",3.31
"232","2020-06-25",3.34
"233","2020-06-26",3.06
"234","2020-06-29",3.03
"235","2020-06-30",3.05
"236","2020-07-01",3.1
"237","2020-07-02",3.13
"238","2020-07-06",3.25
"239","2020-07-07",3.2
"240","2020-07-08",3.21
"241","2020-07-09",3.14
"242","2020-07-10",3.21
"243","2020-07-13",3.13
"244","2020-07-14",3.165
"245","2020-07-15",3.15
"246","2020-07-16",3.4
"247","2020-07-17",3.17
"248","2020-07-20",3.36
"249","2020-07-21",3.45
"250","2020-07-22",3.61
"251","2020-07-23",3.7
"252","2020-07-24",3.62
"253","2020-07-27",3.7
"254","2020-07-28",3.7
"255","2020-07-29",3.62
"256","2020-07-30",3.53
"257","2020-07-31",3.52
"258","2020-08-03",3.63
"259","2020-08-04",3.58
"260","2020-08-05",3.49
"261","2020-08-06",3.5
"262","2020-08-07",3.49
"263","2020-08-10",3.44
"264","2020-08-11",3.25
"265","2020-08-12",3.02
"266","2020-08-13",3.14
"267","2020-08-14",3.09
"268","2020-08-17",3.1
"269","2020-08-18",3.07
"270","2020-08-19",3.05
"271","2020-08-20",3.02
"272","2020-08-21",3
"273","2020-08-24",2.91
"274","2020-08-25",2.99
"275","2020-08-26",2.91
"276","2020-08-27",2.92
"277","2020-08-28",2.99
"278","2020-08-31",2.87
"279","2020-09-01",2.92
"280","2020-09-02",2.83
"281","2020-09-03",2.66
"282","2020-09-04",2.52
"283","2020-09-08",2.345
"284","2020-09-09",2.26
"285","2020-09-10",2.45
"286","2020-09-11",2.45
"287","2020-09-14",2.33
"288","2020-09-15",2.46
"289","2020-09-16",2.41
"290","2020-09-17",2.26
"291","2020-09-18",2.35
"292","2020-09-21",2.17
"293","2020-09-22",2.08
"294","2020-09-23",2.09
"295","2020-09-24",2.21
"296","2020-09-25",2.19
"297","2020-09-28",2.36
"298","2020-09-29",2.33
"299","2020-09-30",2.25
"300","2020-10-01",2.3
"301","2020-10-02",2.43
"302","2020-10-05",2.46
"303","2020-10-06",2.45
"304","2020-10-07",2.43
"305","2020-10-08",2.445
"306","2020-10-09",2.43
"307","2020-10-12",2.39
"308","2020-10-13",2.45
"309","2020-10-14",2.47
"310","2020-10-15",2.36
"311","2020-10-16",2.25
"312","2020-10-19",2.24
"313","2020-10-20",2.31
"314","2020-10-21",2.22
"315","2020-10-22",2.18
"316","2020-10-23",2.2
"317","2020-10-26",2.11
"318","2020-10-27",2.03
"319","2020-10-28",2.01
"320","2020-10-29",2.04
"321","2020-10-30",1.99
"322","2020-11-02",2.07
"323","2020-11-03",2.15
"324","2020-11-04",2.11
"325","2020-11-05",2.15
"326","2020-11-06",2.22
"327","2020-11-09",2.45
"328","2020-11-10",2.475
"329","2020-11-11",2.49
"330","2020-11-12",2.34
"331","2020-11-13",2.4
"332","2020-11-16",2.46
"333","2020-11-17",2.52
"334","2020-11-18",2.43
"335","2020-11-19",2.545
"336","2020-11-20",2.44
"337","2020-11-23",2.51
"338","2020-11-24",2.64
"339","2020-11-25",2.62
"340","2020-11-27",2.7
