"","date","PT"
"239","2019-10-08",1.3
"240","2019-10-09",1.33
"241","2019-10-10",1.31
"242","2019-10-11",1.26
"243","2019-10-14",1.32
"244","2019-10-15",1.38
"245","2019-10-16",1.23
"246","2019-10-17",1.3
"247","2019-10-18",1.25
"248","2019-10-21",1.26
"249","2019-10-22",1.27
"250","2019-10-23",1.21
"251","2019-10-24",1.09
"252","2019-10-25",1.09
"253","2019-10-28",1.01
"254","2019-10-29",1.04
"255","2019-10-30",1.01
"256","2019-10-31",0.94
"257","2019-11-01",0.99
"258","2019-11-04",0.95
"259","2019-11-05",0.87
"260","2019-11-06",0.87
"261","2019-11-07",0.77
"262","2019-11-08",0.78
"263","2019-11-11",0.79
"264","2019-11-12",0.7
"265","2019-11-13",0.64
"266","2019-11-14",0.55
"267","2019-11-15",0.51
"268","2019-11-18",0.48
"269","2019-11-19",0.47
"270","2019-11-20",0.5
"271","2019-11-21",0.53
"272","2019-11-22",0.64
"273","2019-11-25",0.76
"274","2019-11-26",0.91
"275","2019-11-27",0.9
"276","2019-11-29",1.29
"277","2019-12-02",1.23
"278","2019-12-03",1.11
"279","2019-12-04",1.07
"280","2019-12-05",0.93
"281","2019-12-06",0.9
"282","2019-12-09",0.83
"283","2019-12-10",1.04
"284","2019-12-11",1.11
"285","2019-12-12",0.99
"286","2019-12-13",0.87
"287","2019-12-16",0.86
"288","2019-12-17",0.8
"289","2019-12-18",0.74
"290","2019-12-19",0.76
"291","2019-12-20",0.84
"292","2019-12-23",1.07
"293","2019-12-24",1.08
"294","2019-12-26",1.28
"295","2019-12-27",2.13
"296","2019-12-30",1.95
"297","2019-12-31",1.82
"298","2020-01-02",1.85
"299","2020-01-03",1.74
"300","2020-01-06",1.93
"301","2020-01-07",1.89
"302","2020-01-08",1.83
"303","2020-01-09",2.21
"304","2020-01-10",2.18
"305","2020-01-13",2.17
"306","2020-01-14",2.13
"307","2020-01-15",2.3
"308","2020-01-16",2.75
"309","2020-01-17",2.96
"310","2020-01-21",2.69
"311","2020-01-22",2.91
"312","2020-01-23",2.78
"313","2020-01-24",2.54
"314","2020-01-27",2.3
"315","2020-01-28",2.48
"316","2020-01-29",2.55
"317","2020-01-30",2.51
"318","2020-01-31",2.29
"319","2020-02-03",2.35
"320","2020-02-04",2.51
"321","2020-02-05",2.56
"322","2020-02-06",2.51
"323","2020-02-07",2.58
"324","2020-02-10",2.69
"325","2020-02-11",2.9
"326","2020-02-12",3.07
"327","2020-02-13",2.98
"328","2020-02-14",2.78
"329","2020-02-18",2.52
"330","2020-02-19",2.67
"331","2020-02-20",2.82
"332","2020-02-21",2.59
"333","2020-02-24",2.37
"334","2020-02-25",2.21
"335","2020-02-26",2.24
"336","2020-02-27",2.1
"337","2020-02-28",2.14
"338","2020-03-02",2.19
"339","2020-03-03",2.34
"340","2020-03-04",2.36
"341","2020-03-05",2.38
"342","2020-03-06",2.34
"343","2020-03-09",2.2
"344","2020-03-10",2.3
"345","2020-03-11",2.34
"346","2020-03-12",2.18
"347","2020-03-13",2.29
"348","2020-03-16",2.05
"349","2020-03-17",2.15
"350","2020-03-18",2.18
"351","2020-03-19",2.17
"352","2020-03-20",2.06
"353","2020-03-23",1.84
"354","2020-03-24",1.76
"355","2020-03-25",1.5
"356","2020-03-26",1.69
"357","2020-03-27",1.66
"358","2020-03-30",1.65
"359","2020-03-31",1.62
"360","2020-04-01",1.53
"361","2020-04-02",1.44
"362","2020-04-03",1.11
"363","2020-04-06",1.38
"364","2020-04-07",1.35
"365","2020-04-08",1.38
"366","2020-04-09",1.31
"367","2020-04-13",1.25
"368","2020-04-14",1.25
"369","2020-04-15",1.29
"370","2020-04-16",1.3
"371","2020-04-17",1.26
"372","2020-04-20",1.23
"373","2020-04-21",1.27
"374","2020-04-22",1.23
"375","2020-04-23",1.08
"376","2020-04-24",1
"377","2020-04-27",1.04
"378","2020-04-28",1.13
"379","2020-04-29",1.18
"380","2020-04-30",1.22
"381","2020-05-01",1.25
"382","2020-05-04",1.21
"383","2020-05-05",1.29
"384","2020-05-06",1.31
"385","2020-05-07",1.36
"386","2020-05-08",1.37
"387","2020-05-11",1.3
"388","2020-05-12",1.26
"389","2020-05-13",1.21
"390","2020-05-14",1.23
"391","2020-05-15",1.23
"392","2020-05-18",1.13
"393","2020-05-19",1.16
"394","2020-05-20",1.19
"395","2020-05-21",1.06
"396","2020-05-22",0.93
"397","2020-05-26",0.96
"398","2020-05-27",0.95
"399","2020-05-28",0.87
"400","2020-05-29",0.81
"401","2020-06-01",0.9
"402","2020-06-02",0.84
"403","2020-06-03",0.88
"404","2020-06-04",0.87
"405","2020-06-05",0.86
"406","2020-06-08",0.95
"407","2020-06-09",1.02
"408","2020-06-10",1.09
"409","2020-06-11",0.94
"410","2020-06-12",0.99
"411","2020-06-15",0.95
"412","2020-06-16",0.92
"413","2020-06-17",1.2
"414","2020-06-18",1.11
"415","2020-06-19",1.49
"416","2020-06-22",1.24
"417","2020-06-23",1.25
"418","2020-06-24",1.2
"419","2020-06-25",1.21
"420","2020-06-26",1.2
"421","2020-06-29",1.21
"422","2020-06-30",1.19
"423","2020-07-01",1.12
"424","2020-07-02",1.12
"425","2020-07-06",1.28
"426","2020-07-07",1.22
"427","2020-07-08",1.24
"428","2020-07-09",1.22
"429","2020-07-10",1.25
"430","2020-07-13",1.28
"431","2020-07-14",1.25
"432","2020-07-15",1.35
"433","2020-07-16",1.28
"434","2020-07-17",1.4
"435","2020-07-20",1.42
"436","2020-07-21",1.36
"437","2020-07-22",1.28
"438","2020-07-23",1.14
"439","2020-07-24",1.13
"440","2020-07-27",1.22
"441","2020-07-28",1.15
"442","2020-07-29",1.18
"443","2020-07-30",1.24
"444","2020-07-31",1.19
"445","2020-08-03",1.19
"446","2020-08-04",1.17
"447","2020-08-05",1.17
"448","2020-08-06",1.15
"449","2020-08-07",1.16
"450","2020-08-10",1.18
"451","2020-08-11",1.14
"452","2020-08-12",1.13
"453","2020-08-13",1.12
"454","2020-08-14",1.09
"455","2020-08-17",0.99
"456","2020-08-18",0.98
"457","2020-08-19",0.98
"458","2020-08-20",0.95
"459","2020-08-21",0.95
"460","2020-08-24",0.94
"461","2020-08-25",0.9
"462","2020-08-26",0.97
"463","2020-08-27",0.93
"464","2020-08-28",0.95
"465","2020-08-31",0.95
"466","2020-09-01",0.9
"467","2020-09-02",0.87
"468","2020-09-03",0.83
"469","2020-09-04",0.8
"470","2020-09-08",0.78
"471","2020-09-09",0.77
"472","2020-09-10",0.8
"473","2020-09-11",0.79
"474","2020-09-14",0.77
"475","2020-09-15",0.78
"476","2020-09-16",0.88
"477","2020-09-17",0.91
"478","2020-09-18",1.04
"479","2020-09-21",1.05
"480","2020-09-22",0.95
"481","2020-09-23",0.87
"482","2020-09-24",0.86
"483","2020-09-25",0.82
"484","2020-09-28",0.84
"485","2020-09-29",0.98
"486","2020-09-30",0.91
"487","2020-10-01",0.9
"488","2020-10-02",0.91
"489","2020-10-05",0.93
"490","2020-10-06",0.91
"491","2020-10-07",0.89
"492","2020-10-08",0.91
"493","2020-10-09",0.92
"494","2020-10-12",1
"495","2020-10-13",1.03
"496","2020-10-14",1.07
"497","2020-10-15",1.23
"498","2020-10-16",1.18
"499","2020-10-19",1.29
"500","2020-10-20",1.23
"501","2020-10-21",1.2
"502","2020-10-22",1.19
"503","2020-10-23",1.17
"504","2020-10-26",1.17
"505","2020-10-27",1.06
"506","2020-10-28",0.9
"507","2020-10-29",0.87
"508","2020-10-30",0.79
"509","2020-11-02",0.82
"510","2020-11-03",0.84
"511","2020-11-04",0.88
"512","2020-11-05",0.89
"513","2020-11-06",0.88
"514","2020-11-09",0.91
"515","2020-11-10",0.91
"516","2020-11-11",0.9
"517","2020-11-12",0.86
"518","2020-11-13",0.83
"519","2020-11-16",0.85
"520","2020-11-17",0.86
"521","2020-11-18",0.86
"522","2020-11-19",0.85
"523","2020-11-20",0.88
"524","2020-11-23",0.92
"525","2020-11-24",0.93
"526","2020-11-25",1
"527","2020-11-27",1.05
