"","date","FSRV"
"199","2020-10-13",10.01
"200","2020-10-14",10
"201","2020-10-15",9.98
"202","2020-10-16",9.99
"203","2020-10-19",9.98
"204","2020-10-20",9.97
"205","2020-10-21",10
"206","2020-10-22",9.96
"207","2020-10-23",10.01
"208","2020-10-26",9.93
"209","2020-10-27",10
"210","2020-10-28",9.89
"211","2020-10-29",9.88
"212","2020-10-30",9.915
"213","2020-11-02",9.88
"214","2020-11-03",9.95
"215","2020-11-04",9.94
"216","2020-11-05",10.01
"217","2020-11-06",10
"218","2020-11-09",9.95
"219","2020-11-10",9.99
"220","2020-11-11",9.95
"221","2020-11-12",10
"222","2020-11-13",10
"223","2020-11-16",10
"224","2020-11-17",10
"225","2020-11-18",10
"226","2020-11-19",10
"227","2020-11-20",10.09
"228","2020-11-23",10.04
"229","2020-11-24",10.08
"230","2020-11-25",10.05
"231","2020-11-27",10.1
