"","date","SMMC"
"238","2020-07-15",10.27
"239","2020-07-16",10.25
"240","2020-07-17",10.31
"241","2020-07-20",10.355
"242","2020-07-21",10.4
"243","2020-07-22",10.3
"244","2020-07-23",10.35
"245","2020-07-24",10.35
"246","2020-07-27",10.3
"247","2020-07-28",10.3
"248","2020-07-29",10.36
"249","2020-07-30",10.36
"250","2020-07-31",10.15
"251","2020-08-03",10.248
"252","2020-08-04",10.2
"253","2020-08-05",10.2
"254","2020-08-06",10.105
"255","2020-08-07",10.11
"256","2020-08-10",10.2
"257","2020-08-11",10.13
"258","2020-08-12",10.02
"259","2020-08-13",10.02
"260","2020-08-14",10.05
"261","2020-08-17",10.1
"262","2020-08-18",10.15
"263","2020-08-19",10.1
"264","2020-08-20",10.06
"265","2020-08-21",10.06
"266","2020-08-24",10.1
"267","2020-08-25",10.11
"268","2020-08-26",10.38
"269","2020-08-27",10.25
"270","2020-08-28",10.11
"271","2020-08-31",10.24
"272","2020-09-01",10.38
"273","2020-09-02",10.34
"274","2020-09-03",10.4
"275","2020-09-04",10.53
"276","2020-09-08",10.48
"277","2020-09-09",10.51
"278","2020-09-10",10.55
"279","2020-09-11",10.55
"280","2020-09-14",10.51
"281","2020-09-15",10.6
"282","2020-09-16",10.55
"283","2020-09-17",10.7
"284","2020-09-18",10.75
"285","2020-09-21",10.68
"286","2020-09-22",10.61
"287","2020-09-23",10.59
"288","2020-09-24",10.32
"289","2020-09-25",10.32
"290","2020-09-28",10.4
"291","2020-09-29",10.45
"292","2020-09-30",10.45
"293","2020-10-01",10.45
"294","2020-10-02",10.44
"295","2020-10-05",10.377
"296","2020-10-06",10.37
"297","2020-10-07",10.3
"298","2020-10-08",10.29
"299","2020-10-09",10.2
"300","2020-10-12",10.325
"301","2020-10-13",10.16
"302","2020-10-14",10.2
"303","2020-10-15",10.15
"304","2020-10-16",10.35
"305","2020-10-19",11.96
"306","2020-10-20",11.66
"307","2020-10-21",11.36
"308","2020-10-22",11.22
"309","2020-10-23",11.3
"310","2020-10-26",11.35
"311","2020-10-27",11.12
"312","2020-10-28",11.25
"313","2020-10-29",11.45
"314","2020-10-30",11.23
"315","2020-11-02",11
"316","2020-11-03",11.2
"317","2020-11-04",12
"318","2020-11-05",12.16
"319","2020-11-06",12.4
"320","2020-11-09",12.445
"321","2020-11-10",12.2
"322","2020-11-11",12.25
"323","2020-11-12",11.91
"324","2020-11-13",12.19
"325","2020-11-16",12.02
"326","2020-11-17",12
"327","2020-11-18",12.15
"328","2020-11-19",12.21
"329","2020-11-20",12.5
"330","2020-11-23",12.6
"331","2020-11-24",12.88
"332","2020-11-25",12.8
"333","2020-11-27",12.61
