"","date","HASI"
"520","2015-05-11",19.02
"521","2015-05-12",19.370001
"522","2015-05-13",19.35
"523","2015-05-14",19.629999
"524","2015-05-15",20.32
"525","2015-05-18",20.57
"526","2015-05-19",20.540001
"527","2015-05-20",19.99
"528","2015-05-21",19.940001
"529","2015-05-22",20.01
"530","2015-05-26",19.9
"531","2015-05-27",20.290001
"532","2015-05-28",20.35
"533","2015-05-29",20.48
"534","2015-06-01",20.299999
"535","2015-06-02",20.219999
"536","2015-06-03",20.049999
"537","2015-06-04",19.799999
"538","2015-06-05",20.059999
"539","2015-06-08",19.559999
"540","2015-06-09",19.690001
"541","2015-06-10",19.860001
"542","2015-06-11",19.860001
"543","2015-06-12",19.93
"544","2015-06-15",19.879999
"545","2015-06-16",20
"546","2015-06-17",19.950001
"547","2015-06-18",20.67
"548","2015-06-19",21.309999
"549","2015-06-22",20.459999
"550","2015-06-23",20.23
"551","2015-06-24",20.01
"552","2015-06-25",19.809999
"553","2015-06-26",19.780001
"554","2015-06-29",19.370001
"555","2015-06-30",20.049999
"556","2015-07-01",19.9
"557","2015-07-02",20.01
"558","2015-07-06",20.26
"559","2015-07-07",20.52
"560","2015-07-08",20.290001
"561","2015-07-09",20.73
"562","2015-07-10",20.940001
"563","2015-07-13",20.950001
"564","2015-07-14",21
"565","2015-07-15",21.030001
"566","2015-07-16",21.049999
"567","2015-07-17",21.32
"568","2015-07-20",20.969999
"569","2015-07-21",20.82
"570","2015-07-22",20.969999
"571","2015-07-23",20.43
"572","2015-07-24",20.129999
"573","2015-07-27",19.629999
"574","2015-07-28",19.84
"575","2015-07-29",19.799999
"576","2015-07-30",19.809999
"577","2015-07-31",20.07
"578","2015-08-03",19.629999
"579","2015-08-04",19.440001
"580","2015-08-05",19.73
"581","2015-08-06",19.379999
"582","2015-08-07",18.450001
"583","2015-08-10",19.040001
"584","2015-08-11",19.129999
"585","2015-08-12",19.440001
"586","2015-08-13",19.440001
"587","2015-08-14",19.530001
"588","2015-08-17",19.52
"589","2015-08-18",19.5
"590","2015-08-19",19.219999
"591","2015-08-20",18.969999
"592","2015-08-21",18.4
"593","2015-08-24",18.110001
"594","2015-08-25",18.18
"595","2015-08-26",18.66
"596","2015-08-27",18.809999
"597","2015-08-28",18.99
"598","2015-08-31",19.01
"599","2015-09-01",18.709999
"600","2015-09-02",18.93
"601","2015-09-03",18.74
"602","2015-09-04",18.42
"603","2015-09-08",18.809999
"604","2015-09-09",18.889999
"605","2015-09-10",18.879999
"606","2015-09-11",18.799999
"607","2015-09-14",18.9
"608","2015-09-15",18.9
"609","2015-09-16",19.08
"610","2015-09-17",19.25
"611","2015-09-18",19
"612","2015-09-21",18.870001
"613","2015-09-22",18.639999
"614","2015-09-23",18.629999
"615","2015-09-24",18.360001
"616","2015-09-25",17.99
"617","2015-09-28",16.959999
"618","2015-09-29",16.76
"619","2015-09-30",17.219999
"620","2015-10-01",16.799999
"621","2015-10-02",17.17
"622","2015-10-05",17.52
"623","2015-10-06",17.92
"624","2015-10-07",18.66
"625","2015-10-08",19.08
"626","2015-10-09",18.68
"627","2015-10-12",19.049999
"628","2015-10-13",18.82
"629","2015-10-14",18.08
"630","2015-10-15",18.129999
"631","2015-10-16",17.5
"632","2015-10-19",17.49
"633","2015-10-20",17.370001
"634","2015-10-21",17.01
"635","2015-10-22",17.18
"636","2015-10-23",17.24
"637","2015-10-26",17.299999
"638","2015-10-27",17.26
"639","2015-10-28",17.860001
"640","2015-10-29",17.690001
"641","2015-10-30",18.01
"642","2015-11-02",18.139999
"643","2015-11-03",18.059999
