"","date","SNDL"
"227","2020-06-24",0.85
"228","2020-06-25",0.849
"229","2020-06-26",0.803
"230","2020-06-29",0.816
"231","2020-06-30",0.799
"232","2020-07-01",0.804
"233","2020-07-02",0.784
"234","2020-07-06",0.81
"235","2020-07-07",0.77
"236","2020-07-08",0.78
"237","2020-07-09",0.792
"238","2020-07-10",0.811
"239","2020-07-13",0.84
"240","2020-07-14",0.842
"241","2020-07-15",0.88
"242","2020-07-16",0.909
"243","2020-07-17",0.849
"244","2020-07-20",0.835
"245","2020-07-21",0.811
"246","2020-07-22",0.73
"247","2020-07-23",0.699
"248","2020-07-24",0.691
"249","2020-07-27",0.597
"250","2020-07-28",0.63
"251","2020-07-29",0.605
"252","2020-07-30",0.574
"253","2020-07-31",0.584
"254","2020-08-03",0.59
"255","2020-08-04",0.599
"256","2020-08-05",0.575
"257","2020-08-06",0.57
"258","2020-08-07",0.55
"259","2020-08-10",0.542
"260","2020-08-11",0.546
"261","2020-08-12",0.55
"262","2020-08-13",0.7
"263","2020-08-14",0.45
"264","2020-08-17",0.46
"265","2020-08-18",0.428
"266","2020-08-19",0.408
"267","2020-08-20",0.38
"268","2020-08-21",0.389
"269","2020-08-24",0.344
"270","2020-08-25",0.339
"271","2020-08-26",0.327
"272","2020-08-27",0.319
"273","2020-08-28",0.342
"274","2020-08-31",0.34
"275","2020-09-01",0.312
"276","2020-09-02",0.315
"277","2020-09-03",0.307
"278","2020-09-04",0.308
"279","2020-09-08",0.309
"280","2020-09-09",0.31
"281","2020-09-10",0.3
"282","2020-09-11",0.299
"283","2020-09-14",0.282
"284","2020-09-15",0.27
"285","2020-09-16",0.276
"286","2020-09-17",0.264
"287","2020-09-18",0.264
"288","2020-09-21",0.236
"289","2020-09-22",0.227
"290","2020-09-23",0.209
"291","2020-09-24",0.188
"292","2020-09-25",0.182
"293","2020-09-28",0.193
"294","2020-09-29",0.19
"295","2020-09-30",0.241
"296","2020-10-01",0.26
"297","2020-10-02",0.246
"298","2020-10-05",0.239
"299","2020-10-06",0.22
"300","2020-10-07",0.22
"301","2020-10-08",0.222
"302","2020-10-09",0.222
"303","2020-10-12",0.223
"304","2020-10-13",0.213
"305","2020-10-14",0.202
"306","2020-10-15",0.191
"307","2020-10-16",0.19
"308","2020-10-19",0.193
"309","2020-10-20",0.184
"310","2020-10-21",0.172
"311","2020-10-22",0.175
"312","2020-10-23",0.176
"313","2020-10-26",0.174
"314","2020-10-27",0.17
"315","2020-10-28",0.161
"316","2020-10-29",0.158
"317","2020-10-30",0.144
"318","2020-11-02",0.165
"319","2020-11-03",0.186
"320","2020-11-04",0.173
"321","2020-11-05",0.22
"322","2020-11-06",0.25
"323","2020-11-09",0.459
"324","2020-11-10",0.438
"325","2020-11-11",0.386
"326","2020-11-12",0.284
"327","2020-11-13",0.28
"328","2020-11-16",0.262
"329","2020-11-17",0.25
"330","2020-11-18",0.259
"331","2020-11-19",0.263
"332","2020-11-20",0.255
"333","2020-11-23",0.241
"334","2020-11-24",0.301
"335","2020-11-25",0.28
"336","2020-11-27",0.372
