"","date","NFIN"
"196","2020-05-22",10.03
"197","2020-05-26",10.03
"198","2020-05-27",9.94
"199","2020-05-28",9.94
"200","2020-05-29",10
"201","2020-06-01",10
"202","2020-06-02",10
"203","2020-06-03",10
"204","2020-06-04",10.05
"205","2020-06-05",10.05
"206","2020-06-08",10.04
"207","2020-06-09",10.03
"208","2020-06-10",10.047
"209","2020-06-11",10
"210","2020-06-12",10.05
"211","2020-06-15",10.05
"212","2020-06-16",10.08
"213","2020-06-17",10.08
"214","2020-06-18",10.05
"215","2020-06-19",10.1
"216","2020-06-22",10.08
"217","2020-06-23",10.05
"218","2020-06-24",10.05
"219","2020-06-25",10.1
"220","2020-06-26",10.05
"221","2020-06-29",10.87
"222","2020-06-30",10.75
"223","2020-07-01",10.75
"224","2020-07-02",10.79
"225","2020-07-06",10.92
"226","2020-07-07",10.78
"227","2020-07-08",10.75
"228","2020-07-09",10.82
"229","2020-07-10",10.84
"230","2020-07-13",10.7
"231","2020-07-14",10.66
"232","2020-07-15",10.72
"233","2020-07-16",10.69
"234","2020-07-17",10.92
"235","2020-07-20",10.77
"236","2020-07-21",10.81
"237","2020-07-22",10.76
"238","2020-07-23",10.65
"239","2020-07-24",10.54
"240","2020-07-27",10.72
"241","2020-07-28",10.63
"242","2020-07-29",10.31
"243","2020-07-30",10.31
"244","2020-07-31",10.39
"245","2020-08-03",10.27
"246","2020-08-04",10.33
"247","2020-08-05",10.31
"248","2020-08-06",10.3
"249","2020-08-07",10.28
"250","2020-08-10",10.29
"251","2020-08-11",10.3
"252","2020-08-12",10.23
"253","2020-08-13",10.26
"254","2020-08-14",10.25
"255","2020-08-17",10.19
"256","2020-08-18",10.15
"257","2020-08-19",10.19
"258","2020-08-20",10.2
"259","2020-08-21",10.16
"260","2020-08-24",10.23
"261","2020-08-25",10.3
"262","2020-08-26",10.33
"263","2020-08-27",10.7
"264","2020-08-28",10.63
"265","2020-08-31",10.52
"266","2020-09-01",10.46
"267","2020-09-02",10.48
"268","2020-09-03",10.55
"269","2020-09-04",10.6
"270","2020-09-08",10.68
"271","2020-09-09",10.61
"272","2020-09-10",10.45
"273","2020-09-11",10.55
"274","2020-09-14",10.6
"275","2020-09-15",10.48
"276","2020-09-16",10.46
"277","2020-09-17",10.5
"278","2020-09-18",10.5
"279","2020-09-21",10.48
"280","2020-09-22",10.38
"281","2020-09-23",10.34
"282","2020-09-24",10.26
"283","2020-09-25",10.4
"284","2020-09-28",10.4
"285","2020-09-29",10.3
"286","2020-09-30",10.37
"287","2020-10-01",10.38
"288","2020-10-02",10.35
"289","2020-10-05",10.5
"290","2020-10-06",10.45
"291","2020-10-07",10.64
"292","2020-10-08",11.15
"293","2020-10-09",11.56
"294","2020-10-12",11.7
"295","2020-10-13",11.6
"296","2020-10-14",11.96
"297","2020-10-15",12.23
"298","2020-10-16",12.74
"299","2020-10-19",12.9
"300","2020-10-20",12.75
"301","2020-10-21",11.54
"302","2020-10-22",11.48
"303","2020-10-23",11
"304","2020-10-26",10.6
"305","2020-10-27",10.6
"306","2020-10-28",10.53
"307","2020-10-29",10.26
"308","2020-10-30",10.3
"309","2020-11-02",10.17
"310","2020-11-03",10.17
"311","2020-11-04",10.22
"312","2020-11-05",10.2
"313","2020-11-06",10.28
"314","2020-11-09",10.5
"315","2020-11-10",11.4
"316","2020-11-11",NA
"317","2020-11-12",NA
"318","2020-11-13",NA
"319","2020-11-16",NA
"320","2020-11-17",NA
"321","2020-11-18",NA
"322","2020-11-19",NA
"323","2020-11-20",NA
"324","2020-11-23",NA
"325","2020-11-24",NA
"326","2020-11-25",NA
