"","date","AMEH"
"411","2010-10-25",1.1
"412","2010-10-26",1.1
"413","2010-10-27",1.1
"414","2010-10-28",1.1
"415","2010-10-29",1.1
"416","2010-11-01",1.1
"417","2010-11-02",1.1
"418","2010-11-03",1.4
"419","2010-11-04",1.4
"420","2010-11-05",1.4
"421","2010-11-08",1.4
"422","2010-11-09",1.4
"423","2010-11-10",1.4
"424","2010-11-11",1.5
"425","2010-11-12",1.5
"426","2010-11-15",1.5
"427","2010-11-16",1.5
"428","2010-11-17",1.7
"429","2010-11-18",1.7
"430","2010-11-19",1.7
"431","2010-11-22",1.6
"432","2010-11-23",1.6
"433","2010-11-24",1.6
"434","2010-11-26",1.6
"435","2010-11-29",1.6
"436","2010-11-30",1.5
"437","2010-12-01",1.5
"438","2010-12-02",1.7
"439","2010-12-03",1.6
"440","2010-12-06",1.6
"441","2010-12-07",1.6
"442","2010-12-08",1.6
"443","2010-12-09",1.4
"444","2010-12-10",1.8
"445","2010-12-13",1.7
"446","2010-12-14",1.6
"447","2010-12-15",1.6
"448","2010-12-16",1.6
"449","2010-12-17",1.6
"450","2010-12-20",1.6
"451","2010-12-21",1.6
"452","2010-12-22",1.6
"453","2010-12-23",1.6
"454","2010-12-27",1.6
"455","2010-12-28",1.6
"456","2010-12-29",1.6
"457","2010-12-30",1.6
"458","2010-12-31",1.5
"459","2011-01-03",1.5
"460","2011-01-04",1.5
"461","2011-01-05",1.6
"462","2011-01-06",1.5
"463","2011-01-07",1.5
"464","2011-01-10",1.5
"465","2011-01-11",1.5
"466","2011-01-12",1.5
"467","2011-01-13",1.5
"468","2011-01-14",1.5
"469","2011-01-18",1.5
"470","2011-01-19",1.5
"471","2011-01-20",1.5
"472","2011-01-21",1.5
"473","2011-01-24",1.5
"474","2011-01-25",1.5
"475","2011-01-26",1.4
"476","2011-01-27",1.4
"477","2011-01-28",1.6
"478","2011-01-31",1.6
"479","2011-02-01",1.6
"480","2011-02-02",2.1
"481","2011-02-03",1.8
"482","2011-02-04",2.4
"483","2011-02-07",2.1
"484","2011-02-08",2
"485","2011-02-09",2.2
"486","2011-02-10",2.2
"487","2011-02-11",2.2
"488","2011-02-14",2.1
"489","2011-02-15",2.1
"490","2011-02-16",2.1
"491","2011-02-17",2.1
"492","2011-02-18",1.9
"493","2011-02-22",2.2
"494","2011-02-23",2.1
"495","2011-02-24",2.1
"496","2011-02-25",2.1
"497","2011-02-28",2.1
"498","2011-03-01",1.9
"499","2011-03-02",1.9
"500","2011-03-03",2.1
"501","2011-03-04",2.1
"502","2011-03-07",2.1
"503","2011-03-08",2.1
"504","2011-03-09",1.8
"505","2011-03-10",2.1
"506","2011-03-11",2.1
"507","2011-03-14",1.8
"508","2011-03-15",1.8
"509","2011-03-16",2.1
"510","2011-03-17",2.1
"511","2011-03-18",2.1
"512","2011-03-21",2.2
"513","2011-03-22",2.3
"514","2011-03-23",2.3
"515","2011-03-24",2.3
"516","2011-03-25",2.2
"517","2011-03-28",2.2
"518","2011-03-29",2.2
"519","2011-03-30",2.6
"520","2011-03-31",2.4
"521","2011-04-01",1.9
"522","2011-04-04",1.9
"523","2011-04-05",1.9
"524","2011-04-06",2.3
"525","2011-04-07",1.9
"526","2011-04-08",1.9
"527","2011-04-11",1.9
"528","2011-04-12",2.3
"529","2011-04-13",2.3
"530","2011-04-14",2.3
"531","2011-04-15",2.3
"532","2011-04-18",2
"533","2011-04-19",2.1
"534","2011-04-20",2.1
"535","2011-04-21",2.4
"536","2011-04-25",2.4
"537","2011-04-26",1.9
"538","2011-04-27",2.4
"539","2011-04-28",2.4
"540","2011-04-29",2.4
"541","2011-05-02",2.4
"542","2011-05-03",2.1
"543","2011-05-04",2
"544","2011-05-05",2.4
"545","2011-05-06",2.4
"546","2011-05-09",2.4
"547","2011-05-10",2.4
"548","2011-05-11",1.9
"549","2011-05-12",2.3
"550","2011-05-13",2.3
"551","2011-05-16",2.3
"552","2011-05-17",2.3
"553","2011-05-18",2.2
"554","2011-05-19",2.2
"555","2011-05-20",2.2
"556","2011-05-23",2.2
"557","2011-05-24",2.2
"558","2011-05-25",2.2
"559","2011-05-26",2.2
"560","2011-05-27",2.2
"561","2011-05-31",2.2
"562","2011-06-01",2.2
"563","2011-06-02",1.9
"564","2011-06-03",2.1
"565","2011-06-06",2.1
"566","2011-06-07",2.1
"567","2011-06-08",2.1
"568","2011-06-09",2.1
"569","2011-06-10",2.1
"570","2011-06-13",1.8
"571","2011-06-14",2
"572","2011-06-15",2
"573","2011-06-16",2
"574","2011-06-17",2
"575","2011-06-20",2
"576","2011-06-21",2
"577","2011-06-22",2
"578","2011-06-23",2
"579","2011-06-24",2
"580","2011-06-27",2
"581","2011-06-28",2
"582","2011-06-29",2
"583","2011-06-30",2
"584","2011-07-01",2
"585","2011-07-05",2
"586","2011-07-06",2
"587","2011-07-07",2
"588","2011-07-08",2
"589","2011-07-11",2
"590","2011-07-12",2
"591","2011-07-13",1.6
"592","2011-07-14",1.9
"593","2011-07-15",1.9
"594","2011-07-18",1.9
"595","2011-07-19",1.9
"596","2011-07-20",1.9
"597","2011-07-21",1.7
"598","2011-07-22",1.7
"599","2011-07-25",1.9
"600","2011-07-26",1.9
"601","2011-07-27",1.7
"602","2011-07-28",2
"603","2011-07-29",2
"604","2011-08-01",2
"605","2011-08-02",2.2
"606","2011-08-03",2.2
"607","2011-08-04",2.2
"608","2011-08-05",2.2
"609","2011-08-08",2.2
"610","2011-08-09",2.2
"611","2011-08-10",2.2
"612","2011-08-11",1.9
"613","2011-08-12",1.9
"614","2011-08-15",1.9
"615","2011-08-16",1.7
"616","2011-08-17",1.9
"617","2011-08-18",1.9
"618","2011-08-19",1.9
"619","2011-08-22",1.9
"620","2011-08-23",1.9
"621","2011-08-24",1.9
"622","2011-08-25",1.9
"623","2011-08-26",1.9
"624","2011-08-29",1.9
