"","date","ARE"
"452","2008-10-16",78.720001
"453","2008-10-17",76.190002
"454","2008-10-20",75.489998
"455","2008-10-21",75.010002
"456","2008-10-22",69.419998
"457","2008-10-23",67.93
"458","2008-10-24",64.989998
"459","2008-10-27",60.77
"460","2008-10-28",69.07
"461","2008-10-29",67.150002
"462","2008-10-30",66.849998
"463","2008-10-31",69.519997
"464","2008-11-03",68.459999
"465","2008-11-04",72.169998
"466","2008-11-05",66.099998
"467","2008-11-06",63.82
"468","2008-11-07",66.730003
"469","2008-11-10",60.549999
"470","2008-11-11",61.43
"471","2008-11-12",59.880001
"472","2008-11-13",63.5
"473","2008-11-14",56.799999
"474","2008-11-17",51.18
"475","2008-11-18",49.889999
"476","2008-11-19",44.360001
"477","2008-11-20",40.779999
"478","2008-11-21",37.740002
"479","2008-11-24",41.450001
"480","2008-11-25",43.27
"481","2008-11-26",45.560001
"482","2008-11-28",44.279999
"483","2008-12-01",33.59
"484","2008-12-02",36.259998
"485","2008-12-03",38.380001
"486","2008-12-04",37.009998
"487","2008-12-05",40.330002
"488","2008-12-08",43.610001
"489","2008-12-09",40.939999
"490","2008-12-10",44.23
"491","2008-12-11",38.68
"492","2008-12-12",45.07
"493","2008-12-15",45.23
"494","2008-12-16",53.400002
"495","2008-12-17",55.110001
"496","2008-12-18",51.599998
"497","2008-12-19",55.59
"498","2008-12-22",54.029999
"499","2008-12-23",55.810001
"500","2008-12-24",55.959999
"501","2008-12-26",56.919998
"502","2008-12-29",55.889999
"503","2008-12-30",58.48
"504","2008-12-31",60.34
"505","2009-01-02",58.599998
"506","2009-01-05",59.279999
"507","2009-01-06",65.809998
"508","2009-01-07",65.010002
"509","2009-01-08",66
"510","2009-01-09",64
"511","2009-01-12",58.380001
"512","2009-01-13",59.43
"513","2009-01-14",56.360001
"514","2009-01-15",56.209999
"515","2009-01-16",58.400002
"516","2009-01-20",53.150002
"517","2009-01-21",59.830002
"518","2009-01-22",58.009998
"519","2009-01-23",59.900002
"520","2009-01-26",60.25
"521","2009-01-27",61.18
"522","2009-01-28",65.970001
"523","2009-01-29",61.52
"524","2009-01-30",59.34
"525","2009-02-02",59.830002
"526","2009-02-03",58.720001
"527","2009-02-04",57.369999
"528","2009-02-05",56.740002
"529","2009-02-06",58.740002
"530","2009-02-09",60.200001
"531","2009-02-10",54.119999
"532","2009-02-11",54.52
"533","2009-02-12",52.32
"534","2009-02-13",50.259998
"535","2009-02-17",45.93
"536","2009-02-18",45.939999
"537","2009-02-19",42.549999
"538","2009-02-20",45.049999
"539","2009-02-23",40.73
"540","2009-02-24",44.439999
"541","2009-02-25",43.759998
"542","2009-02-26",40.82
"543","2009-02-27",39.959999
"544","2009-03-02",36.200001
"545","2009-03-03",35.450001
"546","2009-03-04",35.91
"547","2009-03-05",33.369999
"548","2009-03-06",32.830002
"549","2009-03-09",32.669998
"550","2009-03-10",37.799999
"551","2009-03-11",38.32
"552","2009-03-12",41.240002
"553","2009-03-13",41.07
"554","2009-03-16",37.950001
"555","2009-03-17",40.310001
"556","2009-03-18",41.77
"557","2009-03-19",37.349998
"558","2009-03-20",32.82
"559","2009-03-23",37.299999
"560","2009-03-24",35.040001
"561","2009-03-25",36.32
"562","2009-03-26",37.560001
"563","2009-03-27",36.810001
"564","2009-03-30",34.02
"565","2009-03-31",36.400002
"566","2009-04-01",36.330002
"567","2009-04-02",38.41
"568","2009-04-03",41.759998
"569","2009-04-06",37.200001
"570","2009-04-07",33.709999
"571","2009-04-08",34.009998
"572","2009-04-09",38.18
"573","2009-04-13",39.459999
"574","2009-04-14",37.080002
"575","2009-04-15",39.360001
"576","2009-04-16",41.32
"577","2009-04-17",42.73
"578","2009-04-20",39.52
"579","2009-04-21",36
"580","2009-04-22",32.419998
"581","2009-04-23",34.419998
"582","2009-04-24",36.75
"583","2009-04-27",35.459999
"584","2009-04-28",35.599998
"585","2009-04-29",36.919998
"586","2009-04-30",36.48
"587","2009-05-01",34.59
"588","2009-05-04",38.09
"589","2009-05-05",36.740002
"590","2009-05-06",37.950001
"591","2009-05-07",34.619999
"592","2009-05-08",36.790001
"593","2009-05-11",34.84
"594","2009-05-12",33.610001
"595","2009-05-13",30.709999
"596","2009-05-14",32.110001
"597","2009-05-15",31.58
"598","2009-05-18",34.220001
"599","2009-05-19",34.169998
"600","2009-05-20",34.290001
"601","2009-05-21",33.82
"602","2009-05-22",32.060001
"603","2009-05-26",35.189999
"604","2009-05-27",34.5
"605","2009-05-28",34.580002
"606","2009-05-29",35.900002
"607","2009-06-01",37.740002
"608","2009-06-02",37.57
"609","2009-06-03",38.16
"610","2009-06-04",39.98
"611","2009-06-05",40.400002
"612","2009-06-08",40.110001
"613","2009-06-09",39.66
