"","date","PDSB"
"397","2017-04-27",209.800003
"398","2017-04-28",207.600006
"399","2017-05-01",200
"400","2017-05-02",201.600006
"401","2017-05-03",202.800003
"402","2017-05-04",207.199997
"403","2017-05-05",207.199997
"404","2017-05-08",206.399994
"405","2017-05-09",206
"406","2017-05-10",205.199997
"407","2017-05-11",204.399994
"408","2017-05-12",209
"409","2017-05-15",208.800003
"410","2017-05-16",207.399994
"411","2017-05-17",203.199997
"412","2017-05-18",198.199997
"413","2017-05-19",193
"414","2017-05-22",199.399994
"415","2017-05-23",199
"416","2017-05-24",198
"417","2017-05-25",196.600006
"418","2017-05-26",194.800003
"419","2017-05-30",193.399994
"420","2017-05-31",196
"421","2017-06-01",204.800003
"422","2017-06-02",208
"423","2017-06-05",199.600006
"424","2017-06-06",199.199997
"425","2017-06-07",196.800003
"426","2017-06-08",197
"427","2017-06-09",204.800003
"428","2017-06-12",205.800003
"429","2017-06-13",204.600006
"430","2017-06-14",198.399994
"431","2017-06-15",199.600006
"432","2017-06-16",200
"433","2017-06-19",203
"434","2017-06-20",203
"435","2017-06-21",206
"436","2017-06-22",205.399994
"437","2017-06-23",198
"438","2017-06-26",201.399994
"439","2017-06-27",200.399994
"440","2017-06-28",206
"441","2017-06-29",204
"442","2017-06-30",205.199997
"443","2017-07-03",209.199997
"444","2017-07-05",205
"445","2017-07-06",202.399994
"446","2017-07-07",202.600006
"447","2017-07-10",201
"448","2017-07-11",203.399994
"449","2017-07-12",208.399994
"450","2017-07-13",208.600006
"451","2017-07-14",213.199997
"452","2017-07-17",208.199997
"453","2017-07-18",202.399994
"454","2017-07-19",211.600006
"455","2017-07-20",208.600006
"456","2017-07-21",206.399994
"457","2017-07-24",207.399994
"458","2017-07-25",207
"459","2017-07-26",210.199997
"460","2017-07-27",213.199997
"461","2017-07-28",214.600006
"462","2017-07-31",215.399994
"463","2017-08-01",213.600006
"464","2017-08-02",212.800003
"465","2017-08-03",207.199997
"466","2017-08-04",208.800003
"467","2017-08-07",216.600006
"468","2017-08-08",230.199997
"469","2017-08-09",226.800003
"470","2017-08-10",217
"471","2017-08-11",216
"472","2017-08-14",219.800003
"473","2017-08-15",213.600006
"474","2017-08-16",213
"475","2017-08-17",211.199997
"476","2017-08-18",214.199997
"477","2017-08-21",205.800003
"478","2017-08-22",207.199997
"479","2017-08-23",206.199997
"480","2017-08-24",211.199997
"481","2017-08-25",209.199997
"482","2017-08-28",212.800003
"483","2017-08-29",210.600006
"484","2017-08-30",210.800003
"485","2017-08-31",211
"486","2017-09-01",204.199997
"487","2017-09-05",199.199997
"488","2017-09-06",210.199997
"489","2017-09-07",214.600006
"490","2017-09-08",210
"491","2017-09-11",193.399994
"492","2017-09-12",188.199997
"493","2017-09-13",184.600006
"494","2017-09-14",184
"495","2017-09-15",189.600006
"496","2017-09-18",188.600006
"497","2017-09-19",190.399994
"498","2017-09-20",191.199997
"499","2017-09-21",190.800003
"500","2017-09-22",191.199997
"501","2017-09-25",193.800003
"502","2017-09-26",197
"503","2017-09-27",212.199997
"504","2017-09-28",214.399994
"505","2017-09-29",214.600006
"506","2017-10-02",217.199997
"507","2017-10-03",221.600006
"508","2017-10-04",223.199997
"509","2017-10-05",220.800003
"510","2017-10-06",221
"511","2017-10-09",219.399994
"512","2017-10-10",221.600006
"513","2017-10-11",213.199997
"514","2017-10-12",212
"515","2017-10-13",210.600006
"516","2017-10-16",207.600006
"517","2017-10-17",205.199997
"518","2017-10-18",204
"519","2017-10-19",205.199997
"520","2017-10-20",209.199997
"521","2017-10-23",215.399994
"522","2017-10-24",216.399994
"523","2017-10-25",215.800003
"524","2017-10-26",215.600006
"525","2017-10-27",219.199997
"526","2017-10-30",221.199997
"527","2017-10-31",217.199997
"528","2017-11-01",214.600006
"529","2017-11-02",219.800003
"530","2017-11-03",215
"531","2017-11-06",212.399994
"532","2017-11-07",201.800003
"533","2017-11-08",197.800003
"534","2017-11-09",197.600006
"535","2017-11-10",196.199997
"536","2017-11-13",193.800003
"537","2017-11-14",184.800003
"538","2017-11-15",184.600006
"539","2017-11-16",195.199997
"540","2017-11-17",188.199997
"541","2017-11-20",189.800003
"542","2017-11-21",195.800003
"543","2017-11-22",198
"544","2017-11-24",200.800003
"545","2017-11-27",199.600006
"546","2017-11-28",200
"547","2017-11-29",199.399994
"548","2017-11-30",202
"549","2017-12-01",199.800003
"550","2017-12-04",195.199997
"551","2017-12-05",191
"552","2017-12-06",188
"553","2017-12-07",184.600006
"554","2017-12-08",185
"555","2017-12-11",184.800003
"556","2017-12-12",182.800003
"557","2017-12-13",183.800003
"558","2017-12-14",181.399994
"559","2017-12-15",188.199997
"560","2017-12-18",188
"561","2017-12-19",185.199997
"562","2017-12-20",189.199997
"563","2017-12-21",188
"564","2017-12-22",190
"565","2017-12-26",189
"566","2017-12-27",187
"567","2017-12-28",189
"568","2017-12-29",187.399994
"569","2018-01-02",202
"570","2018-01-03",201
"571","2018-01-04",209.199997
"572","2018-01-05",208
"573","2018-01-08",208.199997
"574","2018-01-09",212.800003
"575","2018-01-10",220
"576","2018-01-11",222.800003
"577","2018-01-12",215.399994
