"","date","JIH"
"106","2020-05-22",9.75
"107","2020-05-26",9.75
"108","2020-05-27",9.89
"109","2020-05-28",9.9
"110","2020-05-29",9.86
"111","2020-06-01",9.68
"112","2020-06-02",9.68
"113","2020-06-03",9.75
"114","2020-06-04",9.76
"115","2020-06-05",9.78
"116","2020-06-08",9.8
"117","2020-06-09",9.8
"118","2020-06-10",9.79
"119","2020-06-11",9.77
"120","2020-06-12",9.81
"121","2020-06-15",9.81
"122","2020-06-16",9.87
"123","2020-06-17",9.94
"124","2020-06-18",9.94
"125","2020-06-19",10.02
"126","2020-06-22",10.02
"127","2020-06-23",9.98
"128","2020-06-24",9.98
"129","2020-06-25",9.87
"130","2020-06-26",9.85
"131","2020-06-29",9.98
"132","2020-06-30",9.97
"133","2020-07-01",10.08
"134","2020-07-02",10.06
"135","2020-07-06",9.97
"136","2020-07-07",9.99
"137","2020-07-08",10.01
"138","2020-07-09",10.07
"139","2020-07-10",10.1
"140","2020-07-13",10.19
"141","2020-07-14",10.27
"142","2020-07-15",10.25
"143","2020-07-16",10.31
"144","2020-07-17",10.33
"145","2020-07-20",10.31
"146","2020-07-21",10.35
"147","2020-07-22",10.3
"148","2020-07-23",10.4
"149","2020-07-24",10.4
"150","2020-07-27",10.33
"151","2020-07-28",10.27
"152","2020-07-29",10.27
"153","2020-07-30",10.28
"154","2020-07-31",10.235
"155","2020-08-03",10.2
"156","2020-08-04",10.1
"157","2020-08-05",10.1
"158","2020-08-06",10.08
"159","2020-08-07",10.09
"160","2020-08-10",10.05
"161","2020-08-11",10.1
"162","2020-08-12",10.05
"163","2020-08-13",10.03
"164","2020-08-14",10.02
"165","2020-08-17",9.98
"166","2020-08-18",9.92
"167","2020-08-19",9.97
"168","2020-08-20",9.98
"169","2020-08-21",9.94
"170","2020-08-24",9.92
"171","2020-08-25",9.9
"172","2020-08-26",9.95
"173","2020-08-27",9.95
"174","2020-08-28",9.95
"175","2020-08-31",9.94
"176","2020-09-01",9.96
"177","2020-09-02",10.05
"178","2020-09-03",10.05
"179","2020-09-04",10.2
"180","2020-09-08",10.19
"181","2020-09-09",10.2
"182","2020-09-10",10.13
"183","2020-09-11",10.15
"184","2020-09-14",10.15
"185","2020-09-15",10.16
"186","2020-09-16",10.18
"187","2020-09-17",10.2
"188","2020-09-18",10.28
"189","2020-09-21",10.26
"190","2020-09-22",10.27
"191","2020-09-23",10.29
"192","2020-09-24",10.23
"193","2020-09-25",10.27
"194","2020-09-28",10.32
"195","2020-09-29",10.58
"196","2020-09-30",10.46
"197","2020-10-01",10.58
"198","2020-10-02",10.55
"199","2020-10-05",10.4
"200","2020-10-06",10.38
"201","2020-10-07",10.3
"202","2020-10-08",10.23
"203","2020-10-09",10.45
"204","2020-10-12",10.39
"205","2020-10-13",10.37
"206","2020-10-14",10.3
"207","2020-10-15",10.29
"208","2020-10-16",10.23
"209","2020-10-19",10.2
"210","2020-10-20",10.14
"211","2020-10-21",10.13
"212","2020-10-22",10.15
"213","2020-10-23",10.1
"214","2020-10-26",10.08
"215","2020-10-27",10.06
"216","2020-10-28",10.04
"217","2020-10-29",10.02
"218","2020-10-30",9.96
"219","2020-11-02",9.99
"220","2020-11-03",9.98
"221","2020-11-04",9.95
"222","2020-11-05",9.93
"223","2020-11-06",9.96
"224","2020-11-09",9.96
"225","2020-11-10",9.98
"226","2020-11-11",9.985
"227","2020-11-12",10.05
"228","2020-11-13",10.06
"229","2020-11-16",10.03
"230","2020-11-17",10
"231","2020-11-18",10.02
"232","2020-11-19",10.05
"233","2020-11-20",10.14
"234","2020-11-23",10.24
"235","2020-11-24",10.28
"236","2020-11-25",10.26
"237","2020-11-27",10.33
