"","date","JEF"
"409","2008-08-15",39.960396
"410","2008-08-18",38.848106
"411","2008-08-19",38.410484
"412","2008-08-20",39.094269
"413","2008-08-21",39.194557
"414","2008-08-22",40.04245
"415","2008-08-25",39.030449
"416","2008-08-26",39.705116
"417","2008-08-27",39.987747
"418","2008-08-28",42.403786
"419","2008-08-29",42.203209
"420","2008-09-02",41.893227
"421","2008-09-03",41.291496
"422","2008-09-04",39.158089
"423","2008-09-05",41.337082
"424","2008-09-08",42.121155
"425","2008-09-09",40.088036
"426","2008-09-10",38.364899
"427","2008-09-11",38.693115
"428","2008-09-12",38.775169
"429","2008-09-15",36.942623
"430","2008-09-16",36.22237
"431","2008-09-17",34.1619
"432","2008-09-18",35.55682
"433","2008-09-19",40.115387
"434","2008-09-22",37.407597
"435","2008-09-23",37.070263
"436","2008-09-24",38.930161
"437","2008-09-25",39.960396
"438","2008-09-26",39.194557
"439","2008-09-29",37.380245
"440","2008-09-30",41.428253
"441","2008-10-01",37.854336
"442","2008-10-02",35.42918
"443","2008-10-03",35.018909
"444","2008-10-06",35.128315
"445","2008-10-07",33.140778
"446","2008-10-08",32.365822
"447","2008-10-09",29.876846
"448","2008-10-10",29.019835
"449","2008-10-13",32.639336
"450","2008-10-14",32.821678
"451","2008-10-15",29.220411
"452","2008-10-16",28.263113
"453","2008-10-17",28.481924
"454","2008-10-20",28.919546
"455","2008-10-21",27.725203
"456","2008-10-22",25.418568
"457","2008-10-23",20.148865
"458","2008-10-24",20.303856
"459","2008-10-27",20.887352
"460","2008-10-28",23.713663
"461","2008-10-29",23.959826
"462","2008-10-30",23.950708
"463","2008-10-31",24.470387
"464","2008-11-03",25.072117
"465","2008-11-04",25.464153
"466","2008-11-05",25.400333
"467","2008-11-06",21.479965
"468","2008-11-07",21.707895
"469","2008-11-10",21.033226
"470","2008-11-11",18.234266
"471","2008-11-12",16.72994
"472","2008-11-13",18.681005
"473","2008-11-14",18.124861
"474","2008-11-17",16.064388
"475","2008-11-18",15.991452
"476","2008-11-19",13.046618
"477","2008-11-20",12.317247
"478","2008-11-21",13.274546
"479","2008-11-24",14.997684
"480","2008-11-25",14.66035
"481","2008-11-26",17.687239
"482","2008-11-28",17.823996
"483","2008-12-01",15.243847
"484","2008-12-02",16.620535
"485","2008-12-03",15.77264
"486","2008-12-04",15.590298
"487","2008-12-05",16.912283
"488","2008-12-08",18.407492
"489","2008-12-09",17.52313
"490","2008-12-10",18.407492
"491","2008-12-11",17.149328
"492","2008-12-12",17.596067
"493","2008-12-15",17.313437
"494","2008-12-16",18.562483
"495","2008-12-17",19.383026
"496","2008-12-18",18.206915
"497","2008-12-19",19.118628
"498","2008-12-22",18.133978
"499","2008-12-23",17.204031
"500","2008-12-24",17.459311
"501","2008-12-26",17.231382
"502","2008-12-29",16.821112
