"","date","EIGR"
"398","2015-08-27",16.049999
"399","2015-08-28",16.799999
"400","2015-08-31",16.799999
"401","2015-09-01",17.25
"402","2015-09-02",17.4
"403","2015-09-03",17.25
"404","2015-09-04",18
"405","2015-09-08",18.6
"406","2015-09-09",17.4
"407","2015-09-10",18
"408","2015-09-11",18.299999
"409","2015-09-14",18.15
"410","2015-09-15",18.299999
"411","2015-09-16",19.049999
"412","2015-09-17",18.450001
"413","2015-09-18",18.15
"414","2015-09-21",18
"415","2015-09-22",17.700001
"416","2015-09-23",17.700001
"417","2015-09-24",18.299999
"418","2015-09-25",18
"419","2015-09-28",16.35
"420","2015-09-29",15.75
"421","2015-09-30",15.75
"422","2015-10-01",15.45
"423","2015-10-02",15.75
"424","2015-10-05",16.200001
"425","2015-10-06",16.200001
"426","2015-10-07",15.75
"427","2015-10-08",16.35
"428","2015-10-09",16.799999
"429","2015-10-12",16.950001
"430","2015-10-13",16.5
"431","2015-10-14",16.5
"432","2015-10-15",17.4
"433","2015-10-16",17.85
"434","2015-10-19",17.25
"435","2015-10-20",17.25
"436","2015-10-21",17.4
"437","2015-10-22",17.1
"438","2015-10-23",17.549999
"439","2015-10-26",16.5
"440","2015-10-27",16.049999
"441","2015-10-28",16.799999
"442","2015-10-29",16.799999
"443","2015-10-30",16.799999
"444","2015-11-02",16.35
"445","2015-11-03",17.1
"446","2015-11-04",17.549999
"447","2015-11-05",16.950001
"448","2015-11-06",16.35
"449","2015-11-09",16.65
"450","2015-11-10",15.9
"451","2015-11-11",16.200001
"452","2015-11-12",17.25
"453","2015-11-13",16.200001
"454","2015-11-16",15.75
"455","2015-11-17",16.35
"456","2015-11-18",16.65
"457","2015-11-19",17.25
"458","2015-11-20",18.9
"459","2015-11-23",22.65
"460","2015-11-24",21.6
"461","2015-11-25",22.049999
"462","2015-11-27",21.75
"463","2015-11-30",26.700001
"464","2015-12-01",25.65
"465","2015-12-02",24.299999
"466","2015-12-03",22.799999
"467","2015-12-04",21.6
"468","2015-12-07",21
"469","2015-12-08",20.549999
"470","2015-12-09",19.5
"471","2015-12-10",18.9
"472","2015-12-11",17.700001
"473","2015-12-14",16.200001
"474","2015-12-15",17.700001
"475","2015-12-16",22.65
"476","2015-12-17",24
"477","2015-12-18",22.950001
"478","2015-12-21",22.799999
"479","2015-12-22",22.799999
"480","2015-12-23",22.799999
"481","2015-12-24",22.5
"482","2015-12-28",21.825001
"483","2015-12-29",22.200001
"484","2015-12-30",21
"485","2015-12-31",22.049999
"486","2016-01-04",22.049999
"487","2016-01-05",25.35
"488","2016-01-06",22.5
"489","2016-01-07",20.549999
"490","2016-01-08",19.200001
"491","2016-01-11",17.700001
"492","2016-01-12",18.15
"493","2016-01-13",17.1
"494","2016-01-14",17.85
"495","2016-01-15",17.25
"496","2016-01-19",16.799999
"497","2016-01-20",17.549999
"498","2016-01-21",18.299999
"499","2016-01-22",18.6
"500","2016-01-25",18.75
"501","2016-01-26",19.35
"502","2016-01-27",17.700001
"503","2016-01-28",16.65
"504","2016-01-29",16.799999
"505","2016-02-01",17.25
"506","2016-02-02",17.25
"507","2016-02-03",17.25
"508","2016-02-04",17.1
"509","2016-02-05",16.65
"510","2016-02-08",16.049999
"511","2016-02-09",16.65
"512","2016-02-10",15.3
"513","2016-02-11",13.65
"514","2016-02-12",13.47
"515","2016-02-16",13.83
"516","2016-02-17",14.385
"517","2016-02-18",14.01
"518","2016-02-19",13.8
"519","2016-02-22",13.8
"520","2016-02-23",13.365
"521","2016-02-24",13.425
"522","2016-02-25",13.59
"523","2016-02-26",13.56
"524","2016-02-29",13.95
"525","2016-03-01",13.8
"526","2016-03-02",14.7
"527","2016-03-03",16.049999
"528","2016-03-04",16.200001
"529","2016-03-07",17.1
"530","2016-03-08",16.049999
"531","2016-03-09",15.9
"532","2016-03-10",15.45
"533","2016-03-11",16.200001
"534","2016-03-14",16.35
"535","2016-03-15",16.65
"536","2016-03-16",16.950001
"537","2016-03-17",16.799999
"538","2016-03-18",16.950001
"539","2016-03-21",17.549999
"540","2016-03-22",17.25
"541","2016-03-23",15.89
"542","2016-03-24",15.11
"543","2016-03-28",15.75
"544","2016-03-29",15.77
"545","2016-03-30",16.49
"546","2016-03-31",16.77
"547","2016-04-01",18.32
"548","2016-04-04",20
"549","2016-04-05",19.1
"550","2016-04-06",19.75
"551","2016-04-07",19.806
"552","2016-04-08",19.860001
"553","2016-04-11",19.9
"554","2016-04-12",20.15
"555","2016-04-13",20.379999
"556","2016-04-14",20.08
"557","2016-04-15",19.780001
"558","2016-04-18",20.27
"559","2016-04-19",20.209999
"560","2016-04-20",20.129999
"561","2016-04-21",20.280001
"562","2016-04-22",20.99
"563","2016-04-25",21.200001
"564","2016-04-26",21.01
"565","2016-04-27",21.030001
"566","2016-04-28",21.065001
"567","2016-04-29",20.639999
"568","2016-05-02",20.4
"569","2016-05-03",20.01
"570","2016-05-04",19.870001
"571","2016-05-05",19.610001
"572","2016-05-06",19.450001
"573","2016-05-09",19.745001
"574","2016-05-10",19.66
"575","2016-05-11",19.559999
"576","2016-05-12",19.51
"577","2016-05-13",19.379999
"578","2016-05-16",19.559999
"579","2016-05-17",19.51
"580","2016-05-18",19.5
"581","2016-05-19",19.940001
