"","date","CHNG"
"89","2019-10-31",13.22
"90","2019-11-01",13.4
"91","2019-11-04",12.95
"92","2019-11-05",12.89
"93","2019-11-06",12.72
"94","2019-11-07",12.75
"95","2019-11-08",13.07
"96","2019-11-11",13.2
"97","2019-11-12",13.17
"98","2019-11-13",13.18
"99","2019-11-14",13.9
"100","2019-11-15",13.53
"101","2019-11-18",12.97
"102","2019-11-19",13.24
"103","2019-11-20",13.2
"104","2019-11-21",13.25
"105","2019-11-22",13.22
"106","2019-11-25",13.1
"107","2019-11-26",13.44
"108","2019-11-27",13.62
"109","2019-11-29",13.38
"110","2019-12-02",13.38
"111","2019-12-03",13.3
"112","2019-12-04",13.16
"113","2019-12-05",13.2
"114","2019-12-06",14.04
"115","2019-12-09",14.05
"116","2019-12-10",13.91
"117","2019-12-11",14.07
"118","2019-12-12",13.98
"119","2019-12-13",13.67
"120","2019-12-16",13.66
"121","2019-12-17",14.2
"122","2019-12-18",14.78
"123","2019-12-19",14.69
"124","2019-12-20",15.15
"125","2019-12-23",15.64
"126","2019-12-24",15.64
"127","2019-12-26",15.66
"128","2019-12-27",15.995
"129","2019-12-30",16.16
"130","2019-12-31",16.389999
"131","2020-01-02",16.02
"132","2020-01-03",15.74
"133","2020-01-06",15.66
"134","2020-01-07",15.65
"135","2020-01-08",15.86
"136","2020-01-09",15.6
"137","2020-01-10",15.67
"138","2020-01-13",15.73
"139","2020-01-14",16.5
"140","2020-01-15",16.16
"141","2020-01-16",16.35
"142","2020-01-17",16.77
"143","2020-01-21",17.26
"144","2020-01-22",17.059999
"145","2020-01-23",16.65
"146","2020-01-24",16.01
"147","2020-01-27",16.18
"148","2020-01-28",16
"149","2020-01-29",16
"150","2020-01-30",15.94
"151","2020-01-31",15.52
"152","2020-02-03",15.45
"153","2020-02-04",15.84
"154","2020-02-05",15.87
"155","2020-02-06",16.690001
"156","2020-02-07",16.120001
"157","2020-02-10",15.7
"158","2020-02-11",15.63
"159","2020-02-12",15.86
"160","2020-02-13",16.030001
"161","2020-02-14",16.1
"162","2020-02-18",15.94
"163","2020-02-19",15.75
"164","2020-02-20",15.86
"165","2020-02-21",16.01
"166","2020-02-24",15.42
"167","2020-02-25",15.03
"168","2020-02-26",14.9
"169","2020-02-27",14
"170","2020-02-28",13.59
"171","2020-03-02",14.33
"172","2020-03-03",13.89
"173","2020-03-04",14.07
"174","2020-03-05",13.49
"175","2020-03-06",13.1
"176","2020-03-09",11.76
"177","2020-03-10",12.47
"178","2020-03-11",11.44
"179","2020-03-12",10.11
"180","2020-03-13",10.8
"181","2020-03-16",8.93
"182","2020-03-17",7.78
"183","2020-03-18",6.86
"184","2020-03-19",7.47
"185","2020-03-20",7.82
"186","2020-03-23",8.16
"187","2020-03-24",9.25
"188","2020-03-25",10.04
"189","2020-03-26",9.77
"190","2020-03-27",10.09
"191","2020-03-30",11.12
"192","2020-03-31",9.99
"193","2020-04-01",9.05
"194","2020-04-02",9.25
"195","2020-04-03",8.8
"196","2020-04-06",9.56
"197","2020-04-07",10.11
"198","2020-04-08",10.48
"199","2020-04-09",10.49
"200","2020-04-13",10.53
"201","2020-04-14",10.79
"202","2020-04-15",10.04
"203","2020-04-16",9.85
"204","2020-04-17",10.37
"205","2020-04-20",10.43
"206","2020-04-21",9.9
"207","2020-04-22",10.08
"208","2020-04-23",10.31
"209","2020-04-24",10.215
"210","2020-04-27",10.81
"211","2020-04-28",11.09
"212","2020-04-29",12
"213","2020-04-30",11.64
"214","2020-05-01",11.04
"215","2020-05-04",11.16
"216","2020-05-05",11.5
"217","2020-05-06",11.2
"218","2020-05-07",11.5
"219","2020-05-08",11.39
"220","2020-05-11",11.55
"221","2020-05-12",10.96
"222","2020-05-13",10.4
"223","2020-05-14",10.68
"224","2020-05-15",10.64
"225","2020-05-18",11.73
"226","2020-05-19",11.71
"227","2020-05-20",12.08
"228","2020-05-21",12.28
"229","2020-05-22",12.32
"230","2020-05-26",12.335
"231","2020-05-27",12.55
"232","2020-05-28",12.37
"233","2020-05-29",12.48
"234","2020-06-01",12.65
"235","2020-06-02",12.53
"236","2020-06-03",12.81
"237","2020-06-04",11.88
"238","2020-06-05",12.09
"239","2020-06-08",12.37
"240","2020-06-09",12.22
"241","2020-06-10",11.9
"242","2020-06-11",10.65
"243","2020-06-12",10.59
"244","2020-06-15",11.2
"245","2020-06-16",11.92
"246","2020-06-17",11.93
"247","2020-06-18",12.03
"248","2020-06-19",12.39
"249","2020-06-22",12.13
"250","2020-06-23",12.275
"251","2020-06-24",11.4
"252","2020-06-25",11.725
"253","2020-06-26",10.93
"254","2020-06-29",11.07
"255","2020-06-30",11.2
"256","2020-07-01",10.89
"257","2020-07-02",10.85
"258","2020-07-06",10.97
"259","2020-07-07",10.59
"260","2020-07-08",10.47
"261","2020-07-09",10
"262","2020-07-10",10.05
"263","2020-07-13",10
"264","2020-07-14",10.66
"265","2020-07-15",11.02
"266","2020-07-16",10.745
"267","2020-07-17",10.81
"268","2020-07-20",10.93
"269","2020-07-21",10.88
"270","2020-07-22",11.28
"271","2020-07-23",11.45
"272","2020-07-24",11.42
"273","2020-07-27",11.935
"274","2020-07-28",11.55
"275","2020-07-29",11.77
"276","2020-07-30",11.7
"277","2020-07-31",11.66
"278","2020-08-03",11.69
"279","2020-08-04",12.14
"280","2020-08-05",12.38
"281","2020-08-06",13.08
"282","2020-08-07",12.825
"283","2020-08-10",12.96
"284","2020-08-11",12.73
"285","2020-08-12",12.61
"286","2020-08-13",12.81
"287","2020-08-14",12.81
"288","2020-08-17",12.83
"289","2020-08-18",12.77
"290","2020-08-19",12.925
"291","2020-08-20",12.93
"292","2020-08-21",12.92
"293","2020-08-24",13.115
"294","2020-08-25",13.01
"295","2020-08-26",13.61
"296","2020-08-27",13.6
"297","2020-08-28",13.95
"298","2020-08-31",14.15
"299","2020-09-01",14.03
"300","2020-09-02",14.53
"301","2020-09-03",14.17
"302","2020-09-04",13.95
"303","2020-09-08",13.97
"304","2020-09-09",14.62
"305","2020-09-10",14.36
"306","2020-09-11",14.32
"307","2020-09-14",14.53
"308","2020-09-15",14.57
"309","2020-09-16",14.9
"310","2020-09-17",14.95
"311","2020-09-18",14.73
"312","2020-09-21",13.86
"313","2020-09-22",14.06
"314","2020-09-23",13.85
"315","2020-09-24",13.7
"316","2020-09-25",13.96
"317","2020-09-28",14.33
"318","2020-09-29",14.31
"319","2020-09-30",14.51
"320","2020-10-01",14.7
"321","2020-10-02",14.77
"322","2020-10-05",14.92
"323","2020-10-06",14.83
"324","2020-10-07",14.62
"325","2020-10-08",14.92
"326","2020-10-09",14.95
"327","2020-10-12",15.1
"328","2020-10-13",14.82
"329","2020-10-14",14.97
"330","2020-10-15",15.06
"331","2020-10-16",15.09
"332","2020-10-19",14.67
"333","2020-10-20",14.8
"334","2020-10-21",14.65
"335","2020-10-22",15.08
"336","2020-10-23",15.405
"337","2020-10-26",14.77
"338","2020-10-27",14.75
"339","2020-10-28",14.1
"340","2020-10-29",14.26
"341","2020-10-30",14.15
"342","2020-11-02",14.38
"343","2020-11-03",14.61
"344","2020-11-04",15.24
"345","2020-11-05",15.38
"346","2020-11-06",15.495
"347","2020-11-09",16.58
"348","2020-11-10",16.790001
"349","2020-11-11",16.58
"350","2020-11-12",15.9
"351","2020-11-13",16.370001
"352","2020-11-16",16.65
"353","2020-11-17",16.9
"354","2020-11-18",16.860001
"355","2020-11-19",16.85
"356","2020-11-20",17.190001
"357","2020-11-23",17.129999
"358","2020-11-24",17.309999
"359","2020-11-25",17.209999
"360","2020-11-27",17.65
