"","date","BSBK"
"100","2020-06-09",9.59
"101","2020-06-10",9.23
"102","2020-06-11",8.54
"103","2020-06-12",9.24
"104","2020-06-15",9.38
"105","2020-06-16",9.58
"106","2020-06-17",9.64
"107","2020-06-18",9.41
"108","2020-06-19",8.91
"109","2020-06-22",9.07
"110","2020-06-23",9.16
"111","2020-06-24",8.92
"112","2020-06-25",8.39
"113","2020-06-26",8.59
"114","2020-06-29",8.61
"115","2020-06-30",8.74
"116","2020-07-01",8.5
"117","2020-07-02",8.8
"118","2020-07-06",8.93
"119","2020-07-07",8.46
"120","2020-07-08",8.25
"121","2020-07-09",7.76
"122","2020-07-10",7.65
"123","2020-07-13",7.72
"124","2020-07-14",7.8
"125","2020-07-15",8.15
"126","2020-07-16",8.35
"127","2020-07-17",8.37
"128","2020-07-20",8.31
"129","2020-07-21",8.43
"130","2020-07-22",8.2
"131","2020-07-23",8.14
"132","2020-07-24",7.89
"133","2020-07-27",8.32
"134","2020-07-28",7.94
"135","2020-07-29",8.4
"136","2020-07-30",7.9
"137","2020-07-31",7.89
"138","2020-08-03",7.75
"139","2020-08-04",7.75
"140","2020-08-05",8
"141","2020-08-06",7.98
"142","2020-08-07",8
"143","2020-08-10",8.21
"144","2020-08-11",7.89
"145","2020-08-12",7.72
"146","2020-08-13",7.75
"147","2020-08-14",7.69
"148","2020-08-17",7.43
"149","2020-08-18",7.3
"150","2020-08-19",7.3
"151","2020-08-20",7.25
"152","2020-08-21",7.16
"153","2020-08-24",7.22
"154","2020-08-25",7.29
"155","2020-08-26",7.12
"156","2020-08-27",7.16
"157","2020-08-28",7.32
"158","2020-08-31",7.07
"159","2020-09-01",7.11
"160","2020-09-02",7.07
"161","2020-09-03",7.03
"162","2020-09-04",7.3
"163","2020-09-08",7.24
"164","2020-09-09",7.18
"165","2020-09-10",7.26
"166","2020-09-11",7.75
"167","2020-09-14",7.9
"168","2020-09-15",7.67
"169","2020-09-16",7.87
"170","2020-09-17",7.9
"171","2020-09-18",7.9
"172","2020-09-21",7.56
"173","2020-09-22",7.43
"174","2020-09-23",7.26
"175","2020-09-24",7.87
"176","2020-09-25",7.58
"177","2020-09-28",7.61
"178","2020-09-29",7.7
"179","2020-09-30",7.62
"180","2020-10-01",7.57
"181","2020-10-02",7.65
"182","2020-10-05",7.75
"183","2020-10-06",7.78
"184","2020-10-07",7.87
"185","2020-10-08",7.73
"186","2020-10-09",7.84
"187","2020-10-12",7.87
"188","2020-10-13",7.76
"189","2020-10-14",7.76
"190","2020-10-15",7.82
"191","2020-10-16",7.78
"192","2020-10-19",7.62
"193","2020-10-20",7.87
"194","2020-10-21",7.87
"195","2020-10-22",7.8
"196","2020-10-23",7.92
"197","2020-10-26",8.06
"198","2020-10-27",8
"199","2020-10-28",7.89
"200","2020-10-29",7.95
"201","2020-10-30",7.9
"202","2020-11-02",7.95
"203","2020-11-03",8.05
"204","2020-11-04",7.98
"205","2020-11-05",8.05
"206","2020-11-06",7.95
"207","2020-11-09",8.31
"208","2020-11-10",8.62
"209","2020-11-11",8.63
"210","2020-11-12",8.53
"211","2020-11-13",8.6
"212","2020-11-16",8.84
"213","2020-11-17",8.7
"214","2020-11-18",8.56
"215","2020-11-19",8.94
"216","2020-11-20",8.81
"217","2020-11-23",8.82
"218","2020-11-24",8.89
"219","2020-11-25",9.1
"220","2020-11-27",8.89
