"","date","ARQT"
"100","2020-06-23",32.5
"101","2020-06-24",32.400002
"102","2020-06-25",32.709999
"103","2020-06-26",32.470001
"104","2020-06-29",33.009998
"105","2020-06-30",30.24
"106","2020-07-01",31.83
"107","2020-07-02",32.009998
"108","2020-07-06",32.279999
"109","2020-07-07",32
"110","2020-07-08",31.200001
"111","2020-07-09",29.049999
"112","2020-07-10",29.09
"113","2020-07-13",27.57
"114","2020-07-14",28.290001
"115","2020-07-15",28.940001
"116","2020-07-16",27.879999
"117","2020-07-17",29
"118","2020-07-20",29.059999
"119","2020-07-21",28.440001
"120","2020-07-22",27.700001
"121","2020-07-23",27.6
"122","2020-07-24",27.280001
"123","2020-07-27",27.969999
"124","2020-07-28",28.190001
"125","2020-07-29",27.559999
"126","2020-07-30",27.620001
"127","2020-07-31",26.700001
"128","2020-08-03",25.889999
"129","2020-08-04",24.969999
"130","2020-08-05",24.549999
"131","2020-08-06",24.280001
"132","2020-08-07",24.219999
"133","2020-08-10",25.700001
"134","2020-08-11",24.66
"135","2020-08-12",26.129999
"136","2020-08-13",25.995001
"137","2020-08-14",26.16
"138","2020-08-17",26.219999
"139","2020-08-18",26.52
"140","2020-08-19",26.93
"141","2020-08-20",27.5
"142","2020-08-21",28.200001
"143","2020-08-24",25.24
"144","2020-08-25",24.959999
"145","2020-08-26",24.66
"146","2020-08-27",24.040001
"147","2020-08-28",24.6
"148","2020-08-31",25.07
"149","2020-09-01",24.799999
"150","2020-09-02",25.389999
"151","2020-09-03",24.799999
"152","2020-09-04",24.4
"153","2020-09-08",24.190001
"154","2020-09-09",23.879999
"155","2020-09-10",24.040001
"156","2020-09-11",23.440001
"157","2020-09-14",24.370001
"158","2020-09-15",25.08
"159","2020-09-16",25.690001
"160","2020-09-17",27.219999
"161","2020-09-18",26.34
"162","2020-09-21",25.65
"163","2020-09-22",25.280001
"164","2020-09-23",24.74
"165","2020-09-24",24.65
"166","2020-09-25",25.059999
"167","2020-09-28",26.76
"168","2020-09-29",31.040001
"169","2020-09-30",29.299999
"170","2020-10-01",27.620001
"171","2020-10-02",23.299999
"172","2020-10-05",23.639999
"173","2020-10-06",23.75
"174","2020-10-07",24.379999
"175","2020-10-08",24.34
"176","2020-10-09",24.139999
"177","2020-10-12",23.625
"178","2020-10-13",24.42
"179","2020-10-14",24.18
"180","2020-10-15",23.959999
"181","2020-10-16",23.99
"182","2020-10-19",24
"183","2020-10-20",23.690001
"184","2020-10-21",23.09
"185","2020-10-22",22.75
"186","2020-10-23",23.040001
"187","2020-10-26",20.92
"188","2020-10-27",21.25
"189","2020-10-28",20.129999
"190","2020-10-29",20.040001
"191","2020-10-30",17.82
"192","2020-11-02",18.719999
"193","2020-11-03",18.190001
"194","2020-11-04",18.969999
"195","2020-11-05",18.66
"196","2020-11-06",18.25
"197","2020-11-09",20.780001
"198","2020-11-10",20.65
"199","2020-11-11",20.950001
"200","2020-11-12",20.83
"201","2020-11-13",21.17
"202","2020-11-16",21.41
"203","2020-11-17",20.84
"204","2020-11-18",20.92
"205","2020-11-19",21.389999
"206","2020-11-20",23.120001
"207","2020-11-23",25.18
"208","2020-11-24",25.51
"209","2020-11-25",25.620001
"210","2020-11-27",25.940001
