"","date","FE"
"256","2008-01-08",75.370003
"257","2008-01-09",76.089996
"258","2008-01-10",77.839996
"259","2008-01-11",76.870003
"260","2008-01-14",76.93
"261","2008-01-15",76.82
"262","2008-01-16",75.809998
"263","2008-01-17",72.459999
"264","2008-01-18",71.730003
"265","2008-01-22",68.57
"266","2008-01-23",71.589996
"267","2008-01-24",69.720001
"268","2008-01-25",68.550003
"269","2008-01-28",69.690002
"270","2008-01-29",70.360001
"271","2008-01-30",69.330002
"272","2008-01-31",71.220001
"273","2008-02-01",72.389999
"274","2008-02-04",73.489998
"275","2008-02-05",69.970001
"276","2008-02-06",70.129997
"277","2008-02-07",70.470001
"278","2008-02-08",69.970001
"279","2008-02-11",70.25
"280","2008-02-12",71.160004
"281","2008-02-13",71.309998
"282","2008-02-14",70.910004
"283","2008-02-15",71.379997
"284","2008-02-19",71.339996
"285","2008-02-20",71
"286","2008-02-21",69.660004
"287","2008-02-22",70.400002
"288","2008-02-25",71.230003
"289","2008-02-26",71.220001
"290","2008-02-27",69.699997
"291","2008-02-28",69.940002
"292","2008-02-29",67.589996
"293","2008-03-03",67.370003
"294","2008-03-04",69.440002
"295","2008-03-05",70.440002
"296","2008-03-06",68.889999
"297","2008-03-07",68.419998
"298","2008-03-10",67.75
"299","2008-03-11",69.970001
"300","2008-03-12",69.309998
"301","2008-03-13",68.239998
"302","2008-03-14",67.730003
"303","2008-03-17",68.190002
"304","2008-03-18",70.07
"305","2008-03-19",68.68
"306","2008-03-20",69.519997
"307","2008-03-24",68.910004
"308","2008-03-25",68.599998
"309","2008-03-26",68.120003
"310","2008-03-27",68.349998
"311","2008-03-28",67.879997
"312","2008-03-31",68.620003
"313","2008-04-01",71.220001
"314","2008-04-02",71.940002
"315","2008-04-03",71.82
"316","2008-04-04",72.209999
"317","2008-04-07",72.279999
"318","2008-04-08",72.910004
"319","2008-04-09",72.839996
"320","2008-04-10",73.650002
"321","2008-04-11",74.959999
"322","2008-04-14",74.5
"323","2008-04-15",74.199997
"324","2008-04-16",75.400002
"325","2008-04-17",75.419998
"326","2008-04-18",75.769997
"327","2008-04-21",76.160004
"328","2008-04-22",76.68
"329","2008-04-23",77.510002
"330","2008-04-24",76.730003
"331","2008-04-25",76.900002
"332","2008-04-28",76.260002
"333","2008-04-29",75.870003
"334","2008-04-30",75.639999
"335","2008-05-01",76.709999
"336","2008-05-02",79.019997
"337","2008-05-05",77.190002
"338","2008-05-06",76.790001
"339","2008-05-07",75.610001
"340","2008-05-08",75.910004
"341","2008-05-09",75.989998
"342","2008-05-12",76.470001
"343","2008-05-13",75.949997
"344","2008-05-14",77.010002
"345","2008-05-15",76.330002
"346","2008-05-16",76.82
"347","2008-05-19",78.029999
"348","2008-05-20",78.839996
"349","2008-05-21",78.720001
"350","2008-05-22",78.879997
"351","2008-05-23",77.760002
"352","2008-05-27",78.050003
"353","2008-05-28",78.849998
"354","2008-05-29",79.699997
"355","2008-05-30",78.709999
"356","2008-06-02",78.059998
"357","2008-06-03",77.760002
"358","2008-06-04",78.540001
"359","2008-06-05",78.949997
"360","2008-06-06",76.830002
"361","2008-06-09",77.900002
"362","2008-06-10",78.57
"363","2008-06-11",77.519997
"364","2008-06-12",78.230003
"365","2008-06-13",79.790001
"366","2008-06-16",79.760002
"367","2008-06-17",79.610001
"368","2008-06-18",79.540001
"369","2008-06-19",81.580002
"370","2008-06-20",80.940002
"371","2008-06-23",81.800003
"372","2008-06-24",82.300003
"373","2008-06-25",82.519997
"374","2008-06-26",80.099998
"375","2008-06-27",80.010002
"376","2008-06-30",82.330002
"377","2008-07-01",82.629997
"378","2008-07-02",81.57
"379","2008-07-03",81.790001
"380","2008-07-07",81
"381","2008-07-08",81.050003
"382","2008-07-09",82.699997
"383","2008-07-10",82.879997
"384","2008-07-11",83.209999
"385","2008-07-14",82.410004
"386","2008-07-15",81.959999
"387","2008-07-16",79
"388","2008-07-17",76.989998
"389","2008-07-18",76.690002
"390","2008-07-21",77.730003
"391","2008-07-22",77.379997
"392","2008-07-23",73.910004
"393","2008-07-24",73.529999
"394","2008-07-25",72.220001
"395","2008-07-28",72.349998
"396","2008-07-29",72.879997
"397","2008-07-30",73.989998
"398","2008-07-31",73.550003
"399","2008-08-01",71.489998
"400","2008-08-04",68.949997
"401","2008-08-05",68.43
"402","2008-08-06",68.940002
"403","2008-08-07",68.860001
"404","2008-08-08",69.760002
"405","2008-08-11",70.370003
