"","date","GRTX"
"131","2020-05-15",11
"132","2020-05-18",11.4
"133","2020-05-19",11.32
"134","2020-05-20",12
"135","2020-05-21",11.84
"136","2020-05-22",11.63
"137","2020-05-26",11.15
"138","2020-05-27",11.14
"139","2020-05-28",10.59
"140","2020-05-29",10.46
"141","2020-06-01",9.83
"142","2020-06-02",9.4
"143","2020-06-03",9.64
"144","2020-06-04",9.5
"145","2020-06-05",9.75
"146","2020-06-08",9.3
"147","2020-06-09",9.31
"148","2020-06-10",8.84
"149","2020-06-11",8.85
"150","2020-06-12",8.72
"151","2020-06-15",9.01
"152","2020-06-16",9.27
"153","2020-06-17",9.33
"154","2020-06-18",8.98
"155","2020-06-19",8.55
"156","2020-06-22",9.04
"157","2020-06-23",9.15
"158","2020-06-24",9
"159","2020-06-25",9
"160","2020-06-26",8.5
"161","2020-06-29",8.09
"162","2020-06-30",7.14
"163","2020-07-01",7.22
"164","2020-07-02",7.21
"165","2020-07-06",7.35
"166","2020-07-07",7.49
"167","2020-07-08",7.49
"168","2020-07-09",7.35
"169","2020-07-10",7.18
"170","2020-07-13",7.35
"171","2020-07-14",7.87
"172","2020-07-15",8.58
"173","2020-07-16",8.55
"174","2020-07-17",7.92
"175","2020-07-20",8.13
"176","2020-07-21",8.3
"177","2020-07-22",7.99
"178","2020-07-23",7.89
"179","2020-07-24",7.62
"180","2020-07-27",7.88
"181","2020-07-28",7.72
"182","2020-07-29",7.75
"183","2020-07-30",7.77
"184","2020-07-31",6.96
"185","2020-08-03",7.16
"186","2020-08-04",7.21
"187","2020-08-05",7.35
"188","2020-08-06",7.55
"189","2020-08-07",7.96
"190","2020-08-10",7.96
"191","2020-08-11",7.81
"192","2020-08-12",7.94
"193","2020-08-13",7.91
"194","2020-08-14",7.81
"195","2020-08-17",7.91
"196","2020-08-18",8.18
"197","2020-08-19",8.21
"198","2020-08-20",8.18
"199","2020-08-21",7.94
"200","2020-08-24",8.01
"201","2020-08-25",7.87
"202","2020-08-26",7.76
"203","2020-08-27",7.55
"204","2020-08-28",7.82
"205","2020-08-31",7.81
"206","2020-09-01",7.42
"207","2020-09-02",8
"208","2020-09-03",7.5
"209","2020-09-04",7.38
"210","2020-09-08",8.11
"211","2020-09-09",8.55
"212","2020-09-10",9
"213","2020-09-11",9.12
"214","2020-09-14",8.65
"215","2020-09-15",8.22
"216","2020-09-16",8.45
"217","2020-09-17",8.4
"218","2020-09-18",8.21
"219","2020-09-21",7.87
"220","2020-09-22",7.92
"221","2020-09-23",7.96
"222","2020-09-24",8.1
"223","2020-09-25",8.34
"224","2020-09-28",8.57
"225","2020-09-29",8.69
"226","2020-09-30",9.04
"227","2020-10-01",9.81
"228","2020-10-02",11.18
"229","2020-10-05",11.4
"230","2020-10-06",12.07
"231","2020-10-07",12.05
"232","2020-10-08",11.74
"233","2020-10-09",12.1
"234","2020-10-12",12.05
"235","2020-10-13",12.52
"236","2020-10-14",12.5
"237","2020-10-15",12.39
"238","2020-10-16",11.01
"239","2020-10-19",11.51
"240","2020-10-20",11.47
"241","2020-10-21",11.43
"242","2020-10-22",11.85
"243","2020-10-23",12.24
"244","2020-10-26",12.81
"245","2020-10-27",11.55
"246","2020-10-28",9.58
"247","2020-10-29",8.78
"248","2020-10-30",8.19
"249","2020-11-02",8.02
"250","2020-11-03",9.58
"251","2020-11-04",10.27
"252","2020-11-05",10.47
"253","2020-11-06",10.2
"254","2020-11-09",10.37
"255","2020-11-10",10.54
"256","2020-11-11",10.44
"257","2020-11-12",10.83
"258","2020-11-13",10.2
"259","2020-11-16",10.58
"260","2020-11-17",10.48
"261","2020-11-18",10.97
"262","2020-11-19",10.84
"263","2020-11-20",10.97
"264","2020-11-23",10.59
"265","2020-11-24",10.91
"266","2020-11-25",11.08
"267","2020-11-27",11.21
