"","date","PLIN"
"186","2020-05-11",1.77
"187","2020-05-12",1.87
"188","2020-05-13",2.25
"189","2020-05-14",2.05
"190","2020-05-15",1.98
"191","2020-05-18",1.92
"192","2020-05-19",1.86
"193","2020-05-20",1.75
"194","2020-05-21",1.76
"195","2020-05-22",1.69
"196","2020-05-26",1.7
"197","2020-05-27",1.71
"198","2020-05-28",1.63
"199","2020-05-29",1.51
"200","2020-06-01",1.57
"201","2020-06-02",1.5
"202","2020-06-03",1.53
"203","2020-06-04",1.5
"204","2020-06-05",1.48
"205","2020-06-08",1.5
"206","2020-06-09",1.465
"207","2020-06-10",1.55
"208","2020-06-11",1.44
"209","2020-06-12",1.5
"210","2020-06-15",1.49
"211","2020-06-16",1.67
"212","2020-06-17",1.55
"213","2020-06-18",1.72
"214","2020-06-19",1.7
"215","2020-06-22",1.63
"216","2020-06-23",1.56
"217","2020-06-24",1.54
"218","2020-06-25",1.52
"219","2020-06-26",1.46
"220","2020-06-29",1.43
"221","2020-06-30",1.3
"222","2020-07-01",1.35
"223","2020-07-02",1.31
"224","2020-07-06",1.4
"225","2020-07-07",1.33
"226","2020-07-08",1.34
"227","2020-07-09",1.33
"228","2020-07-10",1.39
"229","2020-07-13",1.37
"230","2020-07-14",1.3
"231","2020-07-15",1.365
"232","2020-07-16",1.35
"233","2020-07-17",1.34
"234","2020-07-20",1.34
"235","2020-07-21",1.33
"236","2020-07-22",1.33
"237","2020-07-23",1.31
"238","2020-07-24",1.3
"239","2020-07-27",1.26
"240","2020-07-28",1.26
"241","2020-07-29",1.27
"242","2020-07-30",1.26
"243","2020-07-31",1.21
"244","2020-08-03",1.165
"245","2020-08-04",1.21
"246","2020-08-05",1.189
"247","2020-08-06",1.16
"248","2020-08-07",1.16
"249","2020-08-10",1.2
"250","2020-08-11",1.186
"251","2020-08-12",1.18
"252","2020-08-13",1.26
"253","2020-08-14",1.23
"254","2020-08-17",1.16
"255","2020-08-18",1.14
"256","2020-08-19",1.09
"257","2020-08-20",1.06
"258","2020-08-21",1.08
"259","2020-08-24",1.06
"260","2020-08-25",1.07
"261","2020-08-26",1.08
"262","2020-08-27",1.12
"263","2020-08-28",1.07
"264","2020-08-31",1.04
"265","2020-09-01",1
"266","2020-09-02",0.93
"267","2020-09-03",0.825
"268","2020-09-04",0.8
"269","2020-09-08",0.761
"270","2020-09-09",0.735
"271","2020-09-10",0.74
"272","2020-09-11",0.755
"273","2020-09-14",0.834
"274","2020-09-15",0.76
"275","2020-09-16",0.78
"276","2020-09-17",0.743
"277","2020-09-18",0.73
"278","2020-09-21",0.707
"279","2020-09-22",0.72
"280","2020-09-23",0.69
"281","2020-09-24",0.664
"282","2020-09-25",0.665
"283","2020-09-28",0.69
"284","2020-09-29",0.71
"285","2020-09-30",0.69
"286","2020-10-01",0.685
"287","2020-10-02",0.7
"288","2020-10-05",0.705
"289","2020-10-06",0.73
"290","2020-10-07",0.698
"291","2020-10-08",0.705
"292","2020-10-09",0.716
"293","2020-10-12",0.71
"294","2020-10-13",0.7
"295","2020-10-14",0.73
"296","2020-10-15",0.87
"297","2020-10-16",0.76
"298","2020-10-19",0.8
"299","2020-10-20",0.86
"300","2020-10-21",1.16
"301","2020-10-22",1.1
"302","2020-10-23",1.05
"303","2020-10-26",1.03
"304","2020-10-27",0.988
"305","2020-10-28",0.87
"306","2020-10-29",0.897
"307","2020-10-30",0.91
"308","2020-11-02",0.86
"309","2020-11-03",0.868
"310","2020-11-04",0.85
"311","2020-11-05",0.787
"312","2020-11-06",0.79
"313","2020-11-09",0.822
"314","2020-11-10",0.835
"315","2020-11-11",0.83
"316","2020-11-12",0.8
"317","2020-11-13",0.791
"318","2020-11-16",0.829
"319","2020-11-17",0.804
"320","2020-11-18",0.778
"321","2020-11-19",0.732
"322","2020-11-20",0.75
"323","2020-11-23",0.741
"324","2020-11-24",0.88
"325","2020-11-25",0.83
"326","2020-11-27",0.837
