"","date","SNSS"
"290","2008-02-27",532.799988
"291","2008-02-28",561.599976
"292","2008-02-29",504
"293","2008-03-03",496.799988
"294","2008-03-04",532.799988
"295","2008-03-05",576
"296","2008-03-06",558
"297","2008-03-07",540
"298","2008-03-10",529.200012
"299","2008-03-11",540
"300","2008-03-12",507.600006
"301","2008-03-13",565.200012
"302","2008-03-14",568.799988
"303","2008-03-17",478.799988
"304","2008-03-18",630
"305","2008-03-19",583.200012
"306","2008-03-20",630
"307","2008-03-24",612
"308","2008-03-25",608.400024
"309","2008-03-26",612
"310","2008-03-27",608.400024
"311","2008-03-28",612
"312","2008-03-31",558
"313","2008-04-01",572.400024
"314","2008-04-02",597.599976
"315","2008-04-03",540
"316","2008-04-04",597.599976
"317","2008-04-07",586.799988
"318","2008-04-08",561.599976
"319","2008-04-09",554.400024
"320","2008-04-10",550.799988
"321","2008-04-11",536.400024
"322","2008-04-14",558
"323","2008-04-15",504
"324","2008-04-16",496.799988
"325","2008-04-17",468
"326","2008-04-18",478.799988
"327","2008-04-21",453.600006
"328","2008-04-22",464.399994
"329","2008-04-23",471.600006
"330","2008-04-24",486
"331","2008-04-25",554.400024
"332","2008-04-28",583.200012
"333","2008-04-29",583.200012
"334","2008-04-30",590.400024
"335","2008-05-01",579.599976
"336","2008-05-02",601.200012
"337","2008-05-05",576
"338","2008-05-06",558
"339","2008-05-07",558
"340","2008-05-08",565.200012
"341","2008-05-09",576
"342","2008-05-12",601.200012
"343","2008-05-13",601.200012
"344","2008-05-14",608.400024
"345","2008-05-15",720
"346","2008-05-16",669.599976
"347","2008-05-19",597.599976
"348","2008-05-20",655.200012
"349","2008-05-21",666
"350","2008-05-22",709.200012
"351","2008-05-23",684
"352","2008-05-27",666
"353","2008-05-28",676.799988
"354","2008-05-29",716.400024
"355","2008-05-30",720
"356","2008-06-02",723.599976
"357","2008-06-03",720
"358","2008-06-04",666
"359","2008-06-05",637.200012
"360","2008-06-06",648
"361","2008-06-09",673.200012
"362","2008-06-10",669.599976
"363","2008-06-11",644.400024
"364","2008-06-12",648
"365","2008-06-13",680.400024
"366","2008-06-16",644.400024
"367","2008-06-17",658.799988
"368","2008-06-18",651.599976
"369","2008-06-19",630
"370","2008-06-20",612
"371","2008-06-23",612
"372","2008-06-24",576
"373","2008-06-25",558
"374","2008-06-26",568.799988
"375","2008-06-27",550.799988
"376","2008-06-30",518.400024
"377","2008-07-01",507.600006
"378","2008-07-02",504
"379","2008-07-03",511.200012
"380","2008-07-07",450
"381","2008-07-08",468
"382","2008-07-09",504
"383","2008-07-10",518.400024
"384","2008-07-11",547.200012
"385","2008-07-14",576
"386","2008-07-15",558
"387","2008-07-16",597.599976
"388","2008-07-17",630
"389","2008-07-18",648
"390","2008-07-21",655.200012
"391","2008-07-22",615.599976
"392","2008-07-23",626.400024
"393","2008-07-24",561.599976
"394","2008-07-25",576
"395","2008-07-28",576
"396","2008-07-29",540
"397","2008-07-30",522
"398","2008-07-31",568.799988
"399","2008-08-01",579.599976
"400","2008-08-04",558
"401","2008-08-05",558
"402","2008-08-06",558
"403","2008-08-07",601.200012
"404","2008-08-08",608.400024
"405","2008-08-11",608.400024
"406","2008-08-12",612
"407","2008-08-13",615.599976
"408","2008-08-14",622.799988
"409","2008-08-15",604.799988
"410","2008-08-18",608.400024
"411","2008-08-19",586.799988
"412","2008-08-20",594
"413","2008-08-21",594
"414","2008-08-22",558
"415","2008-08-25",550.799988
"416","2008-08-26",586.799988
"417","2008-08-27",590.400024
"418","2008-08-28",586.799988
"419","2008-08-29",568.799988
"420","2008-09-02",558
"421","2008-09-03",558
"422","2008-09-04",504
"423","2008-09-05",540
"424","2008-09-08",507.600006
"425","2008-09-09",540
"426","2008-09-10",532.799988
"427","2008-09-11",518.400024
"428","2008-09-12",525.599976
"429","2008-09-15",518.400024
"430","2008-09-16",504
"431","2008-09-17",331.200012
"432","2008-09-18",342
"433","2008-09-19",349.200012
"434","2008-09-22",342
"435","2008-09-23",356.399994
"436","2008-09-24",392.399994
"437","2008-09-25",360
"438","2008-09-26",356.399994
"439","2008-09-29",327.600006
"440","2008-09-30",342
"441","2008-10-01",306
"442","2008-10-02",313.200012
"443","2008-10-03",342
"444","2008-10-06",334.799988
"445","2008-10-07",309.600006
"446","2008-10-08",306
"447","2008-10-09",324
"448","2008-10-10",230.399994
"449","2008-10-13",216
"450","2008-10-14",230.399994
"451","2008-10-15",252
"452","2008-10-16",216
"453","2008-10-17",180
"454","2008-10-20",180
"455","2008-10-21",241.199997
"456","2008-10-22",223.199997
"457","2008-10-23",144
"458","2008-10-24",162
"459","2008-10-27",162
"460","2008-10-28",198
"461","2008-10-29",216
"462","2008-10-30",270
"463","2008-10-31",277.200012
"464","2008-11-03",259.200012
"465","2008-11-04",288
"466","2008-11-05",324
"467","2008-11-06",324
"468","2008-11-07",298.799988
"469","2008-11-10",316.799988
"470","2008-11-11",309.600006
"471","2008-11-12",280.799988
"472","2008-11-13",277.200012
"473","2008-11-14",306
"474","2008-11-17",291.600006
"475","2008-11-18",288
"476","2008-11-19",216
"477","2008-11-20",111.599998
"478","2008-11-21",172.800003
"479","2008-11-24",162
"480","2008-11-25",165.600006
"481","2008-11-26",162
"482","2008-11-28",226.800003
