"","date","SPT"
"85","2020-04-16",13.68
"86","2020-04-17",14.03
"87","2020-04-20",14.66
"88","2020-04-21",14.38
"89","2020-04-22",15.05
"90","2020-04-23",14.53
"91","2020-04-24",14.7
"92","2020-04-27",15.12
"93","2020-04-28",15.49
"94","2020-04-29",16.52
"95","2020-04-30",16.82
"96","2020-05-01",16.35
"97","2020-05-04",16.389999
"98","2020-05-05",17.120001
"99","2020-05-06",18.01
"100","2020-05-07",21.700001
"101","2020-05-08",22.190001
"102","2020-05-11",23.389999
"103","2020-05-12",22.610001
"104","2020-05-13",22.67
"105","2020-05-14",22.209999
"106","2020-05-15",22.99
"107","2020-05-18",24.360001
"108","2020-05-19",26.17
"109","2020-05-20",27.51
"110","2020-05-21",27.610001
"111","2020-05-22",26.309999
"112","2020-05-26",25.98
"113","2020-05-27",24.92
"114","2020-05-28",24.24
"115","2020-05-29",27.549999
"116","2020-06-01",29.09
"117","2020-06-02",29.870001
"118","2020-06-03",31.110001
"119","2020-06-04",31.309999
"120","2020-06-05",32.240002
"121","2020-06-08",31.049999
"122","2020-06-09",28.84
"123","2020-06-10",28.25
"124","2020-06-11",26.52
"125","2020-06-12",26.5
"126","2020-06-15",26.74
"127","2020-06-16",28.75
"128","2020-06-17",27.780001
"129","2020-06-18",27.9
"130","2020-06-19",28.030001
"131","2020-06-22",28.440001
"132","2020-06-23",28.4
"133","2020-06-24",27.504999
"134","2020-06-25",27.389999
"135","2020-06-26",26.83
"136","2020-06-29",24.969999
"137","2020-06-30",27
"138","2020-07-01",27.66
"139","2020-07-02",27.68
"140","2020-07-06",27.67
"141","2020-07-07",27.23
"142","2020-07-08",27.93
"143","2020-07-09",29.18
"144","2020-07-10",27.4
"145","2020-07-13",25.5
"146","2020-07-14",25.690001
"147","2020-07-15",26.59
"148","2020-07-16",27.110001
"149","2020-07-17",28.52
"150","2020-07-20",29
"151","2020-07-21",28.690001
"152","2020-07-22",28.99
"153","2020-07-23",29.74
"154","2020-07-24",27.07
"155","2020-07-27",27.66
"156","2020-07-28",27.299999
"157","2020-07-29",27.790001
"158","2020-07-30",28.379999
"159","2020-07-31",28.889999
"160","2020-08-03",29.049999
"161","2020-08-04",29.219999
"162","2020-08-05",31.440001
"163","2020-08-06",29.610001
"164","2020-08-07",28.4
"165","2020-08-10",27.75
"166","2020-08-11",27.17
"167","2020-08-12",29.459999
"168","2020-08-13",30.52
"169","2020-08-14",30.620001
"170","2020-08-17",31.49
"171","2020-08-18",32.169998
"172","2020-08-19",32.02
"173","2020-08-20",33.060001
"174","2020-08-21",34.259998
"175","2020-08-24",34.169998
"176","2020-08-25",35.119999
"177","2020-08-26",34.09
"178","2020-08-27",34.91
"179","2020-08-28",36.610001
"180","2020-08-31",38.75
"181","2020-09-01",40.599998
"182","2020-09-02",39.09
"183","2020-09-03",35.509998
"184","2020-09-04",33.529999
"185","2020-09-08",32.779999
"186","2020-09-09",33.68
"187","2020-09-10",33.060001
"188","2020-09-11",32.310001
"189","2020-09-14",34.099998
"190","2020-09-15",33.959999
"191","2020-09-16",33.610001
"192","2020-09-17",34
"193","2020-09-18",34.939999
"194","2020-09-21",34.970001
"195","2020-09-22",37.369999
"196","2020-09-23",36.689999
"197","2020-09-24",36.220001
"198","2020-09-25",37.119999
"199","2020-09-28",37.490002
"200","2020-09-29",38.650002
"201","2020-09-30",38.5
"202","2020-10-01",38.860001
"203","2020-10-02",38.139999
"204","2020-10-05",39.080002
"205","2020-10-06",41.759998
"206","2020-10-07",44.419998
"207","2020-10-08",45.52
"208","2020-10-09",46.950001
"209","2020-10-12",48.560001
"210","2020-10-13",48.330002
"211","2020-10-14",49.130001
"212","2020-10-15",47.540001
"213","2020-10-16",50.290001
"214","2020-10-19",48.540001
"215","2020-10-20",49.049999
"216","2020-10-21",48.740002
"217","2020-10-22",46.849998
"218","2020-10-23",47.549999
"219","2020-10-26",45.490002
"220","2020-10-27",46.450001
"221","2020-10-28",45.48
"222","2020-10-29",44.73
"223","2020-10-30",43.700001
"224","2020-11-02",42.959999
"225","2020-11-03",43.93
"226","2020-11-04",46.02
"227","2020-11-05",49.389999
"228","2020-11-06",48.330002
"229","2020-11-09",43.740002
"230","2020-11-10",46.299999
"231","2020-11-11",47.68
"232","2020-11-12",50.09
"233","2020-11-13",50.880001
"234","2020-11-16",46.990002
"235","2020-11-17",44.720001
"236","2020-11-18",42.459999
"237","2020-11-19",44.549999
"238","2020-11-20",47.880001
"239","2020-11-23",47.110001
"240","2020-11-24",46.830002
"241","2020-11-25",49.959999
"242","2020-11-27",51.709999
