"","date","GRIL"
"91","2020-06-23",2.71
"92","2020-06-24",2.45
"93","2020-06-25",2.68
"94","2020-06-26",2.59
"95","2020-06-29",2.61
"96","2020-06-30",2.71
"97","2020-07-01",2.7
"98","2020-07-02",2.66
"99","2020-07-06",2.66
"100","2020-07-07",2.48
"101","2020-07-08",2.41
"102","2020-07-09",2.61
"103","2020-07-10",2.56
"104","2020-07-13",2.35
"105","2020-07-14",2.25
"106","2020-07-15",2.39
"107","2020-07-16",2.33
"108","2020-07-17",2.39
"109","2020-07-20",2.36
"110","2020-07-21",2.41
"111","2020-07-22",2.4
"112","2020-07-23",2.33
"113","2020-07-24",2.24
"114","2020-07-27",2.25
"115","2020-07-28",2.25
"116","2020-07-29",2.09
"117","2020-07-30",2.32
"118","2020-07-31",2.12
"119","2020-08-03",2.16
"120","2020-08-04",2.14
"121","2020-08-05",2.15
"122","2020-08-06",2.125
"123","2020-08-07",2.12
"124","2020-08-10",2.4
"125","2020-08-11",2.64
"126","2020-08-12",2.63
"127","2020-08-13",2.53
"128","2020-08-14",3.2
"129","2020-08-17",2.86
"130","2020-08-18",3.26
"131","2020-08-19",3.32
"132","2020-08-20",3.15
"133","2020-08-21",3.06
"134","2020-08-24",3
"135","2020-08-25",2.85
"136","2020-08-26",2.73
"137","2020-08-27",2.56
"138","2020-08-28",2.65
"139","2020-08-31",2.65
"140","2020-09-01",2.45
"141","2020-09-02",2.3
"142","2020-09-03",2.43
"143","2020-09-04",2.51
"144","2020-09-08",2.63
"145","2020-09-09",2.45
"146","2020-09-10",1.88
"147","2020-09-11",1.62
"148","2020-09-14",1.51
"149","2020-09-15",1.5
"150","2020-09-16",1.55
"151","2020-09-17",1.6
"152","2020-09-18",1.58
"153","2020-09-21",1.57
"154","2020-09-22",1.57
"155","2020-09-23",1.52
"156","2020-09-24",1.44
"157","2020-09-25",1.38
"158","2020-09-28",1.45
"159","2020-09-29",1.4
"160","2020-09-30",1.42
"161","2020-10-01",1.55
"162","2020-10-02",1.62
"163","2020-10-05",1.6
"164","2020-10-06",1.69
"165","2020-10-07",1.76
"166","2020-10-08",1.72
"167","2020-10-09",1.62
"168","2020-10-12",1.59
"169","2020-10-13",1.57
"170","2020-10-14",1.54
"171","2020-10-15",1.59
"172","2020-10-16",1.58
"173","2020-10-19",1.62
"174","2020-10-20",1.66
"175","2020-10-21",1.53
"176","2020-10-22",1.53
"177","2020-10-23",1.53
"178","2020-10-26",2.04
"179","2020-10-27",1.76
"180","2020-10-28",1.62
"181","2020-10-29",1.62
"182","2020-10-30",1.81
"183","2020-11-02",1.82
"184","2020-11-03",1.95
"185","2020-11-04",1.9
"186","2020-11-05",1.86
"187","2020-11-06",1.82
"188","2020-11-09",1.84
"189","2020-11-10",1.82
"190","2020-11-11",1.98
"191","2020-11-12",1.88
"192","2020-11-13",1.91
"193","2020-11-16",2.04
"194","2020-11-17",1.93
"195","2020-11-18",1.98
"196","2020-11-19",2.05
"197","2020-11-20",2.07
"198","2020-11-23",2.3
"199","2020-11-24",2.1
"200","2020-11-25",2.15
"201","2020-11-27",2.15
