"","date","GIX"
"344","2020-11-06",10.07
"345","2020-11-09",10.08
"346","2020-11-10",10.09
"347","2020-11-11",10.08
"348","2020-11-12",10.078
"349","2020-11-13",10.08
"350","2020-11-16",10.08
"351","2020-11-17",10.07
"352","2020-11-18",10.08
"353","2020-11-19",10.08
"354","2020-11-20",10.09
"355","2020-11-23",10.15
"356","2020-11-24",10.11
"357","2020-11-25",10.11
"358","2020-11-27",10.25
