"","date","TACO"
"456","2015-10-28",12.17
"457","2015-10-29",12.12
"458","2015-10-30",11.73
"459","2015-11-02",11.43
"460","2015-11-03",12.05
"461","2015-11-04",11.63
"462","2015-11-05",11.85
"463","2015-11-06",11.7
"464","2015-11-09",11.28
"465","2015-11-10",11.13
"466","2015-11-11",11.32
"467","2015-11-12",11.15
"468","2015-11-13",10.49
"469","2015-11-16",10.24
"470","2015-11-17",9.91
"471","2015-11-18",10.33
"472","2015-11-19",10.2
"473","2015-11-20",10.06
"474","2015-11-23",10.3
"475","2015-11-24",10.55
"476","2015-11-25",10.53
"477","2015-11-27",10.4
"478","2015-11-30",11.04
"479","2015-12-01",11.19
"480","2015-12-02",11.7
"481","2015-12-03",11.35
"482","2015-12-04",11.45
"483","2015-12-07",11.2
"484","2015-12-08",10.83
"485","2015-12-09",10.63
"486","2015-12-10",11.1
"487","2015-12-11",10.78
"488","2015-12-14",10.52
"489","2015-12-15",10.63
"490","2015-12-16",10.4
"491","2015-12-17",10.21
"492","2015-12-18",10.37
"493","2015-12-21",10.24
"494","2015-12-22",10.52
"495","2015-12-23",10.86
"496","2015-12-24",10.6
"497","2015-12-28",10.85
"498","2015-12-29",10.7
"499","2015-12-30",10.94
"500","2015-12-31",10.65
"501","2016-01-04",10.44
"502","2016-01-05",10.32
"503","2016-01-06",9.93
"504","2016-01-07",9.88
"505","2016-01-08",9.8
"506","2016-01-11",9.45
"507","2016-01-12",10.49
"508","2016-01-13",9.95
"509","2016-01-14",10.18
"510","2016-01-15",9.76
"511","2016-01-19",9.18
"512","2016-01-20",9.77
"513","2016-01-21",9.89
"514","2016-01-22",9.98
"515","2016-01-25",9.92
"516","2016-01-26",9.99
"517","2016-01-27",9.96
"518","2016-01-28",9.85
"519","2016-01-29",9.67
"520","2016-02-01",9.43
"521","2016-02-02",9.52
"522","2016-02-03",9.53
"523","2016-02-04",9.85
"524","2016-02-05",9.22
"525","2016-02-08",9.08
"526","2016-02-09",9.04
"527","2016-02-10",8.98
"528","2016-02-11",8.65
"529","2016-02-12",8.68
"530","2016-02-16",9.12
"531","2016-02-17",9.71
"532","2016-02-18",9.81
"533","2016-02-19",10.35
"534","2016-02-22",10.63
"535","2016-02-23",9.9
"536","2016-02-24",10.24
"537","2016-02-25",10.52
"538","2016-02-26",10.95
"539","2016-02-29",10.83
"540","2016-03-01",10.63
"541","2016-03-02",10.75
"542","2016-03-03",10.78
"543","2016-03-04",10.5
"544","2016-03-07",10.4
"545","2016-03-08",10.52
"546","2016-03-09",10.74
"547","2016-03-10",10.48
"548","2016-03-11",10.69
"549","2016-03-14",10.98
"550","2016-03-15",10.57
"551","2016-03-16",10.76
"552","2016-03-17",10.83
"553","2016-03-18",10.95
"554","2016-03-21",10.88
"555","2016-03-22",10.76
"556","2016-03-23",10.51
"557","2016-03-24",10.51
"558","2016-03-28",10.43
"559","2016-03-29",10.16
"560","2016-03-30",10.28
"561","2016-03-31",10.33
"562","2016-04-01",10.01
"563","2016-04-04",10
"564","2016-04-05",10.03
"565","2016-04-06",9.93
"566","2016-04-07",9.83
"567","2016-04-08",9.62
"568","2016-04-11",9.48
"569","2016-04-12",9.62
"570","2016-04-13",9.74
"571","2016-04-14",9.44
"572","2016-04-15",9.4
"573","2016-04-18",9.35
"574","2016-04-19",9.13
"575","2016-04-20",9.02
"576","2016-04-21",9.14
"577","2016-04-22",9.15
"578","2016-04-25",9.06
"579","2016-04-26",9.02
"580","2016-04-27",9.1
"581","2016-04-28",9.06
"582","2016-04-29",9.05
"583","2016-05-02",8.99
"584","2016-05-03",9.47
"585","2016-05-04",9.9
"586","2016-05-05",9.78
"587","2016-05-06",9.74
"588","2016-05-09",9.86
"589","2016-05-10",9.96
"590","2016-05-11",9.51
"591","2016-05-12",9.54
"592","2016-05-13",9.6
"593","2016-05-16",9.61
"594","2016-05-17",9.52
"595","2016-05-18",9.38
"596","2016-05-19",9.02
"597","2016-05-20",9.24
"598","2016-05-23",9.29
"599","2016-05-24",9.69
"600","2016-05-25",9.4
"601","2016-05-26",9.42
"602","2016-05-27",9.5
"603","2016-05-31",9.34
"604","2016-06-01",9.44
"605","2016-06-02",9.34
"606","2016-06-03",9.27
"607","2016-06-06",9.47
"608","2016-06-07",9.38
"609","2016-06-08",9.49
"610","2016-06-09",9.34
"611","2016-06-10",9.2
"612","2016-06-13",9.26
"613","2016-06-14",9.26
"614","2016-06-15",9.09
"615","2016-06-16",8.93
"616","2016-06-17",8.73
"617","2016-06-20",8.79
"618","2016-06-21",8.9
"619","2016-06-22",8.96
"620","2016-06-23",9.1
"621","2016-06-24",8.59
"622","2016-06-27",8.49
"623","2016-06-28",8.62
"624","2016-06-29",8.97
"625","2016-06-30",9.1
"626","2016-07-01",9.12
"627","2016-07-05",9.04
"628","2016-07-06",8.91
"629","2016-07-07",8.9
"630","2016-07-08",9.01
"631","2016-07-11",9.47
"632","2016-07-12",9.64
"633","2016-07-13",9.52
"634","2016-07-14",9.55
"635","2016-07-15",9.63
"636","2016-07-18",9.77
"637","2016-07-19",9.82
"638","2016-07-20",9.8
"639","2016-07-21",11
"640","2016-07-22",10.66
"641","2016-07-25",10.91
"642","2016-07-26",10.66
"643","2016-07-27",10.56
"644","2016-07-28",10.52
"645","2016-07-29",10.51
"646","2016-08-01",10.43
"647","2016-08-02",10.11
"648","2016-08-03",10.19
"649","2016-08-04",10.06
"650","2016-08-05",10.4
"651","2016-08-08",10.42
"652","2016-08-09",10.44
"653","2016-08-10",10.8
"654","2016-08-11",10.98
"655","2016-08-12",10.77
"656","2016-08-15",10.71
"657","2016-08-16",10.7
"658","2016-08-17",10.58
"659","2016-08-18",10.59
"660","2016-08-19",10.69
"661","2016-08-22",10.71
"662","2016-08-23",10.97
"663","2016-08-24",10.99
"664","2016-08-25",10.99
"665","2016-08-26",11.07
"666","2016-08-29",11.14
"667","2016-08-30",11.3
"668","2016-08-31",11.23
"669","2016-09-01",11.02
"670","2016-09-02",11.23
"671","2016-09-06",11.19
"672","2016-09-07",11.56
"673","2016-09-08",11.33
"674","2016-09-09",10.97
"675","2016-09-12",11.2
"676","2016-09-13",11.02
"677","2016-09-14",11
"678","2016-09-15",11.27
"679","2016-09-16",11.15
"680","2016-09-19",11.05
"681","2016-09-20",11.15
"682","2016-09-21",11.66
"683","2016-09-22",11.78
"684","2016-09-23",11.94
"685","2016-09-26",11.71
"686","2016-09-27",11.73
"687","2016-09-28",11.79
"688","2016-09-29",11.72
"689","2016-09-30",11.92
"690","2016-10-03",11.93
"691","2016-10-04",11.97
"692","2016-10-05",11.91
"693","2016-10-06",11.77
"694","2016-10-07",11.75
"695","2016-10-10",12.04
"696","2016-10-11",12
"697","2016-10-12",12.09
"698","2016-10-13",12.12
"699","2016-10-14",12.12
"700","2016-10-17",12.63
"701","2016-10-18",13.74
"702","2016-10-19",13.91
"703","2016-10-20",13.96
"704","2016-10-21",14
"705","2016-10-24",13.99
"706","2016-10-25",13.65
"707","2016-10-26",13.42
"708","2016-10-27",13.59
"709","2016-10-28",13.55
"710","2016-10-31",13.41
"711","2016-11-01",13.11
"712","2016-11-02",13.09
"713","2016-11-03",13.19
"714","2016-11-04",13.36
"715","2016-11-07",13.56
"716","2016-11-08",13.71
"717","2016-11-09",13.88
"718","2016-11-10",14.29
"719","2016-11-11",14.25
"720","2016-11-14",14.17
"721","2016-11-15",14
"722","2016-11-16",13.99
"723","2016-11-17",14
"724","2016-11-18",14.25
"725","2016-11-21",14.41
"726","2016-11-22",14.76
"727","2016-11-23",15.06
"728","2016-11-25",15.1
"729","2016-11-28",14.92
"730","2016-11-29",14.77
"731","2016-11-30",14.52
"732","2016-12-01",14.63
"733","2016-12-02",14.53
"734","2016-12-05",14.77
"735","2016-12-06",14.85
"736","2016-12-07",15.06
"737","2016-12-08",15.14
"738","2016-12-09",14.75
"739","2016-12-12",14.59
"740","2016-12-13",14.64
"741","2016-12-14",14.56
"742","2016-12-15",14.65
"743","2016-12-16",14.69
"744","2016-12-19",15.15
"745","2016-12-20",14.79
"746","2016-12-21",14.86
"747","2016-12-22",14.47
"748","2016-12-23",14.61
"749","2016-12-27",14.53
"750","2016-12-28",14.32
"751","2016-12-29",14.37
"752","2016-12-30",14.12
"753","2017-01-03",14.32
"754","2017-01-04",14.55
"755","2017-01-05",14.57
"756","2017-01-06",14.02
"757","2017-01-09",13.79
"758","2017-01-10",13.69
"759","2017-01-11",13.87
"760","2017-01-12",14.04
"761","2017-01-13",14.01
"762","2017-01-17",14.03
"763","2017-01-18",14.12
"764","2017-01-19",14.04
"765","2017-01-20",14
"766","2017-01-23",14.2
"767","2017-01-24",14.29
"768","2017-01-25",14.51
"769","2017-01-26",14.36
"770","2017-01-27",14.01
"771","2017-01-30",13.75
"772","2017-01-31",13.64
"773","2017-02-01",13.39
"774","2017-02-02",13.43
"775","2017-02-03",13.56
"776","2017-02-06",13.25
"777","2017-02-07",13.32
"778","2017-02-08",13.33
"779","2017-02-09",13.78
"780","2017-02-10",14.36
"781","2017-02-13",14.55
"782","2017-02-14",14.49
