"","date","IPHA"
"77","2020-02-06",7.37
"78","2020-02-07",7.64
"79","2020-02-10",7.487
"80","2020-02-11",7.48
"81","2020-02-12",7.6
"82","2020-02-13",7.73
"83","2020-02-14",7.4
"84","2020-02-18",7.74
"85","2020-02-19",7.95
"86","2020-02-20",7.78
"87","2020-02-21",7.66
"88","2020-02-24",7.4
"89","2020-02-25",7.34
"90","2020-02-26",7.51
"91","2020-02-27",7.94
"92","2020-02-28",6.26
"93","2020-03-02",7.08
"94","2020-03-03",7.35
"95","2020-03-04",7.5
"96","2020-03-05",7.358
"97","2020-03-06",7.08
"98","2020-03-09",6.463
"99","2020-03-10",6.88
"100","2020-03-11",6.3
"101","2020-03-12",5.12
"102","2020-03-13",4.8
"103","2020-03-16",4.11
"104","2020-03-17",3.8
"105","2020-03-18",4.6
"106","2020-03-19",4.01
"107","2020-03-20",3.94
"108","2020-03-23",4.3
"109","2020-03-24",5.03
"110","2020-03-25",5.2
"111","2020-03-26",5.1
"112","2020-03-27",5.25
"113","2020-03-30",6.27
"114","2020-03-31",6.68
"115","2020-04-01",5.36
"116","2020-04-02",5.89
"117","2020-04-03",6.06
"118","2020-04-06",6.12
"119","2020-04-07",5.81
"120","2020-04-08",6.7
"121","2020-04-09",6.45
"122","2020-04-13",6.45
"123","2020-04-14",6.89
"124","2020-04-15",6.975
"125","2020-04-16",7.22
"126","2020-04-17",7.77
"127","2020-04-20",7.405
"128","2020-04-21",7.3
"129","2020-04-22",7.34
"130","2020-04-23",6.55
"131","2020-04-24",7.55
"132","2020-04-27",7.36
"133","2020-04-28",7.29
"134","2020-04-29",7.45
"135","2020-04-30",7.6
"136","2020-05-01",7.6
"137","2020-05-04",7.25
"138","2020-05-05",7.29
"139","2020-05-06",7.49
"140","2020-05-07",7.43
"141","2020-05-08",7.75
"142","2020-05-11",8.2
"143","2020-05-12",7.67
"144","2020-05-13",6.99
"145","2020-05-14",6.7
"146","2020-05-15",6.54
"147","2020-05-18",6.76
"148","2020-05-19",6.39
"149","2020-05-20",6.41
"150","2020-05-21",6
"151","2020-05-22",6.02
"152","2020-05-26",6.035
"153","2020-05-27",6.19
"154","2020-05-28",6.65
"155","2020-05-29",6.5
"156","2020-06-01",6.35
"157","2020-06-02",6.48
"158","2020-06-03",6.35
"159","2020-06-04",6.39
"160","2020-06-05",6.27
"161","2020-06-08",6.32
"162","2020-06-09",6.51
"163","2020-06-10",6.462
"164","2020-06-11",5.92
"165","2020-06-12",6.183
"166","2020-06-15",6.27
"167","2020-06-16",6.3
"168","2020-06-17",6.393
"169","2020-06-18",6.24
"170","2020-06-19",6.45
"171","2020-06-22",6.1
"172","2020-06-23",6.572
"173","2020-06-24",6.87
"174","2020-06-25",6.7
"175","2020-06-26",6.361
"176","2020-06-29",6.366
"177","2020-06-30",6.85
"178","2020-07-01",6.2
"179","2020-07-02",6.45
"180","2020-07-06",6.36
"181","2020-07-07",6.45
"182","2020-07-08",6.37
"183","2020-07-09",6.267
"184","2020-07-10",6.08
"185","2020-07-13",6.175
"186","2020-07-14",6.01
"187","2020-07-15",6.063
"188","2020-07-16",6.11
"189","2020-07-17",6.41
"190","2020-07-20",6.45
"191","2020-07-21",6.53
"192","2020-07-22",6.54
"193","2020-07-23",6.45
"194","2020-07-24",6.36
"195","2020-07-27",6.397
"196","2020-07-28",6.245
"197","2020-07-29",6.15
"198","2020-07-30",6.04
"199","2020-07-31",6.078
"200","2020-08-03",6.32
"201","2020-08-04",6.2
"202","2020-08-05",6.39
"203","2020-08-06",6.25
"204","2020-08-07",6.15
"205","2020-08-10",6.15
"206","2020-08-11",6.46
"207","2020-08-12",6.3
"208","2020-08-13",6.33
"209","2020-08-14",6.55
"210","2020-08-17",6.5
"211","2020-08-18",6.55
"212","2020-08-19",6.37
"213","2020-08-20",6.361
"214","2020-08-21",6.36
"215","2020-08-24",6.296
"216","2020-08-25",6.296
"217","2020-08-26",6.39
"218","2020-08-27",6.176
"219","2020-08-28",6.24
"220","2020-08-31",6.21
"221","2020-09-01",6.317
"222","2020-09-02",6.235
"223","2020-09-03",6.24
"224","2020-09-04",6.079
"225","2020-09-08",4.45
"226","2020-09-09",4.09
"227","2020-09-10",3.894
"228","2020-09-11",3.92
"229","2020-09-14",4.37
"230","2020-09-15",4.35
"231","2020-09-16",4.28
"232","2020-09-17",4.19
"233","2020-09-18",3.949
"234","2020-09-21",3.98
"235","2020-09-22",3.85
"236","2020-09-23",3.81
"237","2020-09-24",3.77
"238","2020-09-25",3.865
"239","2020-09-28",3.855
"240","2020-09-29",3.85
"241","2020-09-30",3.84
"242","2020-10-01",3.85
"243","2020-10-02",3.91
"244","2020-10-05",4.1
"245","2020-10-06",4.19
"246","2020-10-07",3.935
"247","2020-10-08",3.96
"248","2020-10-09",4.17
"249","2020-10-12",4.175
"250","2020-10-13",4.06
"251","2020-10-14",4.02
"252","2020-10-15",3.94
"253","2020-10-16",4.17
"254","2020-10-19",4.1
"255","2020-10-20",3.99
"256","2020-10-21",3.91
"257","2020-10-22",3.96
"258","2020-10-23",4.67
"259","2020-10-26",4
"260","2020-10-27",4.16
"261","2020-10-28",3.9
"262","2020-10-29",3.995
"263","2020-10-30",4.39
"264","2020-11-02",4.132
"265","2020-11-03",4.21
"266","2020-11-04",3.865
"267","2020-11-05",4.115
"268","2020-11-06",4.15
"269","2020-11-09",4.11
"270","2020-11-10",4.135
"271","2020-11-11",4.385
"272","2020-11-12",4.26
"273","2020-11-13",4.75
"274","2020-11-16",4.59
"275","2020-11-17",4.79
"276","2020-11-18",5.02
"277","2020-11-19",5.09
"278","2020-11-20",4.9
"279","2020-11-23",5.02
"280","2020-11-24",5.16
"281","2020-11-25",5.18
"282","2020-11-27",5.56
