"","date","MDNA"
"98","2018-04-05",NA
"99","2018-04-06",NA
"100","2018-04-09",NA
"101","2018-04-10",NA
"102","2018-04-11",NA
"103","2018-04-12",NA
"104","2018-04-13",NA
"105","2018-04-16",NA
"106","2018-04-17",NA
"107","2018-04-18",NA
"108","2018-04-19",NA
"109","2018-04-20",NA
"110","2018-04-23",NA
"111","2018-04-24",NA
"112","2018-04-25",NA
"113","2018-04-26",NA
"114","2018-04-27",NA
"115","2018-04-30",NA
"116","2018-05-01",NA
"117","2018-05-02",NA
"118","2018-05-03",NA
"119","2018-05-04",NA
"120","2018-05-07",NA
"121","2018-05-08",NA
"122","2018-05-09",NA
"123","2018-05-10",NA
"124","2018-05-11",NA
"125","2018-05-14",NA
"126","2018-05-15",NA
"127","2018-05-16",NA
"128","2018-05-17",NA
"129","2018-05-18",NA
"130","2018-05-21",NA
"131","2018-05-22",NA
"132","2018-05-23",NA
"133","2018-05-24",NA
"134","2018-05-25",NA
"135","2018-05-29",NA
"136","2018-05-30",NA
"137","2018-05-31",NA
"138","2018-06-01",NA
"139","2018-06-04",NA
"140","2018-06-05",NA
"141","2018-06-06",NA
"142","2018-06-07",NA
"143","2018-06-08",NA
"144","2018-06-11",NA
"145","2018-06-12",NA
"146","2018-06-13",NA
"147","2018-06-14",NA
"148","2018-06-15",NA
"149","2018-06-18",NA
"150","2018-06-19",NA
"151","2018-06-20",NA
"152","2018-06-21",NA
"153","2018-06-22",NA
"154","2018-06-25",NA
"155","2018-06-26",NA
"156","2018-06-27",NA
"157","2018-06-28",NA
"158","2018-06-29",NA
"159","2018-07-02",NA
"160","2018-07-03",NA
"161","2018-07-05",NA
"162","2018-07-06",NA
"163","2018-07-09",NA
"164","2018-07-10",NA
"165","2018-07-11",NA
"166","2018-07-12",NA
"167","2018-07-13",NA
"168","2018-07-16",NA
"169","2018-07-17",NA
"170","2018-07-18",NA
"171","2018-07-19",NA
"172","2018-07-20",NA
"173","2018-07-23",NA
"174","2018-07-24",NA
"175","2018-07-25",NA
"176","2018-07-26",NA
"177","2018-07-27",NA
"178","2018-07-30",NA
"179","2018-07-31",NA
"180","2018-08-01",NA
"181","2018-08-02",NA
"182","2018-08-03",NA
"183","2018-08-06",NA
"184","2018-08-07",NA
"185","2018-08-08",NA
"186","2018-08-09",NA
"187","2018-08-10",NA
"188","2018-08-13",NA
"189","2018-08-14",NA
"190","2018-08-15",NA
"191","2018-08-16",NA
"192","2018-08-17",NA
"193","2018-08-20",NA
"194","2018-08-21",NA
"195","2018-08-22",NA
"196","2018-08-23",NA
"197","2018-08-24",NA
"198","2018-08-27",NA
"199","2018-08-28",NA
"200","2018-08-29",NA
"201","2018-08-30",NA
"202","2018-08-31",NA
"203","2018-09-04",NA
"204","2018-09-05",NA
"205","2018-09-06",NA
"206","2018-09-07",NA
"207","2018-09-10",NA
"208","2018-09-11",NA
"209","2018-09-12",NA
"210","2018-09-13",NA
"211","2018-09-14",NA
"212","2018-09-17",NA
"213","2018-09-18",NA
"214","2018-09-19",NA
"215","2018-09-20",NA
"216","2018-09-21",NA
"217","2018-09-24",NA
"218","2018-09-25",NA
"219","2018-09-26",NA
"220","2018-09-27",NA
"221","2018-09-28",NA
"222","2018-10-01",NA
"223","2018-10-02",NA
"224","2018-10-03",NA
"225","2018-10-04",NA
"226","2018-10-05",NA
"227","2018-10-08",NA
"228","2018-10-09",NA
"229","2018-10-10",NA
"230","2018-10-11",NA
"231","2018-10-12",NA
"232","2018-10-15",NA
"233","2018-10-16",NA
"234","2018-10-17",NA
"235","2018-10-18",NA
"236","2018-10-19",NA
"237","2018-10-22",NA
"238","2018-10-23",NA
"239","2018-10-24",NA
"240","2018-10-25",NA
"241","2018-10-26",NA
"242","2018-10-29",NA
"243","2018-10-30",NA
"244","2018-10-31",NA
"245","2018-11-01",NA
"246","2018-11-02",NA
"247","2018-11-05",NA
"248","2018-11-06",NA
"249","2018-11-07",NA
"250","2018-11-08",NA
"251","2018-11-09",NA
"252","2018-11-12",NA
"253","2018-11-13",NA
"254","2018-11-14",NA
"255","2018-11-15",NA
"256","2018-11-16",NA
"257","2018-11-19",NA
"258","2018-11-20",NA
"259","2018-11-21",NA
"260","2018-11-23",NA
"261","2018-11-26",NA
"262","2018-11-27",NA
"263","2018-11-28",NA
"264","2018-11-29",NA
"265","2018-11-30",NA
"266","2018-12-03",NA
"267","2018-12-04",NA
"268","2018-12-06",NA
"269","2018-12-07",NA
"270","2018-12-10",NA
"271","2018-12-11",NA
"272","2018-12-12",NA
"273","2018-12-13",NA
"274","2018-12-14",NA
"275","2018-12-17",NA
"276","2018-12-18",NA
"277","2018-12-19",NA
"278","2018-12-20",NA
"279","2018-12-21",NA
"280","2018-12-24",NA
"281","2018-12-26",NA
"282","2018-12-27",NA
"283","2018-12-28",NA
"284","2018-12-31",NA
"285","2019-01-02",NA
"286","2019-01-03",NA
"287","2019-01-04",NA
"288","2019-01-07",NA
"289","2019-01-08",NA
"290","2019-01-09",NA
"291","2019-01-10",NA
"292","2019-01-11",NA
"293","2019-01-14",NA
"294","2019-01-15",NA
"295","2019-01-16",NA
"296","2019-01-17",NA
"297","2019-01-18",NA
"298","2019-01-22",NA
"299","2019-01-23",NA
"300","2019-01-24",NA
"301","2019-01-25",NA
"302","2019-01-28",NA
"303","2019-01-29",NA
"304","2019-01-30",NA
"305","2019-01-31",NA
"306","2019-02-01",NA
"307","2019-02-04",NA
"308","2019-02-05",NA
"309","2019-02-06",NA
"310","2019-02-07",NA
"311","2019-02-08",NA
"312","2019-02-11",NA
"313","2019-02-12",NA
"314","2019-02-13",NA
"315","2019-02-14",NA
"316","2019-02-15",NA
"317","2019-02-19",NA
"318","2019-02-20",NA
"319","2019-02-21",NA
"320","2019-02-22",NA
"321","2019-02-25",NA
"322","2019-02-26",NA
"323","2019-02-27",NA
"324","2019-02-28",NA
"325","2019-03-01",NA
"326","2019-03-04",NA
"327","2019-03-05",NA
"328","2019-03-06",NA
"329","2019-03-07",NA
"330","2019-03-08",NA
"331","2019-03-11",NA
"332","2019-03-12",NA
"333","2019-03-13",NA
"334","2019-03-14",NA
"335","2019-03-15",NA
"336","2019-03-18",NA
"337","2019-03-19",NA
"338","2019-03-20",NA
"339","2019-03-21",NA
"340","2019-03-22",NA
"341","2019-03-25",NA
"342","2019-03-26",NA
"343","2019-03-27",NA
"344","2019-03-28",NA
"345","2019-03-29",NA
"346","2019-04-01",NA
"347","2019-04-02",NA
"348","2019-04-03",NA
"349","2019-04-04",NA
"350","2019-04-05",NA
"351","2019-04-08",NA
"352","2019-04-09",NA
"353","2019-04-10",NA
"354","2019-04-11",NA
"355","2019-04-12",NA
"356","2019-04-15",NA
"357","2019-04-16",NA
"358","2019-04-17",NA
"359","2019-04-18",NA
"360","2019-04-22",NA
"361","2019-04-23",NA
"362","2019-04-24",NA
"363","2019-04-25",NA
"364","2019-04-26",NA
"365","2019-04-29",NA
"366","2019-04-30",NA
"367","2019-05-01",NA
"368","2019-05-02",NA
"369","2019-05-03",NA
"370","2019-05-06",NA
"371","2019-05-07",NA
"372","2019-05-08",NA
"373","2019-05-09",NA
"374","2019-05-10",NA
"375","2019-05-13",NA
"376","2019-05-14",NA
"377","2019-05-15",NA
"378","2019-05-16",NA
"379","2019-05-17",NA
"380","2019-05-20",NA
"381","2019-05-21",NA
"382","2019-05-22",NA
"383","2019-05-23",NA
"384","2019-05-24",NA
"385","2019-05-28",NA
"386","2019-05-29",NA
"387","2019-05-30",NA
"388","2019-05-31",NA
"389","2019-06-03",NA
"390","2019-06-04",NA
"391","2019-06-05",NA
"392","2019-06-06",NA
"393","2019-06-07",NA
"394","2019-06-10",NA
"395","2019-06-11",NA
"396","2019-06-12",NA
"397","2019-06-13",NA
"398","2019-06-14",NA
"399","2019-06-17",NA
"400","2019-06-18",NA
"401","2019-06-19",NA
"402","2019-06-20",NA
"403","2019-06-21",NA
"404","2019-06-24",NA
"405","2019-06-25",NA
"406","2019-06-26",NA
"407","2019-06-27",NA
"408","2019-06-28",NA
"409","2019-07-01",NA
"410","2019-07-02",NA
"411","2019-07-03",NA
"412","2019-07-05",NA
"413","2019-07-08",NA
"414","2019-07-09",NA
"415","2019-07-10",NA
"416","2019-07-11",NA
"417","2019-07-12",NA
"418","2019-07-15",NA
"419","2019-07-16",NA
"420","2019-07-17",NA
"421","2019-07-18",NA
"422","2019-07-19",NA
"423","2019-07-22",NA
"424","2019-07-23",NA
"425","2019-07-24",NA
"426","2019-07-25",NA
"427","2019-07-26",NA
"428","2019-07-29",NA
"429","2019-07-30",NA
"430","2019-07-31",NA
"431","2019-08-01",NA
"432","2019-08-02",NA
"433","2019-08-05",NA
"434","2019-08-06",NA
"435","2019-08-07",NA
"436","2019-08-08",NA
"437","2019-08-09",NA
"438","2019-08-12",NA
"439","2019-08-13",NA
"440","2019-08-14",NA
"441","2019-08-15",NA
"442","2019-08-16",NA
"443","2019-08-19",NA
"444","2019-08-20",NA
"445","2019-08-21",NA
"446","2019-08-22",NA
"447","2019-08-23",NA
"448","2019-08-26",NA
"449","2019-08-27",NA
"450","2019-08-28",NA
"451","2019-08-29",NA
"452","2019-08-30",NA
"453","2019-09-03",NA
"454","2019-09-04",NA
"455","2019-09-05",NA
"456","2019-09-06",NA
"457","2019-09-09",NA
"458","2019-09-10",NA
"459","2019-09-11",NA
"460","2019-09-12",NA
"461","2019-09-13",NA
"462","2019-09-16",NA
"463","2019-09-17",NA
"464","2019-09-18",NA
"465","2019-09-19",NA
"466","2019-09-20",NA
"467","2019-09-23",NA
"468","2019-09-24",NA
"469","2019-09-25",NA
"470","2019-09-26",NA
"471","2019-09-27",NA
"472","2019-09-30",NA
"473","2019-10-01",NA
"474","2019-10-02",NA
"475","2019-10-03",NA
"476","2019-10-04",NA
"477","2019-10-07",NA
"478","2019-10-08",NA
"479","2019-10-09",NA
"480","2019-10-10",NA
"481","2019-10-11",NA
"482","2019-10-14",NA
"483","2019-10-15",NA
"484","2019-10-16",NA
"485","2019-10-17",NA
"486","2019-10-18",NA
"487","2019-10-21",NA
"488","2019-10-22",NA
"489","2019-10-23",NA
"490","2019-10-24",NA
"491","2019-10-25",NA
"492","2019-10-28",NA
"493","2019-10-29",NA
"494","2019-10-30",NA
"495","2019-10-31",NA
"496","2019-11-01",NA
"497","2019-11-04",NA
"498","2019-11-05",NA
"499","2019-11-06",NA
"500","2019-11-07",NA
"501","2019-11-08",NA
"502","2019-11-11",NA
"503","2019-11-12",NA
"504","2019-11-13",NA
"505","2019-11-14",NA
"506","2019-11-15",NA
"507","2019-11-18",NA
"508","2019-11-19",NA
"509","2019-11-20",NA
"510","2019-11-21",NA
"511","2019-11-22",NA
"512","2019-11-25",NA
"513","2019-11-26",NA
"514","2019-11-27",NA
"515","2019-11-29",NA
"516","2019-12-02",NA
"517","2019-12-03",NA
"518","2019-12-04",NA
"519","2019-12-05",NA
"520","2019-12-06",NA
"521","2019-12-09",NA
"522","2019-12-10",NA
"523","2019-12-11",NA
"524","2019-12-12",NA
"525","2019-12-13",NA
"526","2019-12-16",NA
"527","2019-12-17",NA
"528","2019-12-18",NA
"529","2019-12-19",NA
"530","2019-12-20",NA
"531","2019-12-23",NA
"532","2019-12-24",NA
"533","2019-12-26",NA
"534","2019-12-27",NA
"535","2019-12-30",NA
"536","2019-12-31",NA
"537","2020-01-02",NA
"538","2020-01-03",NA
"539","2020-01-06",NA
"540","2020-01-07",NA
"541","2020-01-08",NA
"542","2020-01-09",NA
"543","2020-01-10",NA
"544","2020-01-13",NA
"545","2020-01-14",NA
"546","2020-01-15",NA
"547","2020-01-16",NA
"548","2020-01-17",NA
"549","2020-01-21",NA
"550","2020-01-22",NA
"551","2020-01-23",NA
"552","2020-01-24",NA
"553","2020-01-27",NA
"554","2020-01-28",NA
"555","2020-01-29",NA
"556","2020-01-30",NA
"557","2020-01-31",NA
"558","2020-02-03",NA
"559","2020-02-04",NA
"560","2020-02-05",NA
"561","2020-02-06",NA
"562","2020-02-07",NA
"563","2020-02-10",NA
"564","2020-02-11",NA
"565","2020-02-12",NA
"566","2020-02-13",NA
"567","2020-02-14",NA
"568","2020-02-18",NA
"569","2020-02-19",NA
"570","2020-02-20",NA
"571","2020-02-21",NA
"572","2020-02-24",3.18
"573","2020-02-25",3.117
"574","2020-02-26",2.984
"575","2020-02-27",2.48
"576","2020-02-28",2.44
"577","2020-03-02",2.83
"578","2020-03-03",2.687
"579","2020-03-04",2.541
"580","2020-03-05",2.845
"581","2020-03-06",2.795
"582","2020-03-09",2.34
"583","2020-03-10",2.397
"584","2020-03-11",2.151
"585","2020-03-12",1.925
"586","2020-03-13",2.21
"587","2020-03-16",1.91
"588","2020-03-17",1.81
"589","2020-03-18",1.63
"590","2020-03-19",1.668
"591","2020-03-20",1.665
"592","2020-03-23",1.593
"593","2020-03-24",1.855
"594","2020-03-25",2.169
"595","2020-03-26",2.15
"596","2020-03-27",2.251
"597","2020-03-30",2.514
"598","2020-03-31",2.55
"599","2020-04-01",2.538
"600","2020-04-02",2.59
"601","2020-04-03",2.54
"602","2020-04-06",2.5
"603","2020-04-07",2.498
"604","2020-04-08",2.5
"605","2020-04-09",2.474
"606","2020-04-13",2.57
"607","2020-04-14",2.573
"608","2020-04-15",2.41
"609","2020-04-16",2.545
"610","2020-04-17",2.54
"611","2020-04-20",2.522
"612","2020-04-21",2.47
"613","2020-04-22",2.49
"614","2020-04-23",2.569
"615","2020-04-24",2.5
"616","2020-04-27",2.43
"617","2020-04-28",2.38
"618","2020-04-29",2.4
"619","2020-04-30",2.336
"620","2020-05-01",2.39
"621","2020-05-04",2.52
"622","2020-05-05",2.574
"623","2020-05-06",2.528
"624","2020-05-07",2.925
"625","2020-05-08",3.035
"626","2020-05-11",3.207
"627","2020-05-12",3.22
"628","2020-05-13",3.1
"629","2020-05-14",3.247
"630","2020-05-15",3.84
"631","2020-05-18",4.45
"632","2020-05-19",4.04
"633","2020-05-20",4.05
"634","2020-05-21",4.16
"635","2020-05-22",4.16
"636","2020-05-26",4.61
"637","2020-05-27",4.75
"638","2020-05-28",4.741
"639","2020-05-29",NA
"640","2020-06-01",NA
"641","2020-06-02",NA
"642","2020-06-03",NA
"643","2020-06-04",NA
"644","2020-06-05",NA
"645","2020-06-08",NA
"646","2020-06-09",NA
"647","2020-06-10",NA
"648","2020-06-11",NA
"649","2020-06-12",NA
"650","2020-06-15",NA
"651","2020-06-16",NA
"652","2020-06-17",NA
"653","2020-06-18",NA
"654","2020-06-19",NA
"655","2020-06-22",NA
"656","2020-06-23",NA
"657","2020-06-24",NA
"658","2020-06-25",NA
"659","2020-06-26",NA
"660","2020-06-29",NA
"661","2020-06-30",NA
"662","2020-07-01",NA
"663","2020-07-02",NA
"664","2020-07-06",NA
"665","2020-07-07",NA
"666","2020-07-08",NA
"667","2020-07-09",NA
"668","2020-07-10",NA
"669","2020-07-13",NA
"670","2020-07-14",NA
"671","2020-07-15",NA
"672","2020-07-16",NA
"673","2020-07-17",NA
"674","2020-07-20",NA
"675","2020-07-21",NA
"676","2020-07-22",NA
"677","2020-07-23",NA
"678","2020-07-24",NA
"679","2020-07-27",NA
"680","2020-07-28",NA
"681","2020-07-29",NA
"682","2020-07-30",NA
"683","2020-07-31",NA
"684","2020-08-03",NA
"685","2020-08-04",NA
"686","2020-08-05",NA
"687","2020-08-06",NA
"688","2020-08-07",NA
"689","2020-08-10",NA
"690","2020-08-11",NA
"691","2020-08-12",NA
"692","2020-08-13",NA
"693","2020-08-14",NA
"694","2020-08-17",NA
"695","2020-08-18",NA
"696","2020-08-19",NA
"697","2020-08-20",NA
"698","2020-08-21",NA
"699","2020-08-24",4.61
"700","2020-08-25",4.64
"701","2020-08-26",4.62
"702","2020-08-27",4.18
"703","2020-08-28",4.34
"704","2020-08-31",4.49
"705","2020-09-01",4.26
"706","2020-09-02",3.994
"707","2020-09-03",3.92
"708","2020-09-04",3.75
"709","2020-09-08",3.7
"710","2020-09-09",3.88
"711","2020-09-10",3.79
"712","2020-09-11",3.78
"713","2020-09-14",3.86
"714","2020-09-15",3.75
"715","2020-09-16",3.55
"716","2020-09-17",3.602
"717","2020-09-18",3.86
"718","2020-09-21",4.1
"719","2020-09-22",4.15
"720","2020-09-23",4.1
"721","2020-09-24",3.76
"722","2020-09-25",4.027
"723","2020-09-28",3.81
"724","2020-09-29",3.94
"725","2020-09-30",4.14
"726","2020-10-01",4.22
"727","2020-10-02",4.02
"728","2020-10-05",4.1
"729","2020-10-06",4.025
"730","2020-10-07",4.02
"731","2020-10-08",4.35
"732","2020-10-09",4.61
"733","2020-10-12",4.755
"734","2020-10-13",4.41
"735","2020-10-14",4.52
"736","2020-10-15",3.95
"737","2020-10-16",3.7
"738","2020-10-19",3.74
"739","2020-10-20",3.79
"740","2020-10-21",3.9
"741","2020-10-22",4.05
"742","2020-10-23",4.16
"743","2020-10-26",3.98
"744","2020-10-27",4
"745","2020-10-28",3.8
"746","2020-10-29",3.76
"747","2020-10-30",3.73
"748","2020-11-02",3.87
"749","2020-11-03",4.14
"750","2020-11-04",4.1
"751","2020-11-05",4.16
"752","2020-11-06",4.04
"753","2020-11-09",3.92
"754","2020-11-10",3.9
"755","2020-11-11",3.8
"756","2020-11-12",3.765
"757","2020-11-13",3.72
"758","2020-11-16",3.72
"759","2020-11-17",3.73
"760","2020-11-18",3.75
"761","2020-11-19",3.74
"762","2020-11-20",3.74
"763","2020-11-23",3.75
"764","2020-11-24",3.79
"765","2020-11-25",3.86
"766","2020-11-27",3.91
