"","date","HOFV"
"361","2019-08-16",10.41
"362","2019-08-19",10.41
"363","2019-08-20",10.41
"364","2019-08-21",10.42
"365","2019-08-22",10.43
"366","2019-08-23",10.43
"367","2019-08-26",10.43
"368","2019-08-27",10.43
"369","2019-08-28",10.43
"370","2019-08-29",10.43
"371","2019-08-30",10.43
"372","2019-09-03",10.43
"373","2019-09-04",10.43
"374","2019-09-05",10.41
"375","2019-09-06",10.41
"376","2019-09-09",10.41
"377","2019-09-10",10.37
"378","2019-09-11",10.34
"379","2019-09-12",10.38
"380","2019-09-13",10.38
"381","2019-09-16",10.42
"382","2019-09-17",10.45
"383","2019-09-18",10.45
"384","2019-09-19",10.45
"385","2019-09-20",10.41
"386","2019-09-23",10.41
"387","2019-09-24",10.42
"388","2019-09-25",10.43
"389","2019-09-26",10.48
"390","2019-09-27",10.46
"391","2019-09-30",10.47
"392","2019-10-01",10.48
"393","2019-10-02",10.48
"394","2019-10-03",10.47
"395","2019-10-04",10.48
"396","2019-10-07",10.48
"397","2019-10-08",10.48
"398","2019-10-09",10.49
"399","2019-10-10",10.49
"400","2019-10-11",10.49
"401","2019-10-14",10.49
"402","2019-10-15",10.48
"403","2019-10-16",10.48
"404","2019-10-17",10.49
"405","2019-10-18",10.49
"406","2019-10-21",10.49
"407","2019-10-22",10.49
"408","2019-10-23",10.49
"409","2019-10-24",10.49
"410","2019-10-25",10.496
"411","2019-10-28",10.5
"412","2019-10-29",10.49
"413","2019-10-30",10.49
"414","2019-10-31",10.49
"415","2019-11-01",10.49
"416","2019-11-04",10.49
"417","2019-11-05",10.49
"418","2019-11-06",10.5
"419","2019-11-07",10.49
"420","2019-11-08",10.47
"421","2019-11-11",10.47
"422","2019-11-12",10.48
"423","2019-11-13",10.49
"424","2019-11-14",10.48
"425","2019-11-15",10.48
"426","2019-11-18",10.52
"427","2019-11-19",10.52
"428","2019-11-20",10.52
"429","2019-11-21",10.52
"430","2019-11-22",10.52
"431","2019-11-25",10.52
"432","2019-11-26",10.52
"433","2019-11-27",10.52
"434","2019-11-29",10.52
"435","2019-12-02",10.52
"436","2019-12-03",10.53
"437","2019-12-04",10.53
"438","2019-12-05",10.52
"439","2019-12-06",10.52
"440","2019-12-09",10.55
"441","2019-12-10",10.55
"442","2019-12-11",10.55
"443","2019-12-12",10.55
"444","2019-12-13",10.55
"445","2019-12-16",10.55
"446","2019-12-17",10.53
"447","2019-12-18",10.55
"448","2019-12-19",10.55
"449","2019-12-20",10.55
"450","2019-12-23",10.53
"451","2019-12-24",10.53
"452","2019-12-26",10.55
"453","2019-12-27",10.55
"454","2019-12-30",10.55
"455","2019-12-31",10.59
"456","2020-01-02",10.53
"457","2020-01-03",10.53
"458","2020-01-06",10.56
"459","2020-01-07",10.56
"460","2020-01-08",10.56
"461","2020-01-09",10.56
"462","2020-01-10",10.56
"463","2020-01-13",10.56
"464","2020-01-14",10.56
"465","2020-01-15",10.59
"466","2020-01-16",10.59
"467","2020-01-17",10.59
"468","2020-01-21",10.58
"469","2020-01-22",10.58
"470","2020-01-23",10.58
"471","2020-01-24",10.65
"472","2020-01-27",10.65
"473","2020-01-28",10.64
"474","2020-01-29",10.64
"475","2020-01-30",10.64
"476","2020-01-31",10.6
"477","2020-02-03",10.63
"478","2020-02-04",10.63
"479","2020-02-05",10.65
"480","2020-02-06",10.53
"481","2020-02-07",10.53
"482","2020-02-10",10.53
"483","2020-02-11",10.69
"484","2020-02-12",10.69
"485","2020-02-13",10.69
"486","2020-02-14",10.644
"487","2020-02-18",10.661
"488","2020-02-19",10.663
"489","2020-02-20",10.56
"490","2020-02-21",10.56
"491","2020-02-24",10.6
"492","2020-02-25",10.63
"493","2020-02-26",10.58
"494","2020-02-27",10.58
"495","2020-02-28",10.6
"496","2020-03-02",10.62
"497","2020-03-03",10.65
"498","2020-03-04",10.65
"499","2020-03-05",10.64
"500","2020-03-06",10.6
