"","date","ECOR"
"402","2020-01-28",1.27
"403","2020-01-29",1.28
"404","2020-01-30",1.21
"405","2020-01-31",1.26
"406","2020-02-03",1.22
"407","2020-02-04",1.25
"408","2020-02-05",1.25
"409","2020-02-06",1.23
"410","2020-02-07",1.14
"411","2020-02-10",1.07
"412","2020-02-11",1.03
"413","2020-02-12",1.02
"414","2020-02-13",0.95
"415","2020-02-14",1.06
"416","2020-02-18",1.11
"417","2020-02-19",1.13
"418","2020-02-20",1.09
"419","2020-02-21",1.04
"420","2020-02-24",1.01
"421","2020-02-25",0.928
"422","2020-02-26",0.956
"423","2020-02-27",0.78
"424","2020-02-28",0.73
"425","2020-03-02",0.733
"426","2020-03-03",0.692
"427","2020-03-04",0.752
"428","2020-03-05",0.639
"429","2020-03-06",0.619
"430","2020-03-09",0.648
"431","2020-03-10",0.601
"432","2020-03-11",0.587
"433","2020-03-12",0.473
"434","2020-03-13",0.54
"435","2020-03-16",0.49
"436","2020-03-17",0.5
"437","2020-03-18",0.328
"438","2020-03-19",0.446
"439","2020-03-20",0.49
"440","2020-03-23",0.47
"441","2020-03-24",0.45
"442","2020-03-25",0.43
"443","2020-03-26",0.465
"444","2020-03-27",0.404
"445","2020-03-30",1.21
"446","2020-03-31",0.95
"447","2020-04-01",0.77
"448","2020-04-02",0.747
"449","2020-04-03",1.03
"450","2020-04-06",0.93
"451","2020-04-07",0.859
"452","2020-04-08",0.788
"453","2020-04-09",0.818
"454","2020-04-13",0.844
"455","2020-04-14",0.815
"456","2020-04-15",0.801
"457","2020-04-16",0.838
"458","2020-04-17",1.1
"459","2020-04-20",1.15
"460","2020-04-21",1.15
"461","2020-04-22",1.18
"462","2020-04-23",1.11
"463","2020-04-24",1.06
"464","2020-04-27",1.05
"465","2020-04-28",0.97
"466","2020-04-29",0.96
"467","2020-04-30",0.96
"468","2020-05-01",0.94
"469","2020-05-04",0.988
"470","2020-05-05",0.99
"471","2020-05-06",0.95
"472","2020-05-07",0.947
"473","2020-05-08",0.955
"474","2020-05-11",0.99
"475","2020-05-12",1.02
"476","2020-05-13",1.06
"477","2020-05-14",1.09
"478","2020-05-15",0.9
"479","2020-05-18",0.918
"480","2020-05-19",0.895
"481","2020-05-20",0.898
"482","2020-05-21",0.89
"483","2020-05-22",0.937
"484","2020-05-26",0.979
"485","2020-05-27",0.95
"486","2020-05-28",0.93
"487","2020-05-29",0.93
"488","2020-06-01",0.918
"489","2020-06-02",0.931
"490","2020-06-03",0.919
"491","2020-06-04",0.919
"492","2020-06-05",1.29
"493","2020-06-08",1.2
"494","2020-06-09",1.06
"495","2020-06-10",1.16
"496","2020-06-11",0.983
"497","2020-06-12",0.993
"498","2020-06-15",0.97
"499","2020-06-16",0.968
"500","2020-06-17",0.954
"501","2020-06-18",0.908
"502","2020-06-19",0.906
"503","2020-06-22",0.874
"504","2020-06-23",0.899
"505","2020-06-24",0.831
"506","2020-06-25",0.82
"507","2020-06-26",0.827
"508","2020-06-29",0.84
"509","2020-06-30",0.822
"510","2020-07-01",0.795
"511","2020-07-02",0.81
"512","2020-07-06",0.825
"513","2020-07-07",0.858
"514","2020-07-08",0.833
"515","2020-07-09",0.849
"516","2020-07-10",0.85
"517","2020-07-13",1.78
"518","2020-07-14",1.83
"519","2020-07-15",1.55
"520","2020-07-16",1.61
"521","2020-07-17",1.65
"522","2020-07-20",1.56
"523","2020-07-21",1.69
"524","2020-07-22",1.6
"525","2020-07-23",1.68
"526","2020-07-24",1.61
"527","2020-07-27",1.56
"528","2020-07-28",1.58
"529","2020-07-29",1.59
"530","2020-07-30",1.54
"531","2020-07-31",2.23
"532","2020-08-03",2.33
"533","2020-08-04",2.23
"534","2020-08-05",2.26
"535","2020-08-06",2.23
"536","2020-08-07",2.24
"537","2020-08-10",2.21
"538","2020-08-11",2
"539","2020-08-12",1.96
"540","2020-08-13",2.26
"541","2020-08-14",2.27
"542","2020-08-17",2.15
"543","2020-08-18",2.11
"544","2020-08-19",2
"545","2020-08-20",1.93
"546","2020-08-21",1.86
"547","2020-08-24",1.87
"548","2020-08-25",1.88
"549","2020-08-26",1.77
"550","2020-08-27",1.65
"551","2020-08-28",1.75
"552","2020-08-31",1.77
"553","2020-09-01",1.76
"554","2020-09-02",1.67
"555","2020-09-03",1.58
"556","2020-09-04",1.49
"557","2020-09-08",1.43
"558","2020-09-09",1.51
"559","2020-09-10",1.43
"560","2020-09-11",1.43
"561","2020-09-14",1.51
"562","2020-09-15",1.51
"563","2020-09-16",1.58
"564","2020-09-17",1.86
"565","2020-09-18",1.77
"566","2020-09-21",1.67
"567","2020-09-22",1.77
"568","2020-09-23",1.67
"569","2020-09-24",1.64
"570","2020-09-25",1.61
"571","2020-09-28",1.64
"572","2020-09-29",1.64
"573","2020-09-30",1.73
"574","2020-10-01",1.875
"575","2020-10-02",1.89
"576","2020-10-05",1.91
"577","2020-10-06",1.81
"578","2020-10-07",1.86
"579","2020-10-08",1.98
"580","2020-10-09",1.9
"581","2020-10-12",1.85
"582","2020-10-13",1.84
"583","2020-10-14",1.77
"584","2020-10-15",1.8
"585","2020-10-16",1.78
"586","2020-10-19",1.73
"587","2020-10-20",1.73
"588","2020-10-21",1.67
"589","2020-10-22",1.57
"590","2020-10-23",1.67
"591","2020-10-26",1.61
"592","2020-10-27",1.61
"593","2020-10-28",1.51
"594","2020-10-29",1.47
"595","2020-10-30",1.51
"596","2020-11-02",1.48
"597","2020-11-03",1.55
"598","2020-11-04",1.53
"599","2020-11-05",1.52
"600","2020-11-06",1.57
"601","2020-11-09",1.54
"602","2020-11-10",1.58
"603","2020-11-11",1.72
"604","2020-11-12",1.66
"605","2020-11-13",1.64
"606","2020-11-16",1.57
"607","2020-11-17",1.57
"608","2020-11-18",1.57
"609","2020-11-19",1.54
"610","2020-11-20",1.53
"611","2020-11-23",1.53
"612","2020-11-24",1.51
"613","2020-11-25",1.49
"614","2020-11-27",1.48
