"","date","HEI"
"351","2008-05-23",9.701426
"352","2008-05-27",9.835643
"353","2008-05-28",9.758048
"354","2008-05-29",9.783214
"355","2008-05-30",10.638852
"356","2008-06-02",10.638852
"357","2008-06-03",10.349445
"358","2008-06-04",10.330571
"359","2008-06-05",10.336863
"360","2008-06-06",8.415871
"361","2008-06-09",8.531215
"362","2008-06-10",8.535409
"363","2008-06-11",8.124367
"364","2008-06-12",7.625245
"365","2008-06-13",7.927235
"366","2008-06-16",7.941915
"367","2008-06-17",7.929332
"368","2008-06-18",7.373587
"369","2008-06-19",7.642022
"370","2008-06-20",7.614759
"371","2008-06-23",7.495221
"372","2008-06-24",7.409238
"373","2008-06-25",7.184843
"374","2008-06-26",7.040139
"375","2008-06-27",6.979322
"376","2008-06-30",6.824132
"377","2008-07-01",6.687818
"378","2008-07-02",6.561989
"379","2008-07-03",6.566183
"380","2008-07-07",6.444548
"381","2008-07-08",6.736052
"382","2008-07-09",6.467617
"383","2008-07-10",6.624903
"384","2008-07-11",6.587154
"385","2008-07-14",6.635389
"386","2008-07-15",6.68572
"387","2008-07-16",6.968836
"388","2008-07-17",7.115637
"389","2008-07-18",7.004488
"390","2008-07-21",7.161774
"391","2008-07-22",7.839154
"392","2008-07-23",7.799308
"393","2008-07-24",7.516193
"394","2008-07-25",7.581204
"395","2008-07-28",7.386169
"396","2008-07-29",7.491027
"397","2008-07-30",7.411335
"398","2008-07-31",7.302283
"399","2008-08-01",7.426015
"400","2008-08-04",7.396655
"401","2008-08-05",7.570719
"402","2008-08-06",7.579107
"403","2008-08-07",7.243563
"404","2008-08-08",7.465861
"405","2008-08-11",7.656702
"406","2008-08-12",7.497318
"407","2008-08-13",7.545553
"408","2008-08-14",7.786726
"409","2008-08-15",7.702839
"410","2008-08-18",7.675576
"411","2008-08-19",7.377781
"412","2008-08-20",7.442792
"413","2008-08-21",7.358906
"414","2008-08-22",7.415529
"415","2008-08-25",7.249855
"416","2008-08-26",7.335838
"417","2008-08-27",7.247757
"418","2008-08-28",7.652508
"419","2008-08-29",7.472153
"420","2008-09-02",7.283409
"421","2008-09-03",7.222591
"422","2008-09-04",7.050625
"423","2008-09-05",6.857687
"424","2008-09-08",7.358906
"425","2008-09-09",7.283409
"426","2008-09-10",7.543456
"427","2008-09-11",7.618953
"428","2008-09-12",7.535067
"429","2008-09-15",7.491027
"430","2008-09-16",7.858028
"431","2008-09-17",7.853834
"432","2008-09-18",8.489271
"433","2008-09-19",8.248098
"434","2008-09-22",7.872709
"435","2008-09-23",7.520387
"436","2008-09-24",7.461667
"437","2008-09-25",7.497318
"438","2008-09-26",7.163871
"439","2008-09-29",6.744441
"440","2008-09-30",6.882853
"441","2008-10-01",6.851396
"442","2008-10-02",6.532629
"443","2008-10-03",6.484394
"444","2008-10-06",6.354371
"445","2008-10-07",6.243221
"446","2008-10-08",5.8909
"447","2008-10-09",5.865734
"448","2008-10-10",6.689915
"449","2008-10-13",7.459569
"450","2008-10-14",7.358906
"451","2008-10-15",6.809453
"452","2008-10-16",7.631536
"453","2008-10-17",7.182745
"454","2008-10-20",7.413432
"455","2008-10-21",7.165968
"456","2008-10-22",6.94367
"457","2008-10-23",7.044333
"458","2008-10-24",7.199523
"459","2008-10-27",6.962544
"460","2008-10-28",7.589593
"461","2008-10-29",7.553942
"462","2008-10-30",8.021606
"463","2008-10-31",8.067743
"464","2008-11-03",8.22503
"465","2008-11-04",8.130658
"466","2008-11-05",7.725908
"467","2008-11-06",7.405044
"468","2008-11-07",7.335838
"469","2008-11-10",7.140802
"470","2008-11-11",7.258243
"471","2008-11-12",6.710886
"472","2008-11-13",6.922699
"473","2008-11-14",6.297748
"474","2008-11-17",6.159336
"475","2008-11-18",6.006243
"476","2008-11-19",5.643436
"477","2008-11-20",5.324669
"478","2008-11-21",5.834277
"479","2008-11-24",5.823791
"480","2008-11-25",6.067061
"481","2008-11-26",6.543114
"482","2008-11-28",6.738149
"483","2008-12-01",6.241124
"484","2008-12-02",6.366953
"485","2008-12-03",6.283067
"486","2008-12-04",6.148849
"487","2008-12-05",6.343885
"488","2008-12-08",6.534726
"489","2008-12-09",6.165627
"490","2008-12-10",6.274679
"491","2008-12-11",6.079644
"492","2008-12-12",6.142558
"493","2008-12-15",5.880414
"494","2008-12-16",6.431965
"495","2008-12-17",6.484394
"496","2008-12-18",7.417627
"497","2008-12-19",7.881097
"498","2008-12-22",8.178893
"499","2008-12-23",7.889486
"500","2008-12-24",8.258585
"501","2008-12-26",8.204059
"502","2008-12-29",8.214544
"503","2008-12-30",8.053063
"504","2008-12-31",8.143241
"505","2009-01-02",8.357151
"506","2009-01-05",8.436843
"507","2009-01-06",8.824816
"508","2009-01-07",8.772387
"509","2009-01-08",8.776581
"510","2009-01-09",8.430551
"511","2009-01-12",8.271168
"512","2009-01-13",7.939817
"513","2009-01-14",7.669285
"514","2009-01-15",7.851737
"515","2009-01-16",7.824474
"516","2009-01-20",7.545553
"517","2009-01-21",8.243904
"518","2009-01-22",8.07823
"519","2009-01-23",7.927235
"520","2009-01-26",7.967081
"521","2009-01-27",8.231321
"522","2009-01-28",8.493465
"523","2009-01-29",8.363442
"524","2009-01-30",8.290042
"525","2009-02-02",8.178893
"526","2009-02-03",8.415871
"527","2009-02-04",8.49766
"528","2009-02-05",8.608809
"529","2009-02-06",8.598323
"530","2009-02-09",8.598323
"531","2009-02-10",8.464106
"532","2009-02-11",8.23971
"533","2009-02-12",8.09291
"534","2009-02-13",8.086618
"535","2009-02-17",7.853834
"536","2009-02-18",7.440695
"537","2009-02-19",7.258243
"538","2009-02-20",7.210009
"539","2009-02-23",6.813647
"540","2009-02-24",6.966739
"541","2009-02-25",5.163188
"542","2009-02-26",5.335155
"543","2009-02-27",5.112856
"544","2009-03-02",4.573888
"545","2009-03-03",4.760535
"546","2009-03-04",4.905239
"547","2009-03-05",4.764729
"548","2009-03-06",4.810867
"549","2009-03-09",4.643095
"550","2009-03-10",4.903141
"551","2009-03-11",5.322572
"552","2009-03-12",5.200937
"553","2009-03-13",5.326766
"554","2009-03-16",5.282726
"555","2009-03-17",5.058331
"556","2009-03-18",5.098176
"557","2009-03-19",5.171577
"558","2009-03-20",4.951376
"559","2009-03-23",5.305795
"560","2009-03-24",5.389681
"561","2009-03-25",5.274337
"562","2009-03-26",5.599396
"563","2009-03-27",5.291114
"564","2009-03-30",4.989125
"565","2009-03-31",5.096079
"566","2009-04-01",5.3016
"567","2009-04-02",5.624562
"568","2009-04-03",5.704254
"569","2009-04-06",5.563744
"570","2009-04-07",5.645533
"571","2009-04-08",5.714739
"572","2009-04-09",5.899289
"573","2009-04-13",5.966397
"574","2009-04-14",5.924454
"575","2009-04-15",6.035604
"576","2009-04-16",6.398411
"577","2009-04-17",6.438257
"578","2009-04-20",6.274679
"579","2009-04-21",6.343885
"580","2009-04-22",6.452937
"581","2009-04-23",6.478103
"582","2009-04-24",6.490685
"583","2009-04-27",6.322913
"584","2009-04-28",6.20757
"585","2009-04-29",6.276776
"586","2009-04-30",6.020924
"587","2009-05-01",6.002049
"588","2009-05-04",6.140461
"589","2009-05-05",6.308233
"590","2009-05-06",6.465519
"591","2009-05-07",6.427771
"592","2009-05-08",6.578766
"593","2009-05-11",6.606029
"594","2009-05-12",6.228541
"595","2009-05-13",6.054478
"596","2009-05-14",6.201279
"597","2009-05-15",5.708448
"598","2009-05-18",6.062866
"599","2009-05-19",6.073352
"600","2009-05-20",6.230639
"601","2009-05-21",6.039798
"602","2009-05-22",6.085935
"603","2009-05-26",6.532629
"604","2009-05-27",6.482297
"605","2009-05-28",6.738149
"606","2009-05-29",7.314866
"607","2009-06-01",7.841251
"608","2009-06-02",8.273265
"609","2009-06-03",8.264876
"610","2009-06-04",8.369734
"611","2009-06-05",8.434746
"612","2009-06-08",8.22503
"613","2009-06-09",8.132755
"614","2009-06-10",8.147435
"615","2009-06-11",7.985955
"616","2009-06-12",7.59169
"617","2009-06-15",7.587496
"618","2009-06-16",7.417627
"619","2009-06-17",7.560233
"620","2009-06-18",7.658799
"621","2009-06-19",7.60637
"622","2009-06-22",7.662993
"623","2009-06-23",7.633633
"624","2009-06-24",7.610565
"625","2009-06-25",7.845446
"626","2009-06-26",7.946109
"627","2009-06-29",7.90836
"628","2009-06-30",7.604273
"629","2009-07-01",7.962886
"630","2009-07-02",7.539261
"631","2009-07-06",7.497318
"632","2009-07-07",7.302283
"633","2009-07-08",7.354712
"634","2009-07-09",7.312769
"635","2009-07-10",7.333741
"636","2009-07-13",7.587496
"637","2009-07-14",7.564427
"638","2009-07-15",7.948206
"639","2009-07-16",8.126464
"640","2009-07-17",8.029995
"641","2009-07-20",8.13695
"642","2009-07-21",8.042578
"643","2009-07-22",8.111784
"644","2009-07-23",8.329887
"645","2009-07-24",8.157921
"646","2009-07-27",8.187282
"647","2009-07-28",8.13695
"648","2009-07-29",7.93772
"649","2009-07-30",8.063549
"650","2009-07-31",7.744782
"651","2009-08-03",7.719616
"652","2009-08-04",7.946109
"653","2009-08-05",7.797211
"654","2009-08-06",7.797211
"655","2009-08-07",8.082424
"656","2009-08-10",8.074036
"657","2009-08-11",7.960789
"658","2009-08-12",8.126464
"659","2009-08-13",8.338276
"660","2009-08-14",8.271168
"661","2009-08-17",8.021606
"662","2009-08-18",8.000635
"663","2009-08-19",8.009024
"664","2009-08-20",7.855931
"665","2009-08-21",7.910457
"666","2009-08-24",7.948206
"667","2009-08-25",7.813988
"668","2009-08-26",7.837057
"669","2009-08-27",7.897874
"670","2009-08-28",7.818182
"671","2009-08-31",7.772045
"672","2009-09-01",7.597982
"673","2009-09-02",7.511999
"674","2009-09-03",7.574913
"675","2009-09-04",7.748977
"676","2009-09-08",7.774142
"677","2009-09-09",7.92304
"678","2009-09-10",8.113881
"679","2009-09-11",8.281653
"680","2009-09-14",8.256488
"681","2009-09-15",8.231321
"682","2009-09-16",8.317305
"683","2009-09-17",8.424259
"684","2009-09-18",8.577352
"685","2009-09-21",8.510242
"686","2009-09-22",8.493465
"687","2009-09-23",8.564769
"688","2009-09-24",8.665432
"689","2009-09-25",8.860467
"690","2009-09-28",9.095348
"691","2009-09-29",9.07228
"692","2009-09-30",9.093251
"693","2009-10-01",8.808039
"694","2009-10-02",8.560575
"695","2009-10-05",8.678015
"696","2009-10-06",8.615101
"697","2009-10-07",8.506048
"698","2009-10-08",8.575254
"699","2009-10-09",8.709473
"700","2009-10-12",8.514437
"701","2009-10-13",8.422162
"702","2009-10-14",8.772387
"703","2009-10-15",8.9842
"704","2009-10-16",8.898216
"705","2009-10-19",8.96113
"706","2009-10-20",8.965324
"707","2009-10-21",8.633975
"708","2009-10-22",8.795456
"709","2009-10-23",8.663335
"710","2009-10-26",8.646558
"711","2009-10-27",8.51234
"712","2009-10-28",8.227127
"713","2009-10-29",8.311013
"714","2009-10-30",7.975469
"715","2009-11-02",8.053063
"716","2009-11-03",7.967081
"717","2009-11-04",7.830766
"718","2009-11-05",8.275362
"719","2009-11-06",8.344568
"720","2009-11-09",8.447329
"721","2009-11-10",8.306819
"722","2009-11-11",8.241807
"723","2009-11-12",8.015315
"724","2009-11-13",8.036286
"725","2009-11-16",8.409579
"726","2009-11-17",8.319402
"727","2009-11-18",8.36554
"728","2009-11-19",8.157921
"729","2009-11-20",8.176796
"730","2009-11-23",8.361345
"731","2009-11-24",8.363442
"732","2009-11-25",8.29843
"733","2009-11-27",8.032092
"734","2009-11-30",7.853834
"735","2009-12-01",7.93772
"736","2009-12-02",8.053063
"737","2009-12-03",8.000635
"738","2009-12-04",8.199864
"739","2009-12-07",8.281653
"740","2009-12-08",8.21035
"741","2009-12-09",8.208253
"742","2009-12-10",8.074036
"743","2009-12-11",8.269071
"744","2009-12-14",8.466203
"745","2009-12-15",8.311013
"746","2009-12-16",8.5417
"747","2009-12-17",8.480883
"748","2009-12-18",8.96113
"749","2009-12-21",9.08696
"750","2009-12-22",9.093251
"751","2009-12-23",9.286189
"752","2009-12-24",9.386852
"753","2009-12-28",9.514779
"754","2009-12-29",9.470738
"755","2009-12-30",9.426699
"756","2009-12-31",9.296675
"757","2010-01-04",9.388949
"758","2010-01-05",9.556722
"759","2010-01-06",9.546236
"760","2010-01-07",9.575596
"761","2010-01-08",9.525265
"762","2010-01-11",9.573499
"763","2010-01-12",9.43299
"764","2010-01-13",9.569304
"765","2010-01-14",9.621734
"766","2010-01-15",9.382658
"767","2010-01-19",9.575596
"768","2010-01-20",9.370075
"769","2010-01-21",9.231663
"770","2010-01-22",9.11632
"771","2010-01-25",9.026142
"772","2010-01-26",8.933867
"773","2010-01-27",9.032434
"774","2010-01-28",8.959033
"775","2010-01-29",8.919188
"776","2010-02-01",8.887731
"777","2010-02-02",8.891925
"778","2010-02-03",9.107931
"779","2010-02-04",8.808039
"780","2010-02-05",8.801747
"781","2010-02-08",8.633975
"782","2010-02-09",8.774484
"783","2010-02-10",8.847884
"784","2010-02-11",8.971616
"785","2010-02-12",8.948547
"786","2010-02-16",9.131
"787","2010-02-17",9.326035
"788","2010-02-18",9.35959
"789","2010-02-19",9.472836
"790","2010-02-22",9.525265
"791","2010-02-23",9.426699
"792","2010-02-24",9.544139
"793","2010-02-25",10.011804
"794","2010-02-26",9.992929
"795","2010-03-01",10.674503
"796","2010-03-02",10.624172
"797","2010-03-03",10.565452
"798","2010-03-04",10.645144
"799","2010-03-05",10.666115
"800","2010-03-08",10.636755
"801","2010-03-09",10.764681
"802","2010-03-10",10.808722
"803","2010-03-11",10.733224
"804","2010-03-12",10.680795
"805","2010-03-15",10.554966
"806","2010-03-16",10.636755
"807","2010-03-17",10.416554
"808","2010-03-18",10.288628
"809","2010-03-19",10.336863
"810","2010-03-22",10.647241
"811","2010-03-23",10.829693
"812","2010-03-24",10.567549
"813","2010-03-25",10.406068
"814","2010-03-26",10.276045
"815","2010-03-29",10.489954
"816","2010-03-30",10.796139
"817","2010-03-31",10.812916
"818","2010-04-01",10.903093
"819","2010-04-05",10.936647
"820","2010-04-06",10.917773
"821","2010-04-07",10.775167
"822","2010-04-08",10.682892
"823","2010-04-09",10.584326
"824","2010-04-12",10.697573
"825","2010-04-13",10.682892
"826","2010-04-14",10.848567
"827","2010-04-15",11.026825
"828","2010-04-16",10.821304
"829","2010-04-19",10.875831
"830","2010-04-20",11.072963
"831","2010-04-21",11.358175
"832","2010-04-22",11.649679
"833","2010-04-23",11.649679
"834","2010-04-26",11.718885
"835","2010-04-27",11.481907
"836","2010-04-28",11.337728
"837","2010-04-29",11.725701
"838","2010-04-30",11.290542
"839","2010-05-03",11.652301
"840","2010-05-04",11.240735
"841","2010-05-05",10.983833
"842","2010-05-06",10.587996
"843","2010-05-07",10.281288
"844","2010-05-10",10.692854
"845","2010-05-11",10.826548
"846","2010-05-12",11.243356
"847","2010-05-13",11.099177
"848","2010-05-14",10.894705
"849","2010-05-17",10.92354
"850","2010-05-18",11.169956
"851","2010-05-19",11.146363
"852","2010-05-20",10.435952
"853","2010-05-21",10.349445
"854","2010-05-24",10.252452
"855","2010-05-25",9.930015
"856","2010-05-26",10.192159
"857","2010-05-27",10.543431
"858","2010-05-28",10.456924
"859","2010-06-01",10.165944
"860","2010-06-02",10.498867
"861","2010-06-03",10.262938
"862","2010-06-04",9.581363
"863","2010-06-07",9.340191
"864","2010-06-08",9.345433
"865","2010-06-09",9.44767
"866","2010-06-10",9.762242
"867","2010-06-11",9.783214
"868","2010-06-14",9.937879
"869","2010-06-15",9.906422
"870","2010-06-16",9.877586
"871","2010-06-17",9.851372
"872","2010-06-18",9.8304
"873","2010-06-21",9.791079
"874","2010-06-22",9.523691
"875","2010-06-23",9.570877
"876","2010-06-24",9.471263
"877","2010-06-25",9.641656
"878","2010-06-28",9.777971
"879","2010-06-29",9.547284
"880","2010-06-30",9.416212
"881","2010-07-01",9.494856
"882","2010-07-02",9.452912
"883","2010-07-06",9.476505
"884","2010-07-07",9.804186
"885","2010-07-08",9.945744
"886","2010-07-09",9.948365
"887","2010-07-12",9.869721
"888","2010-07-13",10.276045
"889","2010-07-14",10.218373
"890","2010-07-15",10.10303
"891","2010-07-16",9.392619
"892","2010-07-19",9.374269
"893","2010-07-20",9.44767
"894","2010-07-21",9.293005
"895","2010-07-22",9.623306
"896","2010-07-23",9.914286
"897","2010-07-26",10.362553
"898","2010-07-27",10.396631
"899","2010-07-28",10.407117
"900","2010-07-29",10.34158
"901","2010-07-30",10.362553
"902","2010-08-02",10.530325
"903","2010-08-03",10.574889
"904","2010-08-04",10.674503
"905","2010-08-05",10.456924
"906","2010-08-06",10.006037
"907","2010-08-09",10.037494
"908","2010-08-10",9.736028
"909","2010-08-11",9.287762
"910","2010-08-12",9.237954
"911","2010-08-13",9.148826
"912","2010-08-16",9.350677
"913","2010-08-17",9.673114
"914","2010-08-18",9.822536
"915","2010-08-19",9.604957
"916","2010-08-20",9.570877
"917","2010-08-23",9.340191
"918","2010-08-24",9.188148
"919","2010-08-25",9.497478
"920","2010-08-26",10.947133
"921","2010-08-27",10.755769
"922","2010-08-30",10.658775
"923","2010-08-31",10.876354
"924","2010-09-01",11.335107
"925","2010-09-02",11.183064
"926","2010-09-03",11.204035
"927","2010-09-07",10.899947
"928","2010-09-08",11.004806
"929","2010-09-09",10.837033
"930","2010-09-10",10.978591
"931","2010-09-13",11.481907
