"","date","TELA"
"191","2020-08-12",13.13
"192","2020-08-13",13.91
"193","2020-08-14",13.15
"194","2020-08-17",13.74
"195","2020-08-18",13.6
"196","2020-08-19",13.51
"197","2020-08-20",13.63
"198","2020-08-21",13.79
"199","2020-08-24",13.12
"200","2020-08-25",13.41
"201","2020-08-26",13.55
"202","2020-08-27",13.21
"203","2020-08-28",13.49
"204","2020-08-31",14.25
"205","2020-09-01",14.3
"206","2020-09-02",13.55
"207","2020-09-03",13.19
"208","2020-09-04",13.19
"209","2020-09-08",14
"210","2020-09-09",15.46
"211","2020-09-10",15.75
"212","2020-09-11",15.93
"213","2020-09-14",16.860001
"214","2020-09-15",16.76
"215","2020-09-16",16.09
"216","2020-09-17",15.61
"217","2020-09-18",15.39
"218","2020-09-21",15.9
"219","2020-09-22",15.91
"220","2020-09-23",15.61
"221","2020-09-24",15.27
"222","2020-09-25",15.38
"223","2020-09-28",15.82
"224","2020-09-29",15.99
"225","2020-09-30",16.540001
"226","2020-10-01",16.389999
"227","2020-10-02",15.95
"228","2020-10-05",16.09
"229","2020-10-06",16.09
"230","2020-10-07",16.209999
"231","2020-10-08",16.18
"232","2020-10-09",16.1
"233","2020-10-12",16.32
"234","2020-10-13",16.379999
"235","2020-10-14",16.15
"236","2020-10-15",15.92
"237","2020-10-16",16
"238","2020-10-19",15.58
"239","2020-10-20",15.64
"240","2020-10-21",16.26
"241","2020-10-22",16.83
"242","2020-10-23",16.99
"243","2020-10-26",16.379999
"244","2020-10-27",16.16
"245","2020-10-28",14.61
"246","2020-10-29",15.76
"247","2020-10-30",15.16
"248","2020-11-02",15.69
"249","2020-11-03",16.209999
"250","2020-11-04",16.200001
"251","2020-11-05",16.33
"252","2020-11-06",16.33
"253","2020-11-09",16.82
"254","2020-11-10",17
"255","2020-11-11",16.5
"256","2020-11-12",16.41
"257","2020-11-13",16.51
"258","2020-11-16",16.870001
"259","2020-11-17",17.110001
"260","2020-11-18",16.459999
"261","2020-11-19",16.4
"262","2020-11-20",17.33
"263","2020-11-23",17.32
"264","2020-11-24",16.690001
"265","2020-11-25",16.68
"266","2020-11-27",16.66
