"","date","DUO"
"223","2020-09-21",6.99
"224","2020-09-22",6.78
"225","2020-09-23",6.69
"226","2020-09-24",6.78
"227","2020-09-25",6.67
"228","2020-09-28",6.81
"229","2020-09-29",6.99
"230","2020-09-30",6.87
"231","2020-10-01",7.23
"232","2020-10-02",7.26
"233","2020-10-05",7.34
"234","2020-10-06",7.01
"235","2020-10-07",6.99
"236","2020-10-08",7
"237","2020-10-09",7
"238","2020-10-12",7.12
"239","2020-10-13",7.05
"240","2020-10-14",6.955
"241","2020-10-15",6.96
"242","2020-10-16",6.97
"243","2020-10-19",6.865
"244","2020-10-20",7.1
"245","2020-10-21",6.883
"246","2020-10-22",7.025
"247","2020-10-23",7.217
"248","2020-10-26",7.115
"249","2020-10-27",6.91
"250","2020-10-28",6.73
"251","2020-10-29",6.714
"252","2020-10-30",6.592
"253","2020-11-02",6.65
"254","2020-11-03",6.7
"255","2020-11-04",6.71
"256","2020-11-05",6.722
"257","2020-11-06",6.75
"258","2020-11-09",6.71
"259","2020-11-10",6.683
"260","2020-11-11",6.74
"261","2020-11-12",6.56
"262","2020-11-13",6.785
"263","2020-11-16",6.89
"264","2020-11-17",7.229
"265","2020-11-18",7.06
"266","2020-11-19",8
"267","2020-11-20",7.32
"268","2020-11-23",7.36
"269","2020-11-24",7.38
"270","2020-11-25",7.36
"271","2020-11-27",7.5
