"","date","CYCN"
"77","2019-07-05",12.15
"78","2019-07-08",11.98
"79","2019-07-09",12
"80","2019-07-10",12.07
"81","2019-07-11",12.21
"82","2019-07-12",12.47
"83","2019-07-15",12.42
"84","2019-07-16",12.24
"85","2019-07-17",11.9
"86","2019-07-18",11.9
"87","2019-07-19",11.98
"88","2019-07-22",12.06
"89","2019-07-23",12.07
"90","2019-07-24",11.42
"91","2019-07-25",10.59
"92","2019-07-26",9.77
"93","2019-07-29",9.67
"94","2019-07-30",9.65
"95","2019-07-31",9.29
"96","2019-08-01",9.2
"97","2019-08-02",8.81
"98","2019-08-05",8.21
"99","2019-08-06",8.59
"100","2019-08-07",8.47
"101","2019-08-08",8.41
"102","2019-08-09",8.8
"103","2019-08-12",8.32
"104","2019-08-13",8.56
"105","2019-08-14",8.35
"106","2019-08-15",8.12
"107","2019-08-16",8.85
"108","2019-08-19",8.93
"109","2019-08-20",8.85
"110","2019-08-21",9.86
"111","2019-08-22",9.16
"112","2019-08-23",8.83
"113","2019-08-26",8.88
"114","2019-08-27",8.79
"115","2019-08-28",9.14
"116","2019-08-29",9.93
"117","2019-08-30",9.51
"118","2019-09-03",9.5
"119","2019-09-04",9.71
"120","2019-09-05",9.94
"121","2019-09-06",10.1
"122","2019-09-09",10.45
"123","2019-09-10",10.68
"124","2019-09-11",10.65
"125","2019-09-12",11.1
"126","2019-09-13",11.14
"127","2019-09-16",12.3
"128","2019-09-17",13.9
"129","2019-09-18",13.63
"130","2019-09-19",13.9
"131","2019-09-20",14.54
"132","2019-09-23",14.03
"133","2019-09-24",14.08
"134","2019-09-25",13.99
"135","2019-09-26",13.93
"136","2019-09-27",13.25
"137","2019-09-30",12.12
"138","2019-10-01",10.12
"139","2019-10-02",9.35
"140","2019-10-03",9.44
"141","2019-10-04",8.72
"142","2019-10-07",8.65
"143","2019-10-08",8.38
"144","2019-10-09",8.79
"145","2019-10-10",8.47
"146","2019-10-11",8.67
"147","2019-10-14",9.01
"148","2019-10-15",9.7
"149","2019-10-16",9.65
"150","2019-10-17",10.3
"151","2019-10-18",9.54
"152","2019-10-21",10.87
"153","2019-10-22",11.17
"154","2019-10-23",10.96
"155","2019-10-24",10.65
"156","2019-10-25",10.96
"157","2019-10-28",10.99
"158","2019-10-29",13.43
"159","2019-10-30",2.75
"160","2019-10-31",2.39
"161","2019-11-01",2.45
"162","2019-11-04",2.45
"163","2019-11-05",2.3
"164","2019-11-06",2.11
"165","2019-11-07",2.12
"166","2019-11-08",1.9
"167","2019-11-11",2.06
"168","2019-11-12",1.98
"169","2019-11-13",1.94
"170","2019-11-14",1.82
"171","2019-11-15",1.8
"172","2019-11-18",1.82
"173","2019-11-19",2
"174","2019-11-20",1.98
"175","2019-11-21",2.13
"176","2019-11-22",2.01
"177","2019-11-25",1.97
"178","2019-11-26",1.82
"179","2019-11-27",1.8
"180","2019-11-29",1.85
"181","2019-12-02",1.88
"182","2019-12-03",1.82
"183","2019-12-04",1.92
"184","2019-12-05",1.93
"185","2019-12-06",1.89
"186","2019-12-09",1.84
"187","2019-12-10",1.9
"188","2019-12-11",1.88
"189","2019-12-12",1.9
"190","2019-12-13",1.96
"191","2019-12-16",2.29
"192","2019-12-17",2.15
"193","2019-12-18",2.24
"194","2019-12-19",2.2
"195","2019-12-20",2.3
"196","2019-12-23",2.33
"197","2019-12-24",2.49
"198","2019-12-26",2.67
"199","2019-12-27",2.54
"200","2019-12-30",2.7
"201","2019-12-31",2.72
"202","2020-01-02",2.57
"203","2020-01-03",2.46
"204","2020-01-06",2.72
"205","2020-01-07",2.78
"206","2020-01-08",3.025
"207","2020-01-09",3.17
"208","2020-01-10",3.41
"209","2020-01-13",3.76
"210","2020-01-14",3.7
"211","2020-01-15",3.38
"212","2020-01-16",3.375
"213","2020-01-17",3.24
"214","2020-01-21",3.5
"215","2020-01-22",3.76
"216","2020-01-23",3.68
"217","2020-01-24",3.635
"218","2020-01-27",3.52
"219","2020-01-28",3.5
"220","2020-01-29",3.53
"221","2020-01-30",3.4
"222","2020-01-31",3.28
"223","2020-02-03",3.31
"224","2020-02-04",3.41
"225","2020-02-05",4.26
"226","2020-02-06",4.19
"227","2020-02-07",4.06
"228","2020-02-10",4.01
"229","2020-02-11",4.14
"230","2020-02-12",4.03
"231","2020-02-13",4.05
"232","2020-02-14",4.02
"233","2020-02-18",4.04
"234","2020-02-19",5.84
"235","2020-02-20",5.35
"236","2020-02-21",4.61
"237","2020-02-24",4.29
"238","2020-02-25",4.26
"239","2020-02-26",4.395
"240","2020-02-27",4.21
"241","2020-02-28",4.28
"242","2020-03-02",4.64
"243","2020-03-03",4.8
"244","2020-03-04",4.53
"245","2020-03-05",4.17
"246","2020-03-06",3.67
"247","2020-03-09",3.11
"248","2020-03-10",3.26
"249","2020-03-11",2.9
"250","2020-03-12",2.51
"251","2020-03-13",2.67
"252","2020-03-16",2.51
"253","2020-03-17",2.94
"254","2020-03-18",2.48
"255","2020-03-19",2.54
"256","2020-03-20",2.64
"257","2020-03-23",3.14
"258","2020-03-24",3.28
"259","2020-03-25",3.52
"260","2020-03-26",3.25
"261","2020-03-27",3.01
"262","2020-03-30",2.75
"263","2020-03-31",2.65
"264","2020-04-01",2.41
"265","2020-04-02",2.37
"266","2020-04-03",2.52
"267","2020-04-06",2.57
"268","2020-04-07",2.58
"269","2020-04-08",2.82
"270","2020-04-09",2.75
"271","2020-04-13",2.79
"272","2020-04-14",3.27
"273","2020-04-15",3.3
"274","2020-04-16",3.08
"275","2020-04-17",3.45
"276","2020-04-20",3.4
"277","2020-04-21",3.31
"278","2020-04-22",3.49
"279","2020-04-23",3.58
"280","2020-04-24",3.61
"281","2020-04-27",3.71
"282","2020-04-28",3.53
"283","2020-04-29",4.15
"284","2020-04-30",3.87
"285","2020-05-01",3.62
"286","2020-05-04",3.96
"287","2020-05-05",3.91
"288","2020-05-06",4
"289","2020-05-07",3.94
"290","2020-05-08",4.17
"291","2020-05-11",4.44
"292","2020-05-12",3.99
"293","2020-05-13",3.6
"294","2020-05-14",3.63
"295","2020-05-15",3.85
"296","2020-05-18",4.13
"297","2020-05-19",3.82
"298","2020-05-20",4.25
"299","2020-05-21",4.03
"300","2020-05-22",4.29
"301","2020-05-26",4.29
"302","2020-05-27",4.37
"303","2020-05-28",4.04
"304","2020-05-29",3.98
"305","2020-06-01",3.86
"306","2020-06-02",4.12
"307","2020-06-03",4.73
"308","2020-06-04",5.79
"309","2020-06-05",5.39
"310","2020-06-08",5.23
"311","2020-06-09",5.5
"312","2020-06-10",5.45
"313","2020-06-11",4.465
"314","2020-06-12",4.61
"315","2020-06-15",4.38
"316","2020-06-16",4.46
"317","2020-06-17",4.52
"318","2020-06-18",4.49
"319","2020-06-19",5.3
"320","2020-06-22",5.22
"321","2020-06-23",7.14
"322","2020-06-24",6.72
"323","2020-06-25",6.6
"324","2020-06-26",6.71
"325","2020-06-29",5.91
"326","2020-06-30",5.91
"327","2020-07-01",5.8
"328","2020-07-02",5.87
"329","2020-07-06",5.8
"330","2020-07-07",5.43
"331","2020-07-08",5.7
"332","2020-07-09",5.72
"333","2020-07-10",5.38
"334","2020-07-13",4.64
"335","2020-07-14",4.72
"336","2020-07-15",4.97
"337","2020-07-16",4.82
"338","2020-07-17",4.83
"339","2020-07-20",4.46
"340","2020-07-21",3.95
"341","2020-07-22",3.83
"342","2020-07-23",3.64
"343","2020-07-24",3.46
"344","2020-07-27",3.65
"345","2020-07-28",3.6
"346","2020-07-29",3.6
"347","2020-07-30",4.05
"348","2020-07-31",3.82
"349","2020-08-03",4.08
"350","2020-08-04",4.105
"351","2020-08-05",4.44
"352","2020-08-06",4.16
"353","2020-08-07",4.36
"354","2020-08-10",4.89
"355","2020-08-11",5.33
"356","2020-08-12",5.27
"357","2020-08-13",5.03
"358","2020-08-14",5.19
"359","2020-08-17",5.56
"360","2020-08-18",5.39
"361","2020-08-19",5.46
"362","2020-08-20",5.6
"363","2020-08-21",5.995
"364","2020-08-24",6.04
"365","2020-08-25",6.71
"366","2020-08-26",6.46
"367","2020-08-27",6.71
"368","2020-08-28",6.69
"369","2020-08-31",6.82
"370","2020-09-01",6.69
"371","2020-09-02",7.7
"372","2020-09-03",6.38
"373","2020-09-04",6.25
"374","2020-09-08",6.99
"375","2020-09-09",6.49
"376","2020-09-10",6.63
"377","2020-09-11",6.68
"378","2020-09-14",7.3
"379","2020-09-15",7.49
"380","2020-09-16",7.77
"381","2020-09-17",8.15
"382","2020-09-18",8.39
"383","2020-09-21",7.84
"384","2020-09-22",7.94
"385","2020-09-23",7.27
"386","2020-09-24",6.93
"387","2020-09-25",6.8
"388","2020-09-28",7.2
"389","2020-09-29",6.89
"390","2020-09-30",6.08
"391","2020-10-01",6.31
"392","2020-10-02",6.17
"393","2020-10-05",6.43
"394","2020-10-06",6.27
"395","2020-10-07",6.89
"396","2020-10-08",6.78
"397","2020-10-09",6.74
"398","2020-10-12",6.84
"399","2020-10-13",7.12
"400","2020-10-14",3.35
"401","2020-10-15",2.97
"402","2020-10-16",2.95
"403","2020-10-19",2.73
"404","2020-10-20",2.65
"405","2020-10-21",2.6
"406","2020-10-22",2.7
"407","2020-10-23",2.64
"408","2020-10-26",2.58
"409","2020-10-27",2.5
"410","2020-10-28",2.25
"411","2020-10-29",2.31
"412","2020-10-30",2.34
"413","2020-11-02",2.38
"414","2020-11-03",2.37
"415","2020-11-04",2.48
"416","2020-11-05",2.53
"417","2020-11-06",2.48
"418","2020-11-09",2.48
"419","2020-11-10",2.48
"420","2020-11-11",2.54
"421","2020-11-12",2.48
"422","2020-11-13",2.83
"423","2020-11-16",2.74
"424","2020-11-17",2.75
"425","2020-11-18",2.68
"426","2020-11-19",3.02
"427","2020-11-20",2.99
"428","2020-11-23",3.115
"429","2020-11-24",2.98
"430","2020-11-25",3.23
"431","2020-11-27",3.26
