"","date","MCMJ"
"85","2020-04-16",9.6
"86","2020-04-17",9.6
"87","2020-04-20",9.649
"88","2020-04-21",9.649
"89","2020-04-22",9.68
"90","2020-04-23",9.654
"91","2020-04-24",9.6
"92","2020-04-27",9.68
"93","2020-04-28",9.6
"94","2020-04-29",9.68
"95","2020-04-30",9.68
"96","2020-05-01",9.66
"97","2020-05-04",9.68
"98","2020-05-05",9.68
"99","2020-05-06",9.89
"100","2020-05-07",9.89
"101","2020-05-08",9.63
"102","2020-05-11",9.68
"103","2020-05-12",9.68
"104","2020-05-13",9.75
"105","2020-05-14",9.75
"106","2020-05-15",9.75
"107","2020-05-18",9.71
"108","2020-05-19",9.65
"109","2020-05-20",9.65
"110","2020-05-21",9.85
"111","2020-05-22",9.85
"112","2020-05-26",9.62
"113","2020-05-27",9.75
"114","2020-05-28",9.75
"115","2020-05-29",9.76
"116","2020-06-01",9.764
"117","2020-06-02",9.764
"118","2020-06-03",9.764
"119","2020-06-04",9.7
"120","2020-06-05",9.7
"121","2020-06-08",9.86
"122","2020-06-09",9.86
"123","2020-06-10",9.79
"124","2020-06-11",9.776
"125","2020-06-12",9.77
"126","2020-06-15",9.77
"127","2020-06-16",9.75
"128","2020-06-17",9.77
"129","2020-06-18",9.7
"130","2020-06-19",9.75
"131","2020-06-22",9.75
"132","2020-06-23",9.85
"133","2020-06-24",9.8
"134","2020-06-25",9.8
"135","2020-06-26",9.8
"136","2020-06-29",9.75
"137","2020-06-30",9.79
"138","2020-07-01",9.99
"139","2020-07-02",9.85
"140","2020-07-06",9.9
"141","2020-07-07",9.8
"142","2020-07-08",9.81
"143","2020-07-09",9.94
"144","2020-07-10",9.92
"145","2020-07-13",9.884
"146","2020-07-14",9.91
"147","2020-07-15",9.93
"148","2020-07-16",9.93
"149","2020-07-17",9.91
"150","2020-07-20",9.93
"151","2020-07-21",10.46
"152","2020-07-22",9.97
"153","2020-07-23",10
"154","2020-07-24",10
"155","2020-07-27",9.98
"156","2020-07-28",9.98
"157","2020-07-29",9.95
"158","2020-07-30",9.86
"159","2020-07-31",9.82
"160","2020-08-03",9.9
"161","2020-08-04",9.9
"162","2020-08-05",9.855
"163","2020-08-06",9.855
"164","2020-08-07",9.829
"165","2020-08-10",9.83
"166","2020-08-11",9.84
"167","2020-08-12",9.821
"168","2020-08-13",9.86
"169","2020-08-14",9.83
"170","2020-08-17",9.89
"171","2020-08-18",9.83
"172","2020-08-19",9.88
"173","2020-08-20",9.867
"174","2020-08-21",9.8
"175","2020-08-24",9.89
"176","2020-08-25",9.865
"177","2020-08-26",9.8
"178","2020-08-27",9.88
"179","2020-08-28",9.86
"180","2020-08-31",9.899
"181","2020-09-01",9.905
"182","2020-09-02",9.88
"183","2020-09-03",9.962
"184","2020-09-04",9.92
"185","2020-09-08",9.884
"186","2020-09-09",9.9
"187","2020-09-10",9.76
"188","2020-09-11",9.85
"189","2020-09-14",9.97
"190","2020-09-15",9.9
"191","2020-09-16",9.9
"192","2020-09-17",9.81
"193","2020-09-18",9.89
"194","2020-09-21",9.89
"195","2020-09-22",9.81
"196","2020-09-23",9.8
"197","2020-09-24",9.83
"198","2020-09-25",9.8
"199","2020-09-28",9.71
"200","2020-09-29",9.86
"201","2020-09-30",9.885
"202","2020-10-01",9.82
"203","2020-10-02",9.82
"204","2020-10-05",9.82
"205","2020-10-06",9.77
"206","2020-10-07",9.785
"207","2020-10-08",9.82
"208","2020-10-09",9.83
"209","2020-10-12",9.73
"210","2020-10-13",9.82
"211","2020-10-14",9.82
"212","2020-10-15",9.8
"213","2020-10-16",9.803
"214","2020-10-19",9.82
"215","2020-10-20",9.84
"216","2020-10-21",9.805
"217","2020-10-22",9.83
"218","2020-10-23",9.8
"219","2020-10-26",9.85
"220","2020-10-27",9.87
"221","2020-10-28",9.806
"222","2020-10-29",9.75
"223","2020-10-30",9.75
"224","2020-11-02",9.75
"225","2020-11-03",9.799
"226","2020-11-04",9.8
"227","2020-11-05",9.79
"228","2020-11-06",9.89
"229","2020-11-09",9.88
"230","2020-11-10",9.92
"231","2020-11-11",9.845
"232","2020-11-12",9.845
"233","2020-11-13",9.841
"234","2020-11-16",9.841
"235","2020-11-17",9.79
"236","2020-11-18",9.875
"237","2020-11-19",9.9
"238","2020-11-20",9.865
"239","2020-11-23",9.84
"240","2020-11-24",9.9
"241","2020-11-25",9.9
"242","2020-11-27",9.85
