"","date","GLEO"
"164","2020-07-10",9.98
"165","2020-07-13",9.965
"166","2020-07-14",9.96
"167","2020-07-15",9.96
"168","2020-07-16",9.988
"169","2020-07-17",10
"170","2020-07-20",9.98
"171","2020-07-21",9.99
"172","2020-07-22",9.975
"173","2020-07-23",9.98
"174","2020-07-24",9.98
"175","2020-07-27",9.98
"176","2020-07-28",9.99
"177","2020-07-29",9.99
"178","2020-07-30",9.98
"179","2020-07-31",9.97
"180","2020-08-03",10
"181","2020-08-04",9.96
"182","2020-08-05",9.96
"183","2020-08-06",9.96
"184","2020-08-07",9.95
"185","2020-08-10",9.95
"186","2020-08-11",9.94
"187","2020-08-12",9.94
"188","2020-08-13",9.94
"189","2020-08-14",9.94
"190","2020-08-17",9.955
"191","2020-08-18",9.99
"192","2020-08-19",9.9
"193","2020-08-20",9.9
"194","2020-08-21",9.87
"195","2020-08-24",9.87
"196","2020-08-25",9.87
"197","2020-08-26",9.95
"198","2020-08-27",9.95
"199","2020-08-28",9.95
"200","2020-08-31",9.95
"201","2020-09-01",9.88
"202","2020-09-02",9.95
"203","2020-09-03",9.96
"204","2020-09-04",9.96
"205","2020-09-08",9.945
"206","2020-09-09",9.935
"207","2020-09-10",9.905
"208","2020-09-11",9.895
"209","2020-09-14",9.94
"210","2020-09-15",9.89
"211","2020-09-16",9.91
"212","2020-09-17",9.92
"213","2020-09-18",9.99
"214","2020-09-21",9.96
"215","2020-09-22",9.91
"216","2020-09-23",9.93
"217","2020-09-24",9.952
"218","2020-09-25",9.9
"219","2020-09-28",10.01
"220","2020-09-29",9.93
"221","2020-09-30",9.9
"222","2020-10-01",9.98
"223","2020-10-02",9.98
"224","2020-10-05",9.943
"225","2020-10-06",9.935
"226","2020-10-07",9.94
"227","2020-10-08",9.9
"228","2020-10-09",9.9
"229","2020-10-12",9.934
"230","2020-10-13",9.915
"231","2020-10-14",9.98
"232","2020-10-15",9.92
"233","2020-10-16",9.94
"234","2020-10-19",9.9
"235","2020-10-20",9.9
"236","2020-10-21",9.85
"237","2020-10-22",9.863
"238","2020-10-23",9.8
"239","2020-10-26",9.88
"240","2020-10-27",9.88
"241","2020-10-28",9.79
"242","2020-10-29",9.88
"243","2020-10-30",9.86
"244","2020-11-02",9.85
"245","2020-11-03",9.82
"246","2020-11-04",9.95
"247","2020-11-05",9.82
"248","2020-11-06",9.82
"249","2020-11-09",9.82
"250","2020-11-10",9.821
"251","2020-11-11",9.9
"252","2020-11-12",9.9
"253","2020-11-13",9.879
"254","2020-11-16",9.879
"255","2020-11-17",9.879
"256","2020-11-18",9.879
"257","2020-11-19",9.9
"258","2020-11-20",9.914
"259","2020-11-23",9.925
"260","2020-11-24",10.02
"261","2020-11-25",10.02
"262","2020-11-27",10.03
