"","date","UFPI"
"433","2008-09-19",12.456667
"434","2008-09-22",11.883333
"435","2008-09-23",11.63
"436","2008-09-24",11.626667
"437","2008-09-25",11.72
"438","2008-09-26",11.813334
"439","2008-09-29",11.4
"440","2008-09-30",11.636666
"441","2008-10-01",11.4
"442","2008-10-02",10.823334
"443","2008-10-03",10.293333
"444","2008-10-06",10.08
"445","2008-10-07",9.14
"446","2008-10-08",8.91
"447","2008-10-09",8.123333
"448","2008-10-10",8.53
"449","2008-10-13",9.176666
"450","2008-10-14",8.916667
"451","2008-10-15",8.006667
"452","2008-10-16",6.896667
"453","2008-10-17",7.106667
"454","2008-10-20",7.2
"455","2008-10-21",7.14
"456","2008-10-22",6.32
"457","2008-10-23",6.7
"458","2008-10-24",6.436666
"459","2008-10-27",6.366667
"460","2008-10-28",6.67
"461","2008-10-29",6.86
"462","2008-10-30",7.366667
"463","2008-10-31",7.883333
"464","2008-11-03",7.986667
"465","2008-11-04",7.643333
"466","2008-11-05",7.413333
"467","2008-11-06",7.22
"468","2008-11-07",7.083333
"469","2008-11-10",6.83
"470","2008-11-11",6.813334
"471","2008-11-12",6.49
"472","2008-11-13",6.88
"473","2008-11-14",6.296667
"474","2008-11-17",6.073333
"475","2008-11-18",5.936666
"476","2008-11-19",5.403333
"477","2008-11-20",5.123333
"478","2008-11-21",5.3
"479","2008-11-24",5.686666
"480","2008-11-25",6.356667
"481","2008-11-26",6.696667
"482","2008-11-28",7.01
"483","2008-12-01",5.726666
"484","2008-12-02",6.23
"485","2008-12-03",6.566667
"486","2008-12-04",6.766667
"487","2008-12-05",7.323333
"488","2008-12-08",7.936666
"489","2008-12-09",7.823333
"490","2008-12-10",8.24
"491","2008-12-11",7.383333
"492","2008-12-12",7.676667
"493","2008-12-15",7.303333
"494","2008-12-16",7.996666
"495","2008-12-17",8.74
"496","2008-12-18",8.223333
"497","2008-12-19",8.433333
"498","2008-12-22",8.29
"499","2008-12-23",8.36
"500","2008-12-24",8.44
"501","2008-12-26",8.443334
"502","2008-12-29",8.253333
"503","2008-12-30",8.843333
"504","2008-12-31",8.97
"505","2009-01-02",8.79
"506","2009-01-05",8.693334
"507","2009-01-06",8.893333
"508","2009-01-07",8.37
"509","2009-01-08",8.663333
"510","2009-01-09",8.086667
"511","2009-01-12",7.83
"512","2009-01-13",7.983333
"513","2009-01-14",7.58
"514","2009-01-15",7.54
"515","2009-01-16",7.733333
"516","2009-01-20",7.206666
"517","2009-01-21",7.706666
"518","2009-01-22",7.43
"519","2009-01-23",7.386667
"520","2009-01-26",7.563334
"521","2009-01-27",7.596667
