"","date","BGNE"
"323","2017-05-15",37.720001
"324","2017-05-16",37.939999
"325","2017-05-17",38.740002
"326","2017-05-18",38.509998
"327","2017-05-19",36.939999
"328","2017-05-22",37.549999
"329","2017-05-23",36.82
"330","2017-05-24",38.400002
"331","2017-05-25",37.459999
"332","2017-05-26",37.419998
"333","2017-05-30",37.43
"334","2017-05-31",36.75
"335","2017-06-01",38.200001
"336","2017-06-02",41.009998
"337","2017-06-05",40.43
"338","2017-06-06",39.220001
"339","2017-06-07",39.389999
"340","2017-06-08",38.68
"341","2017-06-09",38.91
"342","2017-06-12",39
"343","2017-06-13",39.529999
"344","2017-06-14",39.68
"345","2017-06-15",39.5
"346","2017-06-16",41.560001
"347","2017-06-19",43.349998
"348","2017-06-20",43.009998
"349","2017-06-21",44.880001
"350","2017-06-22",44.389999
"351","2017-06-23",44.849998
"352","2017-06-26",45.549999
"353","2017-06-27",45.310001
"354","2017-06-28",45.509998
"355","2017-06-29",44.869999
"356","2017-06-30",45
"357","2017-07-03",54.360001
"358","2017-07-05",52.27
"359","2017-07-06",66.279999
"360","2017-07-07",70.18
"361","2017-07-10",70.849998
"362","2017-07-11",73.889999
"363","2017-07-12",72.860001
"364","2017-07-13",72.360001
"365","2017-07-14",73.690002
"366","2017-07-17",75.599998
"367","2017-07-18",76.57
"368","2017-07-19",77.010002
"369","2017-07-20",77.599998
"370","2017-07-21",77.290001
"371","2017-07-24",73.5
"372","2017-07-25",69.599998
"373","2017-07-26",71.230003
"374","2017-07-27",71
"375","2017-07-28",72.540001
"376","2017-07-31",70.489998
"377","2017-08-01",72.529999
"378","2017-08-02",70.860001
"379","2017-08-03",71.610001
"380","2017-08-04",72.309998
"381","2017-08-07",77.360001
"382","2017-08-08",78.400002
"383","2017-08-09",77.300003
"384","2017-08-10",72.639999
"385","2017-08-11",71.019997
"386","2017-08-14",71.349998
"387","2017-08-15",69.970001
"388","2017-08-16",70.019997
"389","2017-08-17",69.209999
"390","2017-08-18",66.190002
"391","2017-08-21",66.860001
"392","2017-08-22",70.029999
"393","2017-08-23",68.760002
"394","2017-08-24",69.93
"395","2017-08-25",68.809998
"396","2017-08-28",68.669998
"397","2017-08-29",69.480003
"398","2017-08-30",68.860001
"399","2017-08-31",68.919998
"400","2017-09-01",75.18
"401","2017-09-05",73.900002
"402","2017-09-06",76.660004
"403","2017-09-07",74.809998
"404","2017-09-08",72.599998
"405","2017-09-11",70.099998
"406","2017-09-12",70.620003
"407","2017-09-13",75.610001
"408","2017-09-14",75.989998
"409","2017-09-15",80.900002
"410","2017-09-18",82.769997
"411","2017-09-19",85.139999
"412","2017-09-20",86.25
"413","2017-09-21",84.889999
"414","2017-09-22",85.139999
"415","2017-09-25",85.260002
"416","2017-09-26",87.510002
"417","2017-09-27",100.040001
"418","2017-09-28",97.43
"419","2017-09-29",103.459999
"420","2017-10-02",102.389999
"421","2017-10-03",105.029999
"422","2017-10-04",110.580002
"423","2017-10-05",109.050003
"424","2017-10-06",103.839996
"425","2017-10-09",113.290001
"426","2017-10-10",114.730003
"427","2017-10-11",108.050003
"428","2017-10-12",96.07
"429","2017-10-13",94.360001
"430","2017-10-16",93.720001
"431","2017-10-17",87.660004
"432","2017-10-18",88.300003
"433","2017-10-19",84.230003
"434","2017-10-20",84.029999
"435","2017-10-23",81.510002
"436","2017-10-24",84.300003
"437","2017-10-25",81.809998
"438","2017-10-26",80.010002
"439","2017-10-27",82.349998
"440","2017-10-30",88
"441","2017-10-31",92.300003
"442","2017-11-01",88.93
"443","2017-11-02",89.370003
"444","2017-11-03",90.230003
"445","2017-11-06",88.32
"446","2017-11-07",87.279999
"447","2017-11-08",81.620003
