"","date","PUYI"
"119","2019-09-17",6.67
"120","2019-09-18",6.61
"121","2019-09-19",6.6
"122","2019-09-20",6.79
"123","2019-09-23",6.71
"124","2019-09-24",6.57
"125","2019-09-25",6.7
"126","2019-09-26",6.64
"127","2019-09-27",6.65
"128","2019-09-30",6.565
"129","2019-10-01",6.55
"130","2019-10-02",6.63
"131","2019-10-03",6.54
"132","2019-10-04",6.49
"133","2019-10-07",6.48
"134","2019-10-08",6.4
"135","2019-10-09",6.36
"136","2019-10-10",6.39
"137","2019-10-11",6.36
"138","2019-10-14",6.49
"139","2019-10-15",5.48
"140","2019-10-16",5.93
"141","2019-10-17",5.99
"142","2019-10-18",5.89
"143","2019-10-21",5.85
"144","2019-10-22",5.9
"145","2019-10-23",5.85
"146","2019-10-24",5.83
"147","2019-10-25",5.64
"148","2019-10-28",5.86
"149","2019-10-29",5.82
"150","2019-10-30",5.81
"151","2019-10-31",5.8
"152","2019-11-01",5.71
"153","2019-11-04",5.73
"154","2019-11-05",5.57
"155","2019-11-06",5.5
"156","2019-11-07",5.74
"157","2019-11-08",5.565
"158","2019-11-11",5.67
"159","2019-11-12",5.53
"160","2019-11-13",5.63
"161","2019-11-14",5.36
"162","2019-11-15",5.7
"163","2019-11-18",5.4
"164","2019-11-19",5.3
"165","2019-11-20",4.84
"166","2019-11-21",4.43
"167","2019-11-22",4.22
"168","2019-11-25",4.23
"169","2019-11-26",4.25
"170","2019-11-27",4.46
"171","2019-11-29",4.8
"172","2019-12-02",4.8
"173","2019-12-03",4.84
"174","2019-12-04",4.89
"175","2019-12-05",4.738
"176","2019-12-06",4.81
"177","2019-12-09",4.72
"178","2019-12-10",4.72
"179","2019-12-11",4.72
"180","2019-12-12",4.95
"181","2019-12-13",4.875
"182","2019-12-16",5.58
"183","2019-12-17",5.455
"184","2019-12-18",5.32
"185","2019-12-19",5.39
"186","2019-12-20",5.25
"187","2019-12-23",5.262
"188","2019-12-24",5.47
"189","2019-12-26",5.44
"190","2019-12-27",5.47
"191","2019-12-30",5.61
"192","2019-12-31",6.25
"193","2020-01-02",5.2
"194","2020-01-03",5.29
"195","2020-01-06",5.173
"196","2020-01-07",5.17
"197","2020-01-08",5.29
"198","2020-01-09",5.36
"199","2020-01-10",5.51
"200","2020-01-13",5.66
"201","2020-01-14",5.613
"202","2020-01-15",5.77
"203","2020-01-16",5.53
"204","2020-01-17",5.67
"205","2020-01-21",5.66
"206","2020-01-22",5.53
"207","2020-01-23",5.63
"208","2020-01-24",5.44
"209","2020-01-27",5.21
"210","2020-01-28",5.21
"211","2020-01-29",5.2
"212","2020-01-30",5.21
"213","2020-01-31",5.14
"214","2020-02-03",5.345
"215","2020-02-04",5.335
"216","2020-02-05",5.48
"217","2020-02-06",5.39
"218","2020-02-07",5.31
"219","2020-02-10",5.165
"220","2020-02-11",5.18
"221","2020-02-12",5.3
"222","2020-02-13",5.225
"223","2020-02-14",5.35
"224","2020-02-18",5.47
"225","2020-02-19",6.188
"226","2020-02-20",6
"227","2020-02-21",6
"228","2020-02-24",6.22
"229","2020-02-25",5.93
"230","2020-02-26",5.82
"231","2020-02-27",5.84
"232","2020-02-28",5.76
"233","2020-03-02",5.91
"234","2020-03-03",5.81
"235","2020-03-04",5.79
"236","2020-03-05",5.94
"237","2020-03-06",5.94
"238","2020-03-09",5.64
"239","2020-03-10",6.1
"240","2020-03-11",6.05
"241","2020-03-12",5.76
"242","2020-03-13",5.72
"243","2020-03-16",5.5
"244","2020-03-17",5.58
"245","2020-03-18",5.45
"246","2020-03-19",5.4
"247","2020-03-20",5.32
"248","2020-03-23",5.11
"249","2020-03-24",6.03
"250","2020-03-25",6.33
"251","2020-03-26",6.28
"252","2020-03-27",6.3
"253","2020-03-30",6.01
"254","2020-03-31",6.32
"255","2020-04-01",6.07
"256","2020-04-02",6.26
"257","2020-04-03",6.2
"258","2020-04-06",5.9
"259","2020-04-07",6.09
"260","2020-04-08",6.08
"261","2020-04-09",6.04
"262","2020-04-13",6.01
"263","2020-04-14",6.03
"264","2020-04-15",6.14
"265","2020-04-16",6.09
"266","2020-04-17",6.01
"267","2020-04-20",6.27
"268","2020-04-21",6.12
"269","2020-04-22",6.24
"270","2020-04-23",6.19
"271","2020-04-24",6.1
"272","2020-04-27",6.18
"273","2020-04-28",6.1
"274","2020-04-29",6.1
"275","2020-04-30",6.34
"276","2020-05-01",6.1
"277","2020-05-04",6.01
"278","2020-05-05",6.035
"279","2020-05-06",5.86
"280","2020-05-07",6.1
"281","2020-05-08",6.1
"282","2020-05-11",6.15
"283","2020-05-12",6.031
"284","2020-05-13",6.075
"285","2020-05-14",6.167
"286","2020-05-15",6.02
"287","2020-05-18",6.68
"288","2020-05-19",6.028
"289","2020-05-20",6.3
"290","2020-05-21",6.3
"291","2020-05-22",6.66
"292","2020-05-26",6.326
"293","2020-05-27",6.3
"294","2020-05-28",6.4
"295","2020-05-29",6.178
"296","2020-06-01",6.38
"297","2020-06-02",6.38
"298","2020-06-03",6.407
"299","2020-06-04",6.35
"300","2020-06-05",6.38
"301","2020-06-08",6.4
"302","2020-06-09",6.41
"303","2020-06-10",6.9
"304","2020-06-11",6.6
"305","2020-06-12",6.55
"306","2020-06-15",6.35
"307","2020-06-16",6.45
"308","2020-06-17",6.4
"309","2020-06-18",6.41
"310","2020-06-19",6.6
"311","2020-06-22",6.52
"312","2020-06-23",6.54
"313","2020-06-24",6.425
"314","2020-06-25",6.65
"315","2020-06-26",6.47
"316","2020-06-29",6.44
"317","2020-06-30",6.59
"318","2020-07-01",6.47
"319","2020-07-02",6.45
"320","2020-07-06",6.47
"321","2020-07-07",6.56
"322","2020-07-08",6.55
"323","2020-07-09",6.37
"324","2020-07-10",6.42
"325","2020-07-13",6.38
"326","2020-07-14",6.42
"327","2020-07-15",6.39
"328","2020-07-16",6.26
"329","2020-07-17",6.39
"330","2020-07-20",6.4
"331","2020-07-21",6.35
"332","2020-07-22",6.35
"333","2020-07-23",6.41
"334","2020-07-24",6.25
"335","2020-07-27",6.25
"336","2020-07-28",6.3
"337","2020-07-29",6.3
"338","2020-07-30",6.3
"339","2020-07-31",6.3
"340","2020-08-03",6.52
"341","2020-08-04",6.32
"342","2020-08-05",6.32
"343","2020-08-06",6.32
"344","2020-08-07",6.28
"345","2020-08-10",6.28
"346","2020-08-11",6.435
"347","2020-08-12",6.28
"348","2020-08-13",6.19
"349","2020-08-14",6.29
"350","2020-08-17",6.29
"351","2020-08-18",6.33
"352","2020-08-19",6.15
"353","2020-08-20",6.15
"354","2020-08-21",6.11
"355","2020-08-24",6.11
"356","2020-08-25",6.42
"357","2020-08-26",6.05
"358","2020-08-27",6.1
"359","2020-08-28",6.48
"360","2020-08-31",6.32
"361","2020-09-01",6.18
"362","2020-09-02",6.18
"363","2020-09-03",6.17
"364","2020-09-04",6.15
"365","2020-09-08",6.206
"366","2020-09-09",6.18
"367","2020-09-10",6.03
"368","2020-09-11",6.1
"369","2020-09-14",6.11
"370","2020-09-15",6.145
"371","2020-09-16",6.147
"372","2020-09-17",6.07
"373","2020-09-18",6.11
"374","2020-09-21",6.1
"375","2020-09-22",6.1
"376","2020-09-23",6.22
"377","2020-09-24",6.13
"378","2020-09-25",6.01
"379","2020-09-28",6.05
"380","2020-09-29",6
"381","2020-09-30",5.59
"382","2020-10-01",6.095
"383","2020-10-02",5.98
"384","2020-10-05",6.065
"385","2020-10-06",6.205
"386","2020-10-07",6.24
"387","2020-10-08",6.078
"388","2020-10-09",6.05
"389","2020-10-12",5.85
"390","2020-10-13",5.79
"391","2020-10-14",5.795
"392","2020-10-15",5.78
"393","2020-10-16",5.78
"394","2020-10-19",5.9
"395","2020-10-20",5.8
"396","2020-10-21",5.78
"397","2020-10-22",5.6
"398","2020-10-23",5.649
"399","2020-10-26",5.49
"400","2020-10-27",5.78
"401","2020-10-28",5.55
"402","2020-10-29",5.55
"403","2020-10-30",5.55
"404","2020-11-02",5.78
"405","2020-11-03",5.415
"406","2020-11-04",6.01
"407","2020-11-05",6.21
"408","2020-11-06",5.35
"409","2020-11-09",6
"410","2020-11-10",6
"411","2020-11-11",5.88
"412","2020-11-12",5.8
"413","2020-11-13",5.83
"414","2020-11-16",5.837
"415","2020-11-17",5.85
"416","2020-11-18",5.85
"417","2020-11-19",5.89
"418","2020-11-20",5.9
"419","2020-11-23",5.8
"420","2020-11-24",5.8
"421","2020-11-25",6.05
"422","2020-11-27",5.95
