"","date","MRCC"
"495","2014-10-15",13
"496","2014-10-16",13.66
"497","2014-10-17",13.79
"498","2014-10-20",13.82
"499","2014-10-21",13.65
"500","2014-10-22",13.85
"501","2014-10-23",13.64
"502","2014-10-24",13.7
"503","2014-10-27",13.54
"504","2014-10-28",13.66
"505","2014-10-29",13.66
"506","2014-10-30",13.83
"507","2014-10-31",13.84
"508","2014-11-03",13.86
"509","2014-11-04",13.75
"510","2014-11-05",13.83
"511","2014-11-06",13.87
"512","2014-11-07",13.89
"513","2014-11-10",13.94
"514","2014-11-11",14.13
"515","2014-11-12",14.04
"516","2014-11-13",13.99
"517","2014-11-14",14.07
"518","2014-11-17",14.13
"519","2014-11-18",14.17
"520","2014-11-19",14.15
"521","2014-11-20",14.26
"522","2014-11-21",14.24
"523","2014-11-24",14.24
"524","2014-11-25",14.26
"525","2014-11-26",14.46
"526","2014-11-28",14.46
"527","2014-12-01",14.39
"528","2014-12-02",14.46
"529","2014-12-03",14.46
"530","2014-12-04",14.46
"531","2014-12-05",14.62
"532","2014-12-08",14.63
"533","2014-12-09",14.35
"534","2014-12-10",14.48
"535","2014-12-11",14.25
"536","2014-12-12",13.92
"537","2014-12-15",14.19
"538","2014-12-16",14.09
"539","2014-12-17",13.93
"540","2014-12-18",13.97
"541","2014-12-19",14.38
"542","2014-12-22",14.35
"543","2014-12-23",14.39
"544","2014-12-24",14.14
"545","2014-12-26",14.21
"546","2014-12-29",14.21
"547","2014-12-30",14.25
"548","2014-12-31",14.46
"549","2015-01-02",13.91
"550","2015-01-05",14.5
"551","2015-01-06",14.56
"552","2015-01-07",14.59
"553","2015-01-08",14.76
"554","2015-01-09",14.35
"555","2015-01-12",14.47
"556","2015-01-13",14.49
"557","2015-01-14",14.29
"558","2015-01-15",14.33
"559","2015-01-16",14.44
"560","2015-01-20",14.26
"561","2015-01-21",14.27
"562","2015-01-22",14.48
"563","2015-01-23",14.46
"564","2015-01-26",14.49
"565","2015-01-27",14.43
"566","2015-01-28",14.49
"567","2015-01-29",14.4
"568","2015-01-30",14.42
"569","2015-02-02",14.6
"570","2015-02-03",14.84
"571","2015-02-04",14.81
"572","2015-02-05",14.72
"573","2015-02-06",15.15
"574","2015-02-09",14.91
"575","2015-02-10",14.74
"576","2015-02-11",14.73
"577","2015-02-12",14.74
"578","2015-02-13",14.78
"579","2015-02-17",14.795
"580","2015-02-18",14.75
"581","2015-02-19",14.74
"582","2015-02-20",14.74
"583","2015-02-23",14.75
"584","2015-02-24",14.84
"585","2015-02-25",14.8
"586","2015-02-26",14.77
"587","2015-02-27",14.91
"588","2015-03-02",14.97
"589","2015-03-03",15.26
"590","2015-03-04",15.38
"591","2015-03-05",15
"592","2015-03-06",15.18
"593","2015-03-09",15.26
"594","2015-03-10",14.98
"595","2015-03-11",14.92
"596","2015-03-12",14.69
"597","2015-03-13",15.11
"598","2015-03-16",15.17
"599","2015-03-17",15.16
"600","2015-03-18",14.605
"601","2015-03-19",14.63
"602","2015-03-20",14.63
"603","2015-03-23",14.32
"604","2015-03-24",14.53
"605","2015-03-25",14.67
"606","2015-03-26",14.6
"607","2015-03-27",14.58
"608","2015-03-30",14.7
"609","2015-03-31",14.73
"610","2015-04-01",14.73
"611","2015-04-02",14.57
"612","2015-04-06",14.6
"613","2015-04-07",14.78
"614","2015-04-08",14.7
"615","2015-04-09",14.95
"616","2015-04-10",14.94
"617","2015-04-13",15.2
"618","2015-04-14",15.25
"619","2015-04-15",14.75
"620","2015-04-16",14.62
"621","2015-04-17",14.5
"622","2015-04-20",14.5
"623","2015-04-21",14.47
"624","2015-04-22",14.4
"625","2015-04-23",14.5
"626","2015-04-24",14.45
"627","2015-04-27",14.47
"628","2015-04-28",14.56
"629","2015-04-29",14.69
"630","2015-04-30",14.65
"631","2015-05-01",14.6
"632","2015-05-04",14.53
"633","2015-05-05",14.55
"634","2015-05-06",14.36
"635","2015-05-07",14.39
"636","2015-05-08",14.25
"637","2015-05-11",14.38
"638","2015-05-12",14.62
"639","2015-05-13",14.52
"640","2015-05-14",14.7
"641","2015-05-15",14.75
"642","2015-05-18",14.85
"643","2015-05-19",14.9
"644","2015-05-20",14.9
"645","2015-05-21",14.92
"646","2015-05-22",14.95
"647","2015-05-26",14.9
"648","2015-05-27",14.95
"649","2015-05-28",14.86
"650","2015-05-29",14.85
"651","2015-06-01",14.98
"652","2015-06-02",14.97
"653","2015-06-03",15.01
"654","2015-06-04",15.05
"655","2015-06-05",15.15
"656","2015-06-08",15.04
"657","2015-06-09",14.94
"658","2015-06-10",15.01
"659","2015-06-11",14.72
"660","2015-06-12",14.91
"661","2015-06-15",15
"662","2015-06-16",14.69
"663","2015-06-17",14.73
"664","2015-06-18",14.85
"665","2015-06-19",14.79
"666","2015-06-22",14.88
"667","2015-06-23",14.83
"668","2015-06-24",14.9
"669","2015-06-25",14.78
"670","2015-06-26",14.9
"671","2015-06-29",14.57
"672","2015-06-30",14.9
"673","2015-07-01",14.94
"674","2015-07-02",14.96
"675","2015-07-06",14.9
"676","2015-07-07",14.85
"677","2015-07-08",14.81
"678","2015-07-09",14.83
"679","2015-07-10",14.82
"680","2015-07-13",14.83
"681","2015-07-14",14.86
"682","2015-07-15",14.84
"683","2015-07-16",15.07
"684","2015-07-17",15.08
"685","2015-07-20",14.85
"686","2015-07-21",14.85
"687","2015-07-22",15.03
"688","2015-07-23",14.92
"689","2015-07-24",14.86
"690","2015-07-27",14.74
"691","2015-07-28",14.77
"692","2015-07-29",14.6
"693","2015-07-30",14.82
"694","2015-07-31",14.52
"695","2015-08-03",14.72
"696","2015-08-04",14.46
"697","2015-08-05",14.3
"698","2015-08-06",14.41
"699","2015-08-07",14.34
"700","2015-08-10",14.49
"701","2015-08-11",14.77
"702","2015-08-12",15.01
"703","2015-08-13",14.94
"704","2015-08-14",14.96
"705","2015-08-17",14.97
"706","2015-08-18",14.9
