"","date","EKSO"
"322","2015-04-29",166.949997
"323","2015-04-30",172.199997
"324","2015-05-01",170.100006
"325","2015-05-04",168
"326","2015-05-05",172.199997
"327","2015-05-06",169.050003
"328","2015-05-07",171.149994
"329","2015-05-08",163.800003
"330","2015-05-11",147
"331","2015-05-12",148.050003
"332","2015-05-13",185.850006
"333","2015-05-14",196.350006
"334","2015-05-15",184.800003
"335","2015-05-18",200.550003
"336","2015-05-19",202.649994
"337","2015-05-20",210
"338","2015-05-21",211.050003
"339","2015-05-22",208.949997
"340","2015-05-26",193.199997
"341","2015-05-27",183.75
"342","2015-05-28",189
"343","2015-05-29",184.800003
"344","2015-06-01",181.649994
"345","2015-06-02",142.800003
"346","2015-06-03",162.225006
"347","2015-06-04",147
"348","2015-06-05",146.789993
"349","2015-06-08",145.949997
"350","2015-06-09",145.949997
"351","2015-06-10",147
"352","2015-06-11",143.850006
"353","2015-06-12",140.699997
"354","2015-06-15",142.800003
"355","2015-06-16",136.5
"356","2015-06-17",134.399994
"357","2015-06-18",133.350006
"358","2015-06-19",133.350006
"359","2015-06-22",130.725006
"360","2015-06-23",130.199997
"361","2015-06-24",124.425003
"362","2015-06-25",115.5
"363","2015-06-26",113.400002
"364","2015-06-29",109.199997
"365","2015-06-30",118.650002
"366","2015-07-01",128.100006
"367","2015-07-02",128.100006
"368","2015-07-06",130.199997
"369","2015-07-07",128.100006
"370","2015-07-08",121.695
"371","2015-07-09",123.375
"372","2015-07-10",119.699997
"373","2015-07-13",120.75
"374","2015-07-14",118.650002
"375","2015-07-15",116.550003
"376","2015-07-16",118.650002
"377","2015-07-17",116.550003
"378","2015-07-20",119.699997
"379","2015-07-21",118.650002
"380","2015-07-22",115.5
"381","2015-07-23",113.400002
"382","2015-07-24",115.5
"383","2015-07-27",112.349998
"384","2015-07-28",111.300003
"385","2015-07-29",111.300003
"386","2015-07-30",108.150002
"387","2015-07-31",108.150002
"388","2015-08-03",107.099998
"389","2015-08-04",119.699997
"390","2015-08-05",120.75
"391","2015-08-06",119.699997
"392","2015-08-07",113.400002
"393","2015-08-10",116.550003
"394","2015-08-11",115.5
"395","2015-08-12",112.349998
"396","2015-08-13",111.300003
"397","2015-08-14",110.25
"398","2015-08-17",102.900002
"399","2015-08-18",105
"400","2015-08-19",123.900002
"401","2015-08-20",117.599998
"402","2015-08-21",115.5
"403","2015-08-24",120.75
"404","2015-08-25",122.849998
"405","2015-08-26",137.550003
"406","2015-08-27",152.25
"407","2015-08-28",143.850006
"408","2015-08-31",152.25
"409","2015-09-01",145.949997
"410","2015-09-02",142.800003
"411","2015-09-03",151.199997
"412","2015-09-04",142.800003
"413","2015-09-08",147
"414","2015-09-09",143.850006
"415","2015-09-10",140.699997
"416","2015-09-11",136.5
"417","2015-09-14",142.800003
"418","2015-09-15",141.75
"419","2015-09-16",140.699997
"420","2015-09-17",142.800003
"421","2015-09-18",140.699997
"422","2015-09-21",148.050003
"423","2015-09-22",144.899994
"424","2015-09-23",141.75
"425","2015-09-24",138.600006
"426","2015-09-25",136.5
"427","2015-09-28",123.900002
"428","2015-09-29",119.699997
"429","2015-09-30",122.849998
"430","2015-10-01",118.650002
"431","2015-10-02",119.699997
"432","2015-10-05",126
"433","2015-10-06",121.800003
"434","2015-10-07",120.75
"435","2015-10-08",118.650002
"436","2015-10-09",119.699997
"437","2015-10-12",118.650002
"438","2015-10-13",118.650002
"439","2015-10-14",118.650002
"440","2015-10-15",121.800003
"441","2015-10-16",120.75
"442","2015-10-19",121.800003
"443","2015-10-20",118.650002
"444","2015-10-21",117.074997
"445","2015-10-22",117.599998
"446","2015-10-23",117.599998
"447","2015-10-26",117.599998
"448","2015-10-27",118.650002
"449","2015-10-28",117.599998
"450","2015-10-29",120.224998
"451","2015-10-30",122.849998
"452","2015-11-02",131.25
"453","2015-11-03",132.300003
"454","2015-11-04",131.25
"455","2015-11-05",132.824997
"456","2015-11-06",120.75
"457","2015-11-09",120.75
"458","2015-11-10",117.599998
"459","2015-11-11",136.5
"460","2015-11-12",123.900002
"461","2015-11-13",131.25
"462","2015-11-16",136.5
"463","2015-11-17",140.699997
"464","2015-11-18",148.050003
"465","2015-11-19",145.949997
"466","2015-11-20",137.550003
"467","2015-11-23",135.449997
"468","2015-11-24",134.399994
"469","2015-11-25",140.699997
"470","2015-11-27",141.75
"471","2015-11-30",143.850006
"472","2015-12-01",143.850006
"473","2015-12-02",139.649994
"474","2015-12-03",137.550003
"475","2015-12-04",133.350006
"476","2015-12-07",137.550003
"477","2015-12-08",134.399994
"478","2015-12-09",132.300003
"479","2015-12-10",129.149994
"480","2015-12-11",128.100006
"481","2015-12-14",122.849998
"482","2015-12-15",118.650002
"483","2015-12-16",120.75
"484","2015-12-17",132.300003
"485","2015-12-18",133.350006
"486","2015-12-21",130.304993
"487","2015-12-22",129.149994
"488","2015-12-23",132.300003
"489","2015-12-24",132.300003
"490","2015-12-28",114.449997
"491","2015-12-29",110.25
"492","2015-12-30",107.099998
"493","2015-12-31",107.099998
"494","2016-01-04",107.099998
