"","date","PBFS"
"147","2020-02-14",14.8
"148","2020-02-18",14.86
"149","2020-02-19",14.94
"150","2020-02-20",14.9
"151","2020-02-21",14.85
"152","2020-02-24",14.89
"153","2020-02-25",14.58
"154","2020-02-26",14.81
"155","2020-02-27",13.71
"156","2020-02-28",13.62
"157","2020-03-02",13.8
"158","2020-03-03",13.87
"159","2020-03-04",13.9
"160","2020-03-05",13.69
"161","2020-03-06",13.27
"162","2020-03-09",12.39
"163","2020-03-10",12.37
"164","2020-03-11",11.45
"165","2020-03-12",10.05
"166","2020-03-13",10.67
"167","2020-03-16",9.86
"168","2020-03-17",10.2
"169","2020-03-18",9.8
"170","2020-03-19",10.7
"171","2020-03-20",10.75
"172","2020-03-23",9.81
"173","2020-03-24",10.5
"174","2020-03-25",10.52
"175","2020-03-26",10.72
"176","2020-03-27",10.01
"177","2020-03-30",10.25
"178","2020-03-31",10.38
"179","2020-04-01",9.5
"180","2020-04-02",9.17
"181","2020-04-03",8.77
"182","2020-04-06",9.78
"183","2020-04-07",9.8
"184","2020-04-08",10
"185","2020-04-09",10.79
"186","2020-04-13",9.57
"187","2020-04-14",9.45
"188","2020-04-15",8.51
"189","2020-04-16",8.25
"190","2020-04-17",8.72
"191","2020-04-20",8.3
"192","2020-04-21",8.66
"193","2020-04-22",8.45
"194","2020-04-23",8.5
"195","2020-04-24",9.08
"196","2020-04-27",9.27
"197","2020-04-28",9.16
"198","2020-04-29",10.3
"199","2020-04-30",10.58
"200","2020-05-01",9.18
"201","2020-05-04",9.11
"202","2020-05-05",8.85
"203","2020-05-06",8.75
"204","2020-05-07",8.83
"205","2020-05-08",9.48
"206","2020-05-11",9.36
"207","2020-05-12",8.76
"208","2020-05-13",8.75
"209","2020-05-14",8.67
"210","2020-05-15",8.98
"211","2020-05-18",9.98
"212","2020-05-19",9.01
"213","2020-05-20",9.51
"214","2020-05-21",9.49
"215","2020-05-22",9.74
"216","2020-05-26",9.7
"217","2020-05-27",10.06
"218","2020-05-28",9.57
"219","2020-05-29",9.55
"220","2020-06-01",9.33
"221","2020-06-02",9.37
"222","2020-06-03",10
"223","2020-06-04",9.56
"224","2020-06-05",10.48
"225","2020-06-08",10.76
"226","2020-06-09",10.22
"227","2020-06-10",9.69
"228","2020-06-11",8.78
"229","2020-06-12",9.22
"230","2020-06-15",9.16
"231","2020-06-16",9.33
"232","2020-06-17",9.27
"233","2020-06-18",8.85
"234","2020-06-19",9.77
"235","2020-06-22",9.59
"236","2020-06-23",9.25
"237","2020-06-24",8.83
"238","2020-06-25",9.01
"239","2020-06-26",8.77
"240","2020-06-29",9.21
"241","2020-06-30",9.15
"242","2020-07-01",8.78
"243","2020-07-02",8.8
"244","2020-07-06",8.9
"245","2020-07-07",8.52
"246","2020-07-08",8.55
"247","2020-07-09",8.36
"248","2020-07-10",8.8
"249","2020-07-13",8.71
"250","2020-07-14",8.96
"251","2020-07-15",9.02
"252","2020-07-16",8.98
"253","2020-07-17",8.86
"254","2020-07-20",8.71
"255","2020-07-21",8.8
"256","2020-07-22",8.77
"257","2020-07-23",8.81
"258","2020-07-24",8.72
"259","2020-07-27",8.84
"260","2020-07-28",8.77
"261","2020-07-29",8.8
"262","2020-07-30",8.8
"263","2020-07-31",8.7
"264","2020-08-03",8.8
"265","2020-08-04",8.86
"266","2020-08-05",8.84
"267","2020-08-06",8.79
"268","2020-08-07",8.83
"269","2020-08-10",8.75
"270","2020-08-11",8.78
"271","2020-08-12",8.85
"272","2020-08-13",8.85
"273","2020-08-14",8.9
"274","2020-08-17",8.87
"275","2020-08-18",8.76
"276","2020-08-19",8.76
"277","2020-08-20",8.74
"278","2020-08-21",8.57
"279","2020-08-24",8.54
"280","2020-08-25",8.52
"281","2020-08-26",8.44
"282","2020-08-27",8.43
"283","2020-08-28",8.36
"284","2020-08-31",8.04
"285","2020-09-01",8.29
"286","2020-09-02",8.46
"287","2020-09-03",8.56
"288","2020-09-04",8.57
"289","2020-09-08",8.69
"290","2020-09-09",8.56
"291","2020-09-10",8.5
"292","2020-09-11",8.54
"293","2020-09-14",8.77
"294","2020-09-15",8.62
"295","2020-09-16",8.52
"296","2020-09-17",8.65
"297","2020-09-18",8.96
"298","2020-09-21",8.7
"299","2020-09-22",8.51
"300","2020-09-23",8.27
"301","2020-09-24",8.3
"302","2020-09-25",8.38
"303","2020-09-28",8.52
"304","2020-09-29",8.99
"305","2020-09-30",8.88
"306","2020-10-01",8.72
"307","2020-10-02",8.96
"308","2020-10-05",9.06
"309","2020-10-06",8.98
"310","2020-10-07",9.19
"311","2020-10-08",9.3
"312","2020-10-09",9.28
"313","2020-10-12",9.305
"314","2020-10-13",9.22
"315","2020-10-14",9.06
"316","2020-10-15",9.32
"317","2020-10-16",9.28
"318","2020-10-19",9.28
"319","2020-10-20",9.33
"320","2020-10-21",9.33
"321","2020-10-22",9.36
"322","2020-10-23",9.72
"323","2020-10-26",9.63
"324","2020-10-27",9.82
"325","2020-10-28",9.6
"326","2020-10-29",9.6
"327","2020-10-30",9.46
"328","2020-11-02",9.85
"329","2020-11-03",9.95
"330","2020-11-04",9.51
"331","2020-11-05",9.77
"332","2020-11-06",9.75
"333","2020-11-09",10.51
"334","2020-11-10",11.41
"335","2020-11-11",11.08
"336","2020-11-12",10.48
"337","2020-11-13",10.56
"338","2020-11-16",10.87
"339","2020-11-17",10.82
"340","2020-11-18",10.42
"341","2020-11-19",10.3
"342","2020-11-20",10.45
"343","2020-11-23",10.44
"344","2020-11-24",10.9
"345","2020-11-25",10.71
"346","2020-11-27",10.54
